#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 2.0186 2.0562 2.0945 2.1335 2.1732 2.2136 2.2548 2.2968 2.3396 2.3831 2.4275 2.4727 2.5187 2.5656 2.6134 2.6620 2.7116 2.7620 2.8134 2.8658 2.9192 2.9735 3.0289 3.0853 3.1427 3.2012 3.2608 3.3215 3.3833 3.4463 3.5104 3.5758 3.6424 3.7102 3.7792 3.8496 3.9212 3.9942 4.0686 4.1443 4.2215 4.3001 4.3801 4.4617 4.5447 4.6293 4.7155 4.8033 4.8927 4.9838 5.0765 5.1711 5.2673 5.3654 5.4652 5.5670 5.6706 5.7762 5.8837 5.9932 6.1048 6.2184 6.3342 6.4521 6.5722 6.6946 6.8192 6.9461 7.0754 7.2072 7.3413 7.4780 7.6172 7.7590 7.9034 8.0506 8.2004 8.3531 8.5086 8.6670 8.8283 8.9927 9.1601 9.3306 9.5043 9.6812 9.8614 10.0450 10.2320 10.4225 10.6165 10.8141 11.0154 11.2205 11.4294 11.6421 11.8588 12.0796 12.3045 12.5335 12.7668 13.0045 13.2466 13.4932 13.7444 14.0002 14.2608 14.5263 14.7967 15.0722 15.3528 15.6386 15.9297 16.2262 16.5283 16.8360 17.1494 17.4686 17.7938 18.1251 18.4625 18.8062 19.1562 19.5128 19.8761 20.2461 20.6230 21.0069 21.3979 21.7963 22.2020 22.6153 23.0363 23.4652 23.9020 24.3469 24.8002 25.2618 25.7321 26.2111 26.6990 27.1961 27.7023 28.2180 28.7433 29.2784 29.8234 30.3786 30.9441 31.5202 32.1069 32.7046 33.3134 33.9336 34.5653 35.2087 35.8641 36.5318 37.2118 37.9045 38.6102 39.3289 40.0610 40.8068 41.5664 42.3402 43.1284 43.9313 44.7491 45.5821 46.4306 47.2950 48.1754 49.0722 49.9857 50.9162 51.8640 52.8295 53.8130 54.8147 55.8351 56.8745 57.9333 59.0118 60.1103 61.2293 62.3691 63.5301 64.7128 65.9174 67.1445 68.3945 69.6677 70.9646 72.2856 73.6312 75.0019 76.3981 77.8203 79.2690
#
#TIME: 2.0186
#NVEL: 202
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6
6.6750e+03 2.2762e-01 7.7238e-01 3.2144e-08 2.7874e-32 0.0000e+00 0.0000e+00 0.0000e+00
6.8750e+03 2.1772e-01 7.8228e-01 3.4473e-08 3.1653e-32 0.0000e+00 0.0000e+00 0.0000e+00
7.0750e+03 2.0808e-01 7.9192e-01 3.6965e-08 3.5951e-32 0.0000e+00 0.0000e+00 0.0000e+00
7.2750e+03 1.9871e-01 8.0129e-01 3.9630e-08 4.0839e-32 0.0000e+00 0.0000e+00 0.0000e+00
7.4750e+03 1.8960e-01 8.1040e-01 4.2481e-08 4.6400e-32 0.0000e+00 0.0000e+00 0.0000e+00
7.6750e+03 1.8079e-01 8.1921e-01 4.5528e-08 5.2721e-32 0.0000e+00 0.0000e+00 0.0000e+00
7.8750e+03 1.7224e-01 8.2776e-01 4.8788e-08 5.9917e-32 0.0000e+00 0.0000e+00 0.0000e+00
8.0750e+03 1.6399e-01 8.3601e-01 5.2271e-08 6.8098e-32 0.0000e+00 0.0000e+00 0.0000e+00
8.2750e+03 1.5602e-01 8.4398e-01 5.5995e-08 7.7408e-32 0.0000e+00 0.0000e+00 0.0000e+00
8.4750e+03 1.4833e-01 8.5167e-01 5.9973e-08 8.7997e-32 0.0000e+00 0.0000e+00 0.0000e+00
8.6750e+03 1.4093e-01 8.5907e-01 6.4225e-08 1.0005e-31 0.0000e+00 0.0000e+00 0.0000e+00
8.8750e+03 1.3382e-01 8.6618e-01 6.8763e-08 1.1374e-31 0.0000e+00 0.0000e+00 0.0000e+00
9.0750e+03 1.2698e-01 8.7302e-01 7.3613e-08 1.2933e-31 0.0000e+00 0.0000e+00 0.0000e+00
9.2750e+03 1.2043e-01 8.7957e-01 7.8790e-08 1.4706e-31 0.0000e+00 0.0000e+00 0.0000e+00
9.4750e+03 1.1415e-01 8.8585e-01 8.4316e-08 1.6722e-31 0.0000e+00 0.0000e+00 0.0000e+00
9.6750e+03 1.0814e-01 8.9186e-01 9.0215e-08 1.9015e-31 0.0000e+00 0.0000e+00 0.0000e+00
9.8750e+03 1.0239e-01 8.9761e-01 9.6511e-08 2.1622e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.0075e+04 9.6900e-02 9.0310e-01 1.0323e-07 2.4586e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.0275e+04 9.1666e-02 9.0833e-01 1.1039e-07 2.7954e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.0475e+04 8.6675e-02 9.1332e-01 1.1803e-07 3.1784e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.0675e+04 8.1924e-02 9.1808e-01 1.2618e-07 3.6136e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.0875e+04 7.7404e-02 9.2260e-01 1.3487e-07 4.1080e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.1075e+04 7.3110e-02 9.2689e-01 1.4412e-07 4.6694e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.1275e+04 6.9032e-02 9.3097e-01 1.5398e-07 5.3068e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.1475e+04 6.5159e-02 9.3484e-01 1.6449e-07 6.0309e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.1675e+04 6.1485e-02 9.3851e-01 1.7570e-07 6.8534e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.1875e+04 5.8007e-02 9.4199e-01 1.8761e-07 7.7858e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.2075e+04 5.4710e-02 9.4529e-01 2.0032e-07 8.8448e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.2275e+04 5.1589e-02 9.4841e-01 2.1384e-07 1.0046e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.2475e+04 4.8638e-02 9.5136e-01 2.2823e-07 1.1408e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.2675e+04 4.5846e-02 9.5415e-01 2.4355e-07 1.2953e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.2875e+04 4.3207e-02 9.5679e-01 2.5986e-07 1.4706e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 4.0714e-02 9.5929e-01 2.7721e-07 1.6691e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.3275e+04 3.8359e-02 9.6164e-01 2.9567e-07 1.8942e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.3475e+04 3.6136e-02 9.6386e-01 3.1532e-07 2.1493e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.3675e+04 3.4038e-02 9.6596e-01 3.3621e-07 2.4383e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.3875e+04 3.2057e-02 9.6794e-01 3.5845e-07 2.7659e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.4075e+04 3.0190e-02 9.6981e-01 3.8209e-07 3.1366e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.4275e+04 2.8426e-02 9.7157e-01 4.0727e-07 3.5573e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.4475e+04 2.6765e-02 9.7323e-01 4.3402e-07 4.0331e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.4675e+04 2.5199e-02 9.7480e-01 4.6250e-07 4.5722e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.4875e+04 2.3721e-02 9.7628e-01 4.9280e-07 5.1831e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5075e+04 2.2328e-02 9.7767e-01 5.2504e-07 5.8751e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5275e+04 2.1015e-02 9.7898e-01 5.5933e-07 6.6585e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5475e+04 1.9779e-02 9.8022e-01 5.9580e-07 7.5458e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5675e+04 1.8613e-02 9.8139e-01 6.3464e-07 8.5513e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5875e+04 1.7514e-02 9.8249e-01 6.7596e-07 9.6904e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.6075e+04 1.6478e-02 9.8352e-01 7.1996e-07 1.0981e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.6275e+04 1.5503e-02 9.8450e-01 7.6677e-07 1.2443e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.6475e+04 1.4584e-02 9.8542e-01 8.1663e-07 1.4101e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.6675e+04 1.3718e-02 9.8628e-01 8.6971e-07 1.5980e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.6875e+04 1.2901e-02 9.8710e-01 9.2626e-07 1.8111e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.7075e+04 1.2132e-02 9.8787e-01 9.8650e-07 2.0527e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.7275e+04 1.1408e-02 9.8859e-01 1.0507e-06 2.3268e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.7475e+04 1.0726e-02 9.8927e-01 1.1191e-06 2.6377e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.7675e+04 1.0083e-02 9.8992e-01 1.1920e-06 2.9906e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.7875e+04 9.4773e-03 9.9052e-01 1.2697e-06 3.3912e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.8075e+04 8.9068e-03 9.9109e-01 1.3526e-06 3.8462e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.8275e+04 8.3697e-03 9.9163e-01 1.4409e-06 4.3627e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.8475e+04 7.8636e-03 9.9213e-01 1.5352e-06 4.9500e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.8675e+04 7.3870e-03 9.9261e-01 1.6358e-06 5.6173e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.8875e+04 6.9385e-03 9.9306e-01 1.7432e-06 6.3756e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.9075e+04 6.5159e-03 9.9348e-01 1.8578e-06 7.2388e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.9275e+04 6.1183e-03 9.9388e-01 1.9801e-06 8.2199e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.9475e+04 5.7440e-03 9.9425e-01 2.1107e-06 9.3365e-29 0.0000e+00 0.0000e+00 0.0000e+00
1.9675e+04 5.3919e-03 9.9461e-01 2.2502e-06 1.0607e-28 0.0000e+00 0.0000e+00 0.0000e+00
1.9875e+04 5.0603e-03 9.9494e-01 2.3992e-06 1.2055e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.0075e+04 4.7484e-03 9.9525e-01 2.5584e-06 1.3703e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.0275e+04 4.4551e-03 9.9554e-01 2.7284e-06 1.5581e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.0475e+04 4.1792e-03 9.9582e-01 2.9102e-06 1.7721e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.0675e+04 3.9198e-03 9.9608e-01 3.1044e-06 2.0160e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.0875e+04 3.6759e-03 9.9632e-01 3.3120e-06 2.2940e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.1075e+04 3.4466e-03 9.9655e-01 3.5340e-06 2.6113e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.1275e+04 3.2311e-03 9.9677e-01 3.7712e-06 2.9730e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.1475e+04 3.0286e-03 9.9697e-01 4.0250e-06 3.3859e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.1675e+04 2.8385e-03 9.9716e-01 4.2963e-06 3.8570e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.1875e+04 2.6599e-03 9.9734e-01 4.5863e-06 4.3945e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.2075e+04 2.4923e-03 9.9750e-01 4.8965e-06 5.0082e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.2275e+04 2.3348e-03 9.9766e-01 5.2283e-06 5.7090e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.2475e+04 2.1871e-03 9.9781e-01 5.5832e-06 6.5094e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.2675e+04 2.0484e-03 9.9795e-01 5.9629e-06 7.4240e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.2875e+04 1.9183e-03 9.9808e-01 6.3689e-06 8.4682e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.3075e+04 1.7962e-03 9.9820e-01 6.8034e-06 9.6619e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.3275e+04 1.6817e-03 9.9831e-01 7.2682e-06 1.1026e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.3475e+04 1.5745e-03 9.9842e-01 7.7651e-06 1.2583e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.3675e+04 1.4738e-03 9.9852e-01 8.2969e-06 1.4365e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.3875e+04 1.3795e-03 9.9861e-01 8.8660e-06 1.6401e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.4075e+04 1.2912e-03 9.9870e-01 9.4737e-06 1.8725e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.4275e+04 1.2084e-03 9.9878e-01 1.0125e-05 2.1386e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.4475e+04 1.1308e-03 9.9886e-01 1.0821e-05 2.4427e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.4675e+04 1.0580e-03 9.9893e-01 1.1567e-05 2.7908e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.4875e+04 9.8996e-04 9.9900e-01 1.2364e-05 3.1885e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.5075e+04 9.2620e-04 9.9906e-01 1.3217e-05 3.6432e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.5275e+04 8.6652e-04 9.9912e-01 1.4129e-05 4.1631e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.5475e+04 8.1060e-04 9.9917e-01 1.5105e-05 4.7582e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.5675e+04 7.5826e-04 9.9923e-01 1.6150e-05 5.4386e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.5875e+04 7.0927e-04 9.9927e-01 1.7267e-05 6.2167e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.6075e+04 6.6341e-04 9.9932e-01 1.8462e-05 7.1069e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.6275e+04 6.2048e-04 9.9936e-01 1.9741e-05 8.1252e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.6475e+04 5.8031e-04 9.9940e-01 2.1109e-05 9.2903e-27 0.0000e+00 0.0000e+00 0.0000e+00
2.6675e+04 5.4271e-04 9.9943e-01 2.2573e-05 1.0623e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.6875e+04 5.0752e-04 9.9947e-01 2.4140e-05 1.2148e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.7075e+04 4.7461e-04 9.9950e-01 2.5815e-05 1.3893e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.7275e+04 4.4380e-04 9.9953e-01 2.7610e-05 1.5891e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.7475e+04 4.1498e-04 9.9956e-01 2.9528e-05 1.8176e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.7675e+04 3.8801e-04 9.9958e-01 3.1582e-05 2.0792e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.7875e+04 3.6278e-04 9.9960e-01 3.3780e-05 2.3786e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.8075e+04 3.3918e-04 9.9962e-01 3.6132e-05 2.7213e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.8275e+04 3.1711e-04 9.9964e-01 3.8649e-05 3.1136e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.8475e+04 2.9645e-04 9.9966e-01 4.1344e-05 3.5628e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.8675e+04 2.7712e-04 9.9968e-01 4.4228e-05 4.0773e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.8875e+04 2.5906e-04 9.9969e-01 4.7314e-05 4.6660e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.9075e+04 2.4215e-04 9.9971e-01 5.0620e-05 5.3406e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.9275e+04 2.2633e-04 9.9972e-01 5.4158e-05 6.1133e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.9475e+04 2.1154e-04 9.9973e-01 5.7945e-05 6.9980e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.9675e+04 1.9771e-04 9.9974e-01 6.2000e-05 8.0116e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.9875e+04 1.8478e-04 9.9975e-01 6.6341e-05 9.1727e-26 0.0000e+00 0.0000e+00 0.0000e+00
3.0075e+04 1.7268e-04 9.9976e-01 7.0990e-05 1.0503e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.0275e+04 1.6137e-04 9.9976e-01 7.5967e-05 1.2027e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.0475e+04 1.5079e-04 9.9977e-01 8.1300e-05 1.3775e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.0675e+04 1.4090e-04 9.9977e-01 8.7006e-05 1.5777e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.0875e+04 1.3165e-04 9.9978e-01 9.3119e-05 1.8072e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.1075e+04 1.2300e-04 9.9978e-01 9.9669e-05 2.0704e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.1275e+04 1.1492e-04 9.9978e-01 1.0668e-04 2.3717e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.1475e+04 1.0736e-04 9.9978e-01 1.1419e-04 2.7176e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.1675e+04 1.0029e-04 9.9978e-01 1.2223e-04 3.1138e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.1875e+04 9.3684e-05 9.9978e-01 1.3086e-04 3.5687e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.2075e+04 8.7514e-05 9.9977e-01 1.4008e-04 4.0895e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.2275e+04 8.1746e-05 9.9977e-01 1.4996e-04 4.6870e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.2475e+04 7.6353e-05 9.9976e-01 1.6055e-04 5.3724e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.2675e+04 7.1310e-05 9.9976e-01 1.7190e-04 6.1589e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.2875e+04 6.6602e-05 9.9975e-01 1.8405e-04 7.0604e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.3075e+04 6.2201e-05 9.9974e-01 1.9707e-04 8.0946e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.3275e+04 5.8088e-05 9.9973e-01 2.1102e-04 9.2811e-25 0.0000e+00 0.0000e+00 0.0000e+00
3.3475e+04 5.4246e-05 9.9972e-01 2.2596e-04 1.0642e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.3675e+04 5.0655e-05 9.9971e-01 2.4198e-04 1.2204e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.3875e+04 4.7300e-05 9.9969e-01 2.5913e-04 1.3996e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.4075e+04 4.4167e-05 9.9968e-01 2.7751e-04 1.6051e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.4275e+04 4.1240e-05 9.9966e-01 2.9719e-04 1.8410e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.4475e+04 3.8506e-05 9.9964e-01 3.1828e-04 2.1116e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.4675e+04 3.5952e-05 9.9962e-01 3.4088e-04 2.4221e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.4875e+04 3.3566e-05 9.9960e-01 3.6509e-04 2.7785e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.5075e+04 3.1338e-05 9.9958e-01 3.9103e-04 3.1874e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.5275e+04 2.9257e-05 9.9955e-01 4.1883e-04 3.6567e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.5475e+04 2.7314e-05 9.9952e-01 4.4860e-04 4.1952e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.5675e+04 2.5498e-05 9.9949e-01 4.8051e-04 4.8133e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.5875e+04 2.3804e-05 9.9946e-01 5.1468e-04 5.5224e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.6075e+04 2.2221e-05 9.9943e-01 5.5130e-04 6.3365e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.6275e+04 2.0743e-05 9.9939e-01 5.9053e-04 7.2707e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.6475e+04 1.9363e-05 9.9935e-01 6.3256e-04 8.3429e-24 0.0000e+00 0.0000e+00 0.0000e+00
3.6675e+04 1.8075e-05 9.9930e-01 6.7760e-04 9.5736e-24 0.0000e+00 0.0000e+00 0.0000e+00
