#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5
1.875e+09 5.631669e-06 9.394168e-01 6.057754e-02 1.853887e-41 8.107727e-98 1.279497e-172
1.925e+09 4.751160e-06 9.296730e-01 7.032227e-02 2.524492e-41 1.295087e-97 2.397443e-172
1.975e+09 3.998011e-06 9.184346e-01 8.156138e-02 3.437473e-41 2.070323e-97 4.499467e-172
2.025e+09 3.354637e-06 9.055095e-01 9.448712e-02 4.679189e-41 3.311408e-97 8.456272e-172
2.075e+09 2.806005e-06 8.907005e-01 1.092967e-01 6.365034e-41 5.297105e-97 1.590745e-171
2.125e+09 2.339007e-06 8.738060e-01 1.261917e-01 8.648977e-41 8.471160e-97 2.993955e-171
2.175e+09 1.942329e-06 8.546309e-01 1.453672e-01 1.173472e-40 1.353701e-96 5.635044e-171
2.225e+09 1.606323e-06 8.330063e-01 1.669921e-01 1.588773e-40 2.160090e-96 1.059756e-170
2.275e+09 1.322468e-06 8.087867e-01 1.912119e-01 2.145430e-40 3.439995e-96 1.990332e-170
2.325e+09 1.083496e-06 7.818827e-01 2.181162e-01 2.887705e-40 5.463383e-96 3.729878e-170
2.375e+09 8.830593e-07 7.522656e-01 2.477335e-01 3.871832e-40 8.647537e-96 6.969355e-170
2.425e+09 7.156274e-07 7.199807e-01 2.800186e-01 5.168580e-40 1.363326e-95 1.297635e-169
2.475e+09 5.764287e-07 6.851670e-01 3.148324e-01 6.865636e-40 2.139569e-95 2.406001e-169
2.525e+09 4.613175e-07 6.480621e-01 3.519374e-01 9.070528e-40 3.340749e-95 4.439962e-169
2.575e+09 3.667546e-07 6.090336e-01 3.909660e-01 1.191119e-39 5.185795e-95 8.147039e-169
2.625e+09 2.895155e-07 5.684840e-01 4.315158e-01 1.554510e-39 8.002661e-95 1.486618e-168
2.675e+09 2.268905e-07 5.269314e-01 4.730684e-01 2.015636e-39 1.227282e-94 2.696503e-168
2.725e+09 1.765008e-07 4.849386e-01 5.150613e-01 2.596267e-39 1.870183e-94 4.861193e-168
2.775e+09 1.362823e-07 4.430931e-01 5.569068e-01 3.321914e-39 2.831643e-94 8.709890e-168
2.825e+09 1.044546e-07 4.019808e-01 5.980191e-01 4.222243e-39 4.260058e-94 1.551001e-167
2.875e+09 7.947974e-08 3.621389e-01 6.378610e-01 5.332063e-39 6.369548e-94 2.745656e-167
2.925e+09 6.004879e-08 3.240388e-01 6.759612e-01 6.692139e-39 9.467868e-94 4.833522e-167
2.975e+09 4.506287e-08 2.880777e-01 7.119223e-01 8.349758e-39 1.399456e-93 8.463867e-167
3.025e+09 3.360403e-08 2.545579e-01 7.454421e-01 1.036000e-38 2.057545e-93 1.474563e-166
3.075e+09 2.490808e-08 2.236563e-01 7.763437e-01 1.278926e-38 3.010793e-93 2.557646e-166
3.125e+09 1.836086e-08 1.954786e-01 8.045214e-01 1.571427e-38 4.386267e-93 4.417943e-166
3.175e+09 1.346680e-08 1.700378e-01 8.299622e-01 1.922603e-38 6.364512e-93 7.602645e-166
3.225e+09 9.833037e-09 1.472760e-01 8.527240e-01 2.343167e-38 9.201153e-93 1.303783e-165
3.275e+09 7.150068e-09 1.270661e-01 8.729339e-01 2.846108e-38 1.326067e-92 2.229481e-165
3.325e+09 5.180144e-09 1.092527e-01 8.907473e-01 3.446635e-38 1.905812e-92 3.802675e-165
3.375e+09 3.740959e-09 9.365320e-02 9.063468e-01 4.162791e-38 2.732240e-92 6.471088e-165
3.425e+09 2.693993e-09 8.006818e-02 9.199318e-01 5.016140e-38 3.908659e-92 1.099031e-164
3.475e+09 1.935194e-09 6.829447e-02 9.317055e-01 6.032401e-38 5.581434e-92 1.863484e-164
3.525e+09 1.387174e-09 5.813579e-02 9.418642e-01 7.241881e-38 7.957169e-92 3.154932e-164
