#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
19875.00 4.2710e-04 6.4937e-01 3.2721e-01 2.2985e-02
20125.00 2.7007e-04 6.2399e-01 3.5117e-01 2.4574e-02
20375.00 3.6677e-04 6.0556e-01 3.6841e-01 2.5669e-02
20625.00 2.8324e-04 6.1045e-01 2.8086e-01 1.0841e-01
20875.00 3.9826e-04 6.2431e-01 3.5058e-01 2.4713e-02
21125.00 4.0557e-04 6.2161e-01 2.9793e-01 8.0052e-02
21375.00 4.6376e-04 5.6939e-01 3.5031e-01 7.9838e-02
21625.00 4.7496e-04 4.6656e-01 4.5101e-01 8.1963e-02
21875.00 4.9107e-04 4.6450e-01 4.5264e-01 8.2365e-02
22125.00 6.4685e-04 4.8387e-01 4.4211e-01 7.3377e-02
22375.00 4.4946e-04 4.4440e-01 4.6465e-01 9.0502e-02
22625.00 4.9518e-04 5.6084e-01 3.5988e-01 7.8780e-02
22875.00 4.5576e-04 4.3939e-01 4.7007e-01 9.0091e-02
23125.00 4.6985e-04 4.2780e-01 4.7613e-01 9.5607e-02
23375.00 4.5216e-04 5.4216e-01 3.6908e-01 8.8309e-02
23625.00 3.9649e-04 5.0282e-01 3.9800e-01 9.8786e-02
23875.00 3.9636e-04 4.8359e-01 4.6073e-01 5.5289e-02
24125.00 2.5955e-04 4.0149e-01 4.9259e-01 1.0566e-01
24375.00 2.2927e-04 3.5684e-01 5.1124e-01 1.3169e-01
24625.00 2.0079e-04 3.5739e-01 5.1139e-01 1.3102e-01
24875.00 2.9625e-04 4.8351e-01 4.4709e-01 6.9104e-02
25125.00 4.5700e-04 4.4644e-01 4.7558e-01 7.7518e-02
25375.00 4.9994e-04 4.0109e-01 4.9917e-01 9.9236e-02
25625.00 3.4205e-04 2.7059e-01 5.9591e-01 1.3315e-01
25875.00 3.5890e-04 4.2185e-01 4.9374e-01 8.4042e-02
26125.00 4.0059e-04 3.7274e-01 5.1098e-01 1.1588e-01
26375.00 3.6689e-04 3.9291e-01 5.0914e-01 9.7578e-02
