#NTIMES:     60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    4.436768E+03    1.2764E-05    7.3903E-01    2.6096E-01    2.7475E-10    6.0584E-24    3.5948E-33
    4.439238E+03    2.3805E-05    8.8982E-01    1.1015E-01    1.5187E-11    2.5478E-24    2.0074E-34
    4.441732E+03    4.1340E-05    9.6178E-01    3.8177E-02    5.8221E-13    8.6444E-25    7.6155E-36
    4.444930E+03    8.1005E-05    9.9156E-01    8.3632E-03    6.2861E-15    1.8335E-25    8.0500E-38
    4.448112E+03    1.5307E-04    9.9810E-01    1.7434E-03    5.9109E-17    3.7333E-26    7.4581E-40
    4.451446E+03    2.7302E-04    9.9937E-01    3.5358E-04    4.6944E-19    7.4180E-27    5.8466E-42
    4.454633E+03    4.1639E-04    9.9949E-01    8.9798E-05    6.3063E-21    1.8330E-27    7.6886E-44
    4.458394E+03    5.8868E-04    9.9939E-01    2.4459E-05    9.2480E-23    4.8077E-28    1.0925E-45
    4.463266E+03    7.9292E-04    9.9920E-01    7.7744E-06    1.1419E-23    1.4612E-28    1.2986E-46
    4.478077E+03    1.3151E-03    9.9868E-01    3.3714E-06    9.9015E-24    6.0966E-29    1.0911E-46
    4.828250E+03    3.0223E-02    9.6978E-01    4.5606E-08    1.1948E-23    1.0306E-30    1.6628E-46
    5.302911E+03    6.1861E-02    9.3814E-01    2.0988E-08    1.5075E-23    6.2021E-31    2.7768E-46
    5.824236E+03    5.7707E-02    9.4229E-01    2.2637E-08    1.9370E-23    8.5785E-31    4.6305E-46
    6.396812E+03    4.9054E-02    9.5095E-01    2.6976E-08    2.4554E-23    1.2870E-30    7.4802E-46
    7.025678E+03    4.0591E-02    9.5941E-01    3.3032E-08    3.0590E-23    1.9503E-30    1.1674E-45
    7.716367E+03    3.2996E-02    9.6700E-01    4.1063E-08    3.7470E-23    2.9527E-30    1.7628E-45
    8.474956E+03    2.6421E-02    9.7358E-01    5.1590E-08    4.5170E-23    4.4512E-30    2.5805E-45
    9.308123E+03    2.0935E-02    9.7906E-01    6.5096E-08    5.3646E-23    6.6474E-30    3.6687E-45
    1.022320E+04    1.6584E-02    9.8342E-01    8.1475E-08    6.2835E-23    9.7232E-30    5.0742E-45
    1.122823E+04    1.3373E-02    9.8663E-01    9.9060E-08    7.2656E-23    1.3654E-29    6.8378E-45
    1.233207E+04    1.1243E-02    9.8876E-01    1.1391E-07    8.3020E-23    1.7933E-29    8.9892E-45
    1.354443E+04    9.9664E-03    9.9003E-01    1.2205E-07    9.3836E-23    2.1712E-29    1.1546E-44
    1.475430E+04    9.2036E-03    9.9080E-01    1.2190E-07    1.0403E-22    2.4029E-29    1.4240E-44
    1.596250E+04    8.4657E-03    9.9153E-01    1.1662E-07    1.1364E-22    2.5084E-29    1.7024E-44
    1.715172E+04    7.5061E-03    9.9249E-01    1.1049E-07    1.2256E-22    2.5589E-29    1.9820E-44
    1.831808E+04    6.3892E-03    9.9361E-01    1.0715E-07    1.3080E-22    2.6442E-29    2.2583E-44
    1.946215E+04    5.3305E-03    9.9467E-01    1.0712E-07    1.3837E-22    2.7932E-29    2.5287E-44
    2.056623E+04    4.5130E-03    9.9549E-01    1.0687E-07    1.4521E-22    2.9226E-29    2.7871E-44
    2.164457E+04    3.9077E-03    9.9609E-01    1.0480E-07    1.5147E-22    2.9892E-29    3.0358E-44
    2.269608E+04    3.4298E-03    9.9657E-01    1.0343E-07    1.5720E-22    3.0620E-29    3.2738E-44
    2.371204E+04    3.0032E-03    9.9700E-01    1.0414E-07    1.6243E-22    3.1860E-29    3.4989E-44
    2.470288E+04    2.6014E-03    9.9740E-01    1.0713E-07    1.6726E-22    3.3747E-29    3.7135E-44
    2.567282E+04    2.2086E-03    9.9779E-01    1.1278E-07    1.7173E-22    3.6476E-29    3.9189E-44
    2.662453E+04    1.8503E-03    9.9815E-01    1.1947E-07    1.7590E-22    3.9575E-29    4.1160E-44
    2.756088E+04    1.5388E-03    9.9846E-01    1.2531E-07    1.7979E-22    4.2427E-29    4.3060E-44
    2.848473E+04    1.2835E-03    9.9872E-01    1.2753E-07    1.8345E-22    4.4059E-29    4.4894E-44
    2.939718E+04    1.0805E-03    9.9892E-01    1.2500E-07    1.8688E-22    4.4000E-29    4.6666E-44
    3.030159E+04    9.2730E-04    9.9907E-01    1.1709E-07    1.9013E-22    4.1944E-29    4.8381E-44
    3.120144E+04    8.1098E-04    9.9919E-01    1.0555E-07    1.9321E-22    3.8435E-29    5.0043E-44
    3.209856E+04    7.2429E-04    9.9928E-01    9.2012E-08    1.9616E-22    3.4025E-29    5.1659E-44
    3.299464E+04    6.5844E-04    9.9934E-01    7.7564E-08    1.9897E-22    2.9101E-29    5.3233E-44
    3.389124E+04    6.0753E-04    9.9939E-01    6.3380E-08    2.0166E-22    2.4106E-29    5.4771E-44
    3.478990E+04    5.6236E-04    9.9944E-01    5.1204E-08    2.0425E-22    1.9728E-29    5.6271E-44
    3.569221E+04    5.1057E-04    9.9949E-01    4.1460E-08    2.0674E-22    1.6171E-29    5.7733E-44
    3.659989E+04    4.5722E-04    9.9954E-01    3.3770E-08    2.0916E-22    1.3326E-29    5.9155E-44
    3.751483E+04    3.9754E-04    9.9960E-01    2.7698E-08    2.1151E-22    1.1053E-29    6.0542E-44
    3.843911E+04    3.5756E-04    9.9964E-01    2.1639E-08    2.1379E-22    8.7288E-30    6.1900E-44
    3.937508E+04    2.9811E-04    9.9970E-01    1.8392E-08    2.1604E-22    7.4965E-30    6.3240E-44
    4.030917E+04    2.5152E-04    9.9975E-01    1.6041E-08    2.1608E-22    6.5339E-30    6.2997E-44
    4.032500E+04    2.5351E-04    9.9975E-01    1.4791E-08    1.0028E-22    2.8855E-30    1.6195E-44
#TIME:     2.001
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.025000E+03    1.0425E-40    3.3529E-30    7.3308E-22    1.0089E-13    1.5007E-06    1.0000E+00
    1.033631E+03    1.0178E-40    3.2867E-30    7.2154E-22    9.9835E-14    1.4922E-06    1.0000E+00
    1.050893E+03    9.9236E-41    3.2216E-30    7.1104E-22    9.8952E-14    1.4858E-06    1.0000E+00
    1.085418E+03    9.8083E-41    3.2019E-30    7.1066E-22    9.9245E-14    1.4908E-06    1.0000E+00
    1.192830E+03    1.0325E-40    3.3923E-30    7.5751E-22    1.0479E-13    1.5468E-06    1.0000E+00
    1.310616E+03    1.1270E-40    3.7145E-30    8.3157E-22    1.1298E-13    1.6255E-06    1.0000E+00
    1.440032E+03    1.2642E-40    4.1706E-30    9.3393E-22    1.2393E-13    1.7263E-06    1.0000E+00
    1.582227E+03    1.4719E-40    4.8428E-30    1.0810E-21    1.3911E-13    1.8589E-06    1.0000E+00
    1.738464E+03    1.8086E-40    5.9012E-30    1.3056E-21    1.6127E-13    2.0405E-06    1.0000E+00
    1.910128E+03    2.4129E-40    7.7341E-30    1.6803E-21    1.9609E-13    2.3037E-06    1.0000E+00
    2.098743E+03    3.6551E-40    1.1334E-29    2.3818E-21    2.5633E-13    2.7129E-06    1.0000E+00
    2.305983E+03    6.7156E-40    1.9675E-29    3.9068E-21    3.7361E-13    3.4037E-06    1.0000E+00
    2.533686E+03    1.6653E-39    4.4397E-29    8.0343E-21    6.4697E-13    4.7197E-06    1.0000E+00
    2.784236E+03    6.6346E-39    1.5189E-28    2.3670E-20    1.4582E-12    7.6286E-06    9.9999E-01
    3.054040E+03    5.4289E-38    9.7986E-28    1.2106E-19    5.0628E-12    1.5828E-05    9.9998E-01
    3.277713E+03    6.2699E-37    8.5694E-27    8.1067E-19    2.1701E-11    3.7037E-05    9.9996E-01
    3.457358E+03    8.9022E-36    9.0242E-26    6.4257E-18    1.0720E-10    9.3819E-05    9.9991E-01
    3.600523E+03    1.4070E-34    1.0499E-24    5.6084E-17    5.7750E-10    2.4909E-04    9.9975E-01
    3.715668E+03    2.3647E-33    1.2973E-23    5.2103E-16    3.2994E-09    6.8202E-04    9.9932E-01
    3.816868E+03    5.3003E-32    2.0856E-22    6.1746E-15    2.3000E-08    2.0875E-03    9.9791E-01
    3.903355E+03    1.4584E-30    4.0581E-21    8.7644E-14    1.8590E-07    6.9277E-03    9.9307E-01
    3.976242E+03    4.6230E-29    9.0351E-20    1.4166E-12    1.6677E-06    2.4220E-02    9.7578E-01
    4.040206E+03    1.8847E-27    2.5368E-18    2.8341E-11    1.7561E-05    9.0576E-02    9.0941E-01
    4.094637E+03    7.7935E-26    7.1653E-17    5.6402E-10    1.7684E-04    3.0318E-01    6.9665E-01
    4.142797E+03    2.7706E-24    1.7013E-15    9.1701E-09    1.3542E-03    6.8774E-01    3.1091E-01
    4.184396E+03    6.9070E-23    2.8113E-14    1.0171E-07    6.6906E-03    9.2061E-01    7.2698E-02
    4.219843E+03    1.5260E-21    4.1304E-13    9.8786E-07    2.7681E-02    9.6031E-01    1.2011E-02
    4.250896E+03    3.7966E-20    6.7673E-12    1.0330E-05    1.1418E-01    8.8432E-01    1.4868E-03
    4.277520E+03    8.1827E-19    9.7209E-11    9.2916E-05    3.8589E-01    6.1390E-01    1.2341E-04
    4.300647E+03    1.0730E-17    8.7222E-10    5.1652E-04    7.7000E-01    2.2948E-01    4.8136E-06
    4.320861E+03    9.4576E-17    5.3691E-09    1.9192E-03    9.5209E-01    4.5990E-02    8.1767E-08
    4.338122E+03    7.4844E-16    2.9833E-08    6.2233E-03    9.8652E-01    7.2564E-03    1.0084E-09
    4.353834E+03    7.6397E-15    2.0310E-07    2.2339E-02    9.7678E-01    8.7603E-04    7.1475E-12
    4.366440E+03    8.4009E-14    1.4874E-06    8.2386E-02    9.1753E-01    8.6834E-05    3.4193E-14
    4.376598E+03    8.3978E-13    1.0132E-05    2.7550E-01    7.2448E-01    6.1125E-06    9.1318E-17
    4.385210E+03    5.7447E-12    4.8186E-05    6.2982E-01    3.7013E-01    2.4359E-07    1.1436E-19
    4.392810E+03    2.5911E-11    1.4751E-04    8.8743E-01    1.1242E-01    5.4290E-09    7.5898E-23
    4.399573E+03    1.0041E-10    3.7173E-04    9.7420E-01    2.5432E-02    8.4527E-11    2.7382E-25
    4.405855E+03    4.1499E-10    9.5440E-04    9.9444E-01    4.6037E-03    8.0382E-13    4.3189E-26
    4.411826E+03    1.9860E-09    2.7127E-03    9.9664E-01    6.4777E-04    3.8209E-15    6.0839E-27
