#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] ca0 ca1 ca2
7.250000e+03 2.985000e-06 2.997000e-01 7.003000e-01
7.750000e+03 3.069000e-06 3.166000e-01 6.834000e-01
8.250000e+03 3.119000e-06 3.289000e-01 6.711000e-01
8.750000e+03 3.130000e-06 3.378000e-01 6.622000e-01
9.250000e+03 3.120000e-06 3.462000e-01 6.538000e-01
9.750000e+03 3.100000e-06 3.528000e-01 6.472000e-01
1.025000e+04 3.068000e-06 3.594000e-01 6.406000e-01
1.075000e+04 3.022000e-06 3.639000e-01 6.361000e-01
1.125000e+04 2.984000e-06 3.693000e-01 6.307000e-01
1.175000e+04 2.914000e-06 3.724000e-01 6.276000e-01
1.225000e+04 2.827000e-06 3.731000e-01 6.269000e-01
1.275000e+04 2.686000e-06 3.679000e-01 6.321000e-01
1.325000e+04 2.551000e-06 3.628000e-01 6.372000e-01
1.375000e+04 2.423000e-06 3.575000e-01 6.425000e-01
1.425000e+04 2.250000e-06 3.457000e-01 6.543000e-01
1.475000e+04 2.102000e-06 3.362000e-01 6.638000e-01
1.525000e+04 2.005000e-06 3.329000e-01 6.671000e-01
1.575000e+04 1.917000e-06 3.322000e-01 6.678000e-01
1.625000e+04 1.827000e-06 3.302000e-01 6.698000e-01
1.675000e+04 1.726000e-06 3.211000e-01 6.789000e-01
1.725000e+04 1.625000e-06 3.086000e-01 6.914000e-01
1.775000e+04 1.538000e-06 2.938000e-01 7.062000e-01
1.825000e+04 1.470000e-06 2.806000e-01 7.194000e-01
1.875000e+04 1.284000e-06 2.642000e-01 7.358000e-01
1.925000e+04 1.363000e-06 2.490000e-01 7.510000e-01
1.975000e+04 1.332000e-06 2.360000e-01 7.640000e-01
#
#TIME: 300
#NVEL: 40
#vel_mid[km/s] ca0 ca1 ca2
2.500000e+02 7.482000e-07 7.094000e-03 9.929000e-01
7.500000e+02 5.301000e-07 8.383000e-03 9.916000e-01
1.250000e+03 4.409000e-06 2.496000e-02 9.750000e-01
1.750000e+03 8.331000e-06 4.094000e-02 9.590000e-01
2.250000e+03 1.250000e-05 5.292000e-02 9.471000e-01
2.750000e+03 1.828000e-05 6.974000e-02 9.302000e-01
3.250000e+03 2.650000e-05 1.184000e-01 8.816000e-01
3.750000e+03 4.020000e-05 3.434000e-01 6.566000e-01
4.250000e+03 6.792000e-05 7.127000e-01 2.873000e-01
4.750000e+03 7.816000e-05 8.181000e-01 1.818000e-01
5.250000e+03 8.671000e-05 8.326000e-01 1.673000e-01
5.750000e+03 9.199000e-05 8.382000e-01 1.617000e-01
6.250000e+03 9.367000e-05 8.395000e-01 1.604000e-01
6.750000e+03 9.306000e-05 8.387000e-01 1.612000e-01
7.250000e+03 9.135000e-05 8.365000e-01 1.634000e-01
7.750000e+03 8.772000e-05 8.320000e-01 1.679000e-01
8.250000e+03 8.379000e-05 8.268000e-01 1.731000e-01
8.750000e+03 7.888000e-05 8.201000e-01 1.799000e-01
9.250000e+03 7.356000e-05 8.107000e-01 1.892000e-01
9.750000e+03 6.866000e-05 8.000000e-01 1.999000e-01
1.025000e+04 6.381000e-05 7.866000e-01 2.133000e-01
1.075000e+04 6.120000e-05 7.765000e-01 2.234000e-01
1.125000e+04 5.855000e-05 7.630000e-01 2.370000e-01
1.175000e+04 5.397000e-05 7.410000e-01 2.590000e-01
1.225000e+04 4.843000e-05 7.148000e-01 2.852000e-01
1.275000e+04 4.330000e-05 6.910000e-01 3.089000e-01
1.325000e+04 3.968000e-05 6.692000e-01 3.307000e-01
1.375000e+04 3.708000e-05 6.486000e-01 3.514000e-01
1.425000e+04 3.435000e-05 6.267000e-01 3.733000e-01
1.475000e+04 3.224000e-05 6.053000e-01 3.946000e-01
1.525000e+04 3.064000e-05 5.849000e-01 4.151000e-01
1.575000e+04 2.880000e-05 5.638000e-01 4.361000e-01
1.625000e+04 2.685000e-05 5.414000e-01 4.586000e-01
1.675000e+04 2.485000e-05 5.178000e-01 4.822000e-01
1.725000e+04 2.282000e-05 4.934000e-01 5.066000e-01
1.775000e+04 2.085000e-05 4.697000e-01 5.303000e-01
1.825000e+04 1.893000e-05 4.461000e-01 5.539000e-01
1.875000e+04 1.701000e-05 4.211000e-01 5.789000e-01
1.925000e+04 1.525000e-05 3.988000e-01 6.011000e-01
1.975000e+04 1.366000e-05 3.783000e-01 6.217000e-01
#
#TIME: 400
#NVEL: 40
#vel_mid[km/s] ca0 ca1 ca2
2.500000e+02 3.272000e-06 2.028000e-02 9.797000e-01
7.500000e+02 3.396000e-06 3.829000e-02 9.617000e-01
1.250000e+03 1.785000e-05 7.693000e-02 9.231000e-01
1.750000e+03 2.091000e-05 8.787000e-02 9.121000e-01
2.250000e+03 2.525000e-05 1.023000e-01 8.977000e-01
