#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
23875.00 8.8053e-04 8.3518e-01 1.4146e-01 2.2482e-02
24125.00 9.6829e-04 8.3718e-01 1.3838e-01 2.3466e-02
24375.00 1.2548e-03 8.3994e-01 1.3498e-01 2.3823e-02
24625.00 1.6248e-03 7.8039e-01 1.7397e-01 4.4011e-02
24875.00 7.3525e-04 8.2455e-01 1.4640e-01 2.8315e-02
25125.00 6.9059e-04 7.9288e-01 1.6721e-01 3.9212e-02
25375.00 5.2576e-04 8.0553e-01 1.5931e-01 3.4634e-02
25625.00 1.2453e-03 7.7971e-01 1.7527e-01 4.3775e-02
25875.00 6.8706e-04 7.8886e-01 1.7004e-01 4.0414e-02
26125.00 9.0640e-04 7.8712e-01 1.7084e-01 4.1141e-02
26375.00 3.0638e-04 7.6721e-01 1.8443e-01 4.8053e-02
26625.00 3.8923e-04 5.9228e-01 3.0240e-01 1.0494e-01
26875.00 1.5356e-03 6.9970e-01 2.2006e-01 7.8703e-02
27125.00 1.4375e-03 6.6112e-01 2.3839e-01 9.9051e-02
27375.00 1.4192e-03 7.1692e-01 2.1803e-01 6.3633e-02
27625.00 5.8429e-04 6.9057e-01 2.3695e-01 7.1887e-02
27875.00 4.9420e-04 6.6732e-01 2.3746e-01 9.4720e-02
28125.00 6.6522e-04 5.7363e-01 3.1436e-01 1.1134e-01
28375.00 1.4955e-03 6.2351e-01 2.6243e-01 1.1257e-01
28625.00 1.8070e-03 6.5544e-01 2.4309e-01 9.9669e-02
28875.00 6.1637e-04 3.1421e-01 4.3261e-01 2.5257e-01
29125.00 3.0554e-04 6.3432e-01 2.5329e-01 1.1208e-01
29375.00 7.8904e-04 5.3216e-01 2.8124e-01 1.8581e-01
29625.00 1.9696e-03 5.3632e-01 2.8101e-01 1.8069e-01
29875.00 1.1560e-03 5.6443e-01 2.9246e-01 1.4196e-01
30125.00 1.5551e-03 5.5457e-01 2.8280e-01 1.6107e-01
30375.00 1.8576e-03 5.6848e-01 2.7952e-01 1.5014e-01
30625.00 1.3407e-03 3.2465e-01 4.2414e-01 2.4987e-01
30875.00 8.0883e-04 4.2255e-01 3.1398e-01 2.6267e-01
31125.00 3.1082e-03 5.0384e-01 3.0109e-01 1.9196e-01
31375.00 6.1799e-04 1.2251e-01 4.3137e-01 4.4551e-01
