#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
2.000000E+04 2.589468E+36 9.746199E+36 1.328931E+37 1.398128E+37
1.992230E+04 2.647840E+36 9.879114E+36 1.344839E+37 1.410352E+37
1.984521E+04 2.698456E+36 1.000372E+37 1.360987E+37 1.421692E+37
1.976871E+04 2.742122E+36 1.012134E+37 1.376519E+37 1.433194E+37
1.969279E+04 2.781503E+36 1.024055E+37 1.392346E+37 1.444955E+37
1.961746E+04 2.813647E+36 1.036288E+37 1.408238E+37 1.466254E+37
1.954270E+04 2.828897E+36 1.049354E+37 1.424109E+37 1.492148E+37
1.946851E+04 2.827771E+36 1.062330E+37 1.446375E+37 1.520127E+37
1.939488E+04 2.813658E+36 1.076215E+37 1.468562E+37 1.548464E+37
1.932180E+04 2.793749E+36 1.091150E+37 1.492175E+37 1.573520E+37
1.924928E+04 2.763194E+36 1.108329E+37 1.514817E+37 1.597024E+37
1.917729E+04 2.717561E+36 1.125662E+37 1.538208E+37 1.619457E+37
1.910585E+04 2.663898E+36 1.143270E+37 1.561839E+37 1.642902E+37
1.903493E+04 2.601243E+36 1.160136E+37 1.584149E+37 1.666658E+37
1.896454E+04 2.535938E+36 1.176813E+37 1.605595E+37 1.688845E+37
1.889466E+04 2.469186E+36 1.192072E+37 1.625883E+37 1.708628E+37
1.882530E+04 2.401398E+36 1.206768E+37 1.644559E+37 1.726223E+37
1.875645E+04 2.332956E+36 1.220880E+37 1.662973E+37 1.742709E+37
1.868810E+04 2.267255E+36 1.234725E+37 1.679621E+37 1.752599E+37
1.862024E+04 2.207763E+36 1.242668E+37 1.679604E+37 1.725609E+37
1.855288E+04 2.169446E+36 1.246167E+37 1.670486E+37 1.682570E+37
1.848600E+04 2.183953E+36 1.247959E+37 1.657581E+37 1.630508E+37
1.841960E+04 2.260414E+36 1.248394E+37 1.645071E+37 1.578039E+37
1.835368E+04 2.341050E+36 1.248109E+37 1.630154E+37 1.519197E+37
1.828822E+04 2.411871E+36 1.246101E+37 1.613395E+37 1.466664E+37
1.822323E+04 2.481797E+36 1.243952E+37 1.598954E+37 1.490698E+37
1.815871E+04 2.590930E+36 1.243698E+37 1.589755E+37 1.575743E+37
1.809463E+04 2.706135E+36 1.243540E+37 1.625776E+37 1.647792E+37
1.803101E+04 2.824676E+36 1.246341E+37 1.687044E+37 1.703077E+37
1.796784E+04 2.938307E+36 1.251891E+37 1.736264E+37 1.744693E+37
1.790510E+04 3.035883E+36 1.279679E+37 1.768410E+37 1.814217E+37
1.784280E+04 3.117437E+36 1.314334E+37 1.803328E+37 1.864232E+37
1.778094E+04 3.187172E+36 1.343188E+37 1.853143E+37 1.896346E+37
1.771950E+04 3.252482E+36 1.366668E+37 1.892743E+37 1.915709E+37
1.765848E+04 3.329424E+36 1.391396E+37 1.925171E+37 1.929114E+37
1.759789E+04 3.405137E+36 1.424684E+37 1.950925E+37 1.940423E+37
1.753771E+04 3.473455E+36 1.453129E+37 1.973249E+37 2.016949E+37
1.747793E+04 3.533154E+36 1.478341E+37 1.995419E+37 2.084928E+37
1.741857E+04 3.584177E+36 1.501021E+37 2.050165E+37 2.141494E+37
1.735960E+04 3.630259E+36 1.522474E+37 2.099601E+37 2.189908E+37
1.730104E+04 3.678115E+36 1.543300E+37 2.142545E+37 2.230447E+37
1.724287E+04 3.721991E+36 1.580302E+37 2.181454E+37 2.264854E+37
1.718508E+04 3.765063E+36 1.613643E+37 2.216220E+37 2.296050E+37
1.712769E+04 3.804053E+36 1.643118E+37 2.248378E+37 2.323593E+37
1.707067E+04 3.841227E+36 1.669557E+37 2.279216E+37 2.350099E+37
1.701404E+04 3.877040E+36 1.692775E+37 2.307627E+37 2.376514E+37
1.695778E+04 3.917031E+36 1.712630E+37 2.331336E+37 2.401151E+37
1.690188E+04 3.957122E+36 1.731462E+37 2.354922E+37 2.426848E+37
1.684636E+04 3.996419E+36 1.749989E+37 2.378379E+37 2.453818E+37
1.679120E+04 4.035410E+36 1.767154E+37 2.398811E+37 2.479081E+37
1.673640E+04 4.073934E+36 1.780176E+37 2.413200E+37 2.502679E+37
1.668196E+04 4.113190E+36 1.788955E+37 2.419336E+37 2.524031E+37
1.662787E+04 4.152924E+36 1.796065E+37 2.423939E+37 2.544618E+37
1.657413E+04 4.193290E+36 1.802733E+37 2.430743E+37 2.566419E+37
1.652073E+04 4.235257E+36 1.810026E+37 2.443424E+37 2.587227E+37
1.646768E+04 4.278547E+36 1.818510E+37 2.458593E+37 2.597685E+37
1.641497E+04 4.322681E+36 1.826279E+37 2.469710E+37 2.604944E+37
1.636260E+04 4.365579E+36 1.834284E+37 2.476615E+37 2.608533E+37
1.631055E+04 4.412469E+36 1.847479E+37 2.492199E+37 2.612200E+37
1.625884E+04 4.459482E+36 1.860416E+37 2.522104E+37 2.613063E+37
1.620746E+04 4.507784E+36 1.872845E+37 2.564721E+37 2.611577E+37
1.615639E+04 4.559584E+36 1.888721E+37 2.598486E+37 2.613210E+37
1.610565E+04 4.609973E+36 1.910876E+37 2.627613E+37 2.649115E+37
1.605523E+04 4.660083E+36 1.949888E+37 2.652406E+37 2.701496E+37
1.600512E+04 4.705936E+36 1.982621E+37 2.685623E+37 2.769751E+37
1.595533E+04 4.747366E+36 2.009728E+37 2.731000E+37 2.833221E+37
1.590584E+04 4.784481E+36 2.033249E+37 2.779393E+37 2.885185E+37
1.585666E+04 4.818473E+36 2.056407E+37 2.825519E+37 2.930731E+37
1.580778E+04 4.852416E+36 2.086196E+37 2.866595E+37 2.970790E+37
1.575920E+04 4.885287E+36 2.115937E+37 2.901971E+37 3.007656E+37
1.571092E+04 4.909893E+36 2.146204E+37 2.934802E+37 3.037218E+37
1.566293E+04 4.926275E+36 2.173175E+37 2.964991E+37 3.065203E+37
1.561524E+04 4.943597E+36 2.198217E+37 2.993698E+37 3.094170E+37
1.556784E+04 4.963260E+36 2.222419E+37 3.020822E+37 3.121692E+37
1.552072E+04 4.985693E+36 2.246147E+37 3.048568E+37 3.149907E+37
1.547389E+04 5.009879E+36 2.268875E+37 3.076848E+37 3.176798E+37
1.542734E+04 5.036284E+36 2.290989E+37 3.104843E+37 3.206784E+37
1.538107E+04 5.061651E+36 2.312376E+37 3.131314E+37 3.235227E+37
1.533507E+04 5.089078E+36 2.334319E+37 3.159422E+37 3.266194E+37
1.528935E+04 5.120883E+36 2.356011E+37 3.187443E+37 3.296476E+37
1.524390E+04 5.148887E+36 2.377473E+37 3.217204E+37 3.322401E+37
1.519872E+04 5.175448E+36 2.398234E+37 3.245515E+37 3.346477E+37
1.515381E+04 5.203616E+36 2.419381E+37 3.275501E+37 3.371811E+37
1.510916E+04 5.235335E+36 2.441115E+37 3.305328E+37 3.397002E+37
1.506478E+04 5.270665E+36 2.463241E+37 3.334927E+37 3.424469E+37
1.502065E+04 5.311138E+36 2.484710E+37 3.365570E+37 3.452817E+37
1.497679E+04 5.353100E+36 2.506085E+37 3.395539E+37 3.483657E+37
1.493317E+04 5.393689E+36 2.528222E+37 3.425191E+37 3.517180E+37
1.488982E+04 5.441334E+36 2.550432E+37 3.454654E+37 3.557955E+37
1.484671E+04 5.510160E+36 2.573542E+37 3.486794E+37 3.595378E+37
