#NTIMES: 50
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
23625.00 1.0646e+03 1.8282e-19 4.8660e+03 3.6042e+03
23875.00 1.0832e+03 1.6770e-19 4.5361e+03 3.3062e+03
24125.00 1.0011e+03 1.5382e-19 4.1848e+03 3.0328e+03
24375.00 1.0032e+03 1.4109e-19 3.8154e+03 2.7820e+03
24625.00 1.0000e+03 1.2942e-19 3.8060e+03 2.5517e+03
24875.00 1.0000e+03 1.1871e-19 3.2862e+03 2.3399e+03
25125.00 1.0000e+03 1.0889e-19 3.1941e+03 2.1464e+03
25375.00 1.0032e+03 9.9881e-20 2.8306e+03 1.9692e+03
25625.00 1.0000e+03 9.1618e-20 2.7143e+03 1.8062e+03
25875.00 1.0000e+03 8.4036e-20 2.4255e+03 1.6568e+03
26125.00 1.0000e+03 7.7085e-20 2.2351e+03 1.5197e+03
26375.00 1.0000e+03 7.0706e-20 2.0801e+03 1.3940e+03
26625.00 1.0000e+03 6.4855e-20 2.3813e+03 1.2786e+03
26875.00 1.0000e+03 5.9489e-20 1.9024e+03 1.1729e+03
27125.00 1.0000e+03 5.4567e-20 1.7886e+03 1.0758e+03
27375.00 1.0000e+03 5.0053e-20 1.6633e+03 9.8676e+02
27625.00 1.0000e+03 4.5912e-20 1.5378e+03 9.0515e+02
27875.00 1.0000e+03 4.2112e-20 1.4088e+03 8.3018e+02
28125.00 1.0000e+03 3.8629e-20 1.3960e+03 7.6159e+02
28375.00 1.0000e+03 3.5431e-20 1.2242e+03 6.9852e+02
28625.00 1.0000e+03 3.2501e-20 1.0656e+03 6.4078e+02
28875.00 1.0000e+03 2.9812e-20 1.2673e+03 5.8769e+02
29125.00 1.0000e+03 2.7345e-20 9.1562e+02 5.3917e+02
29375.00 1.0000e+03 2.5083e-20 9.8586e+02 4.9451e+02
29625.00 1.0000e+03 2.3008e-20 8.7432e+02 4.5360e+02
29875.00 1.0000e+03 2.1104e-20 7.7724e+02 4.1609e+02
30125.00 1.0000e+03 1.9358e-20 7.0698e+02 3.8159e+02
30375.00 1.0130e+03 1.7756e-20 6.2723e+02 3.5003e+02
30625.00 1.0000e+03 1.6287e-20 6.6174e+02 3.2109e+02
30875.00 1.0000e+03 1.4939e-20 6.1553e+02 2.9453e+02
31125.00 1.0676e+03 1.3703e-20 5.1239e+02 2.7015e+02
31375.00 1.0000e+03 1.2570e-20 5.9959e+02 2.4782e+02
31625.00 1.1979e+03 1.1530e-20 4.4372e+02 2.2731e+02
31875.00 1.0258e+03 1.0575e-20 4.7005e+02 2.0849e+02
32125.00 1.0000e+03 9.7005e-21 4.5577e+02 1.9125e+02
32375.00 1.0349e+03 8.8980e-21 4.2759e+02 1.7543e+02
32625.00 1.2475e+03 8.1616e-21 3.1605e+02 1.6091e+02
32875.00 1.4185e+03 7.4865e-21 2.9950e+02 1.4760e+02
33125.00 1.1623e+03 6.8671e-21 3.5427e+02 1.3538e+02
33375.00 1.3678e+03 6.2989e-21 3.1405e+02 1.2418e+02
33625.00 1.9823e+03 5.7776e-21 2.7203e+02 1.1390e+02
33875.00 3.7307e+03 5.2997e-21 2.5117e+02 1.0449e+02
34125.00 3.8759e+03 4.8611e-21 2.4120e+02 9.5840e+01
34375.00 4.7979e+03 4.4589e-21 2.1680e+02 8.7903e+01
34625.00 5.7526e+03 4.0899e-21 2.0299e+02 8.0629e+01
34875.00 5.6379e+03 3.7516e-21 1.8785e+02 7.3965e+01
#TIME: 202.02
#NVEL 140
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1125.00 5.2727e+03 4.1476e-16 8.8254e+06 4.5303e+06
2375.00 5.3448e+03 2.6976e-16 6.0534e+06 3.2965e+06
3125.00 5.0702e+03 2.0827e-16 4.6768e+06 3.1255e+06
3625.00 4.3967e+03 1.7525e-16 3.6445e+06 3.0551e+06
4125.00 3.7928e+03 1.4747e-16 2.7434e+06 2.8454e+06
4625.00 3.4283e+03 1.2409e-16 2.2301e+06 2.4464e+06
4875.00 3.3358e+03 1.1383e-16 1.9267e+06 2.2441e+06
5375.00 3.3261e+03 9.5775e-17 1.5787e+06 1.8882e+06
5625.00 3.2715e+03 8.7853e-17 1.4097e+06 1.7321e+06
6125.00 3.3174e+03 7.3922e-17 1.1673e+06 1.4573e+06
6375.00 3.2148e+03 6.7807e-17 1.0570e+06 1.3368e+06
6625.00 3.2315e+03 6.2197e-17 9.7506e+05 1.2263e+06
6875.00 3.2201e+03 5.7053e-17 8.8612e+05 1.1248e+06
7125.00 3.1421e+03 5.2333e-17 8.0119e+05 1.0318e+06
7625.00 3.2588e+03 4.4033e-17 6.8752e+05 8.6811e+05
7875.00 3.1566e+03 4.0391e-17 6.4662e+05 7.9637e+05
8125.00 3.2226e+03 3.7049e-17 5.8781e+05 7.3043e+05
8375.00 3.1959e+03 3.3984e-17 5.4693e+05 6.7007e+05
8625.00 2.9720e+03 3.1173e-17 5.2322e+05 6.1456e+05
