#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] ca0 ca1 ca2 ca3
23875.00 2.0557e-06 2.9942e-02 6.8644e-01 2.8362e-01
24125.00 1.4236e-06 1.7393e-02 7.0242e-01 2.8018e-01
24375.00 2.4645e-06 2.5406e-02 7.1169e-01 2.6290e-01
24625.00 7.7532e-07 9.0333e-03 4.9478e-01 4.9618e-01
24875.00 7.7910e-07 9.8814e-03 7.0622e-01 2.8390e-01
25125.00 9.1961e-07 1.3625e-02 5.3988e-01 4.4650e-01
25375.00 4.3584e-07 5.9115e-03 6.8488e-01 3.0920e-01
25625.00 1.1398e-06 1.3543e-02 5.4129e-01 4.4517e-01
25875.00 6.1728e-07 8.0771e-03 6.6421e-01 3.2771e-01
26125.00 1.5557e-06 1.7245e-02 6.2498e-01 3.5778e-01
26375.00 1.1269e-06 1.6126e-02 6.3773e-01 3.4614e-01
26625.00 1.3227e-06 1.1521e-02 1.7405e-01 8.1442e-01
26875.00 6.5199e-07 8.6530e-03 4.1354e-01 5.7781e-01
27125.00 8.2878e-07 9.5687e-03 3.3867e-01 6.5176e-01
27375.00 1.3828e-06 1.7942e-02 3.4343e-01 6.3862e-01
27625.00 1.9633e-06 2.1561e-02 2.1912e-01 7.5932e-01
27875.00 5.1677e-07 3.8794e-03 3.9510e-01 6.0102e-01
28125.00 1.3773e-06 1.5662e-02 1.7537e-01 8.0897e-01
28375.00 9.0704e-08 9.4945e-04 2.4650e-01 7.5255e-01
28625.00 5.4976e-07 9.0306e-03 5.3511e-01 4.5586e-01
28875.00 1.9861e-07 2.1809e-03 9.2961e-02 9.0486e-01
