#NTIMES: 4
#NVEL: 521
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
9.025000E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.479777E+03
9.074904E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.488009E+03
9.124808E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.492217E+03
9.174712E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.494765E+03
9.224615E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.499911E+03
9.274519E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.501625E+03
9.324423E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.505223E+03
9.374327E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.506859E+03
9.424231E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.511506E+03
9.474135E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.513665E+03
9.524038E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.516337E+03
9.573942E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.518059E+03
9.623846E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.517631E+03
9.673750E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.521376E+03
9.723654E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.524362E+03
9.773558E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.526162E+03
9.823462E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.527864E+03
9.873365E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.527626E+03
9.923269E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.526272E+03
9.973173E+03 1.000000E-99 1.000000E-99 1.000000E-99 5.527606E+03
1.002308E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.529118E+03
1.007298E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.528528E+03
1.012288E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.534263E+03
1.017279E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.533886E+03
1.022269E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.535672E+03
1.027260E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.539205E+03
1.032250E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.540495E+03
1.037240E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.538321E+03
1.042231E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.539945E+03
1.047221E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.540236E+03
1.052212E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.539921E+03
1.057202E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.539802E+03
1.062192E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.540809E+03
1.067183E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.542559E+03
1.072173E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.545364E+03
1.077163E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.544014E+03
1.082154E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.545319E+03
1.087144E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.543930E+03
1.092135E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.546094E+03
1.097125E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.553063E+03
1.102115E+04 1.000000E-99 1.000000E-99 1.000000E-99 5.554946E+03
1.107106E+04 1.000000E-99 1.000000E-99 5.941051E+03 5.552928E+03
1.112096E+04 1.000000E-99 1.000000E-99 5.943556E+03 5.552987E+03
1.117087E+04 1.000000E-99 1.000000E-99 5.945696E+03 5.557482E+03
1.122077E+04 1.000000E-99 1.000000E-99 5.947964E+03 5.554433E+03
1.127067E+04 1.000000E-99 1.000000E-99 5.950037E+03 5.553857E+03
1.132058E+04 1.000000E-99 1.000000E-99 5.949531E+03 5.552429E+03
1.137048E+04 1.000000E-99 1.000000E-99 5.951385E+03 5.550112E+03
1.142038E+04 1.000000E-99 1.000000E-99 5.949841E+03 5.552986E+03
1.147029E+04 1.000000E-99 1.000000E-99 5.948728E+03 5.554589E+03
1.152019E+04 1.000000E-99 1.000000E-99 5.950343E+03 5.551812E+03
1.157010E+04 1.000000E-99 1.000000E-99 5.955090E+03 5.550609E+03
1.162000E+04 1.000000E-99 1.000000E-99 5.954813E+03 5.551105E+03
1.166990E+04 1.000000E-99 1.000000E-99 5.953880E+03 5.552739E+03
1.171981E+04 1.000000E-99 1.000000E-99 5.958091E+03 5.555054E+03
1.176971E+04 1.000000E-99 1.000000E-99 5.953364E+03 5.553644E+03
1.181962E+04 1.000000E-99 1.000000E-99 5.949922E+03 5.552817E+03
1.186952E+04 1.000000E-99 1.000000E-99 5.948971E+03 5.554531E+03
1.191942E+04 1.000000E-99 1.000000E-99 5.949362E+03 5.553465E+03
1.196933E+04 1.000000E-99 1.000000E-99 5.948073E+03 5.550759E+03
1.201923E+04 1.000000E-99 1.000000E-99 5.949534E+03 5.553527E+03
1.206913E+04 1.000000E-99 1.000000E-99 5.949698E+03 5.554621E+03
1.211904E+04 1.000000E-99 1.000000E-99 5.951550E+03 5.552469E+03
1.216894E+04 1.000000E-99 1.000000E-99 5.949503E+03 5.553762E+03
1.221885E+04 1.000000E-99 1.000000E-99 5.948705E+03 5.553768E+03
1.226875E+04 1.000000E-99 1.000000E-99 5.947805E+03 5.551347E+03
1.231865E+04 1.000000E-99 1.000000E-99 5.948625E+03 5.550653E+03
1.236856E+04 1.000000E-99 1.000000E-99 5.944109E+03 5.552615E+03
1.241846E+04 1.000000E-99 1.000000E-99 5.944896E+03 5.552029E+03
1.246837E+04 1.000000E-99 1.000000E-99 5.944389E+03 5.548165E+03
1.251827E+04 1.000000E-99 1.000000E-99 5.946853E+03 5.549587E+03
1.256817E+04 1.000000E-99 1.000000E-99 5.943826E+03 5.549168E+03
1.261808E+04 1.000000E-99 1.000000E-99 5.942228E+03 5.547135E+03
1.266798E+04 1.000000E-99 1.000000E-99 5.944365E+03 5.546031E+03
1.271788E+04 1.000000E-99 1.000000E-99 5.945066E+03 5.543494E+03
1.276779E+04 1.000000E-99 1.000000E-99 5.942675E+03 5.544328E+03
1.281769E+04 1.000000E-99 1.000000E-99 5.942120E+03 5.543569E+03
1.286760E+04 1.000000E-99 1.000000E-99 5.941326E+03 5.543092E+03
1.291750E+04 1.000000E-99 1.000000E-99 5.939581E+03 5.542424E+03
1.296740E+04 1.000000E-99 1.000000E-99 5.941791E+03 5.544780E+03
1.301731E+04 1.000000E-99 1.000000E-99 5.943269E+03 5.544417E+03
1.306721E+04 1.000000E-99 1.000000E-99 5.940596E+03 5.543034E+03
1.311712E+04 1.000000E-99 1.000000E-99 5.939428E+03 5.542918E+03
1.316702E+04 1.000000E-99 1.000000E-99 5.939792E+03 5.543333E+03
1.321692E+04 1.000000E-99 1.000000E-99 5.941085E+03 5.539527E+03
1.326683E+04 1.000000E-99 1.000000E-99 5.941088E+03 5.538033E+03
1.331673E+04 1.000000E-99 1.000000E-99 5.940691E+03 5.535733E+03
1.336663E+04 1.000000E-99 1.000000E-99 5.937170E+03 5.536563E+03
1.341654E+04 1.000000E-99 1.000000E-99 5.936473E+03 5.536796E+03
1.346644E+04 1.000000E-99 1.000000E-99 5.936766E+03 5.532402E+03
1.351635E+04 1.000000E-99 1.000000E-99 5.935230E+03 5.529571E+03
1.356625E+04 1.000000E-99 1.000000E-99 5.935792E+03 5.527661E+03
1.361615E+04 1.000000E-99 1.000000E-99 5.935968E+03 5.529970E+03
1.366606E+04 1.000000E-99 1.000000E-99 5.931859E+03 5.526076E+03
1.371596E+04 1.000000E-99 1.000000E-99 5.930994E+03 5.524725E+03
1.376587E+04 1.000000E-99 1.000000E-99 5.931851E+03 5.523933E+03
1.381577E+04 1.000000E-99 1.000000E-99 5.934007E+03 5.521634E+03
1.386567E+04 1.000000E-99 1.000000E-99 5.931782E+03 5.521834E+03
1.391558E+04 1.000000E-99 1.000000E-99 5.932422E+03 5.520887E+03
1.396548E+04 1.000000E-99 1.000000E-99 5.929164E+03 5.519177E+03
1.401538E+04 1.000000E-99 1.000000E-99 5.928058E+03 5.516590E+03
1.406529E+04 1.000000E-99 6.038280E+03 5.926745E+03 5.513257E+03
1.411519E+04 1.000000E-99 6.041356E+03 5.921255E+03 5.509835E+03
1.416510E+04 1.000000E-99 6.042945E+03 5.922005E+03 5.508449E+03
1.421500E+04 1.000000E-99 6.043658E+03 5.921829E+03 5.507745E+03
1.426490E+04 1.000000E-99 6.043793E+03 5.923289E+03 5.508421E+03
1.431481E+04 1.000000E-99 6.043309E+03 5.918877E+03 5.506616E+03
1.436471E+04 1.000000E-99 6.044188E+03 5.916014E+03 5.504296E+03
1.441462E+04 1.000000E-99 6.044398E+03 5.913674E+03 5.503029E+03
1.446452E+04 1.000000E-99 6.044055E+03 5.912195E+03 5.502439E+03
1.451442E+04 1.000000E-99 6.040416E+03 5.910720E+03 5.499158E+03
1.456433E+04 1.000000E-99 6.041219E+03 5.909450E+03 5.496943E+03
1.461423E+04 1.000000E-99 6.044168E+03 5.904570E+03 5.494929E+03
1.466413E+04 1.000000E-99 6.041544E+03 5.903674E+03 5.492979E+03
1.471404E+04 1.000000E-99 6.041838E+03 5.899805E+03 5.489779E+03
1.476394E+04 1.000000E-99 6.044911E+03 5.898198E+03 5.488159E+03
1.481385E+04 1.000000E-99 6.042418E+03 5.896017E+03 5.483981E+03
1.486375E+04 1.000000E-99 6.039738E+03 5.893402E+03 5.481404E+03
1.491365E+04 1.000000E-99 6.037333E+03 5.891667E+03 5.482924E+03
1.496356E+04 1.000000E-99 6.036167E+03 5.891169E+03 5.481196E+03
1.501346E+04 1.000000E-99 6.033406E+03 5.891863E+03 5.479094E+03
1.506337E+04 1.000000E-99 6.034413E+03 5.890681E+03 5.479769E+03
1.511327E+04 1.000000E-99 6.036479E+03 5.888882E+03 5.477952E+03
1.516317E+04 1.000000E-99 6.034894E+03 5.884719E+03 5.472785E+03
1.521308E+04 1.000000E-99 6.035299E+03 5.882776E+03 5.470775E+03
1.526298E+04 1.000000E-99 6.033964E+03 5.880744E+03 5.469288E+03
1.531288E+04 1.000000E-99 6.030614E+03 5.880422E+03 5.468314E+03
1.536279E+04 1.000000E-99 6.035863E+03 5.877329E+03 5.464227E+03
1.541269E+04 1.000000E-99 6.033922E+03 5.875912E+03 5.463289E+03
1.546260E+04 1.000000E-99 6.030551E+03 5.872329E+03 5.461672E+03
1.551250E+04 1.000000E-99 6.030801E+03 5.870078E+03 5.460447E+03
1.556240E+04 1.000000E-99 6.030233E+03 5.866946E+03 5.457638E+03
1.561231E+04 1.000000E-99 6.030784E+03 5.866501E+03 5.454683E+03
1.566221E+04 1.000000E-99 6.028943E+03 5.861554E+03 5.452585E+03
1.571212E+04 1.000000E-99 6.028201E+03 5.860562E+03 5.448283E+03
1.576202E+04 1.000000E-99 6.029229E+03 5.858319E+03 5.445840E+03
1.581192E+04 1.000000E-99 6.027138E+03 5.857474E+03 5.446378E+03
1.586183E+04 1.000000E-99 6.024008E+03 5.854204E+03 5.446069E+03
1.591173E+04 1.000000E-99 6.024122E+03 5.852342E+03 5.442869E+03
1.596163E+04 1.000000E-99 6.022648E+03 5.850904E+03 5.442693E+03
1.601154E+04 1.000000E-99 6.020130E+03 5.848143E+03 5.439016E+03
1.606144E+04 1.000000E-99 6.018950E+03 5.847919E+03 5.435148E+03
1.611135E+04 1.000000E-99 6.017560E+03 5.845338E+03 5.434471E+03
1.616125E+04 1.000000E-99 6.014991E+03 5.841841E+03 5.432358E+03
1.621115E+04 1.000000E-99 6.013566E+03 5.839881E+03 5.430915E+03
1.626106E+04 1.000000E-99 6.011044E+03 5.838044E+03 5.429368E+03
1.631096E+04 1.000000E-99 6.010340E+03 5.834557E+03 5.427595E+03
1.636087E+04 1.000000E-99 6.007228E+03 5.831552E+03 5.424841E+03
1.641077E+04 1.000000E-99 6.003063E+03 5.829879E+03 5.421736E+03
1.646067E+04 1.000000E-99 6.004049E+03 5.825677E+03 5.419983E+03
1.651058E+04 1.000000E-99 6.001648E+03 5.822094E+03 5.415302E+03
1.656048E+04 1.000000E-99 5.997557E+03 5.819494E+03 5.411968E+03
1.661038E+04 1.000000E-99 6.000413E+03 5.817445E+03 5.410290E+03
1.666029E+04 1.000000E-99 6.001672E+03 5.816249E+03 5.409851E+03
1.671019E+04 1.000000E-99 5.999790E+03 5.814358E+03 5.408448E+03
1.676010E+04 1.000000E-99 5.995311E+03 5.811649E+03 5.406501E+03
