#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 2.01861554579 2.05619317592 2.09447033414 2.13346004255 2.17317556566 2.21363041491 2.25483835327 2.29681339988 2.3395698349 2.38312220429 2.42748532481 2.47267428903 2.51870447048 2.56559152888 2.61335141547 2.66200037841 2.71155496835 2.76203204402 2.81344877801 2.86582266257 2.91917151557 2.97351348659 3.02886706306 3.08525107656 3.14268470925 3.20118750036 3.26077935286 3.32148054021 3.3833117133 3.44629390742 3.51044854946 3.57579746518 3.64236288663 3.71016745973 3.77923425197 3.84958676024 3.92124891885 3.99424510765 4.06860016035 4.14433937294 4.22148851231 4.30007382501 4.3801220462 4.46166040872 4.54471665236 4.62931903331 4.71549633375 4.80327787168 4.89269351084 4.98377367093 5.07654933791 5.17105207457 5.26731403124 5.36536795678 5.46524720967 5.56698576935 5.67061824786 5.77617990151 5.88370664296 5.99323505339 6.10480239496 6.21844662348 6.33420640135 6.45212111066 6.57223086664 6.69457653128 6.81919972724 6.94614285202 7.07544909235 7.20716243891 7.34132770131 7.4779905233 7.61719739831 7.75899568527 7.90343362473 8.05056035528 8.20042593021 8.35308133461 8.50857850269 8.66697033542 8.82831071856 8.99265454099 9.16005771338 9.33057718718 9.50427097406 9.68119816558 9.86141895334 10.0449946494 10.2319877073 10.422461743 10.6164815568 10.8141131554 11.015423774 11.2204818996 11.4293572942 11.6421210183 11.8588454552 12.0796043358 12.3044727634 12.5335272396 12.7668456898 13.0045074904 13.246593495 13.4931860628 13.7443690858 14.0002280179 14.2608499037 14.526323408 14.7967388466 15.0721882162 15.3527652261 15.6385653301 15.9296857591 16.2262255538 16.5282855986 16.835968656 17.1493794014 17.468624459 17.7938124375 18.1250539677 18.4624617398 18.8061505417 19.1562372982 19.5128411108 19.876083298 20.2460874368 20.6229794046 21.006887422 21.3979420967 21.7962764676 22.2020260503 22.6153288829 23.0363255732 23.4651593468 23.9019760951 24.3469244256 24.8001557121 25.2618241463 25.7320867905 26.2111036304 26.6990376303 27.1960547878 27.702324191 28.2180180755 28.7433118831 29.2783843216 29.8234174257 30.3785966184 30.9441107748 31.5201522858 32.106917124 32.7046049099 33.3134189802 33.9335664566 34.5652583169 35.2087094658 35.8641388091 36.5317693273 37.211828152 37.9045466429 38.6101604666 39.3289096768 40.0610387957 40.8067968979 41.5664376941 42.3402196183 43.1284059154 43.9312647306 44.7490692008 45.5820975476 46.4306331717 47.2949647496 48.1753863315 49.0721974417 49.9857031802 50.9162143267 51.8640474459 52.829524996 53.8129754377 54.8147333461 55.8351395246 56.8745411212 57.9332917457 59.011751591 60.1102875549 61.2292733654 62.3690897074 63.5301243528 64.7127722917 65.9174358675 67.1445249133 68.3944568914 69.6676570355 70.9645584951 72.2856024833 73.6312384263 75.0019241168 76.3981258696 77.82031868 79.2689863858
#
#TIME: 2.01861554579
#NVEL: 202
#vel_mid[km/s] temp[K] ne[/cm^3] ar0 ar1 ar2 ar3 ar4 ar5
1.8675e+04 5.0417e+03 1.7305e+10 9.9997e-01 2.5718e-05 1.3864e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.8875e+04 5.0559e+03 1.6247e+10 9.9997e-01 2.7392e-05 1.5729e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.9075e+04 5.0460e+03 1.5251e+10 9.9997e-01 2.9182e-05 1.7851e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.9275e+04 5.0574e+03 1.4314e+10 9.9997e-01 3.1090e-05 2.0262e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.9475e+04 5.0541e+03 1.3434e+10 9.9997e-01 3.3128e-05 2.3006e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.9675e+04 5.0461e+03 1.2606e+10 9.9996e-01 3.5305e-05 2.6128e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.9875e+04 5.0427e+03 1.1826e+10 9.9996e-01 3.7631e-05 2.9684e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.0075e+04 5.0597e+03 1.1094e+10 9.9996e-01 4.0114e-05 3.3732e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.0275e+04 5.0542e+03 1.0406e+10 9.9996e-01 4.2768e-05 3.8342e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.0475e+04 5.0476e+03 9.7586e+09 9.9995e-01 4.5604e-05 4.3596e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.0675e+04 5.0599e+03 9.1505e+09 9.9995e-01 4.8635e-05 4.9583e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.0875e+04 5.0532e+03 8.5791e+09 9.9995e-01 5.1874e-05 5.6409e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.1075e+04 5.0458e+03 8.0420e+09 9.9994e-01 5.5338e-05 6.4194e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.1275e+04 5.0614e+03 7.5377e+09 9.9994e-01 5.9040e-05 7.3070e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.1475e+04 5.0511e+03 7.0639e+09 9.9994e-01 6.3000e-05 8.3202e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.1675e+04 5.0556e+03 6.6191e+09 9.9993e-01 6.7233e-05 9.4760e-21 0.0000e+00 0.0000e+00 0.0000e+00
2.1875e+04 5.0491e+03 6.2016e+09 9.9993e-01 7.1758e-05 1.0794e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.2075e+04 5.0480e+03 5.8098e+09 9.9992e-01 7.6598e-05 1.2300e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.2275e+04 5.0494e+03 5.4419e+09 9.9992e-01 8.1775e-05 1.4019e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.2475e+04 5.0482e+03 5.0967e+09 9.9991e-01 8.7313e-05 1.5982e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.2675e+04 5.0625e+03 4.7728e+09 9.9991e-01 9.3238e-05 1.8224e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.2875e+04 5.0706e+03 4.4692e+09 9.9990e-01 9.9573e-05 2.0785e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.3075e+04 5.0394e+03 4.1843e+09 9.9989e-01 1.0635e-04 2.3712e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.3275e+04 5.0432e+03 3.9171e+09 9.9989e-01 1.1360e-04 2.7056e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.3475e+04 5.0630e+03 3.6669e+09 9.9988e-01 1.2136e-04 3.0875e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.3675e+04 5.0566e+03 3.4322e+09 9.9987e-01 1.2965e-04 3.5241e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.3875e+04 5.0319e+03 3.2122e+09 9.9986e-01 1.3853e-04 4.0234e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.4075e+04 5.0389e+03 3.0064e+09 9.9985e-01 1.4801e-04 4.5930e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.4275e+04 5.0465e+03 2.8133e+09 9.9984e-01 1.5817e-04 5.2451e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.4475e+04 5.0440e+03 2.6324e+09 9.9983e-01 1.6904e-04 5.9904e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.4675e+04 5.0314e+03 2.4629e+09 9.9982e-01 1.8067e-04 6.8435e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.4875e+04 5.0459e+03 2.3043e+09 9.9981e-01 1.9311e-04 7.8181e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.5075e+04 5.0127e+03 2.1557e+09 9.9979e-01 2.0641e-04 8.9325e-20 0.0000e+00 0.0000e+00 0.0000e+00
2.5275e+04 5.0204e+03 2.0167e+09 9.9978e-01 2.2064e-04 1.0206e-19 0.0000e+00 0.0000e+00 0.0000e+00
2.5475e+04 5.0401e+03 1.8864e+09 9.9976e-01 2.3587e-04 1.1664e-19 0.0000e+00 0.0000e+00 0.0000e+00
2.5675e+04 5.0224e+03 1.7645e+09 9.9975e-01 2.5216e-04 1.3331e-19 0.0000e+00 0.0000e+00 0.0000e+00
2.5875e+04 5.0121e+03 1.6505e+09 9.9973e-01 2.6958e-04 1.5238e-19 0.0000e+00 0.0000e+00 0.0000e+00
2.6075e+04 5.0050e+03 1.5437e+09 9.9971e-01 2.8823e-04 1.7419e-19 0.0000e+00 0.0000e+00 0.0000e+00
2.6275e+04 5.0073e+03 1.4437e+09 9.9969e-01 3.0817e-04 1.9913e-19 0.0000e+00 0.0000e+00 0.0000e+00
