#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 2.01861554579 2.05619317592 2.09447033414 2.13346004255 2.17317556566 2.21363041491 2.25483835327 2.29681339988 2.3395698349 2.38312220429 2.42748532481 2.47267428903 2.51870447048 2.56559152888 2.61335141547 2.66200037841 2.71155496835 2.76203204402 2.81344877801 2.86582266257 2.91917151557 2.97351348659 3.02886706306 3.08525107656 3.14268470925 3.20118750036 3.26077935286 3.32148054021 3.3833117133 3.44629390742 3.51044854946 3.57579746518 3.64236288663 3.71016745973 3.77923425197 3.84958676024 3.92124891885 3.99424510765 4.06860016035 4.14433937294 4.22148851231 4.30007382501 4.3801220462 4.46166040872 4.54471665236 4.62931903331 4.71549633375 4.80327787168 4.89269351084 4.98377367093 5.07654933791 5.17105207457 5.26731403124 5.36536795678 5.46524720967 5.56698576935 5.67061824786 5.77617990151 5.88370664296 5.99323505339 6.10480239496 6.21844662348 6.33420640135 6.45212111066 6.57223086664 6.69457653128 6.81919972724 6.94614285202 7.07544909235 7.20716243891 7.34132770131 7.4779905233 7.61719739831 7.75899568527 7.90343362473 8.05056035528 8.20042593021 8.35308133461 8.50857850269 8.66697033542 8.82831071856 8.99265454099 9.16005771338 9.33057718718 9.50427097406 9.68119816558 9.86141895334 10.0449946494 10.2319877073 10.422461743 10.6164815568 10.8141131554 11.015423774 11.2204818996 11.4293572942 11.6421210183 11.8588454552 12.0796043358 12.3044727634 12.5335272396 12.7668456898 13.0045074904 13.246593495 13.4931860628 13.7443690858 14.0002280179 14.2608499037 14.526323408 14.7967388466 15.0721882162 15.3527652261 15.6385653301 15.9296857591 16.2262255538 16.5282855986 16.835968656 17.1493794014 17.468624459 17.7938124375 18.1250539677 18.4624617398 18.8061505417 19.1562372982 19.5128411108 19.876083298 20.2460874368 20.6229794046 21.006887422 21.3979420967 21.7962764676 22.2020260503 22.6153288829 23.0363255732 23.4651593468 23.9019760951 24.3469244256 24.8001557121 25.2618241463 25.7320867905 26.2111036304 26.6990376303 27.1960547878 27.702324191 28.2180180755 28.7433118831 29.2783843216 29.8234174257 30.3785966184 30.9441107748 31.5201522858 32.106917124 32.7046049099 33.3134189802 33.9335664566 34.5652583169 35.2087094658 35.8641388091 36.5317693273 37.211828152 37.9045466429 38.6101604666 39.3289096768 40.0610387957 40.8067968979 41.5664376941 42.3402196183 43.1284059154 43.9312647306 44.7490692008 45.5820975476 46.4306331717 47.2949647496 48.1753863315 49.0721974417 49.9857031802 50.9162143267 51.8640474459 52.829524996 53.8129754377 54.8147333461 55.8351395246 56.8745411212 57.9332917457 59.011751591 60.1102875549 61.2292733654 62.3690897074 63.5301243528 64.7127722917 65.9174358675 67.1445249133 68.3944568914 69.6676570355 70.9645584951 72.2856024833 73.6312384263 75.0019241168 76.3981258696 77.82031868 79.2689863858
#
#TIME: 2.01861554579
#NVEL: 202
#vel_mid[km/s] temp[K] ne[/cm^3] ar0 ar1 ar2 ar3 ar4 ar5
4.0750e+03 4.2467e+04 1.3019e+13 1.8755e-21 2.6540e-14 8.6584e-08 3.3424e-03 7.6827e-01 2.2839e-01
4.2750e+03 2.6935e+04 1.0181e+13 3.0115e-13 6.1567e-07 3.1672e-02 9.5740e-01 1.0931e-02 1.3695e-08
4.4750e+03 8.1948e+03 2.5149e+12 9.9910e-01 8.9744e-04 8.1250e-16 5.0613e-39 0.0000e+00 0.0000e+00
4.6750e+03 5.2107e+03 1.1918e+12 1.0000e+00 3.7342e-07 2.9229e-25 0.0000e+00 0.0000e+00 0.0000e+00
4.8750e+03 5.1383e+03 1.1294e+12 1.0000e+00 3.9406e-07 3.2550e-25 0.0000e+00 0.0000e+00 0.0000e+00
5.0750e+03 5.1324e+03 1.0699e+12 1.0000e+00 4.1598e-07 3.6272e-25 0.0000e+00 0.0000e+00 0.0000e+00
5.2750e+03 5.1261e+03 1.0132e+12 1.0000e+00 4.3927e-07 4.0448e-25 0.0000e+00 0.0000e+00 0.0000e+00
5.4750e+03 5.1209e+03 9.5910e+11 1.0000e+00 4.6403e-07 4.5135e-25 0.0000e+00 0.0000e+00 0.0000e+00
5.6750e+03 5.1139e+03 9.0763e+11 1.0000e+00 4.9035e-07 5.0400e-25 0.0000e+00 0.0000e+00 0.0000e+00
5.8750e+03 5.1117e+03 8.5860e+11 1.0000e+00 5.1835e-07 5.6321e-25 0.0000e+00 0.0000e+00 0.0000e+00
6.0750e+03 5.1066e+03 8.1196e+11 1.0000e+00 5.4812e-07 6.2977e-25 0.0000e+00 0.0000e+00 0.0000e+00
6.2750e+03 5.1062e+03 7.6758e+11 1.0000e+00 5.7981e-07 7.0470e-25 0.0000e+00 0.0000e+00 0.0000e+00
6.4750e+03 5.0950e+03 7.2538e+11 1.0000e+00 6.1354e-07 7.8907e-25 0.0000e+00 0.0000e+00 0.0000e+00
6.6750e+03 5.0952e+03 6.8526e+11 1.0000e+00 6.4946e-07 8.8416e-25 0.0000e+00 0.0000e+00 0.0000e+00
6.8750e+03 5.0953e+03 6.4716e+11 1.0000e+00 6.8770e-07 9.9134e-25 0.0000e+00 0.0000e+00 0.0000e+00
7.0750e+03 5.0868e+03 6.1098e+11 1.0000e+00 7.2843e-07 1.1122e-24 0.0000e+00 0.0000e+00 0.0000e+00
7.2750e+03 5.0828e+03 5.7663e+11 1.0000e+00 7.7182e-07 1.2487e-24 0.0000e+00 0.0000e+00 0.0000e+00
7.4750e+03 5.0821e+03 5.4404e+11 1.0000e+00 8.1805e-07 1.4028e-24 0.0000e+00 0.0000e+00 0.0000e+00
7.6750e+03 5.0750e+03 5.1315e+11 1.0000e+00 8.6729e-07 1.5767e-24 0.0000e+00 0.0000e+00 0.0000e+00
7.8750e+03 5.0750e+03 4.8386e+11 1.0000e+00 9.1980e-07 1.7734e-24 0.0000e+00 0.0000e+00 0.0000e+00
8.0750e+03 5.0718e+03 4.5612e+11 1.0000e+00 9.7574e-07 1.9957e-24 0.0000e+00 0.0000e+00 0.0000e+00
8.2750e+03 5.0825e+03 4.2985e+11 1.0000e+00 1.0354e-06 2.2471e-24 0.0000e+00 0.0000e+00 0.0000e+00
8.4750e+03 5.0628e+03 4.0499e+11 1.0000e+00 1.0989e-06 2.5314e-24 0.0000e+00 0.0000e+00 0.0000e+00
8.6750e+03 5.0646e+03 3.8147e+11 1.0000e+00 1.1667e-06 2.8532e-24 0.0000e+00 0.0000e+00 0.0000e+00
8.8750e+03 5.0632e+03 3.5924e+11 1.0000e+00 1.2389e-06 3.2172e-24 0.0000e+00 0.0000e+00 0.0000e+00
9.0750e+03 5.0627e+03 3.3822e+11 1.0000e+00 1.3159e-06 3.6296e-24 0.0000e+00 0.0000e+00 0.0000e+00
9.2750e+03 5.0574e+03 3.1837e+11 1.0000e+00 1.3979e-06 4.0962e-24 0.0000e+00 0.0000e+00 0.0000e+00
9.4750e+03 5.0675e+03 2.9963e+11 1.0000e+00 1.4854e-06 4.6247e-24 0.0000e+00 0.0000e+00 0.0000e+00
9.6750e+03 5.0481e+03 2.8193e+11 1.0000e+00 1.5786e-06 5.2234e-24 0.0000e+00 0.0000e+00 0.0000e+00
9.8750e+03 5.0568e+03 2.6524e+11 1.0000e+00 1.6779e-06 5.9016e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.0075e+04 5.0480e+03 2.4950e+11 1.0000e+00 1.7838e-06 6.6699e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.0275e+04 5.0522e+03 2.3466e+11 1.0000e+00 1.8966e-06 7.5399e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.0475e+04 5.0561e+03 2.2067e+11 1.0000e+00 2.0168e-06 8.5261e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.0675e+04 5.0510e+03 2.0750e+11 1.0000e+00 2.1449e-06 9.6432e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.0875e+04 5.0485e+03 1.9509e+11 1.0000e+00 2.2813e-06 1.0909e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.1075e+04 5.0361e+03 1.8341e+11 1.0000e+00 2.4265e-06 1.2342e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.1275e+04 5.0411e+03 1.7242e+11 1.0000e+00 2.5812e-06 1.3966e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.1475e+04 5.0364e+03 1.6208e+11 1.0000e+00 2.7460e-06 1.5806e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.1675e+04 5.0493e+03 1.5234e+11 1.0000e+00 2.9215e-06 1.7891e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.1875e+04 5.0414e+03 1.4319e+11 1.0000e+00 3.1081e-06 2.0250e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.2075e+04 5.0434e+03 1.3458e+11 1.0000e+00 3.3070e-06 2.2924e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.2275e+04 5.0353e+03 1.2649e+11 1.0000e+00 3.5186e-06 2.5952e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.2475e+04 5.0255e+03 1.1888e+11 1.0000e+00 3.7437e-06 2.9378e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.2675e+04 5.0286e+03 1.1173e+11 1.0000e+00 3.9833e-06 3.3260e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.2875e+04 5.0419e+03 1.0500e+11 1.0000e+00 4.2384e-06 3.7655e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 5.0346e+03 9.8690e+10 1.0000e+00 4.5096e-06 4.2628e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.3275e+04 5.0342e+03 9.2753e+10 1.0000e+00 4.7982e-06 4.8260e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.3475e+04 5.0286e+03 8.7176e+10 9.9999e-01 5.1052e-06 5.4632e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.3675e+04 5.0257e+03 8.1937e+10 9.9999e-01 5.4316e-06 6.1842e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.3875e+04 5.0347e+03 7.7010e+10 9.9999e-01 5.7791e-06 7.0009e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.4075e+04 5.0307e+03 7.2386e+10 9.9999e-01 6.1483e-06 7.9238e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.4275e+04 5.0245e+03 6.8033e+10 9.9999e-01 6.5417e-06 8.9703e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.4475e+04 5.0256e+03 6.3949e+10 9.9999e-01 6.9595e-06 1.0153e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.4675e+04 5.0340e+03 6.0109e+10 9.9999e-01 7.4041e-06 1.1491e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.4875e+04 5.0337e+03 5.6498e+10 9.9999e-01 7.8772e-06 1.3007e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.5075e+04 5.0357e+03 5.3104e+10 9.9999e-01 8.3806e-06 1.4722e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.5275e+04 5.0233e+03 4.9916e+10 9.9999e-01 8.9159e-06 1.6663e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.5475e+04 5.0272e+03 4.6919e+10 9.9999e-01 9.4854e-06 1.8860e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.5675e+04 5.0233e+03 4.4101e+10 9.9999e-01 1.0092e-05 2.1348e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.5875e+04 5.0287e+03 4.1451e+10 9.9999e-01 1.0737e-05 2.4164e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6075e+04 5.0327e+03 3.8959e+10 9.9999e-01 1.1424e-05 2.7354e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6275e+04 5.0359e+03 3.6617e+10 9.9999e-01 1.2154e-05 3.0966e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6475e+04 5.0386e+03 3.4413e+10 9.9999e-01 1.2932e-05 3.5058e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6675e+04 5.0251e+03 3.2341e+10 9.9999e-01 1.3761e-05 3.9695e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.6875e+04 5.0374e+03 3.0392e+10 9.9999e-01 1.4644e-05 4.4950e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.7075e+04 5.0402e+03 2.8558e+10 9.9998e-01 1.5584e-05 5.0908e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.7275e+04 5.0400e+03 2.6833e+10 9.9998e-01 1.6586e-05 5.7663e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.7475e+04 5.0396e+03 2.5211e+10 9.9998e-01 1.7653e-05 6.5324e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.7675e+04 5.0433e+03 2.3685e+10 9.9998e-01 1.8791e-05 7.4013e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.7875e+04 5.0367e+03 2.2248e+10 9.9998e-01 2.0004e-05 8.3878e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.8075e+04 5.0549e+03 2.0897e+10 9.9998e-01 2.1297e-05 9.5075e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.8275e+04 5.0466e+03 1.9626e+10 9.9998e-01 2.2676e-05 1.0779e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.8475e+04 5.0387e+03 1.8430e+10 9.9998e-01 2.4148e-05 1.2223e-21 0.0000e+00 0.0000e+00 0.0000e+00
