#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
7.750000e+03 1.625000e-04 9.084000e-01 9.145000e-02
8.250000e+03 1.653000e-04 9.053000e-01 9.455000e-02
8.750000e+03 1.652000e-04 9.019000e-01 9.795000e-02
9.250000e+03 1.701000e-04 8.969000e-01 1.029000e-01
9.750000e+03 1.743000e-04 8.920000e-01 1.078000e-01
1.025000e+04 1.815000e-04 8.861000e-01 1.137000e-01
1.075000e+04 1.858000e-04 8.782000e-01 1.216000e-01
1.125000e+04 1.939000e-04 8.706000e-01 1.293000e-01
1.175000e+04 2.016000e-04 8.620000e-01 1.378000e-01
1.225000e+04 2.112000e-04 8.525000e-01 1.473000e-01
1.275000e+04 2.212000e-04 8.419000e-01 1.579000e-01
1.325000e+04 2.308000e-04 8.295000e-01 1.703000e-01
1.375000e+04 2.434000e-04 8.170000e-01 1.827000e-01
1.425000e+04 2.498000e-04 8.023000e-01 1.974000e-01
1.475000e+04 2.640000e-04 7.867000e-01 2.130000e-01
1.525000e+04 2.749000e-04 7.703000e-01 2.294000e-01
1.575000e+04 2.867000e-04 7.524000e-01 2.473000e-01
1.625000e+04 2.987000e-04 7.335000e-01 2.662000e-01
1.675000e+04 3.093000e-04 7.122000e-01 2.875000e-01
1.725000e+04 3.170000e-04 6.899000e-01 3.097000e-01
1.775000e+04 3.196000e-04 6.657000e-01 3.340000e-01
1.825000e+04 3.255000e-04 6.403000e-01 3.594000e-01
1.875000e+04 3.191000e-04 6.125000e-01 3.872000e-01
1.925000e+04 3.204000e-04 5.833000e-01 4.163000e-01
1.975000e+04 3.437000e-04 5.556000e-01 4.441000e-01
#
#TIME: 300
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
2.500000e+02 7.123000e-05 4.666000e-01 5.333000e-01
7.500000e+02 6.464000e-05 4.335000e-01 5.665000e-01
1.250000e+03 7.796000e-05 5.243000e-01 4.757000e-01
1.750000e+03 7.830000e-05 5.137000e-01 4.862000e-01
2.250000e+03 8.712000e-05 5.429000e-01 4.571000e-01
2.750000e+03 1.094000e-04 6.138000e-01 3.860000e-01
3.250000e+03 1.626000e-04 7.161000e-01 2.837000e-01
3.750000e+03 3.354000e-04 8.321000e-01 1.676000e-01
4.250000e+03 1.287000e-03 9.175000e-01 8.120000e-02
4.750000e+03 7.730000e-03 9.307000e-01 6.159000e-02
5.250000e+03 2.049000e-02 9.210000e-01 5.849000e-02
5.750000e+03 3.186000e-02 9.120000e-01 5.611000e-02
6.250000e+03 3.833000e-02 9.064000e-01 5.531000e-02
6.750000e+03 4.059000e-02 9.041000e-01 5.531000e-02
7.250000e+03 3.928000e-02 9.042000e-01 5.650000e-02
7.750000e+03 3.501000e-02 9.067000e-01 5.830000e-02
8.250000e+03 2.967000e-02 9.096000e-01 6.069000e-02
8.750000e+03 2.352000e-02 9.130000e-01 6.345000e-02
9.250000e+03 1.658000e-02 9.165000e-01 6.694000e-02
9.750000e+03 1.095000e-02 9.184000e-01 7.061000e-02
1.025000e+04 8.139000e-03 9.166000e-01 7.523000e-02
1.075000e+04 9.622000e-03 9.102000e-01 8.015000e-02
1.125000e+04 7.825000e-03 9.068000e-01 8.538000e-02
1.175000e+04 4.040000e-03 9.048000e-01 9.120000e-02
1.225000e+04 2.432000e-03 8.996000e-01 9.799000e-02
1.275000e+04 1.853000e-03 8.928000e-01 1.054000e-01
1.325000e+04 1.616000e-03 8.848000e-01 1.136000e-01
1.375000e+04 1.511000e-03 8.761000e-01 1.224000e-01
1.425000e+04 1.428000e-03 8.658000e-01 1.327000e-01
1.475000e+04 1.395000e-03 8.551000e-01 1.435000e-01
1.525000e+04 1.405000e-03 8.439000e-01 1.547000e-01
1.575000e+04 1.404000e-03 8.309000e-01 1.677000e-01
1.625000e+04 1.412000e-03 8.170000e-01 1.816000e-01
1.675000e+04 1.430000e-03 8.015000e-01 1.971000e-01
1.725000e+04 1.426000e-03 7.844000e-01 2.142000e-01
1.775000e+04 1.435000e-03 7.670000e-01 2.315000e-01
1.825000e+04 1.440000e-03 7.481000e-01 2.504000e-01
1.875000e+04 1.432000e-03 7.274000e-01 2.712000e-01
1.925000e+04 1.458000e-03 7.057000e-01 2.928000e-01
1.975000e+04 1.650000e-03 6.825000e-01 3.158000e-01
#
#TIME: 400
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
2.500000e+02 1.473000e-04 5.493000e-01 4.506000e-01
7.500000e+02 1.257000e-04 5.142000e-01 4.857000e-01
1.250000e+03 1.377000e-04 5.964000e-01 4.035000e-01
1.750000e+03 1.354000e-04 5.823000e-01 4.175000e-01
2.250000e+03 1.529000e-04 6.042000e-01 3.956000e-01
2.750000e+03 2.039000e-04 6.687000e-01 3.311000e-01
3.250000e+03 3.253000e-04 7.638000e-01 2.358000e-01
3.750000e+03 7.481000e-04 8.683000e-01 1.309000e-01
4.250000e+03 5.874000e-02 8.906000e-01 5.066000e-02
4.750000e+03 2.247000e-01 7.439000e-01 3.139000e-02
5.250000e+03 2.499000e-01 7.203000e-01 2.983000e-02
5.750000e+03 2.642000e-01 7.071000e-01 2.874000e-02
6.250000e+03 2.696000e-01 7.019000e-01 2.845000e-02
6.750000e+03 2.738000e-01 6.979000e-01 2.828000e-02
7.250000e+03 2.725000e-01 6.988000e-01 2.872000e-02
7.750000e+03 2.711000e-01 6.997000e-01 2.918000e-02
8.250000e+03 2.701000e-01 7.003000e-01 2.963000e-02
8.750000e+03 2.712000e-01 6.989000e-01 3.000000e-02
9.250000e+03 2.857000e-01 6.852000e-01 2.907000e-02
9.750000e+03 4.782000e-01 5.030000e-01 1.880000e-02
1.025000e+04 4.930000e-01 4.888000e-01 1.826000e-02
1.075000e+04 5.005000e-01 4.813000e-01 1.814000e-02
1.125000e+04 5.054000e-01 4.765000e-01 1.813000e-02
1.175000e+04 5.061000e-01 4.755000e-01 1.835000e-02
1.225000e+04 5.028000e-01 4.783000e-01 1.895000e-02
1.275000e+04 4.971000e-01 4.833000e-01 1.964000e-02
1.325000e+04 4.884000e-01 4.911000e-01 2.053000e-02
