#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    3.013295E+04   1.0000E-099   9.9835E-001   1.6508E-003   1.7531E-052
    3.094669E+04   1.0000E-099   9.9831E-001   1.6944E-003   1.7805E-052
    3.176516E+04   1.0000E-099   9.9852E-001   1.4850E-003   1.8020E-052
    3.259805E+04   1.0000E-099   9.9868E-001   1.3201E-003   1.7852E-052
    3.345740E+04   1.0000E-099   9.9881E-001   1.1887E-003   1.7557E-052
    3.438030E+04   1.0000E-099   9.9907E-001   9.3296E-004   1.7378E-052
    3.533529E+04   1.0000E-099   9.9921E-001   7.9270E-004   1.7042E-052
    3.634323E+04   1.0000E-099   9.9936E-001   6.3736E-004   1.6973E-052
    3.736894E+04   1.0000E-099   9.9948E-001   5.1822E-004   1.6820E-052
    3.839518E+04   1.0000E-099   9.9958E-001   4.2417E-004   1.6705E-052
    3.939114E+04   1.0000E-099   9.9966E-001   3.4036E-004   1.6727E-052
    4.037465E+04   1.0000E-099   9.9973E-001   2.7097E-004   1.6797E-052
    4.133441E+04   1.0000E-099   9.9978E-001   2.2126E-004   1.6825E-052
    4.215976E+04   1.0000E-099   9.9981E-001   1.9011E-004   1.6819E-052
    4.290657E+04   1.0000E-099   9.9983E-001   1.6753E-004   1.6821E-052
    4.365819E+04   1.0000E-099   9.9985E-001   1.4846E-004   1.6843E-052
    4.442297E+04   1.0000E-099   9.9987E-001   1.3151E-004   1.6891E-052
    4.520034E+04   1.0000E-099   9.9988E-001   1.1573E-004   1.6966E-052
    4.600555E+04   1.0000E-099   9.9990E-001   1.0051E-004   1.7071E-052
    4.686215E+04   1.0000E-099   9.9991E-001   8.6811E-005   1.7198E-052
