#NTIMES 50
#NSTAGES 3
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] co0 co1 co2
20034.10 2.0660e-03 8.9480e-01 1.3260e+00
20838.00 6.2190e-04 5.2160e-01 1.0040e+00
21647.97 7.1530e-04 3.3530e-01 6.8440e-01
22447.94 2.7520e-04 1.8490e-01 4.6250e-01
23245.88 3.5420e-04 1.0020e-01 3.3080e-01
24052.47 1.8470e-04 6.1240e-02 2.5930e-01
24867.72 6.4700e-05 4.6760e-02 2.0960e-01
25698.86 5.2680e-04 2.7980e-02 1.7250e-01
26587.16 3.2190e-05 1.0060e-02 1.3020e-01
27637.54 9.4690e-06 6.8860e-03 7.1500e-02
28986.97 2.8700e-06 2.4600e-03 2.7530e-02
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.4520e+04 3.8650e+04 1.4440e+04
1919.29 3.0130e+04 7.2700e+04 2.4870e+04
2581.60 4.0320e+04 1.6720e+05 7.2090e+04
3084.17 2.9480e+04 2.1800e+05 1.3490e+05
3472.46 9.5100e+03 1.6910e+05 1.5100e+05
3909.64 1.8050e+03 8.2530e+04 1.0870e+05
4148.46 1.4310e+03 6.2950e+04 7.9670e+04
4670.75 1.3310e+03 5.8080e+04 6.9710e+04
4956.05 6.7490e+02 5.0460e+04 8.0960e+04
5258.79 2.8330e+02 4.3300e+04 9.1860e+04
5580.02 7.6300e+01 3.6230e+04 1.0340e+05
5920.87 2.8020e+01 3.0330e+04 1.0670e+05
6282.54 1.7030e+01 2.5530e+04 1.0300e+05
6666.30 1.3450e+01 2.2090e+04 9.8140e+04
7073.50 1.1750e+01 1.9550e+04 8.9860e+04
7505.58 9.2710e+00 1.6490e+04 7.6300e+04
7964.05 1.0290e+01 1.4900e+04 6.2120e+04
8450.53 1.7570e+01 1.3710e+04 5.0330e+04
8966.72 3.4540e+01 1.2740e+04 3.7030e+04
9514.44 5.2810e+01 1.0410e+04 2.4940e+04
10095.62 7.5230e+01 7.9780e+03 1.5310e+04
10712.30 8.1350e+01 5.5340e+03 7.8260e+03
11366.65 5.7470e+01 2.8540e+03 3.5690e+03
12061.10 3.0630e+01 1.2230e+03 1.4360e+03
12793.43 1.4850e+01 5.3090e+02 5.9260e+02
13528.61 6.8800e+00 2.3490e+02 2.7560e+02
14194.74 3.4370e+00 1.0020e+02 1.3810e+02
14757.77 1.1310e+00 5.1320e+01 6.1010e+01
15240.48 5.2230e-01 2.9600e+01 2.8840e+01
15646.99 4.4540e-01 1.8990e+01 1.3320e+01
15960.30 5.8220e-01 1.3840e+01 6.5390e+00
16187.41 4.0180e-01 8.0800e+00 3.1220e+00
16354.17 1.2990e-01 4.9930e+00 1.6380e+00
16484.18 5.6490e-02 3.2120e+00 1.0970e+00
16593.12 5.5570e-02 2.2360e+00 9.9380e-01
16691.99 2.9380e-02 1.8740e+00 9.2670e-01
16788.59 1.4480e-02 1.7630e+00 8.6950e-01
16888.37 1.7470e-02 1.6430e+00 9.0000e-01
16998.79 1.3380e-02 1.5550e+00 9.2240e-01
17146.37 1.0470e-02 1.5000e+00 9.6580e-01
17415.23 9.2230e-03 1.5050e+00 1.0850e+00
17888.12 3.4280e-03 1.5360e+00 1.2820e+00
18532.37 6.2080e-03 1.5590e+00 1.4400e+00
19260.76 2.1590e-03 1.2470e+00 1.5160e+00
20034.10 1.2980e-03 8.4380e-01 1.2850e+00
20838.00 6.9710e-04 4.1740e-01 1.0440e+00
21647.97 4.3180e-04 3.2820e-01 6.4900e-01
22447.94 2.7770e-04 1.7790e-01 4.4240e-01
23245.88 2.6920e-04 9.8060e-02 3.1500e-01
24052.47 6.2230e-05 4.5260e-02 2.6190e-01
24867.72 2.3140e-05 3.9450e-02 2.0620e-01
25698.86 2.5540e-05 2.8210e-02 1.6440e-01
26587.16 1.4650e-05 1.2670e-02 1.2170e-01
27637.54 8.0710e-05 4.6570e-03 7.0370e-02
28986.97 3.4380e-06 2.0270e-03 2.6710e-02
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] co0 co1 co2
1060.83 1.2970e+04 3.7450e+04 1.3920e+04
1919.29 2.8970e+04 6.8250e+04 2.3420e+04
2581.60 3.6480e+04 1.5810e+05 6.7750e+04
3084.17 2.6720e+04 2.0570e+05 1.2560e+05
3472.46 8.9660e+03 1.5800e+05 1.4140e+05
3909.64 1.7040e+03 8.0550e+04 9.8250e+04
4148.46 1.2720e+03 5.8910e+04 7.4490e+04
4670.75 1.2190e+03 5.4330e+04 6.5130e+04
4956.05 6.8500e+02 4.8550e+04 7.4210e+04
5258.79 2.6740e+02 4.0740e+04 8.5560e+04
5580.02 6.9740e+01 3.3480e+04 9.6940e+04
5920.87 2.6070e+01 2.7710e+04 1.0030e+05
6282.54 1.5170e+01 2.2820e+04 9.7310e+04
6666.30 1.2610e+01 2.0580e+04 9.1760e+04
7073.50 1.1640e+01 1.8830e+04 8.3390e+04
7505.58 9.3200e+00 1.5900e+04 7.0810e+04
7964.05 9.7440e+00 1.3420e+04 5.8550e+04
8450.53 1.5700e+01 1.3060e+04 4.6790e+04
8966.72 3.2420e+01 1.1710e+04 3.4800e+04
9514.44 4.9570e+01 1.0040e+04 2.3000e+04
10095.62 7.6830e+01 7.8460e+03 1.3910e+04
10712.30 7.3090e+01 5.1030e+03 7.3910e+03
11366.65 4.9640e+01 2.6510e+03 3.3610e+03
12061.10 2.7900e+01 1.1340e+03 1.3550e+03
12793.43 1.3250e+01 4.8870e+02 5.6400e+02
13528.61 5.8040e+00 2.2450e+02 2.5460e+02
14194.74 2.0990e+00 1.0370e+02 1.2090e+02
14757.77 1.1530e+00 4.7530e+01 5.7800e+01
15240.48 6.3210e-01 2.7010e+01 2.7730e+01
15646.99 5.4720e-01 1.7650e+01 1.2610e+01
15960.30 4.7370e-01 1.3470e+01 5.7950e+00
16187.41 3.5950e-01 7.6280e+00 2.9600e+00
