#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
11366.65 3.6263e-04 1.7153e-01 6.0690e-01 2.2121e-01
12061.10 3.1667e-04 1.8494e-01 5.9404e-01 2.2071e-01
12793.43 4.8425e-04 2.0205e-01 5.7784e-01 2.1963e-01
13528.61 3.6683e-04 1.9627e-01 5.7686e-01 2.2651e-01
14194.74 3.7004e-04 1.7222e-01 5.8479e-01 2.4262e-01
14757.77 2.6881e-04 9.9847e-02 6.3275e-01 2.6713e-01
15240.48 1.0351e-04 6.6849e-02 6.9099e-01 2.4206e-01
15646.99 8.4008e-05 4.9387e-02 7.6249e-01 1.8804e-01
15960.30 2.3703e-04 8.2800e-02 7.8623e-01 1.3073e-01
16187.41 2.7369e-04 8.3490e-02 8.0390e-01 1.1234e-01
16354.17 3.5132e-04 8.0875e-02 8.0805e-01 1.1072e-01
16484.18 5.2693e-05 3.4926e-02 8.4366e-01 1.2136e-01
16593.12 1.0778e-04 5.7078e-02 8.1347e-01 1.2934e-01
16691.99 1.7593e-04 5.8804e-02 7.9073e-01 1.5029e-01
16788.59 3.0228e-05 1.9585e-02 8.1959e-01 1.6079e-01
16888.37 2.9096e-05 2.3295e-02 8.0861e-01 1.6807e-01
16998.79 1.0153e-05 1.0224e-02 8.2284e-01 1.6693e-01
17146.37 5.1141e-06 1.0968e-02 8.0522e-01 1.8381e-01
17415.23 8.4200e-06 1.0465e-02 7.8982e-01 1.9970e-01
17888.12 1.0724e-06 4.0382e-03 7.5902e-01 2.3694e-01
18532.37 1.3610e-06 4.4440e-03 7.2356e-01 2.7200e-01
19260.76 1.1602e-06 4.6168e-03 6.9657e-01 2.9881e-01
20034.10 1.1012e-06 4.1313e-03 6.5421e-01 3.4166e-01
20838.00 1.7731e-07 1.3592e-03 6.2162e-01 3.7702e-01
21647.97 7.3983e-07 3.5861e-03 6.0883e-01 3.8759e-01
22447.94 1.2731e-06 6.1191e-03 5.3328e-01 4.6060e-01
23245.88 1.3924e-05 3.3994e-02 4.4923e-01 5.1676e-01
24052.47 1.9107e-05 5.3303e-02 3.8728e-01 5.5940e-01
24867.72 5.3731e-06 3.1394e-02 3.8363e-01 5.8497e-01
25698.86 1.9684e-05 1.0809e-02 3.4516e-01 6.4401e-01
26587.16 8.6924e-07 2.0644e-03 3.0919e-01 6.8874e-01
27637.54 4.7064e-07 2.5808e-03 2.8220e-01 7.1522e-01
28986.97 1.8002e-06 1.4706e-02 2.5377e-01 7.3152e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.0826e-02 5.9551e-01 3.4642e-01 3.7245e-02
1919.29 1.9612e-02 6.1993e-01 3.2818e-01 3.2279e-02
2581.60 9.7862e-03 5.4812e-01 3.9301e-01 4.9089e-02
3084.17 4.2622e-03 4.3844e-01 4.8184e-01 7.5460e-02
3472.46 1.2442e-03 2.6949e-01 6.1224e-01 1.1702e-01
3909.64 2.2089e-04 1.1734e-01 7.0738e-01 1.7506e-01
4148.46 2.4653e-04 1.2996e-01 6.9092e-01 1.7887e-01
4670.75 2.5943e-04 1.3497e-01 6.8907e-01 1.7570e-01
4956.05 1.0907e-04 7.2044e-02 7.2107e-01 2.0678e-01
5258.79 2.0484e-05 3.7097e-02 7.2313e-01 2.3975e-01
5580.02 2.3078e-06 1.0838e-02 7.2039e-01 2.6877e-01
5920.87 5.5317e-07 5.4994e-03 7.0271e-01 2.9179e-01
6282.54 2.6242e-07 3.8056e-03 6.7779e-01 3.1840e-01
6666.30 2.2127e-07 3.4616e-03 6.6778e-01 3.2875e-01
7073.50 2.3105e-07 3.5791e-03 6.6105e-01 3.3537e-01
7505.58 2.3014e-07 3.7268e-03 6.4999e-01 3.4628e-01
7964.05 3.5498e-07 4.6201e-03 6.5546e-01 3.3992e-01
8450.53 1.2455e-06 9.2857e-03 6.6466e-01 3.2605e-01
8966.72 6.4399e-06 2.1717e-02 6.6966e-01 3.0861e-01
9514.44 2.3698e-05 4.6296e-02 6.6368e-01 2.9000e-01
10095.62 6.7798e-05 8.1952e-02 6.5352e-01 2.6446e-01
10712.30 1.5527e-04 1.1478e-01 6.4454e-01 2.4052e-01
11366.65 3.0538e-04 1.6445e-01 6.1272e-01 2.2253e-01
12061.10 3.4954e-04 2.0577e-01 5.7850e-01 2.1538e-01
12793.43 4.1816e-04 2.1157e-01 5.7158e-01 2.1643e-01
13528.61 4.4380e-04 1.8170e-01 5.8575e-01 2.3211e-01
14194.74 3.3026e-04 1.6398e-01 5.8772e-01 2.4797e-01
14757.77 2.5725e-04 1.3041e-01 6.1087e-01 2.5846e-01
15240.48 7.5178e-05 5.0626e-02 7.0234e-01 2.4695e-01
15646.99 1.6408e-04 5.8189e-02 7.5119e-01 1.9045e-01
15960.30 3.4102e-04 8.9335e-02 7.7850e-01 1.3182e-01
16187.41 3.7860e-04 7.2013e-02 8.1391e-01 1.1370e-01
16354.17 1.1328e-04 4.2118e-02 8.5419e-01 1.0358e-01
16484.18 4.9192e-05 3.2577e-02 8.5969e-01 1.0769e-01
16593.12 7.9168e-05 3.6304e-02 8.3098e-01 1.3263e-01
16691.99 1.3720e-04 6.3201e-02 7.9871e-01 1.3795e-01
16788.59 1.9619e-05 1.8946e-02 8.2757e-01 1.5346e-01
16888.37 1.6554e-05 2.0102e-02 8.1434e-01 1.6554e-01
16998.79 1.2109e-05 1.3173e-02 8.1359e-01 1.7322e-01
17146.37 6.0187e-06 1.1814e-02 8.0341e-01 1.8477e-01
17415.23 1.0317e-05 1.3397e-02 7.8064e-01 2.0596e-01
17888.12 1.4625e-06 5.3452e-03 7.5569e-01 2.3896e-01
18532.37 3.4811e-06 8.8342e-03 7.5121e-01 2.3996e-01
19260.76 9.4347e-07 4.5426e-03 6.9247e-01 3.0299e-01
20034.10 4.3827e-07 2.3863e-03 6.7280e-01 3.2481e-01
20838.00 4.5897e-07 2.3902e-03 6.1158e-01 3.8603e-01
21647.97 4.4548e-07 2.2908e-03 5.9134e-01 4.0636e-01
22447.94 2.3601e-07 1.3779e-03 5.3287e-01 4.6576e-01
23245.88 1.2424e-06 3.7295e-03 4.9240e-01 5.0387e-01
24052.47 5.0723e-07 3.2292e-03 4.1810e-01 5.7867e-01
24867.72 5.7421e-07 6.3203e-03 4.0660e-01 5.8708e-01
25698.86 4.0504e-07 2.6169e-03 3.4166e-01 6.5572e-01
26587.16 2.4166e-06 1.5016e-02 3.0462e-01 6.8036e-01
27637.54 8.6922e-06 1.3744e-02 2.7364e-01 7.1261e-01
28986.97 6.9668e-07 3.0847e-03 2.7348e-01 7.2344e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.6914e-02 5.9578e-01 3.5048e-01 3.6826e-02
1919.29 1.8184e-02 6.2256e-01 3.2726e-01 3.2003e-02
2581.60 9.4674e-03 5.5280e-01 3.8937e-01 4.8366e-02
3084.17 5.1319e-03 4.4408e-01 4.7653e-01 7.4255e-02
3472.46 1.2131e-03 2.6149e-01 6.1890e-01 1.1839e-01
3909.64 2.1568e-04 1.1560e-01 7.1030e-01 1.7389e-01
4148.46 2.6007e-04 1.3590e-01 6.8671e-01 1.7713e-01
4670.75 2.4428e-04 1.2924e-01 6.9422e-01 1.7630e-01
4956.05 1.1352e-04 8.4416e-02 7.1352e-01 2.0195e-01
5258.79 2.0489e-05 3.7874e-02 7.2327e-01 2.3883e-01
5580.02 2.5385e-06 1.1762e-02 7.1908e-01 2.6916e-01
5920.87 5.3317e-07 5.3648e-03 6.9984e-01 2.9479e-01
6282.54 2.8274e-07 3.8133e-03 6.7494e-01 3.2125e-01
6666.30 2.1020e-07 3.2302e-03 6.6796e-01 3.2881e-01
7073.50 2.1621e-07 3.3359e-03 6.6241e-01 3.3426e-01
7505.58 1.9885e-07 3.3033e-03 6.5284e-01 3.4386e-01
7964.05 3.4685e-07 4.5503e-03 6.5273e-01 3.4272e-01
8450.53 1.1537e-06 8.6110e-03 6.6569e-01 3.2570e-01
8966.72 6.8984e-06 2.3068e-02 6.6831e-01 3.0861e-01
9514.44 2.5472e-05 4.8867e-02 6.6219e-01 2.8892e-01
10095.62 7.3918e-05 8.3859e-02 6.5254e-01 2.6352e-01
10712.30 1.5375e-04 1.2406e-01 6.3758e-01 2.3820e-01
11366.65 3.3843e-04 1.7617e-01 6.0402e-01 2.1947e-01
12061.10 4.6717e-04 2.0475e-01 5.7885e-01 2.1594e-01
12793.43 5.4508e-04 2.0395e-01 5.7663e-01 2.1888e-01
13528.61 5.9578e-04 2.3969e-01 5.4646e-01 2.1326e-01
14194.74 3.9138e-04 1.9585e-01 5.7614e-01 2.2761e-01
14757.77 2.7647e-04 9.6632e-02 6.3380e-01 2.6929e-01
15240.48 1.3593e-04 6.1817e-02 6.9254e-01 2.4551e-01
15646.99 1.7936e-04 6.5755e-02 7.4298e-01 1.9108e-01
15960.30 2.8881e-04 7.7688e-02 7.9851e-01 1.2352e-01
16187.41 3.4429e-04 6.9339e-02 8.1706e-01 1.1325e-01
16354.17 1.4719e-04 5.5481e-02 8.3305e-01 1.1133e-01
16484.18 6.4128e-05 3.0260e-02 8.5161e-01 1.1806e-01
16593.12 4.7789e-05 3.0612e-02 8.3919e-01 1.3015e-01
16691.99 1.2491e-04 4.2790e-02 8.1009e-01 1.4699e-01
16788.59 2.4650e-05 1.4379e-02 8.4725e-01 1.3834e-01
16888.37 2.4512e-05 2.1689e-02 8.1475e-01 1.6353e-01
16998.79 1.5218e-05 1.7220e-02 8.1351e-01 1.6925e-01
17146.37 3.6670e-06 6.9478e-03 8.2639e-01 1.6666e-01
17415.23 1.4816e-05 1.6919e-02 8.0218e-01 1.8088e-01
17888.12 1.5219e-06 5.7668e-03 7.6122e-01 2.3302e-01
18532.37 9.4851e-07 3.6031e-03 7.3869e-01 2.5770e-01
19260.76 1.8507e-06 4.4240e-03 7.1153e-01 2.8404e-01
20034.10 4.8873e-07 2.4732e-03 6.8385e-01 3.1368e-01
20838.00 2.7464e-07 1.5881e-03 6.2423e-01 3.7418e-01
21647.97 3.3808e-07 2.4410e-03 5.8272e-01 4.1484e-01
22447.94 4.3476e-07 2.1917e-03 5.4554e-01 4.5227e-01
23245.88 4.4562e-06 3.3648e-02 4.6751e-01 4.9884e-01
24052.47 4.2708e-07 2.6063e-03 4.1692e-01 5.8047e-01
24867.72 6.9560e-07 3.2443e-03 4.0447e-01 5.9229e-01
25698.86 5.9456e-07 2.5093e-03 3.4167e-01 6.5582e-01
26587.16 7.7118e-06 2.0887e-02 3.1277e-01 6.6634e-01
27637.54 2.9076e-06 3.5655e-03 2.7539e-01 7.2104e-01
28986.97 2.6072e-05 1.3258e-02 2.5158e-01 7.3514e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.9557e-02 5.9239e-01 3.5160e-01 3.6453e-02
1919.29 2.2809e-02 6.2204e-01 3.2397e-01 3.1177e-02
2581.60 9.8705e-03 5.5308e-01 3.8888e-01 4.8172e-02
3084.17 4.6282e-03 4.4462e-01 4.7662e-01 7.4126e-02
3472.46 1.2865e-03 2.6627e-01 6.1514e-01 1.1730e-01
3909.64 2.1246e-04 1.1606e-01 7.0971e-01 1.7401e-01
4148.46 2.4677e-04 1.2314e-01 6.9593e-01 1.8069e-01
4670.75 2.6889e-04 1.3305e-01 6.9115e-01 1.7553e-01
4956.05 1.5212e-04 9.3149e-02 7.0392e-01 2.0278e-01
5258.79 2.4480e-05 4.1472e-02 7.1939e-01 2.3911e-01
5580.02 2.6580e-06 1.1586e-02 7.1836e-01 2.7005e-01
5920.87 5.5153e-07 5.3596e-03 7.0295e-01 2.9169e-01
6282.54 2.8025e-07 3.8660e-03 6.7381e-01 3.2232e-01
6666.30 2.3867e-07 3.5796e-03 6.6649e-01 3.2993e-01
7073.50 2.4619e-07 3.8075e-03 6.6431e-01 3.3188e-01
7505.58 1.8097e-07 3.0516e-03 6.5153e-01 3.4542e-01
7964.05 3.2852e-07 4.3020e-03 6.5207e-01 3.4363e-01
8450.53 1.1828e-06 9.2170e-03 6.6508e-01 3.2570e-01
8966.72 5.7114e-06 2.0669e-02 6.7099e-01 3.0834e-01
9514.44 2.0885e-05 4.4643e-02 6.6431e-01 2.9102e-01
10095.62 7.4680e-05 8.5437e-02 6.5066e-01 2.6383e-01
10712.30 1.6853e-04 1.3971e-01 6.2476e-01 2.3536e-01
11366.65 3.1926e-04 1.8510e-01 5.9578e-01 2.1880e-01
12061.10 4.9427e-04 2.0717e-01 5.7862e-01 2.1371e-01
12793.43 4.0713e-04 2.2282e-01 5.6763e-01 2.0915e-01
13528.61 4.2083e-04 2.0795e-01 5.7463e-01 2.1700e-01
14194.74 3.7004e-04 1.6377e-01 5.9544e-01 2.4043e-01
14757.77 2.9651e-04 1.0788e-01 6.2384e-01 2.6798e-01
15240.48 1.1337e-04 7.5399e-02 6.8622e-01 2.3827e-01
15646.99 1.6969e-04 6.7041e-02 7.5623e-01 1.7656e-01
15960.30 1.4681e-04 5.9957e-02 8.1025e-01 1.2965e-01
16187.41 3.1915e-04 6.6124e-02 8.2132e-01 1.1224e-01
16354.17 1.0352e-04 3.7785e-02 8.5803e-01 1.0408e-01
16484.18 6.1179e-05 3.8977e-02 8.5012e-01 1.1085e-01
16593.12 4.2178e-05 4.4832e-02 8.4160e-01 1.1352e-01
16691.99 2.5640e-05 1.6613e-02 8.4656e-01 1.3680e-01
16788.59 1.2764e-05 1.4790e-02 8.3139e-01 1.5381e-01
16888.37 3.5960e-05 1.7783e-02 8.1836e-01 1.6382e-01
16998.79 3.9288e-05 3.2767e-02 7.9691e-01 1.7029e-01
17146.37 3.0072e-05 2.0443e-02 8.0706e-01 1.7247e-01
17415.23 5.1459e-06 7.3035e-03 8.0059e-01 1.9210e-01
17888.12 4.4136e-06 1.1675e-02 7.5775e-01 2.3057e-01
18532.37 1.4304e-06 5.3054e-03 7.3015e-01 2.6454e-01
19260.76 5.4188e-07 2.8650e-03 7.0130e-01 2.9583e-01
20034.10 3.3983e-07 2.5241e-03 6.7135e-01 3.2613e-01
20838.00 3.6655e-07 2.0129e-03 6.5344e-01 3.4455e-01
21647.97 4.1713e-07 3.1158e-03 5.9958e-01 3.9731e-01
22447.94 6.9168e-07 2.8112e-03 5.5461e-01 4.4258e-01
23245.88 6.0712e-06 2.3412e-02 4.6348e-01 5.1310e-01
24052.47 2.1454e-07 2.3035e-03 4.1523e-01 5.8247e-01
24867.72 1.1400e-06 1.3050e-02 3.7658e-01 6.1037e-01
25698.86 7.0788e-06 3.1878e-02 3.4607e-01 6.2204e-01
26587.16 7.3557e-05 2.2733e-02 3.0866e-01 6.6853e-01
27637.54 3.4604e-05 1.2896e-02 2.8636e-01 7.0071e-01
28986.97 1.1680e-06 8.7825e-03 2.7467e-01 7.1654e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.3083e-02 6.0831e-01 3.3509e-01 3.3524e-02
1919.29 2.0198e-02 6.3445e-01 3.1606e-01 2.9301e-02
2581.60 1.0245e-02 5.5157e-01 3.8987e-01 4.8318e-02
3084.17 4.5235e-03 4.4683e-01 4.7513e-01 7.3512e-02
3472.46 1.2470e-03 2.6379e-01 6.1728e-01 1.1768e-01
3909.64 2.3232e-04 1.2025e-01 7.0498e-01 1.7453e-01
4148.46 2.5438e-04 1.2305e-01 6.9642e-01 1.8027e-01
4670.75 2.2605e-04 1.2398e-01 6.9911e-01 1.7669e-01
4956.05 1.0083e-04 8.4668e-02 7.1243e-01 2.0280e-01
5258.79 2.2329e-05 3.8669e-02 7.2440e-01 2.3691e-01
5580.02 2.8448e-06 1.2657e-02 7.1944e-01 2.6790e-01
5920.87 5.2872e-07 4.9721e-03 7.0371e-01 2.9132e-01
6282.54 2.3530e-07 3.3936e-03 6.7888e-01 3.1773e-01
6666.30 2.2201e-07 3.3894e-03 6.6620e-01 3.3041e-01
7073.50 2.3726e-07 3.5882e-03 6.6144e-01 3.3498e-01
7505.58 2.0918e-07 3.4762e-03 6.4654e-01 3.4998e-01
7964.05 3.5899e-07 4.6648e-03 6.4809e-01 3.4725e-01
8450.53 1.0580e-06 8.5153e-03 6.6321e-01 3.2827e-01
8966.72 5.5037e-06 2.0795e-02 6.6868e-01 3.1052e-01
9514.44 2.2313e-05 4.3128e-02 6.6453e-01 2.9232e-01
10095.62 8.2532e-05 9.0130e-02 6.4804e-01 2.6175e-01
10712.30 1.6742e-04 1.2161e-01 6.3712e-01 2.4111e-01
11366.65 3.1057e-04 1.6661e-01 6.1056e-01 2.2251e-01
12061.10 4.5559e-04 2.0163e-01 5.8157e-01 2.1634e-01
12793.43 5.0657e-04 2.1110e-01 5.7300e-01 2.1539e-01
13528.61 4.4534e-04 1.7895e-01 5.8740e-01 2.3320e-01
14194.74 2.9014e-04 1.5842e-01 6.0154e-01 2.3975e-01
14757.77 3.1108e-04 1.3009e-01 6.1437e-01 2.5523e-01
15240.48 2.6660e-04 1.0983e-01 6.5431e-01 2.3559e-01
15646.99 1.0683e-04 6.2125e-02 7.5194e-01 1.8583e-01
15960.30 1.5413e-04 5.9461e-02 8.1017e-01 1.3022e-01
16187.41 2.5640e-04 6.1744e-02 8.2620e-01 1.1180e-01
16354.17 1.4317e-04 4.4942e-02 8.4691e-01 1.0800e-01
16484.18 7.3901e-05 3.6471e-02 8.4866e-01 1.1479e-01
16593.12 2.7574e-05 2.0696e-02 8.4847e-01 1.3080e-01
16691.99 1.5147e-05 1.7517e-02 8.4677e-01 1.3569e-01
16788.59 6.1345e-06 9.7528e-03 8.5535e-01 1.3489e-01
16888.37 8.1188e-05 2.6990e-02 8.1093e-01 1.6200e-01
16998.79 1.3203e-05 2.1484e-02 8.0446e-01 1.7404e-01
17146.37 1.9050e-05 1.4894e-02 7.9900e-01 1.8609e-01
17415.23 3.9870e-06 8.7326e-03 7.9640e-01 1.9486e-01
17888.12 4.0644e-06 7.6538e-03 7.6313e-01 2.2921e-01
18532.37 1.0858e-06 3.5134e-03 7.4448e-01 2.5200e-01
19260.76 5.3509e-07 2.8268e-03 7.2567e-01 2.7151e-01
20034.10 5.4638e-07 2.5030e-03 6.6012e-01 3.3737e-01
20838.00 3.1899e-07 1.9952e-03 6.2670e-01 3.7130e-01
21647.97 5.8220e-07 2.2631e-03 5.7996e-01 4.1777e-01
22447.94 7.4645e-07 3.4892e-03 5.4242e-01 4.5409e-01
23245.88 1.9756e-06 5.2134e-03 4.8634e-01 5.0844e-01
24052.47 3.0968e-06 2.5195e-02 4.0108e-01 5.7372e-01
24867.72 1.4096e-06 4.0571e-03 3.8601e-01 6.0993e-01
25698.86 9.8925e-08 7.6085e-04 3.7579e-01 6.2345e-01
26587.16 1.2802e-07 1.1091e-03 3.4422e-01 6.5467e-01
27637.54 3.7846e-07 3.8026e-03 2.8735e-01 7.0884e-01
