#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
4.386064e+02 1.472016e-22 1.025775e-14 4.172642e-08 3.158458e-03 7.533939e-01 2.434042e-01 4.346502e-05 2.187740e-12 1.616899e-23 
8.801961e+02 1.699916e-21 6.199692e-14 1.349933e-07 5.742572e-03 8.242447e-01 1.699916e-01 2.099896e-05 7.942463e-13 4.771191e-24 
8.922517e+02 1.946982e-22 9.901797e-15 3.189343e-08 2.280752e-03 6.638284e-01 3.337684e-01 1.223818e-04 1.715199e-11 4.784015e-22 
9.200313e+02 2.081668e-22 1.156956e-14 3.941746e-08 2.769876e-03 7.116450e-01 2.855103e-01 7.478665e-05 6.626395e-12 1.029115e-22 
9.688202e+02 6.952848e-23 4.907893e-15 2.140387e-08 1.941344e-03 6.516591e-01 3.462791e-01 1.205160e-04 1.445102e-11 3.081066e-22 
1.029396e+03 8.773627e-23 6.018496e-15 2.519743e-08 2.166658e-03 6.740714e-01 3.236613e-01 1.005757e-04 1.037856e-11 1.861721e-22 
1.092261e+03 1.072370e-22 7.247192e-15 2.968406e-08 2.428210e-03 6.979765e-01 2.995150e-01 8.022722e-05 6.899540e-12 9.867947e-23 
1.158981e+03 1.162736e-22 7.813797e-15 3.146854e-08 2.533484e-03 7.067086e-01 2.906840e-01 7.387104e-05 5.920352e-12 7.787130e-23 
1.229776e+03 1.870092e-22 1.206170e-14 4.576039e-08 3.279935e-03 7.565013e-01 2.401759e-01 4.285078e-05 2.235117e-12 1.743127e-23 
1.304896e+03 2.786736e-23 2.030705e-15 9.624562e-09 1.070829e-03 5.212230e-01 4.773578e-01 3.483421e-04 1.068249e-10 7.199070e-21 
1.384604e+03 1.312062e-23 9.889061e-16 5.029572e-09 6.536013e-04 4.203458e-01 5.782790e-01 7.216341e-04 4.397837e-10 6.876177e-20 
1.469181e+03 6.590522e-25 6.056783e-17 4.223505e-10 9.700135e-05 1.608180e-01 8.330978e-01 5.987165e-03 3.295260e-08 7.402735e-17 
1.558925e+03 7.992834e-26 8.588288e-18 7.557694e-11 2.519233e-05 7.626399e-02 9.046330e-01 1.907745e-02 4.030768e-07 4.580421e-15 
1.654150e+03 5.716151e-27 7.410664e-19 8.585526e-12 4.496104e-06 2.801592e-02 9.014803e-01 7.049169e-02 7.636599e-06 6.303584e-13 
1.755192e+03 9.855131e-28 1.434889e-19 1.977701e-12 1.372599e-06 1.354802e-02 8.342381e-01 1.521649e-01 4.760717e-05 1.412642e-11 
1.862406e+03 6.629197e-29 1.137384e-20 2.004280e-13 2.081879e-07 3.968648e-03 6.163601e-01 3.791278e-01 5.431947e-04 1.017659e-09 
1.976169e+03 4.012138e-30 7.979451e-22 1.770720e-14 2.667286e-08 9.324289e-04 3.429371e-01 6.522528e-01 3.877650e-03 4.056969e-08 
2.096881e+03 1.570136e-31 3.738422e-23 1.077131e-15 2.406609e-09 1.581819e-04 1.401906e-01 8.388083e-01 2.084170e-02 1.236014e-06 
2.224967e+03 4.511250e-33 1.340486e-24 5.181497e-17 1.770987e-10 2.198910e-05 4.665923e-02 8.661594e-01 8.713153e-02 2.784082e-05 
2.360877e+03 1.416526e-34 5.175205e-26 2.649701e-18 1.333721e-11 2.957258e-06 1.395825e-02 7.245287e-01 2.611256e-01 3.844434e-04 
2.505088e+03 4.132744e-36 1.798964e-27 1.184254e-19 8.473893e-13 3.233266e-07 3.243684e-03 4.480028e-01 5.452456e-01 3.507599e-03 
2.658109e+03 1.844204e-37 9.346759e-29 7.544460e-21 7.209153e-14 4.233278e-08 7.754006e-04 2.334597e-01 7.502567e-01 1.550810e-02 
2.820477e+03 1.291979e-38 7.536605e-30 7.321273e-22 8.989999e-15 7.482732e-09 2.207130e-04 1.227379e-01 8.344058e-01 4.263554e-02 
2.992763e+03 2.566883e-39 1.711270e-30 1.921444e-22 2.792123e-15 2.889669e-09 1.110827e-04 8.481470e-02 8.481246e-01 6.694961e-02 
3.175573e+03 1.069030e-39 8.065850e-31 1.029439e-22 1.696866e-15 1.990988e-09 8.654027e-05 7.522813e-02 8.484384e-01 7.624689e-02 
3.369550e+03 1.283580e-39 1.064949e-30 1.465180e-22 2.521253e-15 2.944438e-09 1.202462e-04 9.185939e-02 8.498372e-01 5.818316e-02 
3.575375e+03 4.409305e-39 3.951214e-30 5.640336e-22 9.448308e-15 9.619915e-09 3.006270e-04 1.531783e-01 8.188345e-01 2.768658e-02 
3.793773e+03 6.543629e-38 6.246213e-29 8.724512e-21 1.274035e-13 9.220857e-08 1.620987e-03 3.584076e-01 6.345679e-01 5.403455e-03 
4.025512e+03 1.770960e-36 1.632412e-27 2.009772e-19 2.286866e-12 1.016393e-06 8.470072e-03 6.722279e-01 3.187728e-01 5.282192e-04 
4.271406e+03 1.703277e-35 1.416164e-26 1.495424e-18 1.346945e-11 4.159384e-06 2.049957e-02 8.160051e-01 1.633960e-01 9.517135e-05 
4.532320e+03 1.874325e-35 1.581386e-26 1.686812e-18 1.511141e-11 4.580100e-06 2.178761e-02 8.246663e-01 1.534594e-01 8.211023e-05 
4.809172e+03 6.695942e-36 6.418130e-27 7.846489e-19 8.178508e-12 2.925155e-06 1.691264e-02 7.944062e-01 1.885461e-01 1.321164e-04 
5.102936e+03 1.953297e-36 2.158245e-27 3.087415e-19 3.812097e-12 1.669806e-06 1.214502e-02 7.466188e-01 2.409982e-01 2.363040e-04 
5.414644e+03 8.669320e-37 1.047263e-27 1.644435e-19 2.260116e-12 1.131614e-06 9.629120e-03 7.083848e-01 2.816341e-01 3.508020e-04 
5.745391e+03 6.126810e-37 7.952936e-28 1.333843e-19 1.952132e-12 1.032059e-06 9.181452e-03 7.031110e-01 2.873432e-01 3.632974e-04 
6.096342e+03 7.759414e-37 1.057616e-27 1.839474e-19 2.717894e-12 1.380512e-06 1.122501e-02 7.423542e-01 2.461792e-01 2.402441e-04 
6.468731e+03 1.373509e-36 1.916870e-27 3.328345e-19 4.760639e-12 2.190796e-06 1.516595e-02 7.919770e-01 1.927280e-01 1.267980e-04 
6.863867e+03 3.281206e-36 4.625989e-27 7.906974e-19 1.057356e-11 4.193193e-06 2.274222e-02 8.454873e-01 1.317166e-01 4.967983e-05 
7.283139e+03 1.458978e-35 2.093118e-26 3.445477e-18 4.097598e-11 1.242195e-05 4.384531e-02 8.924558e-01 6.367738e-02 9.081574e-06 
