#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc]
 1.09426E+09 1.63682E+05 1.36144E-07
 1.10351E+09 1.58125E+05 1.32434E-07
 1.11287E+09 1.53109E+05 1.28529E-07
 1.12207E+09 1.48252E+05 1.22180E-07
 1.13182E+09 1.42889E+05 1.17220E-07
 1.14116E+09 1.38038E+05 1.10408E-07
 1.14908E+09 1.34586E+05 1.09396E-07
 1.15910E+09 1.30317E+05 1.05682E-07
 1.16982E+09 1.25603E+05 9.90832E-08
 1.18064E+09 1.21060E+05 9.50605E-08
 1.19129E+09 1.16413E+05 9.16220E-08
 1.20278E+09 1.11944E+05 8.43335E-08
 1.21575E+09 1.06905E+05 7.56833E-08
 1.22992E+09 1.03276E+05 6.93426E-08
 1.24424E+09 1.00000E+05 6.66807E-08
 1.25848E+09 9.68278E+04 6.44169E-08
 1.27287E+09 9.39723E+04 6.18016E-08
 1.28766E+09 9.12011E+04 5.87489E-08
 1.30312E+09 8.85116E+04 5.52077E-08
 1.31939E+09 8.59014E+04 5.19996E-08
 1.33548E+09 8.35603E+04 5.02343E-08
 1.35099E+09 8.09096E+04 4.92040E-08
 1.36813E+09 7.83430E+04 4.40555E-08
 1.38795E+09 7.58578E+04 3.84592E-08
 1.40932E+09 7.32825E+04 3.51560E-08
 1.43045E+09 6.99842E+04 3.36512E-08
 1.45203E+09 6.65273E+04 3.14775E-08
 1.47553E+09 6.28058E+04 2.85102E-08
 1.50034E+09 5.88844E+04 2.65461E-08
 1.52424E+09 5.49541E+04 2.55270E-08
 1.55024E+09 5.21195E+04 2.27510E-08
 1.58470E+09 4.78630E+04 2.07491E-08
 1.60547E+09 3.61410E+04 3.34195E-08
 1.61583E+09 2.48313E+04 4.31519E-08
 1.62666E+09 2.20293E+04 4.39542E-08
 1.63653E+09 1.57761E+04 4.50817E-08
 1.64768E+09 1.38676E+04 4.06443E-08
 1.65873E+09 1.28233E+04 3.61410E-08
 1.67271E+09 1.26765E+04 3.01301E-08
 1.68939E+09 1.35519E+04 2.38781E-08
 1.70781E+09 1.42561E+04 1.97242E-08
