#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
1.538107E+04 1.534543E+37 5.519406E+37 7.200446E+37 6.536172E+37
1.533507E+04 1.551994E+37 5.572906E+37 7.303077E+37 6.593396E+37
1.528935E+04 1.569012E+37 5.629257E+37 7.403281E+37 6.740934E+37
1.524390E+04 1.586534E+37 5.693020E+37 7.474452E+37 6.870775E+37
1.519872E+04 1.603996E+37 5.751433E+37 7.546533E+37 6.962179E+37
1.515381E+04 1.621084E+37 5.811474E+37 7.618595E+37 7.066784E+37
1.510916E+04 1.636773E+37 5.866413E+37 7.712310E+37 7.168771E+37
1.506478E+04 1.652641E+37 5.921707E+37 7.814636E+37 7.284681E+37
1.502065E+04 1.669058E+37 5.981869E+37 7.916076E+37 7.414522E+37
1.497679E+04 1.683348E+37 6.046438E+37 8.019271E+37 7.522395E+37
1.493317E+04 1.698314E+37 6.109954E+37 8.123568E+37 7.600264E+37
1.488982E+04 1.715386E+37 6.170553E+37 8.214199E+37 7.647436E+37
1.484671E+04 1.731568E+37 6.233497E+37 8.271175E+37 7.713792E+37
1.480385E+04 1.747503E+37 6.293431E+37 8.325729E+37 7.763499E+37
1.476124E+04 1.764175E+37 6.358897E+37 8.411920E+37 7.848263E+37
1.471887E+04 1.780213E+37 6.425046E+37 8.498413E+37 7.936281E+37
1.467674E+04 1.797758E+37 6.490571E+37 8.556742E+37 8.048063E+37
1.463486E+04 1.815072E+37 6.553728E+37 8.523054E+37 8.139568E+37
1.459321E+04 1.832243E+37 6.625213E+37 8.479797E+37 8.214313E+37
1.455180E+04 1.848558E+37 6.699080E+37 8.461057E+37 8.318433E+37
1.451063E+04 1.865250E+37 6.771417E+37 8.436156E+37 8.385135E+37
1.446969E+04 1.881782E+37 6.849647E+37 8.474739E+37 8.486560E+37
1.442897E+04 1.899380E+37 6.925485E+37 8.564101E+37 8.662598E+37
1.438849E+04 1.916647E+37 6.998409E+37 8.721704E+37 8.803126E+37
1.434823E+04 1.933670E+37 7.074113E+37 8.881226E+37 8.883713E+37
1.430820E+04 1.949457E+37 7.146047E+37 8.993291E+37 8.966425E+37
1.426839E+04 1.963948E+37 7.213497E+37 9.128895E+37 9.082247E+37
1.422880E+04 1.979411E+37 7.274083E+37 9.270263E+37 9.158928E+37
1.418943E+04 1.995049E+37 7.337725E+37 9.386671E+37 9.281866E+37
1.415028E+04 2.010258E+37 7.394534E+37 9.546145E+37 9.408454E+37
1.411134E+04 2.026552E+37 7.455449E+37 9.681890E+37 9.504579E+37
1.407261E+04 2.043156E+37 7.525020E+37 9.791913E+37 9.546183E+37
1.403410E+04 2.060283E+37 7.591558E+37 9.896832E+37 9.542533E+37
1.399580E+04 2.076589E+37 7.669794E+37 9.974126E+37 9.558920E+37
1.395771E+04 2.093344E+37 7.748913E+37 1.006259E+38 9.635731E+37
1.391982E+04 2.109392E+37 7.823911E+37 1.013927E+38 9.655660E+37
1.388214E+04 2.125614E+37 7.901358E+37 1.023485E+38 9.668306E+37
1.384466E+04 2.145283E+37 7.978918E+37 1.032448E+38 9.714249E+37
1.380739E+04 2.165392E+37 8.053939E+37 1.044090E+38 9.774144E+37
1.377031E+04 2.186324E+37 8.131800E+37 1.053724E+38 9.861235E+37
1.373343E+04 2.206007E+37 8.207199E+37 1.059935E+38 9.959062E+37
1.369675E+04 2.224264E+37 8.310415E+37 1.062869E+38 1.005611E+38
1.366027E+04 2.242265E+37 8.426820E+37 1.068132E+38 1.012862E+38
1.362398E+04 2.263470E+37 8.529706E+37 1.073830E+38 1.015106E+38
1.358788E+04 2.289094E+37 8.614212E+37 1.074791E+38 1.018929E+38
1.355197E+04 2.315475E+37 8.692389E+37 1.076402E+38 1.024704E+38
1.351625E+04 2.339029E+37 8.765966E+37 1.074864E+38 1.032828E+38
