#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8 ni9
1.7888e+04 2.2550e-02 9.7745e-01 3.0255e-10 5.6174e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 2.2387e-01 7.7613e-01 3.1181e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 8.0672e-01 1.9328e-01 4.3575e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 9.4505e-01 5.4950e-02 1.2447e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 9.7853e-01 2.1465e-02 1.6493e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 9.9223e-01 7.7722e-03 2.2519e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 9.9637e-01 3.6277e-03 9.4777e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 9.9799e-01 2.0066e-03 7.7476e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 9.9916e-01 8.3866e-04 2.3735e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 9.9970e-01 2.9911e-04 3.9490e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 9.9980e-01 2.0030e-04 6.3301e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 9.9984e-01 1.6109e-04 1.8624e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 9.9981e-01 1.8847e-04 1.9925e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 9.9951e-01 4.9291e-04 3.1068e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 1.0000e+00 4.8373e-06 1.1426e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 1.0000e+00 4.8103e-06 2.6384e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.0000e+00 6.3387e-07 2.9720e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 1.0000e+00 1.9386e-06 1.4022e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 4.6974e-04 9.9953e-01 1.1172e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 7.3427e-01 2.6573e-01 8.5604e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 1.6643e-02 9.8336e-01 7.8912e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 9.9979e-01 2.1226e-04 5.8311e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 9.2108e-01 7.8925e-02 7.7560e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 9.9994e-01 6.0810e-05 2.4343e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 1.0000e+00 9.4395e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 9.8617e-01 1.3828e-02 1.3991e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 9.9999e-01 6.9335e-06 2.4114e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 9.9999e-01 7.7226e-06 2.1754e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 9.9932e-01 6.8283e-04 7.3524e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 9.9999e-01 8.2368e-06 1.0377e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 9.9974e-01 2.6365e-04 1.0565e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 1.5795e-02 9.8421e-01 3.0132e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 9.9993e-01 7.1472e-05 4.6035e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 9.9975e-01 2.5106e-04 2.0668e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 9.9870e-01 1.3036e-03 3.5640e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 8.5837e-01 1.4163e-01 1.3301e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 6.7759e-01 3.2241e-01 3.9580e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 9.9988e-01 1.1993e-04 2.7584e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 9.9936e-01 6.3738e-04 5.4609e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 1.1546e-02 9.8845e-01 1.9835e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 1.2875e-03 9.9871e-01 2.6484e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 9.9692e-01 3.0803e-03 4.6110e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 8.3620e-01 1.6380e-01 2.0528e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 9.9996e-01 3.5927e-05 7.1620e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 9.9996e-01 4.1038e-05 9.5667e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 9.9997e-01 3.0198e-05 3.1137e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 9.9997e-01 3.3939e-05 4.5458e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 9.9993e-01 7.0931e-05 5.4611e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 9.9997e-01 2.7982e-05 2.4313e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 9.9994e-01 5.6059e-05 2.0878e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 9.9985e-01 1.5117e-04 1.7663e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.4999
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8 ni9
4.4010e+02 5.7659e-35 2.8773e-25 6.5944e-17 1.1726e-09 3.1046e-04 3.2658e-01 6.7078e-01 2.3319e-03 6.0894e-09 7.8644e-19
8.8623e+02 1.9639e-26 1.5734e-18 6.1243e-12 2.1403e-06 1.7365e-02 8.5478e-01 1.2780e-01 5.0092e-05 2.4156e-11 9.6640e-22
9.0614e+02 2.3047e-27 2.1884e-19 1.0527e-12 4.8386e-07 6.6244e-03 7.0261e-01 2.9036e-01 4.0251e-04 9.0610e-10 2.2637e-19
9.4442e+02 1.6748e-27 1.6293e-19 8.0826e-13 3.8610e-07 5.6895e-03 6.7271e-01 3.2107e-01 5.3228e-04 1.4905e-09 4.8267e-19
9.9911e+02 1.7136e-27 1.6642e-19 8.2376e-13 3.9243e-07 5.7527e-03 6.7491e-01 3.1881e-01 5.2181e-04 1.4385e-09 4.5724e-19
1.0608e+03 1.6613e-27 1.6176e-19 8.0329e-13 3.8417e-07 5.6710e-03 6.7209e-01 3.2170e-01 5.3521e-04 1.5049e-09 4.8971e-19
1.1257e+03 1.6563e-27 1.6119e-19 8.0018e-13 3.8264e-07 5.6539e-03 6.7142e-01 3.2238e-01 5.3857e-04 1.5225e-09 4.9872e-19
1.1944e+03 1.5573e-27 1.5207e-19 7.5866e-13 3.6520e-07 5.4749e-03 6.6488e-01 3.2907e-01 5.7115e-04 1.6923e-09 5.8644e-19
1.2673e+03 1.2449e-27 1.2316e-19 6.2584e-13 3.0866e-07 4.8739e-03 6.4105e-01 3.5338e-01 7.0227e-04 2.4579e-09 1.0394e-18
1.3448e+03 3.6368e-28 3.8984e-20 2.2074e-13 1.2456e-07 2.5770e-03 5.0996e-01 4.8556e-01 1.9101e-03 1.5426e-08 1.7678e-17
1.4269e+03 1.9197e-29 2.4934e-21 1.8294e-14 1.3975e-08 5.1528e-04 2.4411e-01 7.4295e-01 1.2418e-02 5.8658e-07 5.4969e-15
1.5140e+03 5.7397e-31 9.4479e-23 9.5159e-16 1.0306e-09 6.9994e-05 8.3182e-02 8.5268e-01 6.4049e-02 1.8784e-05 1.5334e-12
1.6065e+03 2.8802e-32 5.8394e-24 7.7516e-17 1.1284e-10 1.2331e-05 2.9939e-02 7.8336e-01 1.8647e-01 2.2069e-04 9.3649e-11
1.7047e+03 1.9491e-33 4.6595e-25 7.7797e-18 1.4482e-11 2.3340e-06 1.0354e-02 6.0255e-01 3.8558e-01 1.5152e-03 2.6626e-09
1.8088e+03 1.0005e-34 2.7996e-26 5.8834e-19 1.4053e-12 3.3151e-07 2.7067e-03 3.5702e-01 6.3172e-01 8.5591e-03 6.5295e-08
1.9193e+03 3.3358e-36 1.1069e-27 2.9907e-20 9.4134e-14 3.2857e-08 5.0590e-04 1.5684e-01 8.0305e-01 3.9603e-02 1.3967e-06
2.0365e+03 8.0886e-38 3.2041e-29 1.1276e-21 4.7760e-15 2.4642e-09 7.1888e-05 5.3059e-02 8.0015e-01 1.4670e-01 2.4491e-05
2.1609e+03 1.3360e-39 6.4244e-31 3.0051e-23 1.7642e-16 1.3525e-10 7.4764e-06 1.3174e-02 5.8670e-01 3.9980e-01 3.1454e-04
2.2929e+03 1.5476e-41 9.2906e-33 5.9163e-25 4.9627e-18 5.6879e-12 5.8319e-07 2.3672e-03 2.9604e-01 6.9923e-01 2.3649e-03
2.4330e+03 1.2191e-43 9.3130e-35 8.2294e-27 1.0139e-19 1.7604e-13 3.3353e-08 3.1036e-04 1.0843e-01 8.7871e-01 1.2550e-02
2.5816e+03 1.4013e-45 1.2398e-36 1.4770e-28 2.6048e-21 6.6062e-15 2.1572e-09 4.2128e-05 3.7143e-02 9.1502e-01 4.7797e-02
2.7393e+03 0.0000e+00 3.8804e-38 5.8472e-30 1.3744e-22 4.7096e-16 2.3378e-10 8.0918e-06 1.4684e-02 8.6169e-01 1.2361e-01
2.9067e+03 0.0000e+00 3.3119e-39 5.9449e-31 1.7260e-23 7.3705e-17 4.8907e-11 2.4953e-06 7.3742e-03 7.7478e-01 2.1784e-01
3.0842e+03 0.0000e+00 8.3442e-40 1.7055e-31 5.7129e-24 2.8240e-17 2.2209e-11 1.3893e-06 5.2170e-03 7.2020e-01 2.7458e-01
3.2726e+03 0.0000e+00 6.9040e-40 1.5275e-31 5.4752e-24 2.8879e-17 2.3741e-11 1.5072e-06 5.5673e-03 7.3425e-01 2.6019e-01
3.4725e+03 0.0000e+00 1.5732e-39 3.5833e-31 1.2826e-23 6.7058e-17 5.1561e-11 2.8223e-06 8.2691e-03 7.9924e-01 1.9249e-01
3.6846e+03 0.0000e+00 1.1779e-38 2.6159e-30 8.6650e-23 4.1362e-16 2.5892e-10 9.9195e-06 1.7539e-02 8.8558e-01 9.6869e-02
3.9097e+03 0.0000e+00 2.9088e-37 6.0193e-29 1.7308e-21 7.0026e-15 3.0587e-09 6.4822e-05 5.0999e-02 9.2002e-01 2.8915e-02
4.1484e+03 4.2039e-45 6.4333e-36 1.1884e-27 2.8937e-20 9.6323e-14 2.8763e-08 3.4099e-04 1.2488e-01 8.6615e-01 8.6268e-03
4.4019e+03 1.9618e-44 3.0968e-35 5.2020e-27 1.1301e-19 3.3067e-13 8.0238e-08 7.1309e-04 1.8186e-01 8.1261e-01 4.8163e-03
4.6708e+03 1.2612e-44 2.0515e-35 3.5786e-27 8.0985e-20 2.4750e-13 6.3569e-08 6.0617e-04 1.6794e-01 8.2599e-01 5.4614e-03
4.9561e+03 2.8026e-45 5.0770e-36 1.0288e-27 2.7251e-20 9.8072e-14 3.0613e-08 3.6638e-04 1.3121e-01 8.6059e-01 7.8331e-03
5.2588e+03 0.0000e+00 1.5274e-36 3.5672e-28 1.0940e-20 4.5744e-14 1.6904e-08 2.4420e-04 1.0744e-01 8.8207e-01 1.0242e-02
5.5800e+03 0.0000e+00 6.8965e-37 1.7613e-28 5.9287e-21 2.7281e-14 1.1259e-08 1.8445e-04 9.3328e-02 8.9419e-01 1.2300e-02
5.9209e+03 0.0000e+00 6.9512e-37 1.8514e-28 6.4596e-21 3.0670e-14 1.2741e-08 2.0477e-04 9.9288e-02 8.8935e-01 1.1153e-02
6.2825e+03 0.0000e+00 1.2253e-36 3.3118e-28 1.1569e-20 5.4404e-14 2.1161e-08 3.0066e-04 1.2229e-01 8.6924e-01 8.1740e-03
6.6663e+03 1.4013e-45 2.8568e-36 7.6159e-28 2.5867e-20 1.1667e-13 4.0799e-08 4.8845e-04 1.5777e-01 8.3624e-01 5.4975e-03
7.0735e+03 4.2039e-45 1.0119e-35 2.6070e-27 8.3991e-20 3.5173e-13 1.0424e-07 9.6704e-04 2.2301e-01 7.7299e-01 3.0370e-03
7.5056e+03 2.3822e-44 6.5807e-35 1.6262e-26 4.8951e-19 1.8390e-12 4.2187e-07 2.6312e-03 3.5837e-01 6.3788e-01 1.1142e-03
7.9641e+03 2.2561e-43 6.0879e-34 1.4043e-25 3.8439e-18 1.2380e-11 2.0410e-06 7.7645e-03 5.5407e-01 4.3788e-01 2.8610e-04
8.4505e+03 2.8881e-42 7.3898e-33 1.5184e-24 3.6174e-17 9.3857e-11 1.0304e-05 2.1934e-02 7.4416e-01 2.3385e-01 5.0456e-05
8.9668e+03 8.6177e-41 2.0280e-31 3.5127e-23 6.8770e-16 1.2856e-09 7.8133e-05 7.2487e-02 8.5474e-01 7.2697e-02 3.2708e-06
9.5145e+03 9.1369e-39 1.8693e-29 2.5120e-21 3.7050e-14 4.1334e-08 1.0357e-03 2.8245e-01 7.0760e-01 8.9091e-03 4.0673e-08
1.0096e+04 3.4251e-36 5.4794e-27 5.0377e-19 4.8623e-12 2.4092e-06 1.6444e-02 7.7121e-01 2.1217e-01 1.7762e-04 3.1877e-11
1.0712e+04 7.4761e-33 7.9512e-24 4.1969e-16 2.0598e-09 2.6810e-04 2.4105e-01 7.5168e-01 7.0079e-03 9.3205e-08 1.2010e-16
1.1367e+04 6.0824e-29 3.6529e-20 9.6735e-13 1.6047e-06 2.4398e-02 9.3293e-01 4.2667e-02 2.0338e-06 4.2120e-14 2.4303e-26
1.2062e+04 1.0738e-24 3.1938e-16 3.8933e-09 1.1452e-03 7.1996e-01 2.7887e-01 2.6779e-05 5.7400e-13 9.3248e-25 6.7753e-42
1.2794e+04 4.0692e-21 5.8645e-13 2.7931e-06 7.8423e-02 9.2032e-01 1.2574e-03 5.9382e-11 9.6068e-23 1.3884e-39 0.0000e+00
1.3528e+04 3.2466e-18 2.6619e-10 4.2345e-04 8.5978e-01 1.3979e-01 4.5877e-07 5.8105e-18 3.4266e-34 0.0000e+00 0.0000e+00
1.4194e+04 3.5569e-16 2.0819e-08 9.5208e-03 9.8919e-01 1.2844e-03 4.5446e-12 4.3136e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.4758e+04 6.2764e-14 2.3906e-06 2.2717e-01 7.7282e-01 4.4756e-06 8.1960e-18 1.9075e-37 0.0000e+00 0.0000e+00 0.0000e+00
1.5240e+04 3.1813e-12 6.6500e-05 9.3961e-01 6.0322e-02 7.0904e-10 2.3904e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5647e+04 1.0656e-10 7.6593e-04 9.9854e-01 6.9171e-04 8.5660e-15 2.5051e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5960e+04 5.2749e-09 1.0107e-02 9.8989e-01 5.9862e-06 6.1899e-20 1.2191e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6187e+04 7.0522e-07 2.5418e-01 7.4582e-01 5.3318e-09 1.8647e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 2.0575e-05 9.6949e-01 3.0485e-02 2.6605e-14 7.8656e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 7.2450e-05 9.9865e-01 1.2800e-03 1.3548e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 1.1721e-04 9.9962e-01 2.6035e-04 7.7911e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 1.7583e-04 9.9975e-01 7.3892e-05 1.3928e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 2.6637e-04 9.9971e-01 2.2883e-05 3.5394e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 4.2426e-04 9.9957e-01 6.7780e-06 8.3557e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 6.4534e-04 9.9935e-01 2.2835e-06 2.9626e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 1.3746e-03 9.9863e-01 3.5544e-07 1.0615e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 3.6013e-03 9.9640e-01 3.0813e-08 6.2624e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 2.2521e-02 9.7748e-01 2.8005e-10 4.2117e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 2.1007e-01 7.8993e-01 3.6154e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 7.1959e-01 2.8041e-01 2.2131e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 9.3715e-01 6.2853e-02 2.0234e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 9.8248e-01 1.7519e-02 6.6018e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 9.9200e-01 7.9955e-03 2.3053e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 9.9612e-01 3.8827e-03 1.1188e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 9.9820e-01 1.7974e-03 4.7720e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 9.9870e-01 1.3029e-03 1.0777e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 9.9932e-01 6.8359e-04 7.5809e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 9.9973e-01 2.7049e-04 1.7888e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 9.9986e-01 1.3510e-04 8.8808e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 9.9983e-01 1.7495e-04 1.3968e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 9.9997e-01 2.5689e-05 7.4475e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 9.2775e-01 7.2254e-02 6.7327e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 9.9999e-01 1.2842e-05 6.9155e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 9.9923e-01 7.7391e-04 8.4821e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 7.0661e-03 9.9293e-01 3.1952e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 1.0350e-03 9.9897e-01 3.4338e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 9.4677e-01 5.3233e-02 7.2244e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 1.3879e-01 8.6121e-01 2.5922e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 9.9998e-01 2.2926e-05 2.3015e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 9.9472e-01 5.2769e-03 1.9486e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 9.9999e-01 5.1856e-06 3.5453e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 1.1930e-02 9.8807e-01 1.7625e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 9.9908e-01 9.2217e-04 8.6481e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 1.0000e+00 1.5537e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 1.0000e+00 2.0717e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 9.9997e-01 3.3423e-05 2.1700e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 1.0000e+00 1.3145e-06 1.2612e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
