#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
#vel_mid[km/s] ca0 ca1 ca2 ca3
440.10 1.3585e-08 5.9479e-04 8.9615e-01 1.0325e-01
886.22 5.3364e-08 1.8219e-03 8.9784e-01 1.0034e-01
906.14 6.6133e-08 2.0316e-03 8.9242e-01 1.0554e-01
944.43 3.8004e-08 1.3102e-03 8.9867e-01 1.0002e-01
999.11 3.5120e-08 1.2250e-03 8.9826e-01 1.0051e-01
1060.83 2.9897e-08 9.3348e-04 8.9602e-01 1.0304e-01
1125.62 2.1781e-08 7.6207e-04 8.9573e-01 1.0351e-01
1194.38 1.9744e-08 8.1093e-04 8.9857e-01 1.0062e-01
1267.34 2.2339e-08 8.7632e-04 9.0381e-01 9.5311e-02
1344.75 1.3320e-08 5.3215e-04 9.0034e-01 9.9129e-02
1426.89 2.2434e-08 8.2921e-04 9.0143e-01 9.7741e-02
1514.05 2.6159e-08 9.6094e-04 9.0355e-01 9.5490e-02
1606.54 2.3480e-08 8.2598e-04 9.0754e-01 9.1633e-02
1704.67 1.9280e-08 6.7829e-04 9.0741e-01 9.1915e-02
1808.80 1.5554e-08 5.9035e-04 9.0956e-01 8.9854e-02
1919.29 1.5999e-08 6.0498e-04 9.0859e-01 9.0803e-02
2036.53 1.5129e-08 5.8893e-04 9.0282e-01 9.6595e-02
2160.92 1.5709e-08 6.5555e-04 8.9973e-01 9.9615e-02
2292.92 1.2318e-08 5.4000e-04 8.9305e-01 1.0641e-01
2432.98 1.0990e-08 5.4622e-04 8.8312e-01 1.1633e-01
2581.60 7.2256e-09 4.4825e-04 8.7272e-01 1.2683e-01
2739.29 5.8427e-09 4.2438e-04 8.6055e-01 1.3902e-01
2906.62 4.7045e-09 4.1902e-04 8.4271e-01 1.5687e-01
3084.17 3.6503e-09 4.1121e-04 8.0975e-01 1.8984e-01
3272.56 2.7814e-09 3.9229e-04 7.4545e-01 2.5416e-01
3472.46 2.2736e-09 4.0372e-04 6.5804e-01 3.4155e-01
3684.57 1.6079e-09 3.4811e-04 5.6315e-01 4.3650e-01
3909.64 8.4992e-10 2.4121e-04 4.8951e-01 5.1025e-01
4148.46 7.5674e-10 2.5296e-04 5.0041e-01 4.9934e-01
4401.86 8.5260e-10 2.9127e-04 5.5337e-01 4.4634e-01
4670.75 7.4141e-10 2.8827e-04 5.3696e-01 4.6275e-01
4956.05 3.2596e-10 1.8146e-04 4.3671e-01 5.6311e-01
5258.79 1.0826e-10 9.1319e-05 2.5954e-01 7.4036e-01
5580.02 3.0492e-11 3.5588e-05 1.2242e-01 8.7755e-01
5920.87 1.3002e-11 1.8564e-05 8.6999e-02 9.1298e-01
6282.54 7.9103e-12 1.2727e-05 7.2370e-02 9.2762e-01
6666.30 6.1931e-12 1.0670e-05 6.9433e-02 9.3056e-01
7073.50 5.5070e-12 9.7051e-06 6.9478e-02 9.3051e-01
7505.58 5.2343e-12 9.2303e-06 7.2019e-02 9.2797e-01
7964.05 6.5512e-12 1.1194e-05 8.3332e-02 9.1666e-01
8450.53 1.1502e-11 1.6791e-05 1.0994e-01 8.9005e-01
8966.72 2.5792e-11 2.9537e-05 1.8385e-01 8.1612e-01
9514.44 6.8009e-11 5.4735e-05 3.0642e-01 6.9353e-01
10095.62 1.4907e-10 7.8424e-05 4.4181e-01 5.5811e-01
10712.30 3.2248e-10 1.1245e-04 5.3221e-01 4.6768e-01
11366.65 4.2718e-10 1.1746e-04 5.9094e-01 4.0894e-01
12061.10 3.7910e-10 9.3845e-05 6.5127e-01 3.4864e-01
12793.43 3.6162e-10 7.8835e-05 6.6462e-01 3.3530e-01
13528.61 4.3523e-10 7.7626e-05 6.3496e-01 3.6497e-01
14194.74 4.2242e-10 6.6140e-05 6.2561e-01 3.7432e-01
14757.77 4.5458e-10 6.3560e-05 5.4577e-01 4.5416e-01
15240.48 7.6731e-10 8.8009e-05 5.2780e-01 4.7211e-01
15646.99 2.2801e-09 1.7509e-04 5.2791e-01 4.7192e-01
15960.30 8.0499e-09 3.6419e-04 5.3948e-01 4.6015e-01
16187.41 1.6575e-08 6.0367e-04 5.2186e-01 4.7754e-01
16354.17 2.0138e-08 7.2272e-04 5.2236e-01 4.7692e-01
16484.18 1.8670e-08 6.7295e-04 4.9021e-01 5.0912e-01
16593.12 1.3693e-08 5.6086e-04 3.9844e-01 6.0100e-01
16691.99 8.6894e-09 3.7174e-04 4.1363e-01 5.8600e-01
16788.59 1.0869e-08 4.5595e-04 3.9667e-01 6.0287e-01
16888.37 8.0353e-09 3.8887e-04 3.6515e-01 6.3446e-01
16998.79 7.6291e-09 3.7642e-04 3.2953e-01 6.7009e-01
17146.37 7.2668e-09 3.9681e-04 2.9810e-01 7.0151e-01
17415.23 6.0889e-09 3.5178e-04 2.8880e-01 7.1085e-01
17888.12 3.9413e-09 2.8022e-04 2.3457e-01 7.6515e-01
18532.37 2.7335e-09 2.1416e-04 2.0700e-01 7.9279e-01
19260.76 1.9077e-09 1.6213e-04 1.9505e-01 8.0479e-01
20034.10 1.1497e-09 1.1229e-04 1.5619e-01 8.4370e-01
20838.00 7.5490e-10 7.5068e-05 1.2875e-01 8.7118e-01
21647.97 7.7795e-10 7.2556e-05 1.2679e-01 8.7314e-01
22447.94 5.0172e-10 5.0636e-05 1.1633e-01 8.8362e-01
23245.88 3.7099e-10 3.9872e-05 9.7946e-02 9.0201e-01
24052.47 2.6752e-10 3.1496e-05 8.5944e-02 9.1402e-01
24867.72 1.8545e-10 2.2285e-05 6.7405e-02 9.3257e-01
25698.86 1.2680e-10 1.6581e-05 5.0741e-02 9.4924e-01
26587.16 7.4810e-11 1.0619e-05 7.5090e-02 9.2490e-01
27637.54 3.0347e-11 4.4211e-06 6.4332e-02 9.3566e-01
28986.97 2.7477e-11 5.1496e-06 9.3732e-02 9.0626e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] ca0 ca1 ca2 ca3
