#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] k0 k1 k2 k3 k4 k5
2.4330e+03 4.8820e-34 8.8758e-27 7.2318e-19 1.1115e-11 4.7726e-05 9.9995e-01
2.5816e+03 1.0869e-34 2.4008e-27 2.4839e-19 4.9470e-12 3.1239e-05 9.9997e-01
2.7393e+03 3.3849e-35 8.7300e-28 1.0909e-19 2.6599e-12 2.2607e-05 9.9998e-01
2.9067e+03 1.4295e-35 4.1789e-28 6.0432e-20 1.7181e-12 1.8033e-05 9.9998e-01
3.0842e+03 7.8256e-36 2.5494e-28 4.1310e-20 1.3184e-12 1.5767e-05 9.9998e-01
3.2726e+03 5.8180e-36 2.0580e-28 3.5838e-20 1.2249e-12 1.5252e-05 9.9998e-01
3.4725e+03 5.7436e-36 2.1430e-28 3.8495e-20 1.3460e-12 1.6120e-05 9.9998e-01
3.6846e+03 6.9930e-36 2.7203e-28 4.9205e-20 1.7080e-12 1.8411e-05 9.9998e-01
3.9097e+03 8.8079e-36 3.6464e-28 6.7104e-20 2.3200e-12 2.1886e-05 9.9998e-01
4.1484e+03 1.3244e-35 5.5348e-28 9.9133e-20 3.2701e-12 2.6448e-05 9.9997e-01
4.4019e+03 2.0144e-35 8.0390e-28 1.3547e-19 4.1676e-12 3.0085e-05 9.9997e-01
4.6708e+03 1.5980e-35 6.6077e-28 1.1587e-19 3.7184e-12 2.8355e-05 9.9997e-01
4.9561e+03 7.3872e-36 3.4965e-28 7.0713e-20 2.6291e-12 2.3751e-05 9.9998e-01
5.2588e+03 3.5730e-36 1.9322e-28 4.4859e-20 1.9199e-12 2.0248e-05 9.9998e-01
5.5800e+03 2.4784e-36 1.4398e-28 3.5931e-20 1.6536e-12 1.8785e-05 9.9998e-01
5.9209e+03 2.1264e-36 1.2967e-28 3.3730e-20 1.6114e-12 1.8610e-05 9.9998e-01
6.2825e+03 2.0479e-36 1.3003e-28 3.4765e-20 1.6940e-12 1.9208e-05 9.9998e-01
6.6663e+03 2.3046e-36 1.4845e-28 3.9680e-20 1.9150e-12 2.0583e-05 9.9998e-01
7.0735e+03 2.9066e-36 1.8824e-28 4.9598e-20 2.3285e-12 2.2946e-05 9.9998e-01
7.5056e+03 3.8343e-36 2.5408e-28 6.6532e-20 3.0384e-12 2.6658e-05 9.9997e-01
7.9641e+03 6.0709e-36 4.0294e-28 1.0216e-19 4.3942e-12 3.2734e-05 9.9997e-01
8.4505e+03 1.2766e-35 8.1023e-28 1.8937e-19 7.2635e-12 4.3103e-05 9.9996e-01
8.9668e+03 3.7648e-35 2.2272e-27 4.6171e-19 1.4919e-11 6.3957e-05 9.9994e-01
9.5145e+03 1.9651e-34 1.0386e-26 1.7911e-18 4.4161e-11 1.1610e-04 9.9988e-01
1.0096e+04 2.4720e-33 1.0830e-25 1.3987e-17 2.2358e-10 2.8331e-04 9.9972e-01
1.0712e+04 1.1669e-31 3.9510e-24 3.3381e-16 2.6831e-09 1.1209e-03 9.9888e-01
1.1367e+04 6.2401e-29 1.4591e-21 6.0889e-14 1.4929e-07 1.0441e-02 9.8956e-01
1.2062e+04 6.4639e-25 1.0444e-17 1.4013e-10 5.1884e-05 2.4529e-01 7.5466e-01
1.2794e+04 3.5796e-21 4.7895e-14 1.4365e-07 5.1116e-03 9.4978e-01 4.5113e-02
1.3528e+04 6.0086e-18 7.6842e-11 4.4314e-05 1.3420e-01 8.6524e-01 5.2074e-04
1.4194e+04 4.6714e-15 5.9473e-08 4.9513e-03 8.7472e-01 1.2033e-01 4.7519e-07
1.4758e+04 1.5905e-12 2.1478e-05 1.6246e-01 8.3656e-01 9.6251e-04 6.9821e-12
1.5240e+04 2.2465e-10 2.5769e-03 9.3649e-01 6.0936e-02 2.0872e-07 7.3417e-19
1.5647e+04 8.3779e-09 7.0508e-02 9.2896e-01 5.3683e-04 3.6182e-12 3.5623e-27
1.5960e+04 1.4228e-07 7.7016e-01 2.2984e-01 6.2487e-07 3.7191e-18 3.4941e-37
1.6187e+04 2.8424e-07 9.9602e-01 3.9761e-03 2.3177e-11 4.2519e-26 0.0000e+00
1.6354e+04 4.1942e-07 9.9997e-01 3.1615e-05 1.7566e-16 3.2863e-35 0.0000e+00
1.6484e+04 5.9804e-07 1.0000e+00 1.4615e-07 3.3501e-22 1.4013e-45 0.0000e+00
1.6593e+04 7.2875e-07 1.0000e+00 1.0622e-09 1.7574e-27 0.0000e+00 0.0000e+00
1.6692e+04 8.0969e-07 1.0000e+00 2.1327e-11 1.0761e-31 0.0000e+00 0.0000e+00
1.6788e+04 8.0487e-07 1.0000e+00 1.2540e-12 8.9703e-35 0.0000e+00 0.0000e+00
1.6888e+04 7.9003e-07 1.0000e+00 1.4740e-13 4.1693e-37 0.0000e+00 0.0000e+00
1.6999e+04 7.9052e-07 1.0000e+00 2.3102e-14 4.0030e-39 0.0000e+00 0.0000e+00
1.7146e+04 8.0646e-07 1.0000e+00 3.7033e-15 4.0911e-41 0.0000e+00 0.0000e+00
1.7416e+04 8.7168e-07 1.0000e+00 2.6792e-16 5.8855e-44 0.0000e+00 0.0000e+00
1.7888e+04 1.1359e-06 1.0000e+00 2.6623e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 1.6946e-06 1.0000e+00 1.8040e-20 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 2.3862e-06 1.0000e+00 1.7377e-22 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 3.1446e-06 1.0000e+00 2.1540e-24 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 4.0015e-06 1.0000e+00 3.7995e-26 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 5.0428e-06 9.9999e-01 9.4531e-28 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 5.8858e-06 9.9999e-01 2.8411e-29 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 6.6195e-06 9.9999e-01 1.0389e-30 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 7.4357e-06 9.9999e-01 5.0306e-32 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 8.1450e-06 9.9999e-01 3.6817e-33 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 8.3856e-06 9.9999e-01 3.9221e-34 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 7.9885e-06 9.9999e-01 4.3309e-35 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 7.4080e-06 9.9999e-01 1.8864e-36 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 6.7458e-06 9.9999e-01 1.2861e-38 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 3.1133e-06 1.0000e+00 1.8483e-39 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 8.4897e-07 1.0000e+00 1.1335e-39 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.7280e-07 1.0000e+00 4.9906e-39 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 5.3691e-08 1.0000e+00 4.5327e-38 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 2.4761e-08 1.0000e+00 4.4729e-37 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 1.6831e-08 1.0000e+00 9.6824e-37 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 1.4420e-08 1.0000e+00 3.5164e-37 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 1.5076e-08 1.0000e+00 1.7687e-38 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 1.9400e-08 1.0000e+00 1.7348e-40 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 2.7988e-08 1.0000e+00 6.6842e-43 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 3.9026e-08 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 3.2898e-08 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
