#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
16484.18 4.14e-08 2.15e-01 7.85e-01 4.43e-08 1.38e-26 1.42e-36 6.20e-37 
16593.12 6.06e-08 2.98e-01 7.02e-01 3.77e-09 9.72e-29 2.01e-36 8.81e-37 
16691.99 7.53e-08 3.95e-01 6.05e-01 2.49e-09 2.07e-29 2.64e-36 1.16e-36 
16788.59 9.53e-08 4.56e-01 5.44e-01 9.78e-10 4.01e-30 3.33e-36 1.47e-36 
16888.37 1.43e-07 5.74e-01 4.26e-01 9.43e-11 1.25e-32 4.20e-36 1.85e-36 
16998.79 1.50e-07 6.58e-01 3.42e-01 5.13e-11 4.62e-33 5.47e-36 2.42e-36 
17146.37 1.97e-07 7.54e-01 2.46e-01 9.91e-12 1.15e-34 7.44e-36 3.30e-36 
17415.23 3.23e-07 8.93e-01 1.07e-01 3.37e-13 1.97e-35 1.14e-35 5.09e-36 
17888.12 4.39e-07 9.72e-01 2.83e-02 2.12e-15 3.84e-35 2.25e-35 1.01e-35 
18532.37 7.27e-07 9.95e-01 4.69e-03 4.11e-18 6.45e-35 3.81e-35 1.73e-35 
19260.76 9.85e-07 9.99e-01 1.06e-03 3.48e-20 9.75e-35 5.81e-35 2.66e-35 
20034.10 1.02e-06 1.00e+00 2.50e-04 2.77e-22 1.45e-34 8.69e-35 4.01e-35 
20838.00 1.06e-06 1.00e+00 6.89e-05 1.02e-24 2.11e-34 1.27e-34 5.91e-35 
21647.97 1.35e-06 1.00e+00 3.32e-05 4.93e-26 2.92e-34 1.77e-34 8.26e-35 
22447.94 1.95e-06 1.00e+00 3.69e-06 5.84e-29 4.30e-34 2.61e-34 1.23e-34 
23245.88 2.22e-06 1.00e+00 6.42e-07 1.14e-33 6.58e-34 4.00e-34 1.89e-34 
24052.47 2.39e-06 1.00e+00 4.06e-07 7.57e-32 1.02e-33 6.20e-34 2.95e-34 
24867.72 2.74e-06 1.00e+00 1.05e-07 2.72e-33 1.57e-33 9.60e-34 4.58e-34 
25698.86 3.30e-06 1.00e+00 4.92e-08 4.19e-33 2.42e-33 1.48e-33 7.11e-34 
26587.16 3.53e-06 1.00e+00 1.39e-08 6.24e-33 3.61e-33 2.21e-33 1.07e-33 
27637.54 4.33e-06 1.00e+00 1.69e-08 8.40e-33 4.86e-33 2.98e-33 1.44e-33 
28986.97 3.29e-06 1.00e+00 2.03e-09 1.03e-32 5.95e-33 3.66e-33 1.78e-33 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 6.15e-18 8.93e-11 1.43e-05 6.92e-02 9.08e-01 2.26e-02 4.80e-07 
999.11 2.31e-19 4.17e-12 1.12e-06 1.37e-02 7.98e-01 1.88e-01 7.69e-05 
1267.34 5.31e-21 1.16e-13 4.74e-08 1.45e-03 3.76e-01 6.19e-01 3.54e-03 
1514.05 2.62e-22 6.49e-15 3.41e-09 1.95e-04 1.34e-01 8.36e-01 2.93e-02 
1808.80 1.46e-23 4.08e-16 2.76e-10 2.76e-05 4.31e-02 8.24e-01 1.33e-01 
1919.29 8.86e-25 2.85e-17 2.34e-11 3.77e-06 1.24e-02 6.34e-01 3.53e-01 
2160.92 2.60e-26 1.04e-18 1.09e-12 3.29e-07 2.56e-03 3.57e-01 6.40e-01 
2292.92 2.18e-27 8.68e-20 1.03e-13 5.15e-08 7.71e-04 2.10e-01 7.89e-01 
2432.98 5.52e-28 2.53e-20 3.48e-14 2.11e-08 4.07e-04 1.52e-01 8.47e-01 
2581.60 1.98e-28 9.87e-21 1.50e-14 1.08e-08 2.54e-04 1.19e-01 8.80e-01 
2739.29 8.14e-29 4.44e-21 7.37e-15 5.95e-09 1.64e-04 9.39e-02 9.06e-01 
2906.62 4.72e-29 2.85e-21 5.10e-15 4.49e-09 1.35e-04 8.45e-02 9.15e-01 
3084.17 2.82e-29 1.83e-21 3.56e-15 3.49e-09 1.16e-04 7.87e-02 9.21e-01 
3272.56 1.58e-29 1.14e-21 2.46e-15 2.71e-09 1.00e-04 7.42e-02 9.26e-01 
3472.46 1.26e-29 1.00e-21 2.35e-15 2.80e-09 1.08e-04 7.96e-02 9.20e-01 
3684.57 9.43e-30 8.43e-22 2.18e-15 2.83e-09 1.14e-04 8.57e-02 9.14e-01 
3909.64 6.50e-30 6.76e-22 1.98e-15 2.87e-09 1.24e-04 9.51e-02 9.05e-01 
4148.46 7.41e-30 8.15e-22 2.51e-15 3.74e-09 1.58e-04 1.12e-01 8.87e-01 
4401.86 1.73e-29 1.84e-21 5.37e-15 7.17e-09 2.56e-04 1.47e-01 8.53e-01 
4670.75 3.88e-29 4.14e-21 1.17e-14 1.41e-08 4.26e-04 1.91e-01 8.08e-01 
4956.05 4.06e-29 4.68e-21 1.42e-14 1.77e-08 5.22e-04 2.16e-01 7.84e-01 
5258.79 3.61e-29 4.65e-21 1.53e-14 2.02e-08 5.94e-04 2.34e-01 7.66e-01 
5580.02 5.60e-29 7.79e-21 2.65e-14 3.37e-08 8.83e-04 2.83e-01 7.16e-01 
5920.87 8.05e-29 1.14e-20 4.00e-14 5.02e-08 1.21e-03 3.32e-01 6.66e-01 
6282.54 1.23e-28 1.89e-20 6.79e-14 8.18e-08 1.76e-03 3.98e-01 6.00e-01 
6666.30 2.59e-28 4.07e-20 1.45e-13 1.62e-07 2.91e-03 4.96e-01 5.01e-01 
7073.50 6.48e-28 1.05e-19 3.66e-13 3.62e-07 5.16e-03 6.15e-01 3.80e-01 
7505.58 1.19e-27 2.02e-19 7.07e-13 6.55e-07 8.00e-03 7.20e-01 2.72e-01 
7964.05 3.97e-27 7.07e-19 2.39e-12 1.85e-06 1.60e-02 8.40e-01 1.44e-01 
8450.53 3.14e-26 5.54e-18 1.68e-11 9.22e-06 4.25e-02 9.10e-01 4.80e-02 
8966.72 2.42e-25 4.12e-17 1.10e-10 4.27e-05 1.06e-01 8.81e-01 1.30e-02 
9514.44 3.90e-24 6.45e-16 1.40e-09 3.13e-04 3.16e-01 6.82e-01 1.63e-03 
10095.62 1.32e-22 1.99e-14 3.02e-08 2.94e-03 7.64e-01 2.33e-01 3.83e-05 
10712.30 6.45e-21 8.49e-13 8.17e-07 2.55e-02 9.55e-01 1.98e-02 9.72e-08 
11366.65 6.56e-19 7.74e-11 4.00e-05 2.73e-01 7.27e-01 3.76e-04 7.71e-12 
12061.10 4.15e-17 4.75e-09 1.11e-03 9.34e-01 6.48e-02 8.48e-07 1.49e-17 
12793.43 1.80e-15 1.91e-07 1.69e-02 9.82e-01 8.63e-04 2.09e-12 9.28e-27 
13528.61 1.52e-13 1.32e-05 3.08e-01 6.92e-01 3.41e-06 4.37e-18 3.19e-32 
14194.74 2.03e-12 1.54e-04 9.21e-01 7.86e-02 7.88e-10 4.39e-25 5.82e-32 
14757.77 9.80e-12 5.90e-04 9.94e-01 5.70e-03 4.99e-13 9.45e-32 2.76e-32 
15240.48 4.92e-11 1.99e-03 9.98e-01 3.64e-04 4.23e-16 2.59e-37 2.29e-32 
15646.99 2.81e-10 6.83e-03 9.93e-01 3.39e-05 6.39e-19 3.71e-37 7.63e-35 
15960.30 2.12e-09 2.58e-02 9.74e-01 3.28e-06 1.27e-21 4.56e-37 2.18e-35 
16187.41 9.38e-09 7.03e-02 9.30e-01 4.98e-07 9.12e-24 6.79e-37 6.47e-36 
16354.17 2.48e-08 1.44e-01 8.56e-01 9.35e-08 1.24e-25 1.02e-36 6.80e-36 
16484.18 4.40e-08 2.30e-01 7.70e-01 1.16e-08 1.21e-27 1.51e-36 6.60e-37 
16593.12 5.91e-08 3.11e-01 6.89e-01 3.46e-09 7.29e-29 2.13e-36 9.36e-37 
16691.99 9.38e-08 4.40e-01 5.60e-01 5.69e-10 9.99e-31 2.81e-36 1.23e-36 
16788.59 1.17e-07 5.19e-01 4.81e-01 3.21e-10 2.63e-31 3.54e-36 1.56e-36 
16888.37 1.43e-07 5.69e-01 4.31e-01 1.18e-10 2.28e-32 4.47e-36 1.97e-36 
16998.79 1.57e-07 6.84e-01 3.16e-01 1.07e-10 1.45e-32 5.81e-36 2.57e-36 
17146.37 2.18e-07 7.83e-01 2.17e-01 6.57e-12 3.15e-35 7.90e-36 3.51e-36 
17415.23 3.11e-07 8.96e-01 1.04e-01 7.07e-13 2.10e-35 1.22e-35 5.42e-36 
17888.12 4.34e-07 9.72e-01 2.77e-02 9.15e-15 4.09e-35 2.39e-35 1.07e-35 
18532.37 6.79e-07 9.95e-01 4.75e-03 2.87e-17 6.86e-35 4.06e-35 1.84e-35 
19260.76 9.85e-07 9.99e-01 1.50e-03 1.25e-19 1.04e-34 6.18e-35 2.83e-35 
20034.10 8.91e-07 1.00e+00 1.32e-04 6.74e-24 1.54e-34 9.25e-35 4.26e-35 
20838.00 1.11e-06 1.00e+00 3.72e-05 1.01e-26 2.24e-34 1.35e-34 6.28e-35 
21647.97 1.40e-06 1.00e+00 1.27e-05 1.24e-27 3.11e-34 1.88e-34 8.78e-35 
22447.94 1.80e-06 1.00e+00 4.91e-06 1.91e-28 4.58e-34 2.78e-34 1.30e-34 
23245.88 1.98e-06 1.00e+00 7.49e-07 7.56e-31 7.00e-34 4.26e-34 2.01e-34 
24052.47 2.17e-06 1.00e+00 3.01e-07 8.30e-33 1.08e-33 6.60e-34 3.13e-34 
24867.72 2.62e-06 1.00e+00 2.84e-07 2.55e-32 1.67e-33 1.02e-33 4.87e-34 
25698.86 3.03e-06 1.00e+00 3.84e-08 4.46e-33 2.58e-33 1.58e-33 7.56e-34 
26587.16 3.36e-06 1.00e+00 1.58e-08 6.64e-33 3.84e-33 2.35e-33 1.13e-33 
27637.54 3.38e-06 1.00e+00 7.66e-09 8.93e-33 5.16e-33 3.17e-33 1.54e-33 
28986.97 3.55e-06 1.00e+00 3.03e-09 1.09e-32 6.31e-33 3.88e-33 1.90e-33 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 6.83e-18 9.81e-11 1.60e-05 7.31e-02 8.95e-01 3.21e-02 1.08e-06 
999.11 2.08e-19 3.61e-12 1.02e-06 1.36e-02 8.07e-01 1.79e-01 6.25e-05 
1267.34 4.43e-21 9.86e-14 4.29e-08 1.42e-03 3.78e-01 6.17e-01 3.55e-03 
1514.05 2.53e-22 6.26e-15 3.45e-09 2.07e-04 1.41e-01 8.31e-01 2.79e-02 
1808.80 1.48e-23 4.28e-16 3.04e-10 3.13e-05 4.72e-02 8.28e-01 1.25e-01 
1919.29 1.13e-24 3.52e-17 2.93e-11 4.92e-06 1.53e-02 6.72e-01 3.12e-01 
2160.92 4.74e-26 1.76e-18 1.84e-12 5.69e-07 3.91e-03 4.20e-01 5.76e-01 
2292.92 2.36e-27 9.24e-20 1.11e-13 5.81e-08 8.75e-04 2.26e-01 7.73e-01 
2432.98 6.86e-28 3.04e-20 4.18e-14 2.62e-08 4.97e-04 1.70e-01 8.30e-01 
2581.60 2.47e-28 1.24e-20 1.93e-14 1.38e-08 3.11e-04 1.32e-01 8.67e-01 
2739.29 1.07e-28 5.83e-21 9.82e-15 7.96e-09 2.09e-04 1.06e-01 8.94e-01 
2906.62 6.72e-29 3.91e-21 7.06e-15 6.21e-09 1.77e-04 9.74e-02 9.02e-01 
3084.17 4.06e-29 2.64e-21 5.24e-15 5.05e-09 1.56e-04 9.20e-02 9.08e-01 
3272.56 2.33e-29 1.73e-21 3.81e-15 4.12e-09 1.40e-04 8.85e-02 9.11e-01 
3472.46 1.81e-29 1.50e-21 3.61e-15 4.21e-09 1.48e-04 9.40e-02 9.06e-01 
3684.57 1.35e-29 1.24e-21 3.29e-15 4.20e-09 1.57e-04 1.01e-01 8.99e-01 
3909.64 9.05e-30 9.47e-22 2.84e-15 4.09e-09 1.65e-04 1.11e-01 8.89e-01 
4148.46 9.94e-30 1.12e-21 3.55e-15 5.24e-09 2.07e-04 1.30e-01 8.70e-01 
4401.86 2.35e-29 2.59e-21 7.72e-15 1.02e-08 3.40e-04 1.70e-01 8.30e-01 
4670.75 5.19e-29 5.53e-21 1.59e-14 1.93e-08 5.48e-04 2.17e-01 7.82e-01 
4956.05 5.47e-29 6.50e-21 2.01e-14 2.48e-08 6.80e-04 2.45e-01 7.54e-01 
5258.79 4.90e-29 6.62e-21 2.24e-14 2.90e-08 7.87e-04 2.67e-01 7.32e-01 
5580.02 7.61e-29 1.05e-20 3.66e-14 4.63e-08 1.14e-03 3.19e-01 6.80e-01 
5920.87 1.06e-28 1.57e-20 5.63e-14 6.92e-08 1.55e-03 3.70e-01 6.29e-01 
6282.54 1.68e-28 2.68e-20 9.83e-14 1.16e-07 2.30e-03 4.46e-01 5.52e-01 
6666.30 3.48e-28 5.58e-20 2.03e-13 2.22e-07 3.69e-03 5.42e-01 4.55e-01 
7073.50 7.99e-28 1.27e-19 4.50e-13 4.52e-07 6.23e-03 6.55e-01 3.39e-01 
7505.58 1.58e-27 2.73e-19 9.71e-13 8.83e-07 9.90e-03 7.59e-01 2.31e-01 
7964.05 5.43e-27 9.81e-19 3.37e-12 2.54e-06 1.99e-02 8.65e-01 1.16e-01 
8450.53 4.73e-26 8.38e-18 2.58e-11 1.36e-05 5.45e-02 9.10e-01 3.51e-02 
8966.72 3.63e-25 6.34e-17 1.71e-10 6.19e-05 1.32e-01 8.58e-01 9.28e-03 
9514.44 5.51e-24 9.28e-16 2.01e-09 4.20e-04 3.68e-01 6.30e-01 1.07e-03 
10095.62 1.83e-22 2.83e-14 4.25e-08 3.77e-03 8.09e-01 1.87e-01 2.07e-05 
10712.30 9.03e-21 1.22e-12 1.15e-06 3.20e-02 9.54e-01 1.45e-02 4.53e-08 
11366.65 9.25e-19 1.13e-10 5.63e-05 3.32e-01 6.68e-01 2.43e-04 2.79e-12 
12061.10 5.00e-17 5.91e-09 1.32e-03 9.50e-01 4.87e-02 9.63e-08 8.87e-19 
12793.43 2.15e-15 2.36e-07 1.99e-02 9.79e-01 6.32e-04 9.59e-13 2.62e-27 
13528.61 1.81e-13 1.62e-05 3.52e-01 6.48e-01 1.38e-06 8.89e-19 1.04e-32 
14194.74 2.07e-12 1.64e-04 9.31e-01 6.90e-02 5.04e-10 2.59e-25 3.91e-32 
14757.77 1.02e-11 6.24e-04 9.95e-01 4.44e-03 3.20e-13 3.37e-32 3.09e-32 
15240.48 5.07e-11 2.14e-03 9.98e-01 3.50e-04 3.43e-16 2.76e-37 3.62e-32 
15646.99 2.99e-10 7.40e-03 9.93e-01 3.67e-05 7.90e-19 3.94e-37 1.86e-34 
15960.30 2.03e-09 2.48e-02 9.75e-01 3.34e-06 1.19e-21 4.85e-37 3.37e-35 
16187.41 8.53e-09 6.69e-02 9.33e-01 3.58e-07 4.60e-24 7.21e-37 2.39e-36 
16354.17 2.70e-08 1.61e-01 8.39e-01 2.97e-08 1.38e-26 1.08e-36 4.72e-37 
16484.18 4.69e-08 2.50e-01 7.50e-01 3.85e-08 9.97e-27 1.60e-36 2.41e-35 
16593.12 6.16e-08 3.16e-01 6.84e-01 3.40e-09 6.21e-29 2.27e-36 9.96e-37 
16691.99 6.73e-08 3.60e-01 6.40e-01 1.52e-09 8.31e-30 2.98e-36 1.31e-36 
16788.59 1.11e-07 4.79e-01 5.21e-01 5.02e-10 7.70e-31 3.76e-36 1.66e-36 
