#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
1808.80 4.67e-24 2.42e-16 2.74e-10 4.04e-05 6.59e-02 8.71e-01 6.33e-02 
1919.29 6.01e-25 3.24e-17 4.09e-11 9.08e-06 2.78e-02 8.24e-01 1.48e-01 
2160.92 1.54e-25 8.95e-18 1.27e-11 3.75e-06 1.65e-02 7.52e-01 2.31e-01 
2292.92 2.14e-26 1.55e-18 2.62e-12 1.12e-06 8.04e-03 6.38e-01 3.54e-01 
2432.98 2.41e-27 1.74e-19 3.26e-13 2.15e-07 2.93e-03 4.63e-01 5.34e-01 
2581.60 1.61e-27 1.25e-19 2.52e-13 1.79e-07 2.60e-03 4.38e-01 5.59e-01 
2739.29 1.10e-27 9.03e-20 1.95e-13 1.48e-07 2.27e-03 4.10e-01 5.88e-01 
2906.62 7.93e-28 7.04e-20 1.62e-13 1.31e-07 2.11e-03 3.95e-01 6.03e-01 
3084.17 5.91e-28 5.69e-20 1.42e-13 1.24e-07 2.09e-03 3.95e-01 6.02e-01 
3272.56 3.94e-28 4.30e-20 1.20e-13 1.15e-07 2.05e-03 3.97e-01 6.01e-01 
3472.46 3.35e-28 4.09e-20 1.25e-13 1.27e-07 2.29e-03 4.24e-01 5.74e-01 
3684.57 2.92e-28 4.03e-20 1.35e-13 1.47e-07 2.66e-03 4.62e-01 5.35e-01 
3909.64 2.08e-28 3.42e-20 1.32e-13 1.58e-07 2.97e-03 4.97e-01 5.00e-01 
4148.46 1.99e-28 3.46e-20 1.40e-13 1.74e-07 3.31e-03 5.32e-01 4.65e-01 
4401.86 3.77e-28 6.47e-20 2.47e-13 2.77e-07 4.52e-03 6.00e-01 3.96e-01 
4670.75 7.23e-28 1.24e-19 4.58e-13 4.68e-07 6.48e-03 6.74e-01 3.20e-01 
4956.05 7.71e-28 1.44e-19 5.70e-13 5.94e-07 7.83e-03 7.15e-01 2.78e-01 
5258.79 7.26e-28 1.51e-19 6.51e-13 7.01e-07 8.98e-03 7.46e-01 2.46e-01 
5580.02 1.03e-27 2.30e-19 1.02e-12 1.05e-06 1.19e-02 7.96e-01 1.92e-01 
5920.87 1.52e-27 3.52e-19 1.58e-12 1.57e-06 1.57e-02 8.38e-01 1.46e-01 
6282.54 2.87e-27 7.13e-19 3.25e-12 2.90e-06 2.30e-02 8.79e-01 9.82e-02 
6666.30 6.63e-27 1.69e-18 7.55e-12 5.93e-06 3.59e-02 9.07e-01 5.75e-02 
7073.50 1.80e-26 4.74e-18 2.04e-11 1.35e-05 5.93e-02 9.11e-01 2.97e-02 
7505.58 4.98e-26 1.38e-17 5.77e-11 3.18e-05 9.90e-02 8.88e-01 1.34e-02 
7964.05 2.12e-25 6.03e-17 2.34e-10 9.73e-05 1.88e-01 8.08e-01 4.32e-03 
8450.53 1.67e-24 4.69e-16 1.52e-09 4.06e-04 3.90e-01 6.09e-01 7.63e-04 
8966.72 1.50e-23 4.03e-15 1.06e-08 1.71e-03 6.91e-01 3.07e-01 7.09e-05 
9514.44 2.14e-22 5.45e-14 1.07e-07 8.16e-03 9.25e-01 6.71e-02 1.37e-06 
10095.62 7.36e-21 1.64e-12 2.06e-06 5.27e-02 9.42e-01 5.43e-03 2.85e-09 
10712.30 4.48e-19 8.74e-11 5.96e-05 3.79e-01 6.21e-01 1.35e-04 6.37e-13 
11366.65 1.88e-17 3.37e-09 1.07e-03 9.46e-01 5.25e-02 5.59e-08 4.26e-19 
12061.10 6.15e-16 1.05e-07 1.36e-02 9.85e-01 9.71e-04 2.04e-12 7.01e-27 
12793.43 2.92e-14 4.39e-06 1.84e-01 8.16e-01 8.77e-06 2.20e-17 3.20e-32 
13528.61 6.02e-13 7.77e-05 8.49e-01 1.51e-01 3.54e-09 3.84e-24 1.35e-31 
14194.74 3.65e-12 3.74e-04 9.92e-01 7.62e-03 1.03e-12 1.74e-31 7.68e-32 
14757.77 1.35e-11 1.13e-03 9.98e-01 5.68e-04 7.32e-16 3.49e-37 3.78e-32 
15240.48 5.75e-11 3.43e-03 9.97e-01 5.19e-05 1.82e-18 5.73e-37 1.51e-33 
15646.99 3.14e-10 1.09e-02 9.89e-01 4.13e-06 1.27e-21 8.20e-37 2.27e-35 
15960.30 2.29e-09 3.87e-02 9.61e-01 1.21e-06 6.73e-23 1.01e-36 1.17e-35 
16187.41 9.50e-09 1.04e-01 8.96e-01 4.77e-08 3.02e-26 1.50e-36 6.56e-37 
16354.17 2.10e-08 1.80e-01 8.20e-01 1.17e-08 9.54e-28 2.25e-36 9.86e-37 
16484.18 3.53e-08 2.82e-01 7.18e-01 2.52e-09 2.07e-29 3.34e-36 1.47e-36 
16593.12 4.72e-08 3.59e-01 6.41e-01 5.35e-10 4.53e-31 4.72e-36 2.08e-36 
16691.99 5.04e-08 3.71e-01 6.29e-01 4.21e-10 2.26e-31 6.21e-36 2.74e-36 
16788.59 6.87e-08 5.15e-01 4.85e-01 1.61e-10 3.00e-32 7.84e-36 3.47e-36 
16888.37 6.73e-08 5.34e-01 4.66e-01 1.04e-10 6.87e-33 9.89e-36 4.38e-36 
16998.79 9.41e-08 6.16e-01 3.84e-01 2.24e-11 2.21e-34 1.29e-35 5.72e-36 
17146.37 1.20e-07 7.42e-01 2.58e-01 5.71e-12 3.03e-35 1.75e-35 7.79e-36 
17415.23 1.52e-07 8.47e-01 1.53e-01 5.19e-13 4.64e-35 2.70e-35 1.20e-35 
17888.12 2.16e-07 9.44e-01 5.62e-02 9.21e-15 9.06e-35 5.31e-35 2.38e-35 
18532.37 3.19e-07 9.88e-01 1.18e-02 4.44e-17 1.53e-34 9.02e-35 4.08e-35 
19260.76 4.10e-07 9.98e-01 1.91e-03 6.99e-20 2.31e-34 1.38e-34 6.28e-35 
20034.10 4.68e-07 9.99e-01 8.87e-04 1.24e-20 3.45e-34 2.06e-34 9.47e-35 
20838.00 4.70e-07 1.00e+00 1.64e-04 4.22e-24 5.02e-34 3.02e-34 1.40e-34 
21647.97 6.75e-07 1.00e+00 1.82e-04 3.83e-23 6.95e-34 4.20e-34 1.95e-34 
22447.94 5.42e-07 1.00e+00 2.16e-05 7.63e-27 1.02e-33 6.19e-34 2.90e-34 
23245.88 5.95e-07 1.00e+00 6.43e-06 1.10e-28 1.57e-33 9.50e-34 4.47e-34 
24052.47 6.61e-07 1.00e+00 2.21e-06 4.19e-33 2.42e-33 1.47e-33 6.96e-34 
24867.72 8.15e-07 1.00e+00 3.03e-06 2.59e-30 3.75e-33 2.28e-33 1.08e-33 
25698.86 1.00e-06 1.00e+00 5.84e-07 1.52e-31 5.77e-33 3.52e-33 1.68e-33 
26587.16 1.04e-06 1.00e+00 1.19e-07 1.49e-32 8.60e-33 5.26e-33 2.52e-33 
27637.54 2.17e-06 1.00e+00 1.79e-06 1.04e-30 1.16e-32 7.09e-33 3.41e-33 
28986.97 1.33e-06 1.00e+00 2.20e-08 2.45e-32 1.42e-32 8.69e-33 4.21e-33 
#TIME: 5.62 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 2.20e-20 8.53e-13 4.66e-07 1.01e-02 7.84e-01 2.06e-01 8.04e-05 
999.11 2.07e-21 8.85e-14 6.24e-08 2.54e-03 5.29e-01 4.68e-01 9.64e-04 
1267.34 1.65e-22 7.68e-15 6.65e-09 4.88e-04 2.59e-01 7.33e-01 6.61e-03 
1514.05 2.69e-23 1.32e-15 1.29e-09 1.36e-04 1.31e-01 8.46e-01 2.24e-02 
1808.80 4.33e-24 2.38e-16 2.77e-10 4.18e-05 6.81e-02 8.74e-01 5.83e-02 
1919.29 6.07e-25 3.57e-17 4.68e-11 1.03e-05 3.03e-02 8.35e-01 1.34e-01 
2160.92 1.57e-25 9.94e-18 1.46e-11 4.18e-06 1.78e-02 7.67e-01 2.16e-01 
2292.92 3.13e-26 2.36e-18 4.09e-12 1.67e-06 1.06e-02 6.92e-01 2.97e-01 
2432.98 2.76e-27 2.11e-19 4.06e-13 2.66e-07 3.46e-03 5.02e-01 4.95e-01 
2581.60 1.83e-27 1.49e-19 3.09e-13 2.19e-07 3.05e-03 4.74e-01 5.23e-01 
2739.29 1.31e-27 1.14e-19 2.51e-13 1.88e-07 2.75e-03 4.50e-01 5.47e-01 
2906.62 9.86e-28 9.03e-20 2.12e-13 1.69e-07 2.59e-03 4.39e-01 5.59e-01 
3084.17 7.12e-28 7.17e-20 1.83e-13 1.58e-07 2.53e-03 4.35e-01 5.62e-01 
3272.56 4.90e-28 5.53e-20 1.57e-13 1.49e-07 2.51e-03 4.39e-01 5.59e-01 
3472.46 4.26e-28 5.40e-20 1.68e-13 1.68e-07 2.85e-03 4.69e-01 5.28e-01 
3684.57 3.69e-28 5.32e-20 1.82e-13 1.94e-07 3.29e-03 5.07e-01 4.90e-01 
3909.64 2.70e-28 4.63e-20 1.82e-13 2.13e-07 3.70e-03 5.45e-01 4.51e-01 
4148.46 2.41e-28 4.45e-20 1.84e-13 2.24e-07 3.99e-03 5.75e-01 4.21e-01 
4401.86 4.83e-28 8.72e-20 3.40e-13 3.70e-07 5.58e-03 6.47e-01 3.47e-01 
4670.75 9.17e-28 1.63e-19 6.14e-13 6.13e-07 7.88e-03 7.15e-01 2.77e-01 
4956.05 9.68e-28 1.88e-19 7.56e-13 7.68e-07 9.37e-03 7.51e-01 2.40e-01 
5258.79 8.91e-28 1.94e-19 8.53e-13 8.99e-07 1.07e-02 7.79e-01 2.10e-01 
5580.02 1.28e-27 2.94e-19 1.32e-12 1.34e-06 1.41e-02 8.24e-01 1.62e-01 
5920.87 2.14e-27 5.22e-19 2.38e-12 2.22e-06 1.93e-02 8.62e-01 1.19e-01 
6282.54 3.75e-27 9.84e-19 4.57e-12 3.93e-06 2.80e-02 8.95e-01 7.70e-02 
6666.30 8.67e-27 2.29e-18 1.04e-11 7.85e-06 4.30e-02 9.11e-01 4.56e-02 
7073.50 2.36e-26 6.41e-18 2.79e-11 1.77e-05 7.04e-02 9.07e-01 2.26e-02 
7505.58 6.64e-26 1.93e-17 8.15e-11 4.26e-05 1.18e-01 8.72e-01 9.81e-03 
7964.05 2.84e-25 8.55e-17 3.32e-10 1.30e-04 2.20e-01 7.76e-01 3.01e-03 
8450.53 2.32e-24 6.52e-16 2.11e-09 5.32e-04 4.47e-01 5.52e-01 4.93e-04 
8966.72 1.99e-23 5.67e-15 1.48e-08 2.18e-03 7.43e-01 2.54e-01 4.03e-05 
9514.44 2.82e-22 7.54e-14 1.46e-07 1.01e-02 9.39e-01 5.05e-02 6.38e-07 
10095.62 1.02e-20 2.34e-12 2.88e-06 6.56e-02 9.30e-01 3.95e-03 1.20e-09 
10712.30 5.72e-19 1.15e-10 7.61e-05 4.33e-01 5.67e-01 8.89e-05 2.50e-13 
11366.65 2.26e-17 4.19e-09 1.28e-03 9.59e-01 3.94e-02 2.71e-08 1.08e-19 
12061.10 7.55e-16 1.33e-07 1.63e-02 9.83e-01 6.24e-04 6.87e-13 1.22e-27 
12793.43 3.71e-14 5.68e-06 2.21e-01 7.79e-01 4.55e-06 3.28e-18 1.45e-32 
13528.61 6.35e-13 8.47e-05 8.74e-01 1.26e-01 2.01e-09 3.50e-25 1.18e-32 
14194.74 3.86e-12 4.05e-04 9.94e-01 5.76e-03 3.49e-13 2.80e-32 2.62e-32 
14757.77 1.37e-11 1.18e-03 9.98e-01 5.86e-04 7.49e-16 3.71e-37 1.67e-31 
15240.48 5.66e-11 3.45e-03 9.97e-01 4.65e-05 6.75e-19 6.09e-37 2.95e-34 
15646.99 3.16e-10 1.15e-02 9.89e-01 3.89e-06 1.28e-21 8.71e-37 1.27e-34 
15960.30 2.33e-09 4.12e-02 9.59e-01 6.23e-07 1.02e-23 1.07e-36 4.89e-36 
16187.41 1.01e-08 1.09e-01 8.91e-01 9.63e-08 8.09e-26 1.60e-36 2.90e-35 
16354.17 2.34e-08 1.97e-01 8.03e-01 8.86e-09 4.03e-28 2.39e-36 1.05e-36 
16484.18 3.45e-08 2.76e-01 7.24e-01 2.42e-09 1.59e-29 3.55e-36 1.56e-36 
16593.12 3.96e-08 3.27e-01 6.73e-01 1.59e-09 5.05e-30 5.02e-36 2.21e-36 
16691.99 4.85e-08 3.87e-01 6.13e-01 8.56e-10 1.25e-30 6.60e-36 2.91e-36 
16788.59 6.98e-08 4.95e-01 5.05e-01 1.47e-10 1.96e-32 8.34e-36 3.69e-36 
16888.37 8.10e-08 6.04e-01 3.96e-01 6.12e-11 3.77e-33 1.05e-35 4.66e-36 
16998.79 8.36e-08 6.23e-01 3.77e-01 2.28e-11 2.06e-34 1.37e-35 6.08e-36 
17146.37 1.17e-07 7.48e-01 2.52e-01 2.90e-12 3.22e-35 1.86e-35 8.29e-36 
17415.23 1.44e-07 8.30e-01 1.70e-01 6.79e-13 4.93e-35 2.87e-35 1.28e-35 
17888.12 2.06e-07 9.54e-01 4.56e-02 9.04e-14 9.63e-35 5.64e-35 2.54e-35 
18532.37 3.16e-07 9.90e-01 1.04e-02 7.62e-17 1.62e-34 9.59e-35 4.34e-35 
19260.76 3.81e-07 9.98e-01 2.15e-03 5.17e-20 2.46e-34 1.46e-34 6.68e-35 
20034.10 4.52e-07 9.99e-01 8.57e-04 9.00e-21 3.66e-34 2.19e-34 1.01e-34 
20838.00 4.07e-07 1.00e+00 2.03e-04 1.29e-23 5.34e-34 3.21e-34 1.48e-34 
21647.97 4.92e-07 1.00e+00 9.58e-05 4.42e-24 7.39e-34 4.46e-34 2.08e-34 
22447.94 5.52e-07 1.00e+00 2.38e-05 5.36e-27 1.09e-33 6.59e-34 3.08e-34 
23245.88 5.48e-07 1.00e+00 5.21e-06 1.09e-29 1.67e-33 1.01e-33 4.75e-34 
24052.47 6.78e-07 1.00e+00 2.31e-06 4.46e-33 2.58e-33 1.57e-33 7.40e-34 
24867.72 7.28e-07 1.00e+00 9.35e-07 6.89e-33 3.99e-33 2.43e-33 1.15e-33 
25698.86 8.86e-07 1.00e+00 1.70e-06 1.77e-30 6.15e-33 3.75e-33 1.79e-33 
26587.16 1.03e-06 1.00e+00 1.83e-07 1.58e-32 9.17e-33 5.60e-33 2.68e-33 
27637.54 1.19e-06 1.00e+00 8.95e-08 2.13e-32 1.23e-32 7.55e-33 3.63e-33 
28986.97 1.76e-06 1.00e+00 2.38e-08 2.61e-32 1.51e-32 9.25e-33 4.48e-33 
#TIME: 5.74 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 1.55e-20 6.17e-13 3.54e-07 8.37e-03 7.81e-01 2.10e-01 7.90e-05 
999.11 1.56e-21 7.08e-14 5.27e-08 2.30e-03 5.16e-01 4.81e-01 1.02e-03 
1267.34 1.34e-22 6.77e-15 6.13e-09 4.67e-04 2.56e-01 7.37e-01 6.63e-03 
1514.05 2.35e-23 1.21e-15 1.24e-09 1.35e-04 1.33e-01 8.45e-01 2.12e-02 
1808.80 4.18e-24 2.41e-16 2.91e-10 4.49e-05 7.25e-02 8.76e-01 5.13e-02 
1919.29 6.88e-25 4.15e-17 5.56e-11 1.24e-05 3.49e-02 8.55e-01 1.10e-01 
2160.92 1.69e-25 1.08e-17 1.63e-11 4.83e-06 2.01e-02 7.95e-01 1.85e-01 
2292.92 4.33e-26 3.29e-18 5.76e-12 2.26e-06 1.31e-02 7.32e-01 2.55e-01 
2432.98 5.48e-27 4.81e-19 9.63e-13 5.42e-07 5.36e-03 5.78e-01 4.16e-01 
2581.60 2.09e-27 1.78e-19 3.78e-13 2.67e-07 3.57e-03 5.10e-01 4.86e-01 
2739.29 1.58e-27 1.41e-19 3.16e-13 2.36e-07 3.31e-03 4.93e-01 5.04e-01 
2906.62 1.18e-27 1.14e-19 2.72e-13 2.15e-07 3.13e-03 4.80e-01 5.17e-01 
3084.17 8.84e-28 9.32e-20 2.43e-13 2.06e-07 3.11e-03 4.80e-01 5.17e-01 
3272.56 5.97e-28 7.08e-20 2.05e-13 1.91e-07 3.06e-03 4.81e-01 5.16e-01 
3472.46 5.39e-28 7.15e-20 2.26e-13 2.22e-07 3.53e-03 5.16e-01 4.81e-01 
3684.57 4.74e-28 7.15e-20 2.50e-13 2.60e-07 4.10e-03 5.56e-01 4.40e-01 
3909.64 3.55e-28 6.44e-20 2.57e-13 2.92e-07 4.68e-03 5.97e-01 3.98e-01 
4148.46 3.08e-28 6.04e-20 2.54e-13 3.01e-07 4.95e-03 6.24e-01 3.71e-01 
4401.86 6.15e-28 1.16e-19 4.62e-13 4.92e-07 6.86e-03 6.92e-01 3.01e-01 
4670.75 1.17e-27 2.13e-19 8.15e-13 7.94e-07 9.47e-03 7.53e-01 2.38e-01 
4956.05 1.21e-27 2.46e-19 1.01e-12 9.95e-07 1.12e-02 7.85e-01 2.04e-01 
5258.79 1.11e-27 2.57e-19 1.15e-12 1.18e-06 1.29e-02 8.11e-01 1.76e-01 
5580.02 1.57e-27 3.75e-19 1.72e-12 1.69e-06 1.65e-02 8.47e-01 1.36e-01 
5920.87 2.85e-27 7.32e-19 3.40e-12 3.04e-06 2.38e-02 8.83e-01 9.31e-02 
6282.54 4.91e-27 1.32e-18 6.20e-12 5.18e-06 3.36e-02 9.06e-01 6.06e-02 
6666.30 1.12e-26 3.12e-18 1.44e-11 1.04e-05 5.13e-02 9.13e-01 3.55e-02 
7073.50 3.03e-26 8.46e-18 3.72e-11 2.27e-05 8.21e-02 9.00e-01 1.77e-02 
7505.58 8.91e-26 2.64e-17 1.12e-10 5.61e-05 1.39e-01 8.53e-01 7.22e-03 
7964.05 3.96e-25 1.21e-16 4.70e-10 1.73e-04 2.60e-01 7.38e-01 2.06e-03 
8450.53 3.06e-24 9.19e-16 2.96e-09 6.90e-04 4.99e-01 5.00e-01 3.37e-04 
8966.72 2.75e-23 8.02e-15 2.08e-08 2.80e-03 7.94e-01 2.03e-01 2.16e-05 
9514.44 3.88e-22 1.06e-13 2.03e-07 1.26e-02 9.51e-01 3.68e-02 3.19e-07 
10095.62 1.40e-20 3.29e-12 3.96e-06 8.06e-02 9.17e-01 2.74e-03 5.16e-10 
10712.30 7.89e-19 1.64e-10 1.05e-04 5.03e-01 4.97e-01 4.86e-05 7.76e-14 
11366.65 2.85e-17 5.48e-09 1.62e-03 9.71e-01 2.78e-02 1.21e-08 2.61e-20 
12061.10 9.03e-16 1.63e-07 1.91e-02 9.81e-01 4.05e-04 2.74e-13 2.21e-28 
12793.43 4.32e-14 6.80e-06 2.51e-01 7.49e-01 2.77e-06 1.30e-18 4.16e-32 
13528.61 6.66e-13 9.15e-05 8.94e-01 1.06e-01 1.25e-09 3.26e-25 1.30e-31 
14194.74 4.11e-12 4.37e-04 9.95e-01 4.52e-03 2.32e-13 9.76e-33 6.05e-32 
14757.77 1.40e-11 1.25e-03 9.98e-01 4.65e-04 3.45e-16 3.94e-37 3.32e-32 
15240.48 5.70e-11 3.62e-03 9.96e-01 3.70e-05 4.25e-19 6.47e-37 6.31e-34 
15646.99 3.17e-10 1.16e-02 9.88e-01 5.21e-06 2.23e-21 9.26e-37 3.25e-34 
15960.30 2.38e-09 4.17e-02 9.58e-01 3.40e-07 2.29e-24 1.14e-36 3.40e-36 
16187.41 9.25e-09 1.09e-01 8.91e-01 4.33e-08 1.93e-26 1.70e-36 7.42e-37 
16354.17 2.28e-08 2.03e-01 7.97e-01 6.39e-09 2.34e-28 2.54e-36 1.12e-36 
16484.18 3.35e-08 2.82e-01 7.18e-01 2.08e-09 1.32e-29 3.77e-36 1.66e-36 
16593.12 4.33e-08 3.49e-01 6.51e-01 8.54e-10 1.20e-30 5.33e-36 2.35e-36 
16691.99 5.08e-08 4.49e-01 5.51e-01 6.41e-10 6.30e-31 7.01e-36 3.10e-36 
16788.59 6.64e-08 5.03e-01 4.97e-01 1.37e-10 1.40e-32 8.86e-36 3.92e-36 
16888.37 7.65e-08 5.45e-01 4.55e-01 6.83e-10 5.03e-32 1.12e-35 4.95e-36 
16998.79 8.63e-08 6.71e-01 3.29e-01 1.29e-11 4.73e-35 1.46e-35 6.46e-36 
17146.37 1.14e-07 7.48e-01 2.52e-01 1.10e-11 4.06e-35 1.98e-35 8.81e-36 
17415.23 1.45e-07 8.51e-01 1.49e-01 4.76e-13 5.24e-35 3.05e-35 1.36e-35 
17888.12 2.13e-07 9.57e-01 4.31e-02 4.90e-15 1.02e-34 6.00e-35 2.70e-35 
18532.37 2.93e-07 9.89e-01 1.09e-02 2.86e-17 1.73e-34 1.02e-34 4.62e-35 
19260.76 3.86e-07 9.97e-01 3.12e-03 3.36e-19 2.62e-34 1.56e-34 7.10e-35 
20034.10 3.78e-07 9.99e-01 6.75e-04 9.56e-22 3.89e-34 2.33e-34 1.07e-34 
20838.00 3.90e-07 1.00e+00 1.57e-04 2.24e-24 5.67e-34 3.41e-34 1.58e-34 
21647.97 4.42e-07 1.00e+00 1.18e-04 1.25e-24 7.87e-34 4.75e-34 2.21e-34 
22447.94 4.86e-07 1.00e+00 2.91e-05 5.80e-27 1.16e-33 7.00e-34 3.27e-34 
23245.88 5.17e-07 1.00e+00 1.42e-05 8.06e-29 1.77e-33 1.07e-33 5.05e-34 
24052.47 5.80e-07 1.00e+00 3.42e-06 4.74e-33 2.74e-33 1.67e-33 7.87e-34 
24867.72 6.74e-07 1.00e+00 2.48e-06 5.47e-30 4.24e-33 2.58e-33 1.22e-33 
25698.86 7.68e-07 1.00e+00 6.74e-07 1.13e-32 6.54e-33 3.99e-33 1.90e-33 
26587.16 8.11e-07 1.00e+00 2.71e-07 1.68e-32 9.75e-33 5.96e-33 2.85e-33 
27637.54 1.07e-06 1.00e+00 1.30e-07 2.27e-32 1.31e-32 8.03e-33 3.86e-33 
28986.97 1.84e-06 1.00e+00 4.38e-08 2.77e-32 1.60e-32 9.84e-33 4.76e-33 
#TIME: 5.86 
#NVEL: 67 
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 
440.10 1.21e-20 5.19e-13 3.16e-07 8.20e-03 7.63e-01 2.29e-01 9.38e-05 
999.11 1.19e-21 5.80e-14 4.55e-08 2.13e-03 5.07e-01 4.90e-01 1.04e-03 
1267.34 1.21e-22 6.33e-15 5.94e-09 4.77e-04 2.66e-01 7.28e-01 5.70e-03 
1514.05 2.10e-23 1.14e-15 1.22e-09 1.37e-04 1.36e-01 8.44e-01 1.98e-02 
1808.80 4.05e-24 2.44e-16 3.04e-10 4.80e-05 7.67e-02 8.78e-01 4.56e-02 
1919.29 7.30e-25 4.68e-17 6.45e-11 1.42e-05 3.83e-02 8.65e-01 9.71e-02 
2160.92 1.71e-25 1.17e-17 1.82e-11 5.30e-06 2.15e-02 8.06e-01 1.73e-01 
2292.92 5.42e-26 4.28e-18 7.64e-12 2.89e-06 1.54e-02 7.61e-01 2.24e-01 
2432.98 9.98e-27 8.82e-19 1.78e-12 9.44e-07 7.92e-03 6.62e-01 3.30e-01 
2581.60 2.58e-27 2.33e-19 5.06e-13 3.50e-07 4.38e-03 5.57e-01 4.39e-01 
2739.29 1.80e-27 1.70e-19 3.91e-13 2.89e-07 3.88e-03 5.29e-01 4.67e-01 
2906.62 1.43e-27 1.43e-19 3.50e-13 2.74e-07 3.78e-03 5.23e-01 4.73e-01 
3084.17 1.11e-27 1.23e-19 3.27e-13 2.72e-07 3.85e-03 5.29e-01 4.67e-01 
3272.56 7.47e-28 9.29e-20 2.75e-13 2.52e-07 3.78e-03 5.28e-01 4.68e-01 
3472.46 6.75e-28 9.41e-20 3.04e-13 2.93e-07 4.35e-03 5.63e-01 4.32e-01 
3684.57 6.08e-28 9.71e-20 3.45e-13 3.51e-07 5.11e-03 6.05e-01 3.89e-01 
3909.64 4.68e-28 8.77e-20 3.56e-13 3.95e-07 5.85e-03 6.48e-01 3.46e-01 
4148.46 4.00e-28 8.18e-20 3.51e-13 4.06e-07 6.15e-03 6.74e-01 3.20e-01 
4401.86 7.81e-28 1.50e-19 6.06e-13 6.33e-07 8.24e-03 7.31e-01 2.61e-01 
4670.75 1.45e-27 2.77e-19 1.08e-12 1.02e-06 1.13e-02 7.85e-01 2.04e-01 
4956.05 1.50e-27 3.21e-19 1.34e-12 1.29e-06 1.35e-02 8.16e-01 1.71e-01 
5258.79 1.39e-27 3.26e-19 1.49e-12 1.49e-06 1.52e-02 8.38e-01 1.47e-01 
5580.02 2.22e-27 5.57e-19 2.59e-12 2.41e-06 2.05e-02 8.70e-01 1.09e-01 
5920.87 3.75e-27 1.02e-18 4.80e-12 4.14e-06 2.91e-02 8.98e-01 7.26e-02 
6282.54 6.53e-27 1.82e-18 8.71e-12 6.95e-06 4.04e-02 9.12e-01 4.81e-02 
6666.30 1.46e-26 4.27e-18 1.99e-11 1.38e-05 6.14e-02 9.12e-01 2.70e-02 
7073.50 3.99e-26 1.17e-17 5.20e-11 3.00e-05 9.69e-02 8.90e-01 1.35e-02 
7505.58 1.16e-25 3.57e-17 1.53e-10 7.22e-05 1.62e-01 8.33e-01 5.52e-03 
7964.05 5.23e-25 1.66e-16 6.47e-10 2.24e-04 2.98e-01 7.01e-01 1.49e-03 
8450.53 4.26e-24 1.35e-15 4.30e-09 9.22e-04 5.65e-01 4.34e-01 1.96e-04 
8966.72 3.67e-23 1.10e-14 2.84e-08 3.50e-03 8.34e-01 1.62e-01 1.21e-05 
9514.44 5.15e-22 1.44e-13 2.73e-07 1.54e-02 9.56e-01 2.83e-02 1.53e-07 
10095.62 1.95e-20 4.74e-12 5.59e-06 1.01e-01 8.97e-01 1.93e-03 2.23e-10 
10712.30 1.15e-18 2.47e-10 1.53e-04 5.94e-01 4.06e-01 2.32e-05 1.91e-14 
11366.65 3.54e-17 7.04e-09 1.99e-03 9.78e-01 1.95e-02 4.17e-09 4.55e-21 
12061.10 1.09e-15 2.02e-07 2.25e-02 9.77e-01 2.82e-04 1.26e-13 5.26e-29 
12793.43 5.14e-14 8.40e-06 2.94e-01 7.06e-01 1.20e-06 4.83e-19 4.11e-32 
13528.61 7.00e-13 1.01e-04 9.11e-01 8.91e-02 7.45e-10 1.55e-25 6.96e-32 
14194.74 4.18e-12 4.53e-04 9.95e-01 4.40e-03 2.54e-13 1.03e-32 1.96e-31 
14757.77 1.46e-11 1.32e-03 9.98e-01 5.37e-04 9.01e-16 4.19e-37 9.31e-32 
15240.48 6.39e-11 4.16e-03 9.96e-01 2.51e-05 1.14e-19 6.88e-37 3.87e-34 
15646.99 3.57e-10 1.27e-02 9.87e-01 2.69e-06 5.35e-22 9.84e-37 1.74e-35 
