#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8
1.976169e+03 8.659207e-30 3.442035e-21 5.152228e-14 7.273734e-08 2.359634e-03 5.758373e-01 4.199716e-01 1.831422e-03 1.045599e-08 
2.096881e+03 3.568750e-31 1.784375e-22 3.415804e-15 7.307441e-09 4.605387e-04 2.855000e-01 7.001548e-01 1.388414e-02 5.013244e-07 
2.224967e+03 9.665301e-33 6.258789e-24 1.608630e-16 5.312536e-10 6.515629e-05 1.021953e-01 8.259439e-01 7.178007e-02 1.554559e-05 
2.360877e+03 2.673746e-34 2.215694e-25 7.456662e-18 3.696374e-11 8.308852e-06 3.035927e-02 7.264920e-01 2.428741e-01 2.663094e-04 
2.505088e+03 6.530332e-36 6.732301e-27 2.886474e-19 2.078598e-12 8.204992e-07 6.664978e-03 4.485396e-01 5.419502e-01 2.844397e-03 
2.658109e+03 2.451652e-37 3.033748e-28 1.588780e-20 1.547691e-13 9.587464e-08 1.465512e-03 2.246206e-01 7.601489e-01 1.376486e-02 
2.820477e+03 1.496900e-38 2.183225e-29 1.372651e-21 1.727647e-14 1.538316e-08 3.904956e-04 1.135987e-01 8.460737e-01 3.993705e-02 
2.992763e+03 2.806773e-39 4.705635e-30 3.421273e-22 5.137446e-15 5.702122e-09 1.909934e-04 7.750457e-02 8.580864e-01 6.421808e-02 
3.175573e+03 1.163669e-39 2.214360e-30 1.824588e-22 3.106883e-15 3.914673e-09 1.485655e-04 6.835143e-02 8.586295e-01 7.287053e-02 
3.369550e+03 1.498596e-39 3.096272e-30 2.755682e-22 4.885918e-15 6.081079e-09 2.136428e-04 8.483786e-02 8.607637e-01 5.418477e-02 
3.575375e+03 5.961223e-39 1.300494e-29 1.202769e-21 2.044707e-14 2.195053e-08 5.743221e-04 1.480909e-01 8.269035e-01 2.443124e-02 
3.793773e+03 1.133810e-37 2.506865e-28 2.288424e-20 3.339019e-13 2.475659e-07 3.463842e-03 3.651077e-01 6.272363e-01 4.191977e-03 
4.025512e+03 3.812316e-36 7.763262e-27 6.335376e-19 7.028525e-12 3.119168e-06 1.954678e-02 6.903758e-01 2.897360e-01 3.382564e-04 
4.271406e+03 4.020768e-35 7.206454e-26 5.087818e-18 4.422845e-11 1.333039e-05 4.763064e-02 8.149788e-01 1.373247e-01 5.257927e-05 
4.532320e+03 4.500651e-35 8.128727e-26 5.755935e-18 4.990518e-11 1.475724e-05 5.082368e-02 8.205268e-01 1.285900e-01 4.470034e-05 
4.809172e+03 1.593077e-35 3.275486e-26 2.665055e-18 2.679943e-11 9.439355e-06 3.960360e-02 7.995164e-01 1.607966e-01 7.399621e-05 
5.102936e+03 4.588225e-36 1.098569e-26 1.039226e-18 1.244755e-11 5.369815e-06 2.865831e-02 7.613269e-01 2.098715e-01 1.379362e-04 
5.414644e+03 2.004619e-36 5.284904e-27 5.495179e-19 7.359615e-12 3.616725e-06 2.270967e-02 7.275505e-01 2.495260e-01 2.102747e-04 
5.745391e+03 1.441921e-36 4.040235e-27 4.497081e-19 6.410125e-12 3.326412e-06 2.184297e-02 7.238159e-01 2.541208e-01 2.170020e-04 
6.096342e+03 1.888250e-36 5.527700e-27 6.395686e-19 9.136694e-12 4.537891e-06 2.680097e-02 7.598684e-01 2.131895e-01 1.365936e-04 
