#NTIMES:     65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    3.013295E+04    1.0000E+00    2.5940E-08    1.8082E-32    4.6744E-60
    3.094669E+04    1.0000E+00    2.7455E-08    2.0294E-32    4.8714E-60
    3.176516E+04    1.0000E+00    2.6385E-08    1.8694E-32    4.7413E-60
    3.259805E+04    1.0000E+00    2.7760E-08    2.0554E-32    4.9807E-60
    3.345740E+04    1.0000E+00    3.0449E-08    2.4583E-32    5.4251E-60
    3.438030E+04    1.0000E+00    2.9880E-08    2.3470E-32    5.3859E-60
    3.533529E+04    1.0000E+00    3.3487E-08    2.9209E-32    5.9947E-60
    3.634323E+04    1.0000E+00    3.3394E-08    2.8755E-32    6.0409E-60
    3.736894E+04    1.0000E+00    3.5351E-08    3.1861E-32    6.4107E-60
    3.839518E+04    1.0000E+00    3.7410E-08    3.5252E-32    6.8021E-60
    3.939114E+04    1.0000E+00    3.7300E-08    3.4651E-32    6.8486E-60
    4.037465E+04    1.0000E+00    3.6635E-08    3.3048E-32    6.8021E-60
    4.133441E+04    1.0000E+00    3.7018E-08    3.3314E-32    6.9227E-60
    4.215976E+04    1.0000E+00    3.8142E-08    3.4923E-32    7.1582E-60
    4.290657E+04    1.0000E+00    3.9200E-08    3.6458E-32    7.3809E-60
    4.365819E+04    1.0000E+00    3.9988E-08    3.7521E-32    7.5617E-60
    4.442297E+04    1.0000E+00    4.0352E-08    3.7842E-32    7.6748E-60
    4.520034E+04    1.0000E+00    4.0198E-08    3.7261E-32    7.7024E-60
    4.600555E+04    1.0000E+00    3.9504E-08    3.5769E-32    7.6396E-60
    4.686215E+04    1.0000E+00    3.8541E-08    3.3885E-32    7.5325E-60
    4.776422E+04    1.0000E+00    3.7424E-08    3.1838E-32    7.3987E-60
    4.868597E+04    1.0000E+00    3.6244E-08    2.9793E-32    7.2510E-60
    4.962544E+04    1.0000E+00    3.5036E-08    2.7803E-32    7.0950E-60
    5.058305E+04    1.0000E+00    3.3838E-08    2.5917E-32    6.9372E-60
    5.155912E+04    1.0000E+00    3.2708E-08    2.4209E-32    6.7883E-60
    5.255403E+04    1.0000E+00    3.1716E-08    2.2762E-32    6.6619E-60
    5.356816E+04    1.0000E+00    3.0935E-08    2.1654E-32    6.5721E-60
    5.460189E+04    1.0000E+00    3.0410E-08    2.0921E-32    6.5284E-60
    5.565558E+04    1.0000E+00    3.0182E-08    2.0600E-32    6.5404E-60
    5.672959E+04    1.0000E+00    3.0267E-08    2.0700E-32    6.6126E-60
    5.782432E+04    1.0000E+00    3.0670E-08    2.1229E-32    6.7482E-60
    5.894013E+04    1.0000E+00    3.1299E-08    2.2076E-32    6.9329E-60
    6.007747E+04    1.0000E+00    3.2017E-08    2.3062E-32    7.1448E-60
    6.123675E+04    1.0000E+00    3.2682E-08    2.3988E-32    7.3616E-60
    6.241838E+04    1.0000E+00    3.3224E-08    2.4746E-32    7.5764E-60
    6.362274E+04    1.0000E+00    3.3604E-08    2.5273E-32    7.7884E-60
    6.485024E+04    1.0000E+00    3.3819E-08    2.5554E-32    8.0027E-60
    6.610128E+04    1.0000E+00    3.3942E-08    2.5694E-32    8.2342E-60
    6.737631E+04    1.0000E+00    3.3696E-08    2.5281E-32    8.3918E-60
    6.867574E+04    1.0000E+00    3.3199E-08    2.4495E-32    8.3760E-60
    6.935606E+04    1.0000E+00    3.2618E-08    2.3631E-32    8.0826E-60
    6.969874E+04    1.0000E+00    3.1651E-08    2.2266E-32    7.6335E-60
    6.987071E+04    1.0000E+00    2.9651E-08    1.9484E-32    6.9817E-60
    6.995686E+04    1.0000E+00    2.5370E-08    1.4106E-32    5.8878E-60
    6.999782E+04    1.0000E+00    1.7451E-08    6.7664E-33    4.0304E-60
    6.999997E+04    1.0000E+00    1.5817E-08    5.6514E-33    3.6594E-60
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ne1           ne2           ne3           ne4
    8.772128E+02    2.1098E-17    4.8276E-11    4.4560E-05    9.9996E-01
    8.825108E+02    2.1098E-17    4.8276E-11    4.4560E-05    9.9996E-01
    8.985975E+02    2.1098E-17    4.8276E-11    4.4560E-05    9.9996E-01
    9.316560E+02    2.1098E-17    4.8276E-11    4.4560E-05    9.9996E-01
    9.893707E+02    2.1098E-17    4.8276E-11    4.4561E-05    9.9996E-01
    1.050609E+03    2.1095E-17    4.8271E-11    4.4558E-05    9.9996E-01
    1.115637E+03    2.1075E-17    4.8234E-11    4.4532E-05    9.9996E-01
    1.184691E+03    2.1007E-17    4.8084E-11    4.4404E-05    9.9996E-01
    1.258018E+03    2.0852E-17    4.7749E-11    4.4123E-05    9.9996E-01
    1.335885E+03    2.0523E-17    4.7031E-11    4.3511E-05    9.9996E-01
    1.418571E+03    1.6590E-17    3.9903E-11    3.8810E-05    9.9996E-01
    1.506375E+03    2.0166E-18    8.5023E-12    1.4171E-05    9.9999E-01
    1.599613E+03    1.6262E-18    7.3095E-12    1.2949E-05    9.9999E-01
    1.698623E+03    7.3854E-19    4.1900E-12    9.2435E-06    9.9999E-01
