#NTIMES:     65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    7.539422E+03    5.8243E-50    1.5224E-40    2.4065E-32    1.8988E-24    1.5938E-17    6.3186E-11    2.8602E-05    9.9997E-01
    8.003021E+03    9.4614E-50    2.5867E-40    4.1915E-32    3.2183E-24    2.6259E-17    9.1684E-11    3.4993E-05    9.9996E-01
    8.495126E+03    1.6054E-49    4.4354E-40    7.1549E-32    5.2611E-24    4.1055E-17    1.2750E-10    4.1809E-05    9.9996E-01
    9.017491E+03    5.1118E-49    1.4162E-39    2.2253E-31    1.4793E-23    1.0394E-16    2.5334E-10    6.0641E-05    9.9994E-01
    9.571975E+03    4.4804E-48    1.2090E-38    1.7640E-30    9.6317E-23    5.4956E-16    8.7276E-10    1.1906E-04    9.9988E-01
    1.016056E+04    1.1106E-46    2.6436E-37    3.2225E-29    1.2798E-21    5.1965E-15    4.6045E-09    2.9503E-04    9.9970E-01
    1.078533E+04    4.3607E-44    8.4188E-35    7.5333E-27    1.7087E-19    3.6858E-13    1.1218E-07    1.7188E-03    9.9828E-01
    1.144852E+04    5.0347E-40    6.6626E-31    3.5644E-23    3.4515E-16    2.6319E-10    1.5566E-05    2.6220E-02    9.7376E-01
    1.215249E+04    2.1558E-34    1.8260E-25    5.1504E-18    1.6294E-11    2.4777E-06    1.2047E-02    6.6260E-01    3.2535E-01
    1.289974E+04    1.5311E-30    8.5312E-22    1.3637E-14    1.6437E-08    5.4015E-04    2.7562E-01    7.1636E-01    7.4891E-03
    1.369294E+04    2.0723E-27    7.9339E-19    7.4824E-12    3.3745E-06    2.0475E-02    8.9657E-01    8.2935E-02    1.2688E-05
    1.453492E+04    4.4560E-23    8.3518E-15    2.9966E-08    2.2168E-03    6.2891E-01    3.6877E-01    1.0343E-04    1.0609E-11
    1.542867E+04    1.2492E-15    3.1237E-08    5.4121E-03    9.8105E-01    1.3534E-02    8.5678E-09    2.4611E-20    2.2356E-37
    1.626717E+04    5.5710E-09    3.3410E-03    9.9514E-01    1.5210E-03    1.0983E-13    4.4668E-31    1.9058E-57    4.4992E-84
    1.668676E+04    1.0761E-06    1.2774E-01    8.7226E-01    7.2929E-07    7.5345E-23    3.3691E-48    4.3838E-75    3.0537-101
    1.713874E+04    1.3257E-04    9.9262E-01    7.2507E-03    6.0935E-15    5.4213E-42    2.0822E-66    6.0343E-94    3.6348-119
    1.771854E+04    1.2930E-03    9.9868E-01    2.8810E-05    3.1849E-22    3.0852E-56    1.8087E-73    5.7112-108    5.3171-126
    1.838692E+04    1.0100E-03    9.9895E-01    3.5934E-05    4.7559E-22    4.1520E-56    2.9026E-73    8.2680-108    9.1968-126
    1.903533E+04    6.8587E-04    9.9926E-01    5.2073E-05    9.7193E-22    6.3868E-56    6.2476E-73    1.3428-107    2.0949-125
    1.976116E+04    5.2678E-04    9.9941E-01    6.6630E-05    1.5456E-21    8.6304E-56    1.0412E-72    1.9041-107    3.6693-125
    2.046516E+04    3.8294E-04    9.9953E-01    8.9909E-05    2.7184E-21    1.2210E-55    1.8910E-72    2.7851-107    6.9042-125
    2.125594E+04    2.8023E-04    9.9960E-01    1.1989E-04    4.6234E-21    1.7175E-55    3.3157E-72    4.0411-107    1.2516-124
    2.202587E+04    2.3301E-04    9.9963E-01    1.4064E-04    6.0886E-21    2.0892E-55    4.4700E-72    5.0301-107    1.7285-124
    2.285981E+04    1.5633E-04    9.9964E-01    2.0279E-04    1.1741E-20    3.2466E-55    8.7689E-72    7.9386-107    3.4514-124
    2.372435E+04    1.5136E-04    9.9965E-01    2.0340E-04    1.1184E-20    3.3195E-55    8.7013E-72    8.4068-107    3.5326-124
    2.455466E+04    9.3302E-05    9.9959E-01    3.1813E-04    2.4154E-20    5.8209E-55    1.9145E-71    1.4908-106    7.8530-124
    2.552174E+04    8.5381E-05    9.9958E-01    3.3760E-04    2.5181E-20    6.5861E-55    2.1800E-71    1.8092-106    9.4689-124
    2.640440E+04    6.8505E-05    9.9952E-01    4.1068E-04    3.4198E-20    8.5813E-55    3.0571E-71    2.4109-106    1.3508-123
    2.741295E+04    6.1759E-05    9.9949E-01    4.4614E-04    3.8610E-20    9.3719E-55    3.3839E-71    2.5722-106    1.4588-123
    2.838201E+04    8.0655E-05    9.9958E-01    3.3743E-04    2.3917E-20    6.3697E-55    1.9703E-71    1.6474-106    8.0421-124
    2.923203E+04    7.0440E-05    9.9955E-01    3.7459E-04    2.9363E-20    6.8382E-55    2.1362E-71    1.5711-106    7.8590-124
    3.013295E+04    8.8438E-05    9.9963E-01    2.8189E-04    1.7292E-20    4.7036E-55    1.2283E-71    1.0617-106    4.4812-124
    3.094669E+04    8.0923E-05    9.9962E-01    2.9736E-04    1.8941E-20    4.8743E-55    1.2731E-71    1.0469-106    4.4612-124
    3.176516E+04    8.2584E-05    9.9963E-01    2.8489E-04    1.7171E-20    4.5961E-55    1.1424E-71    9.8063-107    3.9977-124
    3.259805E+04    7.5938E-05    9.9962E-01    3.0714E-04    1.9078E-20    5.0064E-55    1.2600E-71    1.0614-106    4.3909-124
    3.345740E+04    6.6519E-05    9.9958E-01    3.5169E-04    2.3469E-20    5.8852E-55    1.5399E-71    1.2390-106    5.3341-124
    3.438030E+04    6.5824E-05    9.9958E-01    3.4941E-04    2.2415E-20    5.8357E-55    1.4881E-71    1.2430-106    5.2180-124
    3.533529E+04    5.6788E-05    9.9954E-01    4.0673E-04    2.8501E-20    7.0457E-55    1.8816E-71    1.4905-106    6.5604-124
    3.634323E+04    5.6167E-05    9.9954E-01    4.0423E-04    2.7636E-20    7.0118E-55    1.8440E-71    1.4987-106    6.5022-124
    3.736894E+04    5.2015E-05    9.9952E-01    4.2964E-04    3.0349E-20    7.6098E-55    2.0311E-71    1.6298-106    7.1879-124
    3.839518E+04    4.8351E-05    9.9950E-01    4.5199E-04    3.3001E-20    8.1820E-55    2.2151E-71    1.7561-106    7.8698-124
    3.939114E+04    4.8347E-05    9.9952E-01    4.3379E-04    3.0908E-20    7.8450E-55    2.0946E-71    1.6996-106    7.5211-124
    4.037465E+04    4.9320E-05    9.9955E-01    4.0354E-04    2.7642E-20    7.2503E-55    1.8937E-71    1.5879-106    6.8814-124
    4.133441E+04    4.8438E-05    9.9957E-01    3.8566E-04    2.6070E-20    6.9476E-55    1.7986E-71    1.5319-106    6.5881-124
    4.215976E+04    4.6050E-05    9.9958E-01    3.7753E-04    2.5690E-20    6.8588E-55    1.7787E-71    1.5171-106    6.5429-124
    4.290657E+04    4.3477E-05    9.9959E-01    3.6724E-04    2.5116E-20    6.7198E-55    1.7446E-71    1.4907-106    6.4417-124
    4.365819E+04    4.1012E-05    9.9961E-01    3.5056E-04    2.3923E-20    6.4420E-55    1.6688E-71    1.4347-106    6.1899-124
    4.442297E+04    3.8954E-05    9.9963E-01    3.2669E-04    2.2039E-20    6.0061E-55    1.5459E-71    1.3446-106    5.7675-124
    4.520034E+04    3.7582E-05    9.9967E-01    2.9673E-04    1.9586E-20    5.4354E-55    1.3835E-71    1.2250-106    5.1992-124
    4.600555E+04    3.7034E-05    9.9970E-01    2.6266E-04    1.6784E-20    4.7762E-55    1.1957E-71    1.0855-106    4.5343-124
    4.686215E+04    3.6824E-05    9.9973E-01    2.2929E-04    1.4113E-20    4.1337E-55    1.0152E-71    9.4843-107    3.8901-124
    4.776422E+04    3.6816E-05    9.9976E-01    1.9912E-04    1.1782E-20    3.5584E-55    8.5641E-72    8.2489-107    3.3189-124
    4.868597E+04    3.6912E-05    9.9979E-01    1.7351E-04    9.8691E-21    3.0750E-55    7.2516E-72    7.2044-107    2.8436-124
    4.962544E+04    3.7015E-05    9.9981E-01    1.5204E-04    8.3166E-21    2.6736E-55    6.1783E-72    6.3325-107    2.4520-124
    5.058305E+04    3.7051E-05    9.9983E-01    1.3420E-04    7.0651E-21    2.3431E-55    5.3070E-72    5.6110-107    2.1318-124
    5.155912E+04    3.6943E-05    9.9984E-01    1.1955E-04    6.0699E-21    2.0743E-55    4.6098E-72    5.0214-107    1.8738-124
    5.255403E+04    3.6611E-05    9.9986E-01    1.0774E-04    5.2968E-21    1.8596E-55    4.0653E-72    4.5487-107    1.6710-124
    5.356816E+04    3.5982E-05    9.9987E-01    9.8521E-05    4.7189E-21    1.6932E-55    3.6573E-72    4.1810-107    1.5185-124
    5.460189E+04    3.4998E-05    9.9987E-01    9.1659E-05    4.3112E-21    1.5698E-55    3.3702E-72    3.9079-107    1.4114-124
    5.565558E+04    3.3650E-05    9.9988E-01    8.6962E-05    4.0548E-21    1.4849E-55    3.1925E-72    3.7208-107    1.3462-124
    5.672959E+04    3.2032E-05    9.9988E-01    8.4181E-05    3.9302E-21    1.4333E-55    3.1116E-72    3.6088-107    1.3186-124
    5.782432E+04    3.0238E-05    9.9989E-01    8.3073E-05    3.9226E-21    1.4105E-55    3.1181E-72    3.5625-107    1.3254-124
    5.894013E+04    2.8362E-05    9.9989E-01    8.3251E-05    4.0029E-21    1.4099E-55    3.1918E-72    3.5683-107    1.3591-124
    6.007747E+04    2.6365E-05    9.9989E-01    8.4338E-05    4.1390E-21    1.4253E-55    3.3104E-72    3.6153-107    1.4116-124
    6.123675E+04    2.4288E-05    9.9989E-01    8.6182E-05    4.3086E-21    1.4551E-55    3.4603E-72    3.7040-107    1.4786-124
    6.241838E+04    2.2138E-05    9.9989E-01    8.8468E-05    4.4882E-21    1.4952E-55    3.6270E-72    3.8293-107    1.5560-124
    6.362274E+04    2.0166E-05    9.9989E-01    9.0976E-05    4.6618E-21    1.5433E-55    3.8018E-72    3.9903-107    1.6421-124
    6.485024E+04    1.8191E-05    9.9989E-01    9.2917E-05    4.7866E-21    1.5873E-55    3.9530E-72    4.1602-107    1.7257-124
    6.610128E+04    1.6678E-05    9.9989E-01    9.4841E-05    4.8994E-21    1.6369E-55    4.1089E-72    4.3639-107    1.8201-124
    6.737631E+04    1.5221E-05    9.9989E-01    9.3595E-05    4.7991E-21    1.6352E-55    4.0886E-72    4.4380-107    1.8417-124
    6.867574E+04    1.4407E-05    9.9989E-01    9.2896E-05    4.6939E-21    1.6260E-55    3.9984E-72    4.4220-107    1.8077-124
    6.935606E+04    1.3604E-05    9.9990E-01    8.9398E-05    4.4410E-21    1.5204E-55    3.6500E-72    4.0063-107    1.6079-124
    6.969874E+04    1.3476E-05    9.9990E-01    8.6655E-05    4.1828E-21    1.4054E-55    3.2719E-72    3.5491-107    1.3906-124
    6.987071E+04    1.3072E-05    9.9991E-01    8.0789E-05    3.6632E-21    1.2404E-55    2.7342E-72    3.0134-107    1.1244-124
    6.995686E+04    1.3126E-05    9.9992E-01    6.8868E-05    2.6958E-21    1.0047E-55    1.9432E-72    2.3757-107    7.8135-125
    6.999782E+04    1.3288E-05    9.9994E-01    5.0529E-05    1.3382E-21    7.0628E-56    9.4392E-73    1.6455-107    3.7527-125
    6.999997E+04    1.3353E-05    9.9994E-01    4.7286E-05    1.1055E-21    6.5876E-56    7.7964E-73    1.5358-107    3.1026-125
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    8.772128E+02    3.4578E-35    4.7499E-27    2.8972E-20    4.0257E-14    5.0794E-09    7.5043E-05    4.7067E-02    9.5286E-01
    8.825108E+02    3.4578E-35    4.7499E-27    2.8972E-20    4.0257E-14    5.0794E-09    7.5043E-05    4.7067E-02    9.5286E-01
    8.985975E+02    3.4579E-35    4.7499E-27    2.8972E-20    4.0257E-14    5.0795E-09    7.5043E-05    4.7067E-02    9.5286E-01
    9.316560E+02    3.4580E-35    4.7500E-27    2.8973E-20    4.0258E-14    5.0796E-09    7.5044E-05    4.7068E-02    9.5286E-01
    9.893707E+02    3.4580E-35    4.7500E-27    2.8973E-20    4.0258E-14    5.0796E-09    7.5045E-05    4.7068E-02    9.5286E-01
    1.050609E+03    3.4564E-35    4.7480E-27    2.8961E-20    4.0244E-14    5.0781E-09    7.5028E-05    4.7062E-02    9.5286E-01
    1.115637E+03    3.4426E-35    4.7293E-27    2.8851E-20    4.0103E-14    5.0624E-09    7.4853E-05    4.7002E-02    9.5292E-01
    1.184691E+03    3.3742E-35    4.6324E-27    2.8256E-20    3.9322E-14    4.9726E-09    7.3822E-05    4.6639E-02    9.5329E-01
    1.258018E+03    3.2281E-35    4.4262E-27    2.6995E-20    3.7666E-14    4.7821E-09    7.1624E-05    4.5860E-02    9.5407E-01
    1.335885E+03    2.9279E-35    4.0024E-27    2.4397E-20    3.4233E-14    4.3840E-09    6.6959E-05    4.4168E-02    9.5577E-01
    1.418571E+03    1.3122E-35    1.8460E-27    1.1729E-20    1.7706E-14    2.4755E-09    4.3635E-05    3.4969E-02    9.6499E-01
    1.506375E+03    8.3748E-39    1.7139E-30    1.7573E-23    5.5504E-17    1.7714E-11    1.1199E-06    4.7498E-03    9.9525E-01
    1.599613E+03    4.2720E-39    9.1830E-31    9.9637E-24    3.3938E-17    1.1731E-11    8.3000E-07    4.0429E-03    9.9596E-01
    1.698623E+03    3.2543E-40    8.2641E-32    1.0941E-24    4.9363E-18    2.2966E-12    2.5233E-07    2.1258E-03    9.9787E-01
    1.803761E+03    1.2336E-40    3.2306E-32    4.4892E-25    2.2234E-18    1.1436E-12    1.5027E-07    1.6010E-03    9.9840E-01
    1.915407E+03    3.5939E-42    1.1842E-33    2.1675E-26    1.5903E-19    1.2283E-13    2.9857E-08    6.7363E-04    9.9933E-01
    2.033963E+03    9.1742E-43    3.2734E-34    6.6165E-27    5.6380E-20    5.0771E-14    1.5762E-08    4.7890E-04    9.9952E-01
    2.159857E+03    4.8124E-44    2.0865E-35    5.3288E-28    6.3458E-21    8.0259E-15    4.2144E-09    2.3847E-04    9.9976E-01
    2.293544E+03    3.4198E-45    1.8138E-36    5.8452E-29    9.5171E-22    1.6486E-15    1.3804E-09    1.3324E-04    9.9987E-01
    2.435505E+03    3.6056E-46    2.2982E-37    9.1219E-30    1.9496E-22    4.4338E-16    5.5164E-10    8.2965E-05    9.9992E-01
    2.586253E+03    1.6134E-47    1.2932E-38    6.7118E-31    2.0752E-23    6.8172E-17    1.4999E-10    4.2555E-05    9.9996E-01
    2.746332E+03    3.6860E-48    3.3465E-39    1.9988E-31    7.4113E-24    2.9166E-17    8.3667E-11    3.1655E-05    9.9997E-01
    2.916319E+03    9.8333E-49    9.9900E-40    6.7722E-32    2.9565E-24    1.3683E-17    4.9827E-11    2.4373E-05    9.9998E-01
    3.096828E+03    3.6175E-49    4.1560E-40    3.1977E-32    1.5998E-24    8.4818E-18    3.6106E-11    2.0740E-05    9.9998E-01
    3.288509E+03    2.3479E-49    2.9788E-40    2.5135E-32    1.3543E-24    7.7382E-18    3.4177E-11    2.0194E-05    9.9998E-01
    3.492055E+03    2.4020E-49    3.2874E-40    2.9487E-32    1.6261E-24    9.5203E-18    3.9822E-11    2.1856E-05    9.9998E-01
    3.708199E+03    2.8569E-49    4.2590E-40    4.0778E-32    2.2776E-24    1.3523E-17    5.1529E-11    2.5009E-05    9.9997E-01
    3.937722E+03    3.1699E-49    5.2680E-40    5.4981E-32    3.1583E-24    1.9301E-17    6.7385E-11    2.8871E-05    9.9997E-01
    4.181452E+03    7.8395E-49    1.3802E-39    1.4758E-31    7.9634E-24    4.5715E-17    1.2657E-10    4.0361E-05    9.9996E-01
    4.440267E+03    1.0957E-48    1.8622E-39    1.9179E-31    9.9106E-24    5.4480E-17    1.4286E-10    4.2945E-05    9.9996E-01
    4.715102E+03    3.7277E-49    6.7447E-40    7.5163E-32    4.3837E-24    2.7206E-17    8.7372E-11    3.3229E-05    9.9997E-01
    5.006948E+03    8.3673E-50    1.8568E-40    2.5420E-32    1.8291E-24    1.4006E-17    5.5966E-11    2.6568E-05    9.9997E-01
    5.316859E+03    3.6949E-50    8.9156E-41    1.3351E-32    1.0671E-24    9.0753E-18    4.1502E-11    2.2800E-05    9.9998E-01
    5.645951E+03    2.7593E-50    6.9813E-41    1.0951E-32    9.1434E-25    8.1241E-18    3.8612E-11    2.2005E-05    9.9998E-01
    5.995413E+03    2.6931E-50    7.0756E-41    1.1454E-32    9.7150E-25    8.7683E-18    4.1041E-11    2.2768E-05    9.9998E-01
    6.366506E+03    3.0747E-50    8.4431E-41    1.4126E-32    1.2026E-24    1.0894E-17    4.8366E-11    2.4895E-05    9.9998E-01
    6.760567E+03    3.4709E-50    9.7632E-41    1.6610E-32    1.4108E-24    1.2748E-17    5.4435E-11    2.6546E-05    9.9997E-01
    7.179019E+03    4.2513E-50    1.2281E-40    2.1248E-32    1.7893E-24    1.6023E-17    6.4596E-11    2.9129E-05    9.9997E-01
    7.623372E+03    6.9820E-50    2.1408E-40    3.8427E-32    3.1646E-24    2.7667E-17    9.7460E-11    3.6469E-05    9.9996E-01
    8.095229E+03    1.2199E-49    3.8805E-40    7.0823E-32    5.6298E-24    4.7395E-17    1.4603E-10    4.5505E-05    9.9995E-01
    8.596292E+03    2.4516E-49    7.8275E-40    1.4087E-31    1.0550E-23    8.3438E-17    2.2226E-10    5.7190E-05    9.9994E-01
    9.128368E+03    1.0336E-48    3.2878E-39    5.6980E-31    3.7656E-23    2.6072E-16    5.1979E-10    9.1023E-05    9.9991E-01
    9.693378E+03    1.3245E-47    4.0097E-38    6.2805E-30    3.2875E-22    1.7689E-15    2.1728E-09    1.9966E-04    9.9980E-01
    1.029336E+04    6.1491E-46    1.6068E-36    2.0388E-28    7.3647E-21    2.6339E-14    1.6278E-08    6.0386E-04    9.9940E-01
    1.093048E+04    6.8710E-43    1.3938E-33    1.2281E-25    2.3349E-18    3.9197E-12    7.0008E-07    4.8493E-03    9.9515E-01
    1.160703E+04    2.9498E-38    3.9886E-29    2.0122E-21    1.5098E-14    7.5302E-09    2.0324E-04    1.0829E-01    8.9150E-01
