#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 ne5 ne6
4.4010e+02 9.7486e-29 1.9584e-20 1.3242e-12 1.9460e-06 2.6379e-02 8.6608e-01 1.0754e-01
8.8623e+02 1.3868e-19 3.2765e-13 2.6055e-07 4.5031e-03 7.1789e-01 2.7720e-01 4.0478e-04
9.0614e+02 1.3842e-19 3.2718e-13 2.6029e-07 4.5005e-03 7.1780e-01 2.7729e-01 4.0509e-04
9.4442e+02 1.3842e-19 3.2718e-13 2.6029e-07 4.5006e-03 7.1781e-01 2.7729e-01 4.0509e-04
9.9911e+02 1.3816e-19 3.2664e-13 2.5992e-07 4.4964e-03 7.1763e-01 2.7747e-01 4.0577e-04
1.0608e+03 1.3710e-19 3.2447e-13 2.5848e-07 4.4805e-03 7.1697e-01 2.7814e-01 4.0829e-04
1.1257e+03 1.3502e-19 3.1984e-13 2.5504e-07 4.4398e-03 7.1514e-01 2.8001e-01 4.1548e-04
1.1944e+03 1.2684e-19 3.0206e-13 2.4224e-07 4.2894e-03 7.0833e-01 2.8693e-01 4.4283e-04
1.2673e+03 9.7601e-20 2.3799e-13 1.9562e-07 3.7162e-03 6.7952e-01 3.1619e-01 5.7260e-04
1.3448e+03 3.1918e-20 8.6366e-14 7.8586e-08 1.9884e-03 5.4934e-01 4.4713e-01 1.5407e-03
1.4269e+03 2.9391e-21 9.8770e-15 1.0789e-08 4.7481e-04 2.9128e-01 6.9990e-01 8.3468e-03
1.5140e+03 1.8964e-22 8.2149e-16 1.0791e-09 8.4063e-05 1.1680e-01 8.4749e-01 3.5630e-02
1.6065e+03 1.7798e-23 9.7343e-17 1.5001e-10 1.8532e-05 4.9319e-02 8.5448e-01 9.6177e-02
1.7047e+03 2.0661e-24 1.3871e-17 2.4294e-11 4.4635e-06 2.0887e-02 7.7368e-01 2.0543e-01
1.8088e+03 1.8667e-25 1.5642e-18 3.1228e-12 8.6758e-07 7.3251e-03 6.0138e-01 3.9129e-01
1.9193e+03 1.1632e-26 1.2564e-19 2.9239e-13 1.2623e-07 1.9868e-03 3.7574e-01 6.2228e-01
2.0365e+03 5.2251e-28 7.4484e-21 2.0553e-14 1.4023e-08 4.2031e-04 1.8791e-01 8.1167e-01
2.1609e+03 1.9352e-29 3.7181e-22 1.2433e-15 1.3509e-09 7.7436e-05 8.1893e-02 9.1803e-01
2.2929e+03 6.7410e-31 1.7769e-23 7.3796e-17 1.2776e-10 1.3884e-05 3.4093e-02 9.6589e-01
2.4330e+03 2.6140e-32 9.3546e-25 4.8058e-18 1.2957e-11 2.5947e-06 1.4311e-02 9.8569e-01
2.5816e+03 1.5756e-33 7.3287e-26 4.5289e-19 1.7807e-12 6.0237e-07 6.6925e-03 9.9331e-01
2.7393e+03 1.8282e-34 1.0448e-26 7.5101e-20 3.9424e-13 1.9860e-07 3.7551e-03 9.9624e-01
2.9067e+03 4.1157e-35 2.7498e-27 2.2392e-20 1.4436e-13 9.5363e-08 2.5658e-03 9.9743e-01
3.0842e+03 1.7747e-35 1.3320e-27 1.2089e-20 8.8669e-14 6.7774e-08 2.1554e-03 9.9784e-01
3.2726e+03 1.5554e-35 1.2484e-27 1.2301e-20 9.4210e-14 7.2826e-08 2.2501e-03 9.9775e-01
3.4725e+03 2.5055e-35 2.0518e-27 2.1346e-20 1.5815e-13 1.1020e-07 2.8111e-03 9.9719e-01
3.6846e+03 6.9304e-35 5.6146e-27 6.1183e-20 4.1129e-13 2.3223e-07 4.1834e-03 9.9582e-01
3.9097e+03 2.5720e-34 2.0698e-26 2.4272e-19 1.4396e-12 6.1694e-07 7.0487e-03 9.9295e-01
4.1484e+03 9.8969e-34 7.5973e-26 9.1084e-19 4.6521e-12 1.5149e-06 1.1351e-02 9.8865e-01
