#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    8.003021E+03   1.0000E-099   6.5505E-041   3.0337E-032   2.0005E-024   3.5024E-017   9.8170E-011   4.6156E-005   9.9995E-001
    8.495126E+03   1.0000E-099   1.1624E-040   5.3232E-032   3.3937E-024   5.5297E-017   1.3949E-010   5.5872E-005   9.9994E-001
    9.017491E+03   1.0000E-099   3.9686E-040   1.7470E-031   1.0248E-023   1.4281E-016   2.8836E-010   8.3065E-005   9.9992E-001
    9.571975E+03   1.0000E-099   3.7914E-039   1.5150E-030   7.5036E-023   7.8295E-016   1.0552E-009   1.6948E-004   9.9983E-001
    1.016056E+04   1.0000E-099   9.4545E-038   3.0718E-029   1.1385E-021   7.7561E-015   5.9241E-009   4.3707E-004   9.9956E-001
    1.078533E+04   1.0000E-099   3.8706E-035   8.7481E-027   1.9322E-019   6.0833E-013   1.5974E-007   2.7113E-003   9.9729E-001
    1.144852E+04   1.0000E-099   4.3653E-031   5.4289E-023   5.3048E-016   5.0779E-010   2.4834E-005   4.3782E-002   9.5619E-001
    1.215249E+04   1.0000E-099   1.3750E-025   7.8550E-018   2.5227E-011   4.1697E-006   1.4939E-002   7.8121E-001   2.0385E-001
    1.289974E+04   1.0000E-099   7.9916E-022   2.2931E-014   2.7467E-008   9.1134E-004   3.0482E-001   6.9075E-001   3.5207E-003
    1.369294E+04   1.0000E-099   9.6117E-019   1.4306E-011   6.2062E-006   3.5831E-002   8.9842E-001   6.5735E-002   4.4454E-006
    1.453492E+04   1.0000E-099   1.0110E-014   4.7187E-008   3.1638E-003   7.8732E-001   2.0947E-001   3.9357E-005   1.5009E-012
    1.542867E+04   1.0000E-099   4.8958E-008   7.5543E-003   9.8206E-001   1.0381E-002   1.3891E-009   1.5692E-021   2.9317E-039
    1.626717E+04   1.0000E-099   5.1713E-003   9.9428E-001   5.5049E-004   4.8811E-014   8.0484E-033   4.7986E-060   3.5764E-085
