#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
4.4010e+02 1.6266e-32 1.2105e-23 1.1968e-15 4.0985e-09 2.6678e-04 1.6194e-01 8.3779e-01
8.8623e+02 3.7170e-22 3.2531e-15 3.7828e-09 1.5234e-04 1.1663e-01 8.3257e-01 5.0656e-02
9.0614e+02 3.7088e-22 3.2474e-15 3.7778e-09 1.5221e-04 1.1658e-01 8.3259e-01 5.0680e-02
9.4442e+02 3.7089e-22 3.2475e-15 3.7779e-09 1.5221e-04 1.1658e-01 8.3259e-01 5.0680e-02
9.9911e+02 3.7008e-22 3.2410e-15 3.7713e-09 1.5202e-04 1.1649e-01 8.3263e-01 5.0729e-02
1.0608e+03 3.6677e-22 3.2151e-15 3.7456e-09 1.5126e-04 1.1617e-01 8.3276e-01 5.0911e-02
1.1257e+03 3.6031e-22 3.1597e-15 3.6860e-09 1.4938e-04 1.1534e-01 8.3309e-01 5.1419e-02
1.1944e+03 3.3504e-22 2.9491e-15 3.4642e-09 1.4247e-04 1.1226e-01 8.3427e-01 5.3327e-02
1.2673e+03 2.4738e-22 2.2149e-15 2.6802e-09 1.1713e-04 1.0036e-01 8.3776e-01 6.1762e-02
1.3448e+03 6.9574e-23 6.7221e-16 9.2082e-10 5.1585e-05 6.2117e-02 8.2921e-01 1.0862e-01
1.4269e+03 5.1563e-24 5.8172e-17 1.0089e-10 9.1136e-06 2.1191e-02 7.0041e-01 2.7839e-01
1.5140e+03 2.6194e-25 3.5500e-18 7.9039e-12 1.1691e-06 5.3504e-03 4.4613e-01 5.4851e-01
1.6065e+03 1.8653e-26 3.0114e-19 8.3251e-13 1.8380e-07 1.4475e-03 2.5072e-01 7.4783e-01
1.7047e+03 1.6801e-27 3.1558e-20 1.0469e-13 3.2559e-08 4.1009e-04 1.3407e-01 8.6552e-01
1.8088e+03 1.2543e-28 2.7752e-21 1.1147e-14 4.9511e-09 1.0183e-04 6.4640e-02 9.3526e-01
1.9193e+03 7.4951e-30 2.0126e-22 1.0054e-15 6.5444e-10 2.2643e-05 2.8859e-02 9.7112e-01
2.0365e+03 3.8762e-31 1.2917e-23 8.1872e-17 7.9427e-11 4.7110e-06 1.2318e-02 9.8768e-01
2.1609e+03 1.8681e-32 7.9037e-25 6.4920e-18 9.4860e-12 9.7045e-07 5.2142e-03 9.9478e-01
2.2929e+03 8.8685e-34 4.8678e-26 5.2909e-19 1.1714e-12 2.0595e-07 2.2435e-03 9.9776e-01
2.4330e+03 4.7605e-35 3.3636e-27 4.8038e-20 1.5829e-13 4.6626e-08 9.9785e-04 9.9900e-01
2.5816e+03 3.8502e-36 3.3772e-28 6.1088e-21 2.8300e-14 1.2957e-08 4.9526e-04 9.9950e-01
2.7393e+03 5.5789e-37 5.8123e-29 1.2696e-21 7.6587e-15 4.9091e-09 2.9119e-04 9.9971e-01
2.9067e+03 1.4375e-37 1.7157e-29 4.3401e-22 3.1706e-15 2.5681e-09 2.0478e-04 9.9980e-01
3.0842e+03 6.4186e-38 8.5614e-30 2.4272e-22 2.0103e-15 1.8662e-09 1.7329e-04 9.9983e-01
3.2726e+03 5.2635e-38 7.5826e-30 2.3092e-22 2.0103e-15 1.9217e-09 1.7830e-04 9.9982e-01
3.4725e+03 7.3273e-38 1.1008e-29 3.4562e-22 2.9557e-15 2.6505e-09 2.1581e-04 9.9978e-01
3.6846e+03 1.6083e-37 2.4755e-29 7.8305e-22 6.2379e-15 4.8325e-09 3.0552e-04 9.9969e-01
3.9097e+03 4.3977e-37 7.0481e-29 2.2752e-21 1.6611e-14 1.0636e-08 4.8207e-04 9.9952e-01
4.1484e+03 1.3152e-36 2.0920e-28 6.6010e-21 4.2929e-14 2.2418e-08 7.3613e-04 9.9926e-01
4.4019e+03 2.7926e-36 4.2132e-28 1.2535e-20 7.3912e-14 3.3729e-08 9.2174e-04 9.9908e-01
4.6708e+03 1.9693e-36 3.0844e-28 9.5426e-21 5.9174e-14 2.8699e-08 8.4526e-04 9.9915e-01
4.9561e+03 6.8721e-37 1.2362e-28 4.4064e-21 3.2113e-14 1.8651e-08 6.7432e-04 9.9933e-01
5.2588e+03 2.6545e-37 5.4678e-29 2.2358e-21 1.8927e-14 1.2919e-08 5.5754e-04 9.9944e-01
5.5800e+03 1.6941e-37 3.7497e-29 1.6480e-21 1.5018e-14 1.1052e-08 5.1526e-04 9.9948e-01
5.9209e+03 1.5871e-37 3.6757e-29 1.6855e-21 1.5732e-14 1.1653e-08 5.3432e-04 9.9947e-01
6.2825e+03 1.8847e-37 4.5184e-29 2.1337e-21 1.9822e-14 1.4152e-08 5.9948e-04 9.9940e-01
6.6663e+03 2.7899e-37 6.7419e-29 3.1904e-21 2.8536e-14 1.8899e-08 7.0721e-04 9.9929e-01
7.0735e+03 5.1763e-37 1.2470e-28 5.8370e-21 4.8880e-14 2.8808e-08 8.9776e-04 9.9910e-01
7.5056e+03 1.2020e-36 2.9274e-28 1.3693e-20 1.0531e-13 5.2791e-08 1.2668e-03 9.9873e-01
7.9641e+03 3.8120e-36 9.1774e-28 4.1849e-20 2.8322e-13 1.1404e-07 1.9549e-03 9.9804e-01
8.4505e+03 1.8025e-35 4.0957e-27 1.7348e-19 9.7150e-13 2.9278e-07 3.3027e-03 9.9670e-01
8.9668e+03 1.6469e-34 3.4338e-26 1.3027e-18 5.5414e-12 1.1043e-06 6.8938e-03 9.9311e-01
9.5145e+03 4.4997e-33 8.2329e-25 2.6268e-17 7.3359e-11 7.8550e-06 2.0331e-02 9.7966e-01
1.0096e+04 5.7659e-31 8.6072e-23 2.0668e-15 3.0345e-09 1.2941e-04 9.2404e-02 9.0747e-01
1.0712e+04 5.3169e-28 6.0937e-20 9.3592e-13 5.0837e-07 5.3305e-03 5.3274e-01 4.6193e-01
