#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    8.772128E+02   1.0000E-099   4.3861E-017   6.3110E-011   4.7344E-005   9.9995E-001
    8.826573E+02   1.0000E-099   4.3861E-017   6.3110E-011   4.7344E-005   9.9995E-001
    8.991942E+02   1.0000E-099   4.3861E-017   6.3110E-011   4.7344E-005   9.9995E-001
    9.332033E+02   1.0000E-099   4.3861E-017   6.3110E-011   4.7344E-005   9.9995E-001
    9.912889E+02   1.0000E-099   4.3861E-017   6.3110E-011   4.7344E-005   9.9995E-001
    1.052238E+03   1.0000E-099   4.3861E-017   6.3110E-011   4.7344E-005   9.9995E-001
    1.116940E+03   1.0000E-099   4.3856E-017   6.3102E-011   4.7342E-005   9.9995E-001
    1.185621E+03   1.0000E-099   4.3807E-017   6.3019E-011   4.7313E-005   9.9995E-001
    1.258525E+03   1.0000E-099   4.3705E-017   6.2847E-011   4.7255E-005   9.9995E-001
    1.335911E+03   1.0000E-099   4.3935E-017   6.2937E-011   4.7301E-005   9.9995E-001
    1.418056E+03   1.0000E-099   4.3080E-017   6.1780E-011   4.6897E-005   9.9995E-001
    1.505253E+03   1.0000E-099   6.1761E-018   1.5156E-011   2.3903E-005   9.9998E-001
    1.597810E+03   1.0000E-099   5.6955E-018   1.4338E-011   2.3263E-005   9.9998E-001
    1.696060E+03   1.0000E-099   2.7684E-018   8.6221E-012   1.8278E-005   9.9998E-001
    1.800350E+03   1.0000E-099   2.4639E-018   7.8967E-012   1.7593E-005   9.9998E-001
    1.911054E+03   1.0000E-099   9.1456E-019   3.9410E-012   1.2715E-005   9.9999E-001
    2.028564E+03   1.0000E-099   6.9387E-019   3.2443E-012   1.1632E-005   9.9999E-001
    2.153300E+03   1.0000E-099   3.1485E-019   1.8702E-012   9.0262E-006   9.9999E-001
    2.285707E+03   1.0000E-099   1.4781E-019   1.1101E-012   7.0834E-006   9.9999E-001
    2.426255E+03   1.0000E-099   7.8821E-020   7.2140E-013   5.7902E-006   9.9999E-001
    2.575445E+03   1.0000E-099   3.1588E-020   3.8438E-013   4.3421E-006   1.0000E+000
    2.733809E+03   1.0000E-099   2.0333E-020   2.8452E-013   3.7756E-006   1.0000E+000
    2.901910E+03   1.0000E-099   1.3559E-020   2.1576E-013   3.3220E-006   1.0000E+000
    3.080349E+03   1.0000E-099   9.1437E-021   1.6553E-013   2.9197E-006   1.0000E+000
    3.269759E+03   1.0000E-099   6.9663E-021   1.3840E-013   2.6580E-006   1.0000E+000
    3.470816E+03   1.0000E-099   5.9261E-021   1.2498E-013   2.5014E-006   1.0000E+000
    3.684237E+03   1.0000E-099   5.0670E-021   1.1357E-013   2.3525E-006   1.0000E+000
    3.910780E+03   1.0000E-099   3.9870E-021   9.7696E-014   2.1531E-006   1.0000E+000
    4.151254E+03   1.0000E-099   3.8408E-021   9.7074E-014   2.0970E-006   1.0000E+000
    4.406514E+03   1.0000E-099   4.4435E-021   1.0722E-013   2.1983E-006   1.0000E+000
    4.677470E+03   1.0000E-099   3.4117E-021   8.9059E-014   2.0257E-006   1.0000E+000
    4.965088E+03   1.0000E-099   1.8902E-021   6.0032E-014   1.6645E-006   1.0000E+000
    5.270391E+03   1.0000E-099   1.3772E-021   4.8440E-014   1.5016E-006   1.0000E+000
    5.594466E+03   1.0000E-099   1.1878E-021   4.3900E-014   1.4291E-006   1.0000E+000
    5.938470E+03   1.0000E-099   1.0876E-021   4.1498E-014   1.3851E-006   1.0000E+000
    6.303626E+03   1.0000E-099   1.0091E-021   3.9714E-014   1.3452E-006   1.0000E+000
    6.691235E+03   1.0000E-099   9.6405E-022   3.8674E-014   1.3216E-006   1.0000E+000
    7.102679E+03   1.0000E-099   9.3143E-022   3.7947E-014   1.3031E-006   1.0000E+000
    7.539422E+03   1.0000E-099   8.7381E-022   3.6815E-014   1.2670E-006   1.0000E+000
    8.003021E+03   1.0000E-099   8.5087E-022   3.6611E-014   1.2490E-006   1.0000E+000
    8.495126E+03   1.0000E-099   8.9469E-022   3.8218E-014   1.2655E-006   1.0000E+000
    9.017491E+03   1.0000E-099   1.0416E-021   4.3120E-014   1.3240E-006   1.0000E+000
    9.571975E+03   1.0000E-099   1.4790E-021   5.6417E-014   1.4813E-006   1.0000E+000
    1.016056E+04   1.0000E-099   2.9706E-021   9.3970E-014   1.8726E-006   1.0000E+000
    1.078533E+04   1.0000E-099   1.0439E-020   2.4023E-013   2.9232E-006   1.0000E+000
    1.144852E+04   1.0000E-099   8.4733E-020   1.1674E-012   6.4460E-006   9.9999E-001
    1.215249E+04   1.0000E-099   1.6409E-018   1.2418E-011   2.2608E-005   9.9998E-001
    1.289974E+04   1.0000E-099   2.6392E-017   1.2055E-010   7.8767E-005   9.9992E-001
    1.369294E+04   1.0000E-099   5.0492E-016   1.4560E-009   3.1913E-004   9.9968E-001
    1.453492E+04   1.0000E-099   1.3641E-013   1.5094E-007   4.3668E-003   9.9563E-001
    1.542867E+04   1.0000E-099   1.1245E-006   2.3510E-002   9.4200E-001   3.4488E-002
    1.626717E+04   1.0000E-099   2.1964E-001   7.8026E-001   9.7060E-005   1.6671E-013
    1.668676E+04   1.0000E-099   9.8604E-001   1.3964E-002   3.6577E-010   5.6721E-024
    1.713874E+04   1.0000E-099   1.0000E+000   4.9332E-007   1.7706E-021   9.5286E-045
    1.771854E+04   1.0000E-099   1.0000E+000   1.1429E-010   1.0667E-030   1.4549E-061
    1.838692E+04   1.0000E-099   1.0000E+000   1.3577E-010   1.4538E-030   2.1155E-061
    1.903533E+04   1.0000E-099   1.0000E+000   1.9112E-010   2.8070E-030   5.0041E-061
    1.976116E+04   1.0000E-099   1.0000E+000   2.3731E-010   4.2018E-030   8.4832E-061
    2.046516E+04   1.0000E-099   1.0000E+000   3.0929E-010   6.8865E-030   1.6340E-060
    2.125594E+04   1.0000E-099   1.0000E+000   3.9484E-010   1.0703E-029   2.8953E-060
    2.202587E+04   1.0000E-099   1.0000E+000   4.4390E-010   1.2883E-029   3.5471E-060
    2.285981E+04   1.0000E-099   1.0000E+000   5.9789E-010   2.1521E-029   6.7425E-060
    2.372435E+04   1.0000E-099   1.0000E+000   5.6992E-010   1.8391E-029   4.9334E-060
    2.455466E+04   1.0000E-099   1.0000E+000   8.0327E-010   3.1930E-029   9.3721E-060
    2.552174E+04   1.0000E-099   1.0000E+000   7.9932E-010   2.8969E-029   7.2073E-060
    2.640440E+04   1.0000E-099   1.0000E+000   9.0428E-010   3.3266E-029   7.5949E-060
    2.741295E+04   1.0000E-099   1.0000E+000   9.3894E-010   3.2777E-029   6.4202E-060
    2.838201E+04   1.0000E-099   1.0000E+000   7.4048E-010   2.0634E-029   3.1165E-060
    2.923203E+04   1.0000E-099   1.0000E+000   8.0599E-010   2.1855E-029   2.8213E-060
    3.013295E+04   1.0000E-099   1.0000E+000   6.0618E-010   1.1476E-029   1.0212E-060
    3.094669E+04   1.0000E-099   1.0000E+000   6.2466E-010   1.0666E-029   8.0641E-061
    3.176516E+04   1.0000E-099   1.0000E+000   5.8900E-010   8.4324E-030   5.5817E-061
    3.259805E+04   1.0000E-099   1.0000E+000   6.1485E-010   7.9306E-030   4.9059E-061
    3.345740E+04   1.0000E-099   1.0000E+000   6.7236E-010   8.0582E-030   4.8246E-061
    3.438030E+04   1.0000E-099   1.0000E+000   6.5174E-010   6.5462E-030   3.9608E-061
    3.533529E+04   1.0000E-099   1.0000E+000   7.2690E-010   6.8532E-030   4.2189E-061
    3.634323E+04   1.0000E-099   1.0000E+000   7.1591E-010   5.8104E-030   3.8195E-061
    3.736894E+04   1.0000E-099   1.0000E+000   7.5096E-010   5.5234E-030   3.8614E-061
    3.839518E+04   1.0000E-099   1.0000E+000   7.8772E-010   5.3024E-030   3.9553E-061
    3.939114E+04   1.0000E-099   1.0000E+000   7.7511E-010   4.6067E-030   3.7678E-061
    4.037465E+04   1.0000E-099   1.0000E+000   7.5005E-010   3.9034E-030   3.5490E-061
    4.133441E+04   1.0000E-099   1.0000E+000   7.4744E-010   3.4672E-030   3.4830E-061
    4.215976E+04   1.0000E-099   1.0000E+000   7.6071E-010   3.2075E-030   3.5157E-061
    4.290657E+04   1.0000E-099   1.0000E+000   7.7206E-010   2.9520E-030   3.5436E-061
    4.365819E+04   1.0000E-099   1.0000E+000   7.7655E-010   2.6526E-030   3.5395E-061
    4.442297E+04   1.0000E-099   1.0000E+000   7.7181E-010   2.3248E-030   3.4950E-061
    4.520034E+04   1.0000E-099   1.0000E+000   7.5702E-010   1.9967E-030   3.4093E-061
    4.600555E+04   1.0000E-099   1.0000E+000   7.3265E-010   1.6871E-030   3.2864E-061
    4.686215E+04   1.0000E-099   1.0000E+000   7.0394E-010   1.4135E-030   3.1508E-061
    4.776422E+04   1.0000E-099   1.0000E+000   6.7321E-010   1.1837E-030   3.0126E-061
    4.868597E+04   1.0000E-099   1.0000E+000   6.4211E-010   9.9830E-031   2.8775E-061
    4.962544E+04   1.0000E-099   1.0000E+000   6.1082E-010   8.4709E-031   2.7447E-061
    5.058305E+04   1.0000E-099   1.0000E+000   5.7957E-010   7.2213E-031   2.6138E-061
    5.155912E+04   1.0000E-099   1.0000E+000   5.4907E-010   6.1845E-031   2.4872E-061
    5.255403E+04   1.0000E-099   1.0000E+000   5.2037E-010   5.3294E-031   2.3688E-061
    5.356816E+04   1.0000E-099   1.0000E+000   4.9458E-010   4.6330E-031   2.2630E-061
    5.460189E+04   1.0000E-099   1.0000E+000   4.7242E-010   4.0728E-031   2.1729E-061
    5.565558E+04   1.0000E-099   1.0000E+000   4.5461E-010   3.6330E-031   2.1016E-061
    5.672959E+04   1.0000E-099   1.0000E+000   4.4140E-010   3.2975E-031   2.0504E-061
    5.782432E+04   1.0000E-099   1.0000E+000   4.3288E-010   3.0450E-031   2.0202E-061
    5.894013E+04   1.0000E-099   1.0000E+000   4.2781E-010   2.8501E-031   2.0058E-061
    6.007747E+04   1.0000E-099   1.0000E+000   4.2443E-010   2.6999E-031   1.9999E-061
    6.123675E+04   1.0000E-099   1.0000E+000   4.2101E-010   2.5782E-031   1.9954E-061
    6.241838E+04   1.0000E-099   1.0000E+000   4.1671E-010   2.4676E-031   1.9887E-061
    6.362274E+04   1.0000E-099   1.0000E+000   4.1111E-010   2.3615E-031   1.9785E-061
    6.485024E+04   1.0000E-099   1.0000E+000   4.0412E-010   2.2491E-031   1.9649E-061
    6.610128E+04   1.0000E-099   1.0000E+000   3.9664E-010   2.1423E-031   1.9519E-061
    6.737631E+04   1.0000E-099   1.0000E+000   3.8518E-010   1.9944E-031   1.9185E-061
    6.867574E+04   1.0000E-099   1.0000E+000   3.7097E-010   1.8327E-031   1.8458E-061
