#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           v0           v1
    6.999997E+04   1.1486E-005   9.9999E-001
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.772128E+02   5.6682E-007   1.0000E+000
    8.825108E+02   5.6682E-007   1.0000E+000
    8.985975E+02   5.6682E-007   1.0000E+000
    9.316560E+02   5.6682E-007   1.0000E+000
    9.893707E+02   5.6682E-007   1.0000E+000
    1.050609E+03   5.6681E-007   1.0000E+000
    1.115637E+03   5.6683E-007   1.0000E+000
    1.184691E+03   5.6753E-007   1.0000E+000
    1.258018E+03   5.6898E-007   1.0000E+000
    1.335885E+03   5.7238E-007   1.0000E+000
    1.418571E+03   5.6441E-007   1.0000E+000
    1.506375E+03   4.3606E-007   1.0000E+000
    1.599613E+03   4.1860E-007   1.0000E+000
    1.698623E+03   3.6712E-007   1.0000E+000
    1.803761E+03   3.6285E-007   1.0000E+000
    1.915407E+03   3.0297E-007   1.0000E+000
    2.033963E+03   2.8568E-007   1.0000E+000
    2.159857E+03   2.4499E-007   1.0000E+000
    2.293544E+03   2.0686E-007   1.0000E+000
    2.435505E+03   1.7657E-007   1.0000E+000
    2.586253E+03   1.4614E-007   1.0000E+000
    2.746332E+03   1.3113E-007   1.0000E+000
    2.916319E+03   1.1888E-007   1.0000E+000
    3.096828E+03   1.0552E-007   1.0000E+000
    3.288509E+03   9.4879E-008   1.0000E+000
    3.492055E+03   8.6659E-008   1.0000E+000
    3.708199E+03   7.7932E-008   1.0000E+000
    3.937722E+03   6.8317E-008   1.0000E+000
    4.181452E+03   6.2293E-008   1.0000E+000
    4.440267E+03   6.4380E-008   1.0000E+000
    4.715102E+03   6.1504E-008   1.0000E+000
    5.006948E+03   5.0238E-008   1.0000E+000
    5.316859E+03   4.6487E-008   1.0000E+000
    5.645951E+03   4.4290E-008   1.0000E+000
    5.995413E+03   4.2384E-008   1.0000E+000
    6.366506E+03   4.0084E-008   1.0000E+000
    6.760567E+03   3.8835E-008   1.0000E+000
    7.179019E+03   3.7430E-008   1.0000E+000
    7.623372E+03   3.4433E-008   1.0000E+000
    8.095229E+03   3.2493E-008   1.0000E+000
    8.596292E+03   3.1773E-008   1.0000E+000
    9.128368E+03   3.0753E-008   1.0000E+000
    9.693378E+03   3.0554E-008   1.0000E+000
    1.029336E+04   3.3000E-008   1.0000E+000
    1.093048E+04   3.7423E-008   1.0000E+000
    1.160703E+04   4.6768E-008   1.0000E+000
    1.232546E+04   5.9304E-008   1.0000E+000
    1.308836E+04   7.4633E-008   1.0000E+000
    1.389955E+04   9.3938E-008   1.0000E+000
    1.474312E+04   1.6615E-007   1.0000E+000
    1.540367E+04   5.5928E-007   1.0000E+000
    1.581332E+04   2.1163E-006   1.0000E+000
    1.611284E+04   1.0233E-005   9.9999E-001
    1.636570E+04   2.7524E-005   9.9997E-001
    1.654730E+04   5.0266E-005   9.9995E-001
    1.669441E+04   9.0474E-005   9.9991E-001
    1.681682E+04   1.7176E-004   9.9983E-001
    1.692241E+04   3.1974E-004   9.9968E-001
    1.702116E+04   5.6847E-004   9.9943E-001
    1.711664E+04   9.3721E-004   9.9906E-001
    1.721561E+04   1.4774E-003   9.9852E-001
    1.732334E+04   2.4098E-003   9.9759E-001
    1.744562E+04   3.9697E-003   9.9603E-001
    1.759425E+04   6.1787E-003   9.9382E-001
    1.788224E+04   7.3407E-003   9.9266E-001
    1.867332E+04   4.7688E-003   9.9523E-001
    1.962851E+04   3.0943E-003   9.9691E-001
    2.067444E+04   1.9423E-003   9.9806E-001
    2.182447E+04   1.3489E-003   9.9865E-001
    2.306690E+04   8.4303E-004   9.9916E-001
    2.438107E+04   5.2667E-004   9.9947E-001
    2.587845E+04   3.8010E-004   9.9962E-001
    2.749199E+04   2.7182E-004   9.9973E-001
    2.896661E+04   2.6848E-004   9.9973E-001
    3.023928E+04   3.1613E-004   9.9968E-001
    3.138852E+04   2.4645E-004   9.9975E-001
    3.250795E+04   1.9811E-004   9.9980E-001
    3.365620E+04   1.4435E-004   9.9986E-001
    3.486705E+04   1.1446E-004   9.9989E-001
    3.613166E+04   9.1666E-005   9.9991E-001
    3.742115E+04   7.4009E-005   9.9993E-001
    3.871394E+04   6.1427E-005   9.9994E-001
    3.997047E+04   5.7171E-005   9.9994E-001
    4.112379E+04   5.2608E-005   9.9995E-001
    4.218343E+04   4.6343E-005   9.9995E-001
    4.320753E+04   4.0452E-005   9.9996E-001
    4.423621E+04   3.5754E-005   9.9996E-001
    4.529664E+04   3.2569E-005   9.9997E-001
    4.639486E+04   3.0803E-005   9.9997E-001
    4.752261E+04   2.9574E-005   9.9997E-001
    4.867617E+04   2.8631E-005   9.9997E-001
    4.985675E+04   2.7836E-005   9.9997E-001
    5.106564E+04   2.7084E-005   9.9997E-001
    5.230378E+04   2.6317E-005   9.9997E-001
    5.357136E+04   2.5511E-005   9.9997E-001
    5.486695E+04   2.4649E-005   9.9998E-001
    5.618695E+04   2.3700E-005   9.9998E-001
    5.752536E+04   2.2644E-005   9.9998E-001
    5.887450E+04   2.1480E-005   9.9998E-001
    6.022291E+04   2.0216E-005   9.9998E-001
    6.155592E+04   1.8913E-005   9.9998E-001
    6.285824E+04   1.7635E-005   9.9998E-001
    6.411280E+04   1.6366E-005   9.9998E-001
    6.529403E+04   1.5343E-005   9.9998E-001
    6.638404E+04   1.4539E-005   9.9999E-001
    6.736672E+04   1.3100E-005   9.9999E-001
