#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 3.65e-17 1.49e-09 1.22e-03 6.21e-01 3.78e-01 
999.11 4.20e-19 1.80e-11 5.32e-05 1.60e-01 8.40e-01 
1267.34 4.46e-21 2.20e-13 1.96e-06 2.96e-02 9.70e-01 
1514.05 1.98e-22 1.02e-14 1.83e-07 8.21e-03 9.92e-01 
1808.80 1.50e-23 8.07e-16 2.65e-08 2.85e-03 9.97e-01 
1919.29 1.73e-24 1.00e-16 5.21e-09 1.17e-03 9.99e-01 
2160.92 1.15e-25 7.32e-18 6.20e-10 2.83e-04 1.00e+00 
2292.92 3.44e-26 2.64e-18 2.81e-10 1.91e-04 1.00e+00 
2432.98 1.23e-26 1.19e-18 1.46e-10 1.36e-04 1.00e+00 
2581.60 5.27e-27 6.83e-19 8.95e-11 1.06e-04 1.00e+00 
2739.29 3.00e-27 4.13e-19 6.00e-11 8.59e-05 1.00e+00 
2906.62 1.98e-27 3.13e-19 4.76e-11 7.69e-05 1.00e+00 
3084.17 1.38e-27 2.51e-19 3.99e-11 7.08e-05 1.00e+00 
3272.56 9.61e-28 1.94e-19 3.34e-11 6.48e-05 1.00e+00 
3472.46 7.87e-28 1.80e-19 3.22e-11 6.42e-05 1.00e+00 
3684.57 6.50e-28 1.64e-19 3.07e-11 6.23e-05 1.00e+00 
