#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    2.046516E+04   1.0000E-099   7.5905E-001   2.4095E-001   1.3553E-033   2.3695E-052
    2.125594E+04   1.0000E-099   7.0499E-001   2.9501E-001   2.1308E-033   2.9749E-052
    2.202587E+04   1.0000E-099   6.7493E-001   3.2507E-001   2.6532E-033   3.3499E-052
    2.285981E+04   1.0000E-099   5.9892E-001   4.0108E-001   4.4272E-033   4.2014E-052
    2.372435E+04   1.0000E-099   6.0672E-001   3.9328E-001   4.1474E-033   4.3285E-052
    2.455466E+04   1.0000E-099   5.0872E-001   4.9128E-001   7.2704E-033   5.5529E-052
    2.552174E+04   1.0000E-099   5.0218E-001   4.9782E-001   7.2777E-033   6.2512E-052
    2.640440E+04   1.0000E-099   4.5989E-001   5.4011E-001   8.9440E-033   6.9688E-052
    2.741295E+04   1.0000E-099   4.5074E-001   5.4926E-001   9.6313E-033   6.7169E-052
    2.838201E+04   1.0000E-099   5.3070E-001   4.6930E-001   6.8351E-033   5.0150E-052
    2.923203E+04   1.0000E-099   5.1959E-001   4.8041E-001   8.0151E-033   4.1753E-052
    3.013295E+04   1.0000E-099   5.9505E-001   4.0495E-001   5.4587E-033   3.2546E-052
    3.094669E+04   1.0000E-099   5.8494E-001   4.1506E-001   6.0082E-033   3.0076E-052
    3.176516E+04   1.0000E-099   5.9465E-001   4.0535E-001   5.7129E-033   2.8276E-052
    3.259805E+04   1.0000E-099   5.7794E-001   4.2206E-001   6.2865E-033   2.8897E-052
    3.345740E+04   1.0000E-099   5.4354E-001   4.5646E-001   7.4762E-033   3.0887E-052
    3.438030E+04   1.0000E-099   5.4103E-001   4.5897E-001   7.3973E-033   3.1318E-052
    3.533529E+04   1.0000E-099   4.9266E-001   5.0734E-001   9.1406E-033   3.4275E-052
    3.634323E+04   1.0000E-099   4.8151E-001   5.1849E-001   9.3206E-033   3.5308E-052
    3.736894E+04   1.0000E-099   4.4457E-001   5.5543E-001   1.0562E-032   3.7811E-052
    3.839518E+04   1.0000E-099   4.0491E-001   5.9509E-001   1.1989E-032   4.0509E-052
    3.939114E+04   1.0000E-099   3.9121E-001   6.0879E-001   1.2243E-032   4.1759E-052
    4.037465E+04   1.0000E-099   3.8637E-001   6.1363E-001   1.2127E-032   4.2479E-052
    4.133441E+04   1.0000E-099   3.7048E-001   6.2952E-001   1.2579E-032   4.3801E-052
    4.215976E+04   1.0000E-099   3.4770E-001   6.5230E-001   1.3429E-032   4.5458E-052
    4.290657E+04   1.0000E-099   3.2781E-001   6.7219E-001   1.4186E-032   4.6911E-052
    4.365819E+04   1.0000E-099   3.1324E-001   6.8676E-001   1.4685E-032   4.8043E-052
    4.442297E+04   1.0000E-099   3.0593E-001   6.9407E-001   1.4799E-032   4.8739E-052
    4.520034E+04   1.0000E-099   3.0699E-001   6.9301E-001   1.4474E-032   4.8928E-052
    4.600555E+04   1.0000E-099   3.1653E-001   6.8347E-001   1.3735E-032   4.8601E-052
    4.686215E+04   1.0000E-099   3.3181E-001   6.6819E-001   1.2771E-032   4.7914E-052
    4.776422E+04   1.0000E-099   3.5223E-001   6.4777E-001   1.1676E-032   4.6881E-052
    4.868597E+04   1.0000E-099   3.7642E-001   6.2358E-001   1.0547E-032   4.5569E-052
