#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] co0 co1 co2 co3 co4 co5 co6 co7 co8
1.469181e+03 4.440651e+04 2.874075e+13 1.519497e-25 1.738524e-17 1.692893e-10 5.224697e-05 1.293626e-01 8.601357e-01 1.044939e-02 1.035813e-07 4.654315e-16 
1.558925e+03 4.686601e+04 2.852949e+13 1.856927e-26 2.472128e-18 3.057135e-11 1.371937e-05 6.076528e-02 9.077049e-01 3.151491e-02 1.153031e-06 2.528741e-14 
1.654150e+03 4.915925e+04 2.868354e+13 2.770266e-27 4.179144e-19 6.347867e-12 3.941693e-06 2.912737e-02 8.928172e-01 7.804235e-02 9.149793e-06 8.247478e-13 
1.755192e+03 5.151671e+04 2.941201e+13 3.263286e-28 5.590490e-20 1.051792e-12 9.269813e-07 1.183104e-02 7.956698e-01 1.924169e-01 8.138714e-05 3.497307e-11 
1.862406e+03 5.434752e+04 3.056324e+13 2.115990e-29 4.200397e-21 1.013780e-13 1.347496e-07 3.263467e-03 5.516311e-01 4.442526e-01 8.527122e-04 2.316009e-09 
1.976169e+03 5.739918e+04 3.141919e+13 1.951463e-30 4.361604e-22 1.284296e-14 2.351764e-08 9.423734e-04 3.269118e-01 6.680010e-01 4.144775e-03 4.695188e-08 
2.096881e+03 6.114534e+04 3.160759e+13 9.997474e-32 2.613719e-23 9.866788e-16 2.633322e-09 1.862275e-04 1.444080e-01 8.363900e-01 1.901480e-02 1.045487e-06 
2.224967e+03 6.488335e+04 3.058732e+13 3.247372e-33 1.038950e-24 5.273064e-17 2.140551e-10 2.793157e-05 5.079892e-02 8.718828e-01 7.726865e-02 2.171876e-05 
2.360877e+03 6.872919e+04 2.963455e+13 1.144499e-34 4.446256e-26 2.951820e-18 1.786736e-11 4.083969e-06 1.617943e-02 7.533934e-01 2.301349e-01 2.881833e-04 
2.505088e+03 7.293969e+04 2.948300e+13 4.200857e-36 1.905040e-27 1.615213e-19 1.393773e-12 5.308060e-07 4.298552e-03 5.047542e-01 4.884718e-01 2.474924e-03 
2.658109e+03 7.676887e+04 2.939966e+13 2.025194e-37 1.056392e-28 1.096206e-20 1.276695e-13 7.431905e-08 1.098860e-03 2.786964e-01 7.086852e-01 1.151945e-02 
