#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 18
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
2.486775E+04 8.775375E-15 1.777653E-05 9.999822E-01 1.169827E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.569888E+04 8.482657E-15 1.868659E-05 9.999813E-01 5.165796E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.658715E+04 7.900630E-15 1.935994E-05 9.999806E-01 2.178213E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.763753E+04 6.952409E-15 1.957090E-05 9.999804E-01 9.151732E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.898698E+04 6.311566E-15 2.041704E-05 9.999796E-01 3.086440E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.065218E+04 5.118316E-15 2.041961E-05 9.999796E-01 9.185364E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.251555E+04 3.179326E-15 1.787057E-05 9.999821E-01 3.200175E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.423965E+04 1.678050E-15 1.416976E-05 9.999858E-01 1.518623E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 15.0
#NVEL: 39
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
9.648220E+03 4.002407E-18 2.528013E-08 9.971406E-01 2.859404E-03 5.292841E-11 3.298153E-24 0.000000E+00 0.000000E+00
1.009565E+04 4.464088E-18 2.773635E-08 9.949563E-01 5.043651E-03 2.243470E-10 4.664446E-23 0.000000E+00 0.000000E+00
1.071233E+04 6.423033E-18 3.687838E-08 9.971058E-01 2.894158E-03 6.773696E-11 6.842084E-24 0.000000E+00 0.000000E+00
1.136668E+04 1.038124E-17 5.465339E-08 9.993674E-01 6.325318E-04 2.068415E-12 1.843399E-26 0.000000E+00 0.000000E+00
1.206113E+04 1.922536E-17 9.285180E-08 9.999573E-01 4.259060E-05 3.875838E-15 0.000000E+00 0.000000E+00 0.000000E+00
1.279345E+04 4.607491E-17 1.954999E-07 9.999991E-01 6.646961E-07 2.294001E-19 0.000000E+00 0.000000E+00 0.000000E+00
1.352863E+04 1.453446E-16 4.797031E-07 9.999995E-01 6.026539E-09 3.846625E-24 0.000000E+00 0.000000E+00 0.000000E+00
1.419473E+04 3.389574E-16 9.345014E-07 9.999991E-01 1.664856E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.475775E+04 5.132691E-16 1.344040E-06 9.999987E-01 1.784039E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.524048E+04 9.669925E-16 2.068388E-06 9.999979E-01 2.920329E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.564700E+04 2.545959E-15 3.718153E-06 9.999963E-01 4.568430E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.596030E+04 9.012265E-15 7.737714E-06 9.999923E-01 6.171034E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.618740E+04 1.954093E-14 1.250553E-05 9.999875E-01 1.166834E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635415E+04 3.086812E-14 1.694552E-05 9.999831E-01 3.283445E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.648418E+04 3.523547E-14 1.919911E-05 9.999808E-01 1.367732E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.659312E+04 3.164799E-14 1.890502E-05 9.999811E-01 8.650791E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.669200E+04 2.789996E-14 1.817059E-05 9.999818E-01 6.968764E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.678858E+04 2.615080E-14 1.797541E-05 9.999820E-01 5.582573E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.688835E+04 2.590694E-14 1.840578E-05 9.999816E-01 3.834145E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
