#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8
4.386064e+02 3.068937e-23 3.370800e-15 1.538062e-08 1.538062e-03 6.123501e-01 3.859530e-01 1.588373e-04 3.974526e-15 2.400527e-29 
8.801961e+02 3.866985e-22 2.227951e-14 5.427970e-08 3.019087e-03 7.130863e-01 2.838154e-01 7.911355e-05 1.653225e-15 9.011140e-30 
8.922517e+02 4.260880e-23 3.432631e-15 1.219366e-08 1.127339e-03 5.199562e-01 4.785437e-01 3.727120e-04 3.934182e-14 1.334401e-27 
9.200313e+02 4.491188e-23 3.937697e-15 1.486520e-08 1.360008e-03 5.693056e-01 4.290877e-01 2.466991e-04 1.386364e-14 2.224509e-28 
9.688202e+02 1.451909e-23 1.621524e-15 7.870159e-09 9.227083e-04 5.007049e-01 4.979911e-01 3.812956e-04 2.958094e-14 6.628573e-28 
1.029396e+03 1.838029e-23 1.990645e-15 9.289678e-09 1.035136e-03 5.235397e-01 4.751007e-01 3.244752e-04 2.096813e-14 3.815403e-28 
1.092261e+03 2.247766e-23 2.400269e-15 1.094045e-08 1.166982e-03 5.490119e-01 4.495532e-01 2.678754e-04 1.359269e-14 1.883084e-28 
1.158981e+03 2.441724e-23 2.587302e-15 1.164617e-08 1.224171e-03 5.584866e-01 4.400398e-01 2.494662e-04 1.157999e-14 1.449154e-28 
1.229776e+03 3.952158e-23 4.017918e-15 1.709752e-08 1.611113e-03 6.174837e-01 3.807487e-01 1.565081e-04 4.175741e-15 2.742180e-29 
1.304896e+03 5.820587e-24 6.688046e-16 3.483082e-09 4.946506e-04 3.774442e-01 6.211275e-01 9.336778e-04 2.469942e-13 2.304396e-26 
1.384604e+03 2.776809e-24 3.305389e-16 1.825364e-09 2.995289e-04 2.945954e-01 7.033642e-01 1.740791e-03 1.127638e-12 2.960050e-25 
