#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] na0 na1 na2 na3 na4 na5 na6
1.3528e+04 4.1374e-09 9.9998e-01 1.8898e-05 6.3248e-19 1.4588e-42 0.0000e+00 0.0000e+00
1.4194e+04 4.6822e-09 1.0000e+00 3.4784e-08 7.6070e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.4758e+04 5.0098e-09 1.0000e+00 7.2367e-10 4.1233e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5240e+04 6.2068e-09 1.0000e+00 3.7330e-11 2.4181e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.5647e+04 9.4656e-09 1.0000e+00 1.7185e-12 1.1790e-36 0.0000e+00 0.0000e+00 0.0000e+00
1.5960e+04 1.8698e-08 1.0000e+00 3.2118e-14 6.5638e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.6187e+04 2.9642e-08 1.0000e+00 8.4104e-16 7.0065e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 4.2324e-08 1.0000e+00 2.2807e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 5.4065e-08 1.0000e+00 6.9037e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 6.0828e-08 1.0000e+00 3.6861e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 6.7578e-08 1.0000e+00 3.5749e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 7.9650e-08 1.0000e+00 2.3500e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 9.3841e-08 1.0000e+00 1.6717e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 1.1083e-07 1.0000e+00 9.2082e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 1.2971e-07 1.0000e+00 2.4190e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 1.4475e-07 1.0000e+00 1.6127e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.6037e-07 1.0000e+00 2.2250e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 2.2692e-07 1.0000e+00 2.3499e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 3.1693e-07 1.0000e+00 8.3172e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 3.5298e-07 1.0000e+00 1.8420e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 5.9398e-07 1.0000e+00 1.1643e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 7.0830e-07 1.0000e+00 2.5784e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 8.5668e-07 1.0000e+00 2.8026e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 9.7094e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 5.7261e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 7.2144e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 6.9302e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 9.5304e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 6.8031e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 4.1934e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 3.1717e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 1.3294e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.6631e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 4.5490e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 4.6510e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 1.7880e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 2.6176e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 4.8704e-09 1.0000e+00 1.3831e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 1.6699e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 1.3018e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 5.2782e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 3.2303e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 1.7350e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 2.5781e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 1.2158e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 1.0649e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 6.8349e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 4.3795e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 5.3639e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 7.3887e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 1.0034e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 5.6911e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 1.8482e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 1.2869e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 6.7267e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 9.9536e-10 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 3.4483e-10 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 2.6912e-10 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 4.7857e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 3.0118e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 2.4314e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 1.4842e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 3.9406e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 1.0617e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 8.7136e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 1.1057e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 3.5095e-10 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 3.7837
#NVEL: 115
#vel_mid[km/s] na0 na1 na2 na3 na4 na5 na6
4.4010e+02 4.2153e-12 6.4233e-03 9.9308e-01 4.9763e-04 7.5309e-14 1.3277e-31 0.0000e+00
8.8623e+02 2.2053e-09 4.6511e-02 9.5328e-01 2.1053e-04 5.4052e-14 1.0479e-30 0.0000e+00
9.0614e+02 1.6945e-10 3.8892e-03 9.8629e-01 9.8228e-03 4.8742e-10 1.3299e-23 3.7835e-44
9.4442e+02 2.9414e-11 7.6084e-04 9.0813e-01 9.1108e-02 1.0754e-07 2.2122e-19 1.3415e-37
9.9911e+02 1.5097e-11 4.0868e-04 8.2103e-01 1.7856e-01 6.0835e-07 5.2877e-18 1.9206e-35
1.0608e+03 1.3024e-11 3.5605e-04 7.9647e-01 2.0317e-01 8.6112e-07 1.0068e-17 5.2850e-35
1.1257e+03 1.2688e-11 3.4702e-04 7.9162e-01 2.0803e-01 9.1887e-07 1.1369e-17 6.4037e-35
1.1944e+03 1.2041e-11 3.2981e-04 7.8188e-01 2.1779e-01 1.0427e-06 1.4403e-17 9.3082e-35
1.2673e+03 1.0215e-11 2.8099e-04 7.4987e-01 2.4985e-01 1.5329e-06 2.9726e-17 2.9325e-34
1.3448e+03 4.9252e-12 1.3868e-04 5.9480e-01 4.0506e-01 6.6696e-06 4.9758e-16 2.6297e-32
1.4269e+03 9.5404e-13 2.7795e-05 2.8365e-01 7.1625e-01 7.2375e-05 6.4209e-14 7.4324e-29
1.5140e+03 1.1574e-13 3.4892e-06 8.9429e-02 9.0993e-01 6.3472e-04 7.8320e-12 2.4144e-25
1.6065e+03 1.9168e-14 6.1162e-07 3.2280e-02 9.6475e-01 2.9652e-03 2.7205e-10 1.0147e-22
1.7047e+03 3.6678e-15 1.2408e-07 1.2498e-02 9.7627e-01 1.1237e-02 6.1209e-09 2.0829e-20
1.8088e+03 6.3494e-16 2.2998e-08 4.5239e-03 9.5270e-01 4.2775e-02 1.4545e-07 4.7918e-18
1.9193e+03 8.9002e-17 3.5002e-09 1.3993e-03 8.4008e-01 1.5852e-01 3.6991e-06 1.3220e-15
2.0365e+03 9.3511e-18 3.9495e-10 3.2051e-04 5.5297e-01 4.4663e-01 7.3511e-05 2.9530e-13
2.1609e+03 6.6180e-19 3.0214e-11 4.8572e-05 2.3260e-01 7.6652e-01 8.3108e-04 3.4351e-11
2.2929e+03 3.3723e-20 1.7497e-12 5.5514e-06 7.2049e-02 9.2190e-01 6.0460e-03 2.2802e-09
2.4330e+03 1.5554e-21 9.4293e-14 5.8106e-07 1.9889e-02 9.4513e-01 3.4984e-02 1.0957e-07
2.5816e+03 8.4859e-23 5.9083e-15 6.5499e-08 5.3836e-03 8.4347e-01 1.5114e-01 3.2582e-06
2.7393e+03 6.7310e-24 5.2082e-16 9.0815e-09 1.4966e-03 6.0991e-01 3.8856e-01 3.9572e-05
2.9067e+03 9.1440e-25 7.8136e-17 1.8750e-09 5.0241e-04 3.9657e-01 6.0275e-01 1.7680e-04
3.0842e+03 2.7676e-25 2.6407e-17 7.7239e-10 2.7058e-04 3.0025e-01 6.9914e-01 3.3947e-04
3.2726e+03 2.2633e-25 2.3999e-17 7.5180e-10 2.7379e-04 3.0626e-01 6.9315e-01 3.1658e-04
3.4725e+03 4.9653e-25 5.7446e-17 1.6807e-09 5.0633e-04 4.1293e-01 5.8642e-01 1.4679e-04
3.6846e+03 3.1950e-24 4.0253e-16 9.2097e-09 1.7084e-03 6.6535e-01 3.3292e-01 2.2284e-05
3.9097e+03 5.0015e-23 6.9591e-15 9.9973e-08 8.0547e-03 9.1069e-01 8.1257e-02 6.2086e-07
4.1484e+03 6.9847e-22 9.8885e-14 8.3813e-07 2.8698e-02 9.5528e-01 1.6020e-02 1.5204e-08
4.4019e+03 2.8395e-21 3.8254e-13 2.3950e-06 5.2308e-02 9.4074e-01 6.9483e-03 2.4037e-09
4.6708e+03 2.8627e-21 3.9335e-13 2.4662e-06 5.3373e-02 9.3993e-01 6.6986e-03 2.2057e-09
4.9561e+03 1.2694e-21 1.9915e-13 1.5154e-06 4.1222e-02 9.4948e-01 9.2950e-03 4.3998e-09
5.2588e+03 5.3872e-22 9.7580e-14 9.1031e-07 3.1430e-02 9.5561e-01 1.2960e-02 8.8878e-09
5.5800e+03 2.9860e-22 5.9239e-14 6.3467e-07 2.5868e-02 9.5770e-01 1.6433e-02 1.4772e-08
5.9209e+03 2.8609e-22 6.1043e-14 6.6805e-07 2.6994e-02 9.5789e-01 1.5112e-02 1.2018e-08
6.2825e+03 4.2054e-22 9.5927e-14 9.7918e-07 3.4119e-02 9.5522e-01 1.0655e-02 5.4122e-09
6.6663e+03 8.1331e-22 1.9298e-13 1.7238e-06 4.7638e-02 9.4584e-01 6.5167e-03 1.7985e-09
7.0735e+03 2.1927e-21 5.4045e-13 3.9223e-06 7.6688e-02 9.2016e-01 3.1514e-03 3.6055e-10
7.5056e+03 1.0403e-20 2.7634e-12 1.4335e-05 1.5952e-01 8.3956e-01 9.1202e-04 2.4471e-11
7.9641e+03 6.2278e-20 1.7741e-11 6.0525e-05 3.3897e-01 6.6079e-01 1.8112e-04 8.5712e-13
8.4505e+03 4.4490e-19 1.2931e-10 2.5810e-04 6.2579e-01 3.7393e-01 2.0329e-05 1.2710e-14
8.9668e+03 4.5287e-18 1.3203e-09 1.2166e-03 8.9758e-01 1.0120e-01 5.6583e-07 2.0642e-17
9.5145e+03 7.7284e-17 2.2588e-08 7.0379e-03 9.8218e-01 1.0784e-02 2.5026e-09 1.7122e-21
1.0096e+04 3.8350e-15 1.0958e-06 7.1771e-02 9.2786e-01 3.7132e-04 9.3192e-13 2.2361e-27
1.0712e+04 4.6479e-13 1.2575e-04 7.4793e-01 2.5195e-01 6.3917e-07 1.5555e-18 6.4727e-37
1.1367e+04 2.1498e-11 5.3414e-03 9.9293e-01 1.7308e-03 2.9999e-12 3.1663e-28 0.0000e+00
1.2062e+04 1.2994e-09 3.3975e-01 6.6025e-01 1.0361e-06 1.0363e-19 1.3565e-41 0.0000e+00
1.2794e+04 3.8152e-09 9.8915e-01 1.0845e-02 6.1214e-12 1.0183e-29 0.0000e+00 0.0000e+00
1.3528e+04 3.9268e-09 9.9999e-01 1.4774e-05 3.2920e-19 4.2319e-43 0.0000e+00 0.0000e+00
1.4194e+04 4.4498e-09 1.0000e+00 3.0739e-08 5.4028e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.4758e+04 4.7449e-09 1.0000e+00 6.7453e-10 3.3457e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.5240e+04 5.8921e-09 1.0000e+00 3.4056e-11 1.8590e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.5647e+04 9.0111e-09 1.0000e+00 1.5277e-12 8.4941e-37 0.0000e+00 0.0000e+00 0.0000e+00
1.5960e+04 1.7609e-08 1.0000e+00 3.2356e-14 6.4684e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.6187e+04 2.8224e-08 1.0000e+00 7.6251e-16 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 3.8811e-08 1.0000e+00 3.0300e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 4.9390e-08 1.0000e+00 9.7505e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 5.6367e-08 1.0000e+00 4.5463e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 6.0660e-08 1.0000e+00 6.1851e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 7.1027e-08 1.0000e+00 4.3846e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 8.1110e-08 1.0000e+00 4.5568e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 1.0355e-07 1.0000e+00 1.1231e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 1.2176e-07 1.0000e+00 3.0512e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 1.3262e-07 1.0000e+00 3.8442e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 1.4351e-07 1.0000e+00 5.7847e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 1.9119e-07 1.0000e+00 7.5988e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 2.8508e-07 1.0000e+00 1.2892e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 4.3672e-07 1.0000e+00 1.6742e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 4.5700e-07 1.0000e+00 7.5936e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 7.2581e-07 1.0000e+00 1.2191e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 6.7792e-07 1.0000e+00 1.6816e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 6.8155e-07 1.0000e+00 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 7.8015e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 7.6693e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 8.1128e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 9.2378e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 8.8021e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 6.9826e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 3.2600e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 2.0803e-07 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 8.0113e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 5.1787e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 3.2627e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 1.5309e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 7.2850e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 8.4715e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 8.4785e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 1.2202e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 5.4286e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 4.3957e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 2.4326e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 4.5091e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 2.3231e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 2.8115e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 1.9601e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 2.5196e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 2.3591e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 1.8074e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 1.6166e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 1.7460e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 9.9995e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 1.9096e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 1.6955e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 4.2788e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 7.3576e-10 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 3.6506e-10 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 9.4289e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 7.6668e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 2.2179e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 3.5442e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 2.8616e-08 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 6.4056e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 6.0917e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 1.1245e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 2.0872e-09 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 3.8680
#NVEL: 115
#vel_mid[km/s] na0 na1 na2 na3 na4 na5 na6
4.4010e+02 5.0624e-12 8.1499e-03 9.9152e-01 3.3429e-04 2.8560e-14 2.2244e-32 0.0000e+00
8.8623e+02 2.8229e-09 6.2733e-02 9.3714e-01 1.2401e-04 1.5306e-14 1.0533e-31 0.0000e+00
9.0614e+02 2.1263e-10 5.1022e-03 9.8853e-01 6.3652e-03 1.6918e-10 1.9168e-24 1.4013e-45
9.4442e+02 3.6217e-11 9.7592e-04 9.3372e-01 6.5309e-02 4.5900e-08 4.5542e-20 1.0988e-38
9.9911e+02 1.8222e-11 5.1530e-04 8.6139e-01 1.3809e-01 3.0234e-07 1.4074e-18 2.3163e-36
1.0608e+03 1.5462e-11 4.4226e-04 8.3784e-01 1.6172e-01 4.5658e-07 3.0022e-18 7.5877e-36
1.1257e+03 1.5065e-11 4.3116e-04 8.3361e-01 1.6596e-01 4.8905e-07 3.4100e-18 9.2730e-36
1.1944e+03 1.4222e-11 4.0783e-04 8.2418e-01 1.7541e-01 5.6687e-07 4.4842e-18 1.4271e-35
1.2673e+03 1.2023e-11 3.4654e-04 7.9483e-01 2.0482e-01 8.6239e-07 9.7956e-18 4.8940e-35
1.3448e+03 5.9728e-12 1.7643e-04 6.5343e-01 3.4639e-01 3.9471e-06 1.7448e-16 4.7366e-33
1.4269e+03 1.2185e-12 3.7421e-05 3.3370e-01 6.6622e-01 4.7508e-05 2.5633e-14 1.5726e-29
1.5140e+03 1.5070e-13 4.8054e-06 1.0891e-01 8.9064e-01 4.4778e-04 3.4581e-12 5.8517e-26
1.6065e+03 2.4888e-14 8.3744e-07 3.9381e-02 9.5845e-01 2.1645e-03 1.2783e-10 2.7130e-23
1.7047e+03 4.7317e-15 1.6820e-07 1.5185e-02 9.7642e-01 8.3921e-03 3.0137e-09 6.0192e-21
1.8088e+03 8.1275e-16 3.0889e-08 5.4850e-03 9.6174e-01 3.2770e-02 7.5179e-08 1.4972e-18
1.9193e+03 1.1440e-16 4.7272e-09 1.7215e-03 8.7140e-01 1.2687e-01 2.0429e-06 4.5391e-16
2.0365e+03 1.2382e-17 5.5126e-10 4.1274e-04 6.1063e-01 3.8891e-01 4.5454e-05 1.1759e-13
2.1609e+03 9.1540e-19 4.4021e-11 6.5895e-05 2.7414e-01 7.2522e-01 5.7230e-04 1.5718e-11
