#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] na0 na1 na2 na3 na4 na5 na6
2.0365e+03 3.8302e-27 2.2663e-20 1.4894e-13 9.8926e-08 1.7638e-03 6.4906e-01 3.4917e-01
2.1609e+03 1.7064e-28 1.3137e-21 1.1496e-14 1.2098e-08 4.3270e-04 3.9173e-01 6.0784e-01
2.2929e+03 5.9854e-30 6.1471e-23 7.3097e-16 1.2090e-09 8.5991e-05 1.8761e-01 8.1231e-01
2.4330e+03 2.0609e-31 2.8095e-24 4.5153e-17 1.1372e-10 1.5655e-05 7.9525e-02 9.2046e-01
2.5816e+03 1.0620e-32 1.8512e-25 3.8755e-18 1.3840e-11 3.3705e-06 3.5604e-02 9.6439e-01
2.7393e+03 1.0799e-33 2.2886e-26 5.9243e-19 2.7516e-12 1.0350e-06 1.9056e-02 9.8094e-01
2.9067e+03 2.2374e-34 5.5127e-27 1.6786e-19 9.4023e-13 4.7464e-07 1.2617e-02 9.8738e-01
3.0842e+03 9.4457e-35 2.6109e-27 8.9476e-20 5.6737e-13 3.3344e-07 1.0516e-02 9.8948e-01
3.2726e+03 8.6389e-35 2.5603e-27 9.3514e-20 6.2495e-13 3.6719e-07 1.1171e-02 9.8883e-01
3.4725e+03 1.5262e-34 4.6435e-27 1.7199e-19 1.1333e-12 5.8559e-07 1.4482e-02 9.8552e-01
3.6846e+03 4.8752e-34 1.4837e-26 5.4057e-19 3.3177e-12 1.3381e-06 2.2800e-02 9.7720e-01
3.9097e+03 2.1749e-33 6.6902e-26 2.4186e-18 1.3458e-11 3.9323e-06 4.1137e-02 9.5886e-01
4.1484e+03 9.6350e-33 2.8752e-25 9.9502e-18 4.8470e-11 1.0376e-05 6.9306e-02 9.3068e-01
4.4019e+03 2.3821e-32 6.6838e-25 2.1633e-17 9.4671e-11 1.6955e-05 8.9523e-02 9.1046e-01
4.6708e+03 1.6122e-32 4.7076e-25 1.5881e-17 7.3288e-11 1.4124e-05 8.1563e-02 9.1842e-01
4.9561e+03 5.2441e-33 1.7667e-25 6.8947e-18 3.7569e-11 8.8645e-06 6.4507e-02 9.3548e-01
5.2588e+03 1.9395e-33 7.5027e-26 3.3679e-18 2.1375e-11 6.0107e-06 5.3079e-02 9.4692e-01
5.5800e+03 1.2341e-33 5.1317e-26 2.4768e-18 1.6928e-11 5.1413e-06 4.9149e-02 9.5085e-01
5.9209e+03 1.2518e-33 5.4236e-26 2.7205e-18 1.8966e-11 5.6788e-06 5.2100e-02 9.4789e-01
6.2825e+03 1.7136e-33 7.6277e-26 3.9128e-18 2.6927e-11 7.4829e-06 6.0656e-02 9.3934e-01
6.6663e+03 2.9766e-33 1.3244e-25 6.7544e-18 4.4285e-11 1.0933e-05 7.4372e-02 9.2562e-01
7.0735e+03 6.8128e-33 2.9896e-25 1.4925e-17 9.0171e-11 1.8690e-05 9.8828e-02 9.0115e-01
7.5056e+03 2.1363e-32 9.3389e-25 4.5877e-17 2.4773e-10 4.0063e-05 1.4722e-01 8.5274e-01
7.9641e+03 9.2801e-32 3.9502e-24 1.8575e-16 8.5097e-10 9.9986e-05 2.3277e-01 7.6713e-01
8.4505e+03 5.7025e-31 2.2603e-23 9.6682e-16 3.5044e-09 2.7648e-04 3.7181e-01 6.2791e-01
8.9668e+03 6.2639e-30 2.2492e-22 8.3466e-15 2.1460e-08 9.6589e-04 6.0154e-01 3.9749e-01
9.5145e+03 1.5590e-28 4.8823e-21 1.4417e-13 2.1814e-07 4.2734e-03 8.5461e-01 1.4112e-01
1.0096e+04 1.2013e-26 3.1217e-19 6.2721e-12 4.2254e-06 2.4640e-02 9.5414e-01 2.1213e-02
1.0712e+04 5.9263e-24 1.2750e-16 1.3356e-09 2.5583e-04 2.3754e-01 7.6141e-01 7.9302e-04
1.1367e+04 1.3203e-20 2.3887e-13 7.4959e-07 1.8479e-02 9.2448e-01 5.7042e-02 4.5359e-07
1.2062e+04 7.8040e-17 1.2950e-09 5.6223e-04 6.1566e-01 3.8372e-01 6.2171e-05 3.0845e-13
1.2794e+04 6.0351e-14 9.9180e-07 3.7524e-02 9.5939e-01 3.0874e-03 3.8438e-10 2.4773e-22
1.3528e+04 1.3346e-11 2.2251e-04 6.6094e-01 3.3883e-01 4.6169e-06 3.2289e-16 1.7946e-32
1.4194e+04 3.6882e-10 6.1685e-03 9.8807e-01 5.7602e-03 1.5356e-10 2.0045e-24 2.8026e-45
1.4758e+04 1.0908e-08 1.9009e-01 8.0989e-01 1.7851e-05 2.0071e-16 5.4555e-35 0.0000e+00
1.5240e+04 6.6686e-08 9.5380e-01 4.6205e-02 1.1899e-09 1.2240e-24 0.0000e+00 0.0000e+00
1.5647e+04 9.9901e-08 9.9962e-01 3.8386e-04 7.2055e-15 3.7628e-34 0.0000e+00 0.0000e+00
1.5960e+04 1.6659e-07 1.0000e+00 1.5833e-06 8.5317e-21 7.0065e-45 0.0000e+00 0.0000e+00
1.6187e+04 2.8666e-07 1.0000e+00 2.8927e-09 1.2731e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.6354e+04 4.9668e-07 1.0000e+00 2.2757e-12 2.1505e-35 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 8.9330e-07 1.0000e+00 7.4932e-16 3.7835e-44 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 1.3897e-06 1.0000e+00 4.3425e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 1.8819e-06 1.0000e+00 1.1047e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 2.1566e-06 1.0000e+00 1.3650e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 2.3474e-06 1.0000e+00 4.8560e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 2.5574e-06 1.0000e+00 2.7149e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 2.8258e-06 1.0000e+00 1.5822e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 3.3998e-06 1.0000e+00 2.7378e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 5.2532e-06 9.9999e-01 2.3393e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 9.2585e-06 9.9999e-01 1.1691e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 1.5103e-05 9.9998e-01 9.7289e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 2.2780e-05 9.9998e-01 1.1523e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 3.2722e-05 9.9997e-01 2.3822e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 4.5958e-05 9.9995e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
