#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 18
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
1.754780E+04 1.773767E-10 3.271769E-03 9.967168E-01 1.138186E-05 8.178786E-17 0.000000E+00 0.000000E+00 0.000000E+00
1.788812E+04 1.424140E-10 3.130374E-03 9.968574E-01 1.218900E-05 9.539367E-17 0.000000E+00 0.000000E+00 0.000000E+00
1.853238E+04 1.915341E-10 4.135552E-03 9.958566E-01 7.820895E-06 3.515756E-17 0.000000E+00 0.000000E+00 0.000000E+00
1.926078E+04 2.553495E-10 5.480494E-03 9.945148E-01 4.665453E-06 1.068581E-17 0.000000E+00 0.000000E+00 0.000000E+00
2.003410E+04 2.945147E-10 6.720597E-03 9.932764E-01 2.964559E-06 3.648683E-18 0.000000E+00 0.000000E+00 0.000000E+00
2.083800E+04 3.425746E-10 8.248347E-03 9.917498E-01 1.821952E-06 1.140260E-18 0.000000E+00 0.000000E+00 0.000000E+00
2.164798E+04 4.638956E-10 1.094729E-02 9.890517E-01 9.716216E-07 2.575761E-19 0.000000E+00 0.000000E+00 0.000000E+00
2.244795E+04 5.825907E-10 1.407220E-02 9.859273E-01 5.006480E-07 5.196161E-20 0.000000E+00 0.000000E+00 0.000000E+00
2.324590E+04 6.624946E-10 1.703945E-02 9.829603E-01 2.797465E-07 1.250585E-20 0.000000E+00 0.000000E+00 0.000000E+00
2.405250E+04 7.701463E-10 2.069715E-02 9.793027E-01 1.576084E-07 3.089482E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.486775E+04 9.310406E-10 2.544566E-02 9.745543E-01 8.876416E-08 7.709724E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.569888E+04 1.184024E-09 3.223840E-02 9.677616E-01 4.611624E-08 1.589374E-22 0.000000E+00 0.000000E+00 0.000000E+00
