#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
11366.65 6.0380e-01 2.8330e+02 2.6490e+02 2.4510e+02
12061.10 4.1640e-01 1.7170e+02 1.6060e+02 1.5060e+02
12793.43 3.6320e-01 1.0810e+02 1.0310e+02 9.8390e+01
13528.61 3.2030e-01 7.1000e+01 6.9560e+01 6.7830e+01
14194.74 1.6180e-01 4.4810e+01 4.6450e+01 4.6870e+01
14757.77 3.7490e-02 2.9190e+01 3.0670e+01 3.1260e+01
15240.48 1.5580e-01 2.6890e+01 2.3370e+01 2.1080e+01
15646.99 7.3490e-02 3.2200e+01 1.9650e+01 1.4400e+01
15960.30 1.0730e-01 4.4540e+01 1.8170e+01 1.1010e+01
16187.41 3.8800e+00 4.2280e+01 1.5430e+01 8.5570e+00
16354.17 8.8990e-02 4.2350e+01 1.4500e+01 8.1420e+00
16484.18 6.2020e-02 3.6680e+01 1.3040e+01 7.4520e+00
16593.12 3.3900e-01 2.9410e+01 1.1940e+01 7.1290e+00
16691.99 8.5010e-02 2.4290e+01 1.1470e+01 7.4490e+00
16788.59 1.5770e-02 2.2110e+01 1.0720e+01 6.9960e+00
16888.37 3.9260e-02 1.9770e+01 1.0310e+01 6.9820e+00
16998.79 6.5160e-03 1.8830e+01 9.4070e+00 6.1480e+00
17146.37 8.2480e-03 1.5860e+01 9.0760e+00 6.3750e+00
17415.23 2.6620e-03 1.2370e+01 7.9860e+00 5.9480e+00
17888.12 4.3770e-04 7.9340e+00 6.0960e+00 5.0120e+00
18532.37 2.9180e-04 4.9880e+00 4.6740e+00 4.3740e+00
19260.76 2.2660e-04 3.0380e+00 3.3420e+00 3.4650e+00
20034.10 1.1780e-04 1.6610e+00 2.2100e+00 2.6270e+00
20838.00 8.3780e-04 9.2660e-01 1.4920e+00 1.9270e+00
21647.97 5.0580e-04 5.9610e-01 1.0620e+00 1.3880e+00
22447.94 1.9800e-05 2.7220e-01 6.3410e-01 1.1280e+00
23245.88 2.4350e-03 1.1590e-01 3.6840e-01 8.6310e-01
24052.47 1.1210e-03 5.3740e-02 2.2120e-01 6.4630e-01
24867.72 2.9770e-04 3.1940e-02 1.5050e-01 4.6180e-01
25698.86 8.8290e-04 1.4730e-02 8.6460e-02 3.3810e-01
26587.16 7.4900e-05 7.2740e-03 5.1750e-02 2.1780e-01
27637.54 3.2510e-05 2.6930e-03 2.2930e-02 1.2510e-01
28986.97 8.0590e-06 7.4900e-04 8.1080e-03 5.7230e-02
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
1060.83 1.9070e+05 1.3900e+05 6.2540e+04 2.5870e+04
1919.29 3.9640e+05 2.0970e+05 9.9330e+04 3.8060e+04
2581.60 2.7530e+05 2.5790e+05 1.2390e+05 5.6360e+04
3084.17 3.4390e+04 1.8230e+05 8.0140e+04 4.4300e+04
3472.46 4.1140e+02 8.7340e+04 4.3740e+04 2.6630e+04
3909.64 2.5730e+01 2.7290e+04 1.7970e+04 1.2270e+04
4148.46 1.6290e+01 1.4950e+04 1.0310e+04 7.3440e+03
4670.75 7.1350e+00 6.4300e+03 4.3260e+03 3.0820e+03
4956.05 2.6540e+00 4.3040e+03 3.3260e+03 2.4420e+03
5258.79 8.1630e-01 3.1770e+03 2.8980e+03 2.2450e+03
5580.02 2.0830e-01 2.6860e+03 2.7880e+03 2.2240e+03
5920.87 1.0260e-01 2.2700e+03 2.7010e+03 2.2380e+03
6282.54 6.4700e-02 1.9020e+03 2.5240e+03 2.2020e+03
6666.30 5.7650e-02 1.6840e+03 2.3570e+03 2.0890e+03
7073.50 5.0050e-02 1.4840e+03 2.1230e+03 1.9330e+03
7505.58 4.2880e-02 1.1770e+03 1.7920e+03 1.7180e+03
7964.05 4.0040e-02 9.7750e+02 1.4760e+03 1.4630e+03
8450.53 6.2880e-02 8.8950e+02 1.2410e+03 1.2100e+03
8966.72 1.2710e-01 7.8270e+02 9.8980e+02 9.6810e+02
9514.44 2.5470e-01 6.4090e+02 7.5960e+02 7.3840e+02
10095.62 4.1630e-01 5.2750e+02 5.6770e+02 5.3720e+02
10712.30 4.0970e-01 4.0590e+02 3.9400e+02 3.6530e+02
11366.65 5.6190e-01 2.7230e+02 2.5410e+02 2.3360e+02
12061.10 8.1800e-01 1.6350e+02 1.5440e+02 1.4430e+02
12793.43 4.2820e-01 1.0360e+02 9.8780e+01 9.4120e+01
13528.61 2.8320e-01 6.7400e+01 6.6890e+01 6.5380e+01
14194.74 6.6680e-01 4.2050e+01 4.4750e+01 4.5020e+01
14757.77 9.9600e-02 2.7740e+01 2.9420e+01 3.0070e+01
15240.48 1.2010e-01 2.5810e+01 2.2450e+01 2.0130e+01
15646.99 3.0860e-02 3.0470e+01 1.8960e+01 1.4080e+01
15960.30 1.2210e-01 4.2110e+01 1.7680e+01 1.0830e+01
16187.41 3.7780e-01 4.3260e+01 1.5090e+01 8.4780e+00
16354.17 3.0060e-02 4.2780e+01 1.2750e+01 6.8000e+00
16484.18 3.1720e-02 3.7080e+01 1.1500e+01 6.2230e+00
16593.12 7.4100e-02 2.8520e+01 1.1400e+01 6.7780e+00
16691.99 1.8580e+00 2.2850e+01 1.0390e+01 6.3920e+00
16788.59 3.3140e-03 2.1720e+01 1.0070e+01 6.3830e+00
16888.37 5.0350e-03 1.9430e+01 9.6880e+00 6.4270e+00
16998.79 4.8170e-03 1.7490e+01 9.2290e+00 6.2200e+00
17146.37 4.4420e-02 1.5230e+01 8.6670e+00 6.0630e+00
17415.23 1.4800e-01 1.1510e+01 7.6870e+00 5.8560e+00
17888.12 1.0090e-03 7.5650e+00 5.8400e+00 4.8390e+00
18532.37 8.0590e-04 5.3830e+00 4.3880e+00 3.6750e+00
19260.76 1.3900e-04 2.8950e+00 3.1940e+00 3.3430e+00
20034.10 2.1070e-04 1.7460e+00 2.1340e+00 2.3450e+00
20838.00 1.3920e-04 8.8280e-01 1.4200e+00 1.8610e+00
21647.97 3.0160e-03 5.1710e-01 9.7690e-01 1.4210e+00
22447.94 1.0790e-03 2.6590e-01 6.0400e-01 1.0780e+00
23245.88 1.2910e-03 1.3460e-01 3.7940e-01 7.7800e-01
24052.47 3.7870e-04 5.9100e-02 2.2640e-01 5.9790e-01
24867.72 1.8180e-04 3.1890e-02 1.5290e-01 4.3260e-01
25698.86 1.7570e-05 1.4220e-02 8.2070e-02 3.2540e-01
26587.16 1.3480e-04 6.6340e-03 4.6740e-02 2.1180e-01
27637.54 1.2010e-04 2.5720e-03 2.2670e-02 1.1910e-01
28986.97 6.4140e-06 6.4570e-04 8.8600e-03 5.3810e-02
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
1060.83 1.6900e+05 1.4640e+05 6.0080e+04 2.5070e+04
1919.29 3.8000e+05 2.0140e+05 9.4730e+04 3.6220e+04
2581.60 2.6570e+05 2.4640e+05 1.1800e+05 5.3460e+04
3084.17 3.3230e+04 1.7500e+05 7.6380e+04 4.2180e+04
3472.46 3.7610e+02 8.3700e+04 4.1910e+04 2.5510e+04
3909.64 2.4610e+01 2.6230e+04 1.7120e+04 1.1770e+04
4148.46 1.6090e+01 1.4380e+04 9.8560e+03 7.0020e+03
4670.75 6.3530e+00 6.1590e+03 4.1540e+03 2.9470e+03
4956.05 2.7530e+00 4.1580e+03 3.1630e+03 2.3290e+03
5258.79 7.9650e-01 3.0560e+03 2.7690e+03 2.1460e+03
5580.02 2.0850e-01 2.5760e+03 2.6670e+03 2.1310e+03
5920.87 9.7510e-02 2.1790e+03 2.5820e+03 2.1460e+03
6282.54 6.5560e-02 1.8150e+03 2.4250e+03 2.1100e+03
6666.30 5.2830e-02 1.6170e+03 2.2550e+03 2.0020e+03
7073.50 4.8450e-02 1.4250e+03 2.0270e+03 1.8550e+03
7505.58 3.8200e-02 1.1380e+03 1.7060e+03 1.6460e+03
7964.05 4.0550e-02 9.3670e+02 1.4130e+03 1.4030e+03
8450.53 5.7430e-02 8.5660e+02 1.1840e+03 1.1600e+03
8966.72 1.3470e-01 7.4780e+02 9.4930e+02 9.2860e+02
9514.44 2.4650e-01 6.1350e+02 7.2610e+02 7.0970e+02
10095.62 3.6400e-01 5.0690e+02 5.4050e+02 5.1660e+02
10712.30 5.2570e-01 3.8900e+02 3.7820e+02 3.4890e+02
11366.65 7.5750e-01 2.6040e+02 2.4380e+02 2.2370e+02
12061.10 7.8140e-01 1.5650e+02 1.4800e+02 1.3840e+02
12793.43 4.9020e-01 9.9230e+01 9.4690e+01 9.0040e+01
13528.61 5.1640e-01 6.5370e+01 6.3810e+01 6.1880e+01
14194.74 1.8630e-01 4.3150e+01 4.2390e+01 4.1210e+01
14757.77 5.5290e-02 2.6440e+01 2.8330e+01 2.8850e+01
15240.48 5.1900e-02 2.4550e+01 2.1570e+01 1.9470e+01
15646.99 1.1230e-01 2.8770e+01 1.8240e+01 1.3750e+01
15960.30 7.1150e-01 4.1470e+01 1.6140e+01 9.4480e+00
16187.41 2.6960e-01 4.1800e+01 1.4330e+01 7.9990e+00
16354.17 4.3010e-01 3.9260e+01 1.2920e+01 7.1360e+00
16484.18 6.8540e-02 3.4040e+01 1.1750e+01 6.6780e+00
16593.12 1.9120e-01 2.7530e+01 1.0730e+01 6.3530e+00
16691.99 1.3520e-02 2.2830e+01 1.0340e+01 6.5630e+00
16788.59 4.9600e-03 2.1680e+01 9.4390e+00 5.4500e+00
16888.37 1.1100e-01 1.8510e+01 9.2760e+00 6.1670e+00
16998.79 6.0010e-03 1.6740e+01 8.8440e+00 5.9810e+00
17146.37 2.4510e-01 1.5560e+01 7.8700e+00 5.0730e+00
17415.23 1.7680e-02 1.2150e+01 7.0420e+00 4.9350e+00
17888.12 4.7220e-04 7.2850e+00 5.5720e+00 4.6220e+00
18532.37 3.6690e-04 4.8100e+00 4.2570e+00 3.8170e+00
19260.76 2.9060e-04 3.0180e+00 3.0530e+00 2.9660e+00
20034.10 1.1960e-04 1.7190e+00 2.0560e+00 2.1900e+00
20838.00 3.2150e-05 8.6180e-01 1.3710e+00 1.7560e+00
21647.97 2.3890e-05 4.9220e-01 9.2640e-01 1.3770e+00
22447.94 1.5900e-03 2.6400e-01 6.0810e-01 9.9330e-01
23245.88 1.3320e-03 1.1890e-01 3.8410e-01 7.3470e-01
24052.47 1.3280e-06 5.3910e-02 2.1080e-01 5.8200e-01
24867.72 8.1680e-07 3.5870e-02 1.4780e-01 4.0800e-01
25698.86 2.6780e-07 1.3800e-02 7.8970e-02 3.1130e-01
26587.16 6.8000e-04 6.0220e-03 4.4700e-02 2.0280e-01
27637.54 2.5100e-05 2.0250e-03 2.3830e-02 1.1250e-01
28986.97 8.9290e-05 6.2730e-04 7.4380e-03 5.2520e-02
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] ni0 ni1 ni2 ni3
1060.83 1.5560e+05 1.4660e+05 5.7530e+04 2.4110e+04
1919.29 3.6330e+05 1.9530e+05 8.9740e+04 3.4160e+04
2581.60 2.5640e+05 2.3490e+05 1.1270e+05 5.0950e+04
3084.17 3.0650e+04 1.6880e+05 7.3270e+04 4.0390e+04
3472.46 3.4170e+02 8.0250e+04 4.0070e+04 2.4470e+04
3909.64 2.3670e+01 2.5190e+04 1.6410e+04 1.1220e+04
4148.46 1.4690e+01 1.3740e+04 9.4480e+03 6.7450e+03
4670.75 6.6810e+00 5.9170e+03 3.9680e+03 2.8180e+03
4956.05 2.6660e+00 3.9420e+03 3.0420e+03 2.2600e+03
5258.79 7.9350e-01 2.9290e+03 2.6520e+03 2.0560e+03
5580.02 2.0270e-01 2.4440e+03 2.5790e+03 2.0430e+03
5920.87 9.4590e-02 2.0980e+03 2.4600e+03 2.0580e+03
6282.54 6.3060e-02 1.7330e+03 2.3260e+03 2.0250e+03
6666.30 5.4580e-02 1.5430e+03 2.1620e+03 1.9220e+03
7073.50 5.0060e-02 1.3680e+03 1.9390e+03 1.7780e+03
7505.58 3.5540e-02 1.0810e+03 1.6430e+03 1.5780e+03
7964.05 3.6600e-02 8.9140e+02 1.3570e+03 1.3480e+03
8450.53 6.2930e-02 8.1530e+02 1.1370e+03 1.1140e+03
8966.72 1.2400e-01 7.1370e+02 9.1210e+02 8.8990e+02
9514.44 2.0430e-01 5.8540e+02 6.9660e+02 6.8140e+02
10095.62 3.7060e-01 4.8340e+02 5.1720e+02 4.9780e+02
10712.30 7.0100e-01 3.7120e+02 3.6220e+02 3.3590e+02
11366.65 5.7270e-01 2.4800e+02 2.3320e+02 2.1640e+02
12061.10 8.0830e-01 1.5170e+02 1.4110e+02 1.3150e+02
12793.43 5.0250e-01 9.7540e+01 9.0320e+01 8.4170e+01
13528.61 2.8350e-01 6.4550e+01 6.0850e+01 5.7870e+01
14194.74 3.0020e-01 4.0360e+01 4.0690e+01 4.0270e+01
14757.77 4.2070e-02 2.5220e+01 2.7210e+01 2.7700e+01
15240.48 9.0170e-02 2.3850e+01 2.0560e+01 1.8390e+01
15646.99 2.2820e-01 2.9170e+01 1.6960e+01 1.1970e+01
15960.30 1.3310e-01 3.9750e+01 1.5710e+01 9.3400e+00
16187.41 4.2400e-02 4.0280e+01 1.3700e+01 7.6730e+00
16354.17 5.6810e-02 3.9130e+01 1.1760e+01 6.2940e+00
16484.18 1.9880e-02 3.3630e+01 1.0780e+01 5.9130e+00
16593.12 7.4590e-01 2.7280e+01 9.6030e+00 5.3020e+00
