#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 
440.10 7.44e-18 1.89e-10 1.93e-03 8.54e-01 1.44e-01 
999.11 2.45e-19 8.08e-12 1.20e-04 3.63e-01 6.37e-01 
1267.34 4.00e-21 1.65e-13 3.33e-06 6.10e-02 9.39e-01 
1514.05 2.41e-22 1.06e-14 2.43e-07 1.43e-02 9.86e-01 
1808.80 1.88e-23 9.95e-16 2.80e-08 4.38e-03 9.96e-01 
1919.29 2.11e-24 1.25e-16 4.00e-09 1.46e-03 9.99e-01 
2160.92 1.68e-25 1.00e-17 3.44e-10 3.37e-04 1.00e+00 
2292.92 6.12e-26 3.96e-18 1.52e-10 2.11e-04 1.00e+00 
2432.98 3.21e-26 2.05e-18 8.28e-11 1.44e-04 1.00e+00 
2581.60 2.27e-26 1.34e-18 5.50e-11 1.08e-04 1.00e+00 
2739.29 1.40e-26 8.55e-19 3.66e-11 8.51e-05 1.00e+00 
2906.62 1.12e-26 6.82e-19 3.00e-11 7.49e-05 1.00e+00 
3084.17 9.03e-27 5.65e-19 2.61e-11 6.88e-05 1.00e+00 
3272.56 6.36e-27 4.35e-19 2.21e-11 6.34e-05 1.00e+00 
3472.46 5.42e-27 3.99e-19 2.20e-11 6.38e-05 1.00e+00 
3684.57 4.47e-27 3.61e-19 2.18e-11 6.43e-05 1.00e+00 
3909.64 3.46e-27 3.20e-19 2.20e-11 6.54e-05 1.00e+00 
4148.46 3.72e-27 3.68e-19 2.69e-11 7.39e-05 1.00e+00 
4401.86 5.76e-27 5.59e-19 3.95e-11 9.26e-05 1.00e+00 
4670.75 8.52e-27 8.34e-19 5.84e-11 1.18e-04 1.00e+00 
4956.05 8.42e-27 8.83e-19 6.64e-11 1.27e-04 1.00e+00 
5258.79 7.06e-27 8.33e-19 6.96e-11 1.34e-04 1.00e+00 
5580.02 7.42e-27 9.67e-19 8.70e-11 1.58e-04 1.00e+00 
5920.87 9.23e-27 1.24e-18 1.15e-10 1.87e-04 1.00e+00 
6282.54 1.04e-26 1.53e-18 1.51e-10 2.23e-04 1.00e+00 
6666.30 1.61e-26 2.43e-18 2.43e-10 2.94e-04 1.00e+00 
7073.50 2.56e-26 4.14e-18 4.33e-10 4.19e-04 1.00e+00 
7505.58 4.39e-26 7.38e-18 7.89e-10 5.76e-04 9.99e-01 
