#NTIMES: 50
#NSTAGES 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
440.10 1.1333e-01 6.1973e-01 2.6694e-01
886.22 1.2327e-01 6.2698e-01 2.4976e-01
906.14 1.0831e-01 6.1432e-01 2.7737e-01
944.43 1.1481e-01 6.1397e-01 2.7122e-01
999.11 1.2320e-01 6.2369e-01 2.5311e-01
1060.83 1.1347e-01 6.1882e-01 2.6771e-01
1125.62 1.0488e-01 6.1778e-01 2.7734e-01
1194.38 1.2024e-01 6.2707e-01 2.5268e-01
1267.34 1.1216e-01 6.2213e-01 2.6572e-01
1344.75 1.1544e-01 6.2203e-01 2.6253e-01
1426.89 1.2064e-01 6.3007e-01 2.4929e-01
1514.05 1.2692e-01 6.2519e-01 2.4789e-01
1606.54 1.2403e-01 6.2947e-01 2.4650e-01
1704.67 1.2375e-01 6.2794e-01 2.4830e-01
1808.80 1.2605e-01 6.2721e-01 2.4673e-01
1919.29 1.2747e-01 6.2525e-01 2.4727e-01
2036.53 1.2925e-01 6.2894e-01 2.4181e-01
2160.92 1.2287e-01 6.2446e-01 2.5267e-01
2292.92 1.1145e-01 6.1864e-01 2.6990e-01
2432.98 9.6392e-02 6.0810e-01 2.9550e-01
2581.60 8.5680e-02 5.9483e-01 3.1949e-01
2739.29 7.3707e-02 5.7777e-01 3.4852e-01
2906.62 5.6032e-02 5.4594e-01 3.9803e-01
3084.17 4.1637e-02 5.1400e-01 4.4436e-01
3272.56 2.5646e-02 4.6143e-01 5.1292e-01
3472.46 1.5509e-02 4.1014e-01 5.7435e-01
3684.57 8.1926e-03 3.5491e-01 6.3690e-01
3909.64 5.3501e-03 3.3080e-01 6.6385e-01
4148.46 5.5343e-03 3.2533e-01 6.6914e-01
4401.86 7.0401e-03 3.4159e-01 6.5137e-01
4670.75 6.4671e-03 3.3971e-01 6.5382e-01
4956.05 3.4993e-03 2.8154e-01 7.1497e-01
5258.79 1.1578e-03 2.1710e-01 7.8174e-01
5580.02 2.4994e-04 1.5989e-01 8.3986e-01
5920.87 1.1090e-04 1.2937e-01 8.7052e-01
6282.54 7.2521e-05 1.1309e-01 8.8684e-01
6666.30 6.0480e-05 1.0209e-01 8.9785e-01
7073.50 5.9773e-05 1.0506e-01 8.9488e-01
7505.58 6.8889e-05 1.0589e-01 8.9404e-01
7964.05 8.3175e-05 1.1026e-01 8.8966e-01
8450.53 1.7308e-04 1.3578e-01 8.6404e-01
8966.72 4.8895e-04 1.7008e-01 8.2943e-01
9514.44 1.3215e-03 2.1159e-01 7.8709e-01
10095.62 2.6927e-03 2.6217e-01 7.3513e-01
10712.30 4.4798e-03 2.9856e-01 6.9696e-01
11366.65 7.2774e-03 3.4248e-01 6.5024e-01
12061.10 8.0068e-03 3.5722e-01 6.3478e-01
12793.43 9.0431e-03 3.6284e-01 6.2811e-01
13528.61 8.5440e-03 3.6706e-01 6.2440e-01
14194.74 7.4028e-03 3.5231e-01 6.4029e-01
14757.77 4.6774e-03 3.3951e-01 6.5582e-01
15240.48 4.6436e-03 3.8838e-01 6.0697e-01
15646.99 7.0517e-03 4.7450e-01 5.1845e-01
15960.30 8.5872e-03 5.9288e-01 3.9854e-01
16187.41 7.5563e-03 6.3229e-01 3.6015e-01
16354.17 7.4720e-03 6.4280e-01 3.4973e-01
16484.18 5.2410e-03 6.2440e-01 3.7036e-01
16593.12 3.3435e-03 6.0142e-01 3.9524e-01
16691.99 2.5268e-03 5.6755e-01 4.2993e-01
16788.59 3.1928e-03 5.4910e-01 4.4771e-01
16888.37 2.1882e-03 5.3770e-01 4.6011e-01
16998.79 2.1141e-03 5.1293e-01 4.8495e-01
17146.37 1.0634e-03 5.1657e-01 4.8237e-01
17415.23 7.9582e-04 4.6945e-01 5.2975e-01
17888.12 5.6411e-04 4.5205e-01 5.4739e-01
18532.37 4.1004e-04 3.8327e-01 6.1632e-01
19260.76 2.9796e-04 3.4475e-01 6.5495e-01
20034.10 2.8180e-04 2.9097e-01 7.0875e-01
20838.00 1.2204e-04 2.5472e-01 7.4516e-01
21647.97 1.6411e-04 2.1385e-01 7.8599e-01
22447.94 5.0553e-04 1.8466e-01 8.1484e-01
23245.88 8.3388e-05 1.4588e-01 8.5404e-01
24052.47 1.1096e-04 1.2800e-01 8.7189e-01
24867.72 3.0563e-05 6.2565e-02 9.3740e-01
25698.86 4.4702e-05 7.6046e-02 9.2391e-01
26587.16 2.6560e-05 7.2520e-02 9.2745e-01
27637.54 3.6595e-05 6.2178e-02 9.3779e-01
28986.97 3.4669e-05 4.7156e-02 9.5281e-01
#TIME: 202.03
#NVEL 78
#vel_mid[km/s] ne0 ne1 ne2
440.10 1.0698e-01 6.1600e-01 2.7702e-01
886.22 1.1500e-01 6.2361e-01 2.6138e-01
906.14 1.0487e-01 6.2103e-01 2.7410e-01
944.43 1.3216e-01 6.2315e-01 2.4469e-01
999.11 1.1676e-01 6.2103e-01 2.6221e-01
1060.83 1.1414e-01 6.3074e-01 2.5513e-01
1125.62 1.0714e-01 6.1090e-01 2.8196e-01
1194.38 1.1655e-01 6.1717e-01 2.6628e-01
1267.34 1.2588e-01 6.2411e-01 2.5002e-01
1344.75 1.1607e-01 6.2271e-01 2.6121e-01
1426.89 1.1712e-01 6.2279e-01 2.6009e-01
1514.05 1.2817e-01 6.2743e-01 2.4441e-01
1606.54 1.3064e-01 6.2628e-01 2.4308e-01
1704.67 1.2985e-01 6.2703e-01 2.4312e-01
1808.80 1.3198e-01 6.2901e-01 2.3901e-01
1919.29 1.3644e-01 6.2967e-01 2.3389e-01
2036.53 1.2600e-01 6.2878e-01 2.4522e-01
2160.92 1.2066e-01 6.2376e-01 2.5558e-01
2292.92 1.0877e-01 6.1478e-01 2.7644e-01
2432.98 9.5342e-02 6.0669e-01 2.9797e-01
2581.60 8.3110e-02 5.9132e-01 3.2557e-01
2739.29 7.0469e-02 5.7190e-01 3.5763e-01
2906.62 5.7140e-02 5.5103e-01 3.9183e-01
3084.17 4.1445e-02 5.1282e-01 4.4574e-01
3272.56 2.4759e-02 4.5759e-01 5.1765e-01
3472.46 1.5070e-02 4.0659e-01 5.7834e-01
3684.57 8.6925e-03 3.5636e-01 6.3495e-01
3909.64 5.5925e-03 3.2760e-01 6.6680e-01
4148.46 5.7034e-03 3.2650e-01 6.6780e-01
4401.86 7.5442e-03 3.5230e-01 6.4015e-01
4670.75 6.4941e-03 3.4033e-01 6.5318e-01
4956.05 3.7392e-03 2.9354e-01 7.0272e-01
5258.79 1.1351e-03 2.1687e-01 7.8200e-01
5580.02 2.6596e-04 1.6477e-01 8.3496e-01
5920.87 1.1156e-04 1.3121e-01 8.6867e-01
6282.54 7.1000e-05 1.1254e-01 8.8739e-01
6666.30 6.5476e-05 1.0789e-01 8.9204e-01
7073.50 6.0435e-05 1.0398e-01 8.9596e-01
7505.58 6.3443e-05 1.0058e-01 8.9936e-01
7964.05 8.9303e-05 1.1421e-01 8.8570e-01
8450.53 1.7340e-04 1.3807e-01 8.6176e-01
8966.72 4.6625e-04 1.6710e-01 8.3244e-01
9514.44 1.2128e-03 2.0854e-01 7.9025e-01
10095.62 2.9048e-03 2.7108e-01 7.2602e-01
10712.30 4.5107e-03 3.0020e-01 6.9529e-01
11366.65 7.4454e-03 3.5365e-01 6.3891e-01
12061.10 8.4494e-03 3.6282e-01 6.2873e-01
12793.43 9.4751e-03 3.6607e-01 6.2446e-01
13528.61 9.0088e-03 3.6649e-01 6.2450e-01
14194.74 7.5547e-03 3.5357e-01 6.3888e-01
14757.77 4.4855e-03 3.3832e-01 6.5719e-01
15240.48 5.8478e-03 3.8924e-01 6.0491e-01
15646.99 5.8264e-03 4.7701e-01 5.1716e-01
15960.30 7.6968e-03 5.9397e-01 3.9833e-01
16187.41 7.3750e-03 6.3937e-01 3.5325e-01
16354.17 6.4607e-03 6.4607e-01 3.4747e-01
16484.18 5.6466e-03 6.2424e-01 3.7011e-01
16593.12 2.7998e-03 6.1161e-01 3.8559e-01
16691.99 3.4116e-03 5.6557e-01 4.3101e-01
16788.59 2.4676e-03 5.7132e-01 4.2621e-01
16888.37 2.7750e-03 5.3937e-01 4.5785e-01
16998.79 1.8214e-03 5.1927e-01 4.7891e-01
17146.37 1.1538e-03 5.0335e-01 4.9550e-01
17415.23 9.8112e-04 4.8462e-01 5.1440e-01
17888.12 4.7600e-04 4.2745e-01 5.7207e-01
18532.37 3.5569e-04 3.9415e-01 6.0549e-01
19260.76 3.9076e-04 3.5522e-01 6.4439e-01
20034.10 2.1192e-04 2.9146e-01 7.0833e-01
20838.00 1.0678e-04 2.3755e-01 7.6235e-01
