#NTIMES:     65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    2.046516E+04    9.8931E-01    1.0692E-02    4.7312E-22    1.0922E-53    3.8631E-74
    2.125594E+04    9.8629E-01    1.3714E-02    7.7735E-22    1.4381E-53    6.5244E-74
    2.202587E+04    9.8450E-01    1.5505E-02    9.9065E-22    1.6595E-53    8.4968E-74
    2.285981E+04    9.7903E-01    2.0968E-02    1.8068E-21    2.2740E-53    1.5732E-73
    2.372435E+04    9.7980E-01    2.0205E-02    1.6552E-21    2.2884E-53    1.5050E-73
    2.455466E+04    9.7137E-01    2.8635E-02    3.2783E-21    3.3045E-53    3.0410E-73
    2.552174E+04    9.7075E-01    2.9247E-02    3.2679E-21    3.7271E-53    3.3417E-73
    2.640440E+04    9.6596E-01    3.4039E-02    4.2724E-21    4.4963E-53    4.5270E-73
    2.741295E+04    9.6318E-01    3.6817E-02    4.8566E-21    4.7617E-53    5.0405E-73
    2.838201E+04    9.6952E-01    3.0477E-02    3.3105E-21    3.6592E-53    3.1968E-73
    2.923203E+04    9.6538E-01    3.4617E-02    4.3378E-21    3.5743E-53    3.6139E-73
    3.013295E+04    9.7237E-01    2.7632E-02    2.7863E-21    2.7351E-53    2.2320E-73
    3.094669E+04    9.7033E-01    2.9670E-02    3.2264E-21    2.7332E-53    2.4098E-73
    3.176516E+04    9.7115E-01    2.8852E-02    3.0464E-21    2.6052E-53    2.2330E-73
    3.259805E+04    9.6912E-01    3.0880E-02    3.4485E-21    2.7559E-53    2.4980E-73
    3.345740E+04    9.6550E-01    3.4502E-02    4.2445E-21    3.0513E-53    3.0454E-73
    3.438030E+04    9.6566E-01    3.4339E-02    4.1475E-21    3.0678E-53    3.0061E-73
    3.533529E+04    9.6105E-01    3.8947E-02    5.2575E-21    3.4509E-53    3.7804E-73
    3.634323E+04    9.6081E-01    3.9190E-02    5.2514E-21    3.5038E-53    3.8125E-73
    3.736894E+04    9.5825E-01    4.1751E-02    5.8795E-21    3.7354E-53    4.2752E-73
    3.839518E+04    9.5563E-01    4.4367E-02    6.5527E-21    3.9725E-53    4.7731E-73
    3.939114E+04    9.5560E-01    4.4397E-02    6.4801E-21    4.0077E-53    4.7625E-73
    4.037465E+04    9.5627E-01    4.3726E-02    6.2100E-21    3.9853E-53    4.6114E-73
    4.133441E+04    9.5575E-01    4.4248E-02    6.2788E-21    4.0550E-53    4.6915E-73
    4.215976E+04    9.5439E-01    4.5605E-02    6.5903E-21    4.1874E-53    4.9368E-73
    4.290657E+04    9.5313E-01    4.6865E-02    6.8831E-21    4.3104E-53    5.1677E-73
    4.365819E+04    9.5220E-01    4.7797E-02    7.0850E-21    4.4080E-53    5.3363E-73
    4.442297E+04    9.5177E-01    4.8231E-02    7.1460E-21    4.4666E-53    5.4069E-73
    4.520034E+04    9.5194E-01    4.8056E-02    7.0370E-21    4.4769E-53    5.3574E-73
    4.600555E+04    9.5275E-01    4.7252E-02    6.7565E-21    4.4366E-53    5.1845E-73
    4.686215E+04    9.5387E-01    4.6129E-02    6.4003E-21    4.3717E-53    4.9559E-73
    4.776422E+04    9.5518E-01    4.4821E-02    6.0107E-21    4.2926E-53    4.7003E-73
    4.868597E+04    9.5656E-01    4.3436E-02    5.6189E-21    4.2071E-53    4.4390E-73
    4.962544E+04    9.5798E-01    4.2016E-02    5.2341E-21    4.1177E-53    4.1785E-73
    5.058305E+04    9.5940E-01    4.0604E-02    4.8655E-21    4.0273E-53    3.9257E-73
    5.155912E+04    9.6073E-01    3.9268E-02    4.5264E-21    3.9409E-53    3.6908E-73
    5.255403E+04    9.6191E-01    3.8093E-02    4.2322E-21    3.8657E-53    3.4860E-73
    5.356816E+04    9.6283E-01    3.7167E-02    3.9970E-21    3.8098E-53    3.3230E-73
    5.460189E+04    9.6345E-01    3.6545E-02    3.8265E-21    3.7784E-53    3.2070E-73
    5.565558E+04    9.6372E-01    3.6280E-02    3.7266E-21    3.7773E-53    3.1440E-73
    5.672959E+04    9.6361E-01    3.6390E-02    3.6974E-21    3.8085E-53    3.1349E-73
    5.782432E+04    9.6312E-01    3.6880E-02    3.7387E-21    3.8735E-53    3.1807E-73
    5.894013E+04    9.6236E-01    3.7639E-02    3.8294E-21    3.9631E-53    3.2657E-73
    6.007747E+04    9.6150E-01    3.8504E-02    3.9383E-21    4.0636E-53    3.3665E-73
    6.123675E+04    9.6070E-01    3.9303E-02    4.0332E-21    4.1611E-53    3.4591E-73
    6.241838E+04    9.6004E-01    3.9955E-02    4.0993E-21    4.2504E-53    3.5341E-73
    6.362274E+04    9.5958E-01    4.0416E-02    4.1297E-21    4.3303E-53    3.5885E-73
    6.485024E+04    9.5932E-01    4.0684E-02    4.1252E-21    4.4027E-53    3.6252E-73
    6.610128E+04    9.5915E-01    4.0847E-02    4.1047E-21    4.4763E-53    3.6596E-73
    6.737631E+04    9.5942E-01    4.0579E-02    4.0040E-21    4.5110E-53    3.6296E-73
    6.867574E+04    9.5999E-01    4.0012E-02    3.8514E-21    4.4603E-53    3.5065E-73
    6.935606E+04    9.6067E-01    3.9326E-02    3.7026E-21    4.2421E-53    3.2609E-73
    6.969874E+04    9.6189E-01    3.8113E-02    3.4771E-21    3.8965E-53    2.9063E-73
    6.987071E+04    9.6446E-01    3.5545E-02    3.0350E-21    3.4346E-53    2.4065E-73
    6.995686E+04    9.6950E-01    3.0504E-02    2.2250E-21    2.8143E-53    1.6927E-73
    6.999782E+04    9.7647E-01    2.3529E-02    1.1696E-21    2.0995E-53    8.6494E-74
    6.999997E+04    9.7837E-01    2.1625E-02    9.7055E-22    1.9265E-53    7.1710E-74
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    8.772128E+02    4.0820E-22    4.9852E-15    6.1771E-09    7.7828E-04    9.9922E-01
    8.825108E+02    4.0820E-22    4.9852E-15    6.1771E-09    7.7828E-04    9.9922E-01
    8.985975E+02    4.0820E-22    4.9853E-15    6.1771E-09    7.7828E-04    9.9922E-01
    9.316560E+02    4.0821E-22    4.9853E-15    6.1772E-09    7.7828E-04    9.9922E-01
    9.893707E+02    4.0821E-22    4.9853E-15    6.1772E-09    7.7828E-04    9.9922E-01
    1.050609E+03    4.0813E-22    4.9845E-15    6.1763E-09    7.7823E-04    9.9922E-01
    1.115637E+03    4.0747E-22    4.9772E-15    6.1686E-09    7.7766E-04    9.9922E-01
    1.184691E+03    4.0472E-22    4.9435E-15    6.1293E-09    7.7467E-04    9.9923E-01
    1.258018E+03    3.9862E-22    4.8695E-15    6.0435E-09    7.6814E-04    9.9923E-01
    1.335885E+03    3.8568E-22    4.7111E-15    5.8586E-09    7.5388E-04    9.9925E-01
    1.418571E+03    2.7347E-22    3.4920E-15    4.5847E-09    6.5628E-04    9.9934E-01
    1.506375E+03    1.0306E-23    2.1991E-16    5.1613E-10    1.9525E-04    9.9980E-01
    1.599613E+03    7.4879E-24    1.6963E-16    4.2450E-10    1.7570E-04    9.9982E-01
    1.698623E+03    2.2749E-24    6.3819E-17    2.0149E-10    1.1722E-04    9.9988E-01
    1.803761E+03    1.5190E-24    4.5113E-17    1.5234E-10    1.0028E-04    9.9990E-01
    1.915407E+03    2.9621E-25    1.1869E-17    5.5585E-11    5.8350E-05    9.9994E-01
    2.033963E+03    1.5965E-25    7.1413E-18    3.7804E-11    4.7477E-05    9.9995E-01
    2.159857E+03    4.0735E-26    2.3547E-18    1.6542E-11    3.0738E-05    9.9997E-01
    2.293544E+03    1.1529E-26    8.5670E-19    7.9164E-12    2.1026E-05    9.9998E-01
    2.435505E+03    3.8727E-27    3.5984E-19    4.2399E-12    1.5314E-05    9.9998E-01
    2.586253E+03    8.8954E-28    1.1075E-19    1.8084E-12    1.0010E-05    9.9999E-01
    2.746332E+03    4.3254E-28    6.2607E-20    1.2060E-12    8.2034E-06    9.9999E-01
    2.916319E+03    2.2658E-28    3.7562E-20    8.3996E-13    6.8795E-06    9.9999E-01
    3.096828E+03    1.3164E-28    2.4827E-20    6.3394E-13    5.9859E-06    9.9999E-01
    3.288509E+03    9.7486E-29    2.0073E-20    5.5579E-13    5.5894E-06    9.9999E-01
    3.492055E+03    8.8275E-29    1.9141E-20    5.5045E-13    5.5373E-06    9.9999E-01
    3.708199E+03    8.3352E-29    1.9044E-20    5.6661E-13    5.5977E-06    9.9999E-01
    3.937722E+03    7.4249E-29    1.8232E-20    5.7186E-13    5.6208E-06    9.9999E-01
    4.181452E+03    9.5604E-29    2.3559E-20    7.2189E-13    6.3508E-06    9.9999E-01
    4.440267E+03    1.1373E-28    2.6958E-20    7.9317E-13    6.6612E-06    9.9999E-01
    4.715102E+03    6.9893E-29    1.8106E-20    5.8967E-13    5.7213E-06    9.9999E-01
    5.006948E+03    3.0157E-29    9.6069E-21    3.8527E-13    4.6232E-06    1.0000E+00
    5.316859E+03    1.9806E-29    6.9269E-21    3.0643E-13    4.1193E-06    1.0000E+00
    5.645951E+03    1.6628E-29    6.0875E-21    2.8167E-13    3.9500E-06    1.0000E+00
    5.995413E+03    1.5623E-29    5.8808E-21    2.7839E-13    3.9309E-06    1.0000E+00
    6.366506E+03    1.5413E-29    5.9547E-21    2.8677E-13    3.9995E-06    1.0000E+00
    6.760567E+03    1.5580E-29    6.0935E-21    2.9541E-13    4.0675E-06    1.0000E+00
    7.179019E+03    1.6174E-29    6.3948E-21    3.1110E-13    4.1876E-06    1.0000E+00
    7.623372E+03    1.7864E-29    7.2290E-21    3.5406E-13    4.5106E-06    1.0000E+00
    8.095229E+03    2.0855E-29    8.4812E-21    4.1174E-13    4.9168E-06    1.0000E+00
    8.596292E+03    2.6872E-29    1.0669E-20    4.9982E-13    5.4776E-06    9.9999E-01
    9.128368E+03    4.6063E-29    1.7289E-20    7.4970E-13    6.8788E-06    9.9999E-01
    9.693378E+03    1.2737E-28    4.2107E-20    1.5602E-12    1.0391E-05    9.9999E-01
    1.029336E+04    6.5334E-28    1.7033E-19    4.7955E-12    1.9475E-05    9.9998E-01
    1.093048E+04    1.2835E-26    2.2551E-18    3.9464E-11    6.4026E-05    9.9994E-01
    1.160703E+04    1.2979E-24    1.3172E-16    1.0937E-09    4.1813E-04    9.9958E-01
    1.232546E+04    9.0091E-22    5.1763E-14    1.4426E-07    6.7121E-03    9.9329E-01
    1.308836E+04    2.6857E-19    1.0155E-11    9.9869E-06    7.3387E-02    9.2660E-01
    1.389955E+04    1.0963E-16    2.7347E-09    7.4818E-04    6.1118E-01    3.8808E-01
    1.474312E+04    3.5073E-13    3.4361E-06    7.2567E-02    9.2548E-01    1.9522E-03
    1.540367E+04    1.1607E-08    1.1964E-02    9.8623E-01    1.8067E-03    1.6342E-11
    1.581332E+04    4.4597E-06    5.2954E-01    4.7046E-01    8.5185E-07    5.4082E-19
    1.611284E+04    7.2459E-05    9.9225E-01    7.6752E-03    9.4463E-12    2.3396E-28
    1.636570E+04    9.3555E-04    9.9904E-01    2.0145E-05    2.4626E-18    1.5125E-40
    1.654730E+04    4.7851E-03    9.9521E-01    2.6720E-07    3.4708E-23    1.2885E-49
    1.669441E+04    2.0043E-02    9.7996E-01    5.3200E-09    1.4207E-27    8.7893E-58
    1.681682E+04    9.3311E-02    9.0669E-01    6.7057E-11    2.0415E-32    3.4121E-63
    1.692241E+04    3.2916E-01    6.7084E-01    6.5929E-13    2.1147E-37    1.5769E-65
    1.702116E+04    6.2409E-01    3.7591E-01    9.5635E-15    1.2221E-41    3.0732E-67
    1.711664E+04    7.9743E-01    2.0257E-01    3.5134E-16    1.1085E-44    1.4771E-68
    1.721561E+04    8.8692E-01    1.1308E-01    2.3430E-17    8.3520E-48    1.1792E-69
    1.732334E+04    9.3825E-01    6.1745E-02    1.7604E-18    2.5607E-50    1.0029E-70
    1.744562E+04    9.6652E-01    3.3484E-02    1.4535E-19    1.2888E-52    8.9879E-72
    1.759425E+04    9.8203E-01    1.7975E-02    1.2253E-20    1.5261E-53    8.0246E-73
    1.788224E+04    9.9297E-01    7.0255E-03    3.2500E-22    6.0817E-54    2.2441E-74
    1.867332E+04    9.9854E-01    1.4559E-03    7.5205E-25    1.3273E-54    5.5096E-77
    1.962851E+04    9.9934E-01    6.6495E-04    7.0509E-26    6.3670E-55    5.7316E-78
    2.067444E+04    9.9940E-01    5.9600E-04    1.6885E-25    5.9887E-55    1.4755E-77
    2.182447E+04    9.9934E-01    6.5659E-04    3.9971E-25    6.9365E-55    3.6783E-77
    2.306690E+04    9.9890E-01    1.0953E-03    1.3540E-24    1.2330E-54    1.3254E-76
    2.438107E+04    9.9812E-01    1.8791E-03    3.6939E-24    2.3347E-54    3.9768E-76
    2.587845E+04    9.9715E-01    2.8451E-03    7.5171E-24    4.5347E-54    1.0266E-75
    2.749199E+04    9.9515E-01    4.8471E-03    1.7350E-23    8.8293E-54    2.6830E-75
    2.896661E+04    9.9482E-01    5.1797E-03    1.8906E-23    8.9073E-54    2.7568E-75
    3.023928E+04    9.9575E-01    4.2526E-03    1.3365E-23    7.0026E-54    1.8722E-75
    3.138852E+04    9.9466E-01    5.3369E-03    2.0420E-23    7.5415E-54    2.4663E-75
    3.250795E+04    9.9345E-01    6.5455E-03    2.8467E-23    8.4615E-54    3.1568E-75
    3.365620E+04    9.9059E-01    9.4113E-03    5.0170E-23    1.0987E-53    5.0429E-75
    3.486705E+04    9.8779E-01    1.2212E-02    7.3613E-23    1.3405E-53    6.9822E-75
    3.613166E+04    9.8415E-01    1.5849E-02    1.1105E-22    1.6519E-53    1.0036E-74
    3.742115E+04    9.7957E-01    2.0431E-02    1.7059E-22    2.0373E-53    1.4800E-74
    3.871394E+04    9.7459E-01    2.5411E-02    2.5579E-22    2.4496E-53    2.1519E-74
    3.997047E+04    9.7253E-01    2.7473E-02    3.0113E-22    2.6242E-53    2.5157E-74
    4.112379E+04    9.6994E-01    3.0062E-02    3.7293E-22    2.8363E-53    3.0836E-74
    4.218343E+04    9.6578E-01    3.4221E-02    5.2098E-22    3.1671E-53    4.2335E-74
    4.320753E+04    9.6148E-01    3.8524E-02    7.4885E-22    3.5053E-53    5.9899E-74
    4.423621E+04    9.5813E-01    4.1866E-02    1.0500E-21    3.7699E-53    8.3100E-74
    4.529664E+04    9.5637E-01    4.3629E-02    1.3890E-21    3.9191E-53    1.0944E-73
    4.639486E+04    9.5620E-01    4.3800E-02    1.7124E-21    3.9541E-53    1.3499E-73
    4.752261E+04    9.5682E-01    4.3178E-02    2.0330E-21    3.9367E-53    1.6071E-73
    4.867617E+04    9.5790E-01    4.2096E-02    2.3312E-21    3.8911E-53    1.8501E-73
    4.985675E+04    9.5926E-01    4.0742E-02    2.5804E-21    3.8291E-53    2.0574E-73
    5.106564E+04    9.6072E-01    3.9284E-02    2.7637E-21    3.7617E-53    2.2153E-73
    5.230378E+04    9.6208E-01    3.7920E-02    2.8866E-21    3.7029E-53    2.3289E-73
    5.357136E+04    9.6314E-01    3.6856E-02    2.9759E-21    3.6678E-53    2.4194E-73
    5.486695E+04    9.6377E-01    3.6230E-02    3.0611E-21    3.6668E-53    2.5103E-73
    5.618695E+04    9.6386E-01    3.6139E-02    3.1722E-21    3.7075E-53    2.6240E-73
    5.752536E+04    9.6339E-01    3.6614E-02    3.3312E-21    3.7931E-53    2.7765E-73
    5.887450E+04    9.6248E-01    3.7518E-02    3.5316E-21    3.9131E-53    2.9622E-73
    6.022291E+04    9.6144E-01    3.8557E-02    3.7322E-21    4.0433E-53    3.1494E-73
    6.155592E+04    9.6054E-01    3.9460E-02    3.8905E-21    4.1619E-53    3.3056E-73
    6.285824E+04    9.5988E-01    4.0121E-02    3.9923E-21    4.2625E-53    3.4213E-73
    6.411280E+04    9.5948E-01    4.0523E-02    4.0395E-21    4.3458E-53    3.4993E-73
    6.529403E+04    9.5925E-01    4.0753E-02    4.0527E-21    4.4193E-53    3.5558E-73
    6.638404E+04    9.5919E-01    4.0811E-02    4.0346E-21    4.4792E-53    3.5888E-73
    6.736672E+04    9.5943E-01    4.0573E-02    3.9626E-21    4.5032E-53    3.5694E-73
    6.821143E+04    9.5971E-01    4.0294E-02    3.8871E-21    4.5120E-53    3.5335E-73
    6.893337E+04    9.6013E-01    3.9872E-02    3.7889E-21    4.4104E-53    3.4007E-73
    6.953439E+04    9.6092E-01    3.9083E-02    3.6299E-21    4.1216E-53    3.1080E-73
    6.977430E+04    9.6252E-01    3.7484E-02    3.3336E-21    3.7619E-53    2.7235E-73
    6.989457E+04    9.6529E-01    3.4713E-02    2.8835E-21    3.3118E-53    2.2504E-73
    6.995478E+04    9.6926E-01    3.0735E-02    2.2457E-21    2.8393E-53    1.7047E-73
    6.998490E+04    9.7326E-01    2.6737E-02    1.6036E-21    2.4192E-53    1.1964E-73
    6.999922E+04    9.7762E-01    2.2382E-02    1.0409E-21    1.9932E-53    7.6693E-74
    6.999997E+04    9.7838E-01    2.1622E-02    9.6501E-22    1.9248E-53    7.1091E-74
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    8.772128E+02    6.4085E-22    9.2180E-15    1.2479E-08    1.2265E-03    9.9877E-01
    8.833155E+02    6.4085E-22    9.2180E-15    1.2479E-08    1.2265E-03    9.9877E-01
    9.018795E+02    6.4086E-22    9.2181E-15    1.2479E-08    1.2265E-03    9.9877E-01
    9.401862E+02    6.4091E-22    9.2187E-15    1.2480E-08    1.2265E-03    9.9877E-01
    1.001110E+03    6.4089E-22    9.2185E-15    1.2480E-08    1.2265E-03    9.9877E-01
    1.062646E+03    6.4040E-22    9.2122E-15    1.2473E-08    1.2261E-03    9.9877E-01
    1.127988E+03    6.3734E-22    9.1722E-15    1.2427E-08    1.2235E-03    9.9878E-01
    1.197348E+03    6.3089E-22    9.0811E-15    1.2314E-08    1.2169E-03    9.9878E-01
    1.270973E+03    6.1803E-22    8.8948E-15    1.2079E-08    1.2030E-03    9.9880E-01
    1.349125E+03    5.0051E-22    7.3740E-15    1.0341E-08    1.1012E-03    9.9890E-01
    1.432083E+03    1.0111E-22    1.8534E-15    3.3985E-09    5.9012E-04    9.9941E-01
    1.520141E+03    1.6430E-23    3.9505E-16    9.9263E-10    2.9717E-04    9.9970E-01
    1.613615E+03    5.6729E-24    1.6279E-16    4.9791E-10    2.0323E-04    9.9980E-01
    1.712836E+03    2.4887E-24    8.1859E-17    2.9130E-10    1.5124E-04    9.9985E-01
    1.818158E+03    8.6555E-25    3.3861E-17    1.4613E-10    1.0337E-04    9.9990E-01
    1.929957E+03    2.6951E-25    1.2921E-17    6.9686E-11    6.9008E-05    9.9993E-01
    2.048630E+03    9.0927E-26    5.2778E-18    3.5122E-11    4.7574E-05    9.9995E-01
    2.174600E+03    2.4761E-26    1.8250E-18    1.5770E-11    3.0976E-05    9.9997E-01
    2.308316E+03    6.9949E-27    6.6013E-19    7.4520E-12    2.0878E-05    9.9998E-01
    2.450254E+03    1.7725E-27    2.1926E-19    3.3225E-12    1.3714E-05    9.9999E-01
    2.600920E+03    5.1066E-28    8.0756E-20    1.6031E-12    9.4362E-06    9.9999E-01
    2.760850E+03    2.2134E-28    4.1429E-20    9.8976E-13    7.3949E-06    9.9999E-01
    2.930615E+03    1.1609E-28    2.4903E-20    6.8932E-13    6.1700E-06    9.9999E-01
    3.110818E+03    7.0759E-29    1.7091E-20    5.3397E-13    5.4310E-06    9.9999E-01
    3.302102E+03    5.4424E-29    1.4259E-20    4.7984E-13    5.1476E-06    9.9999E-01
    3.505148E+03    5.0008E-29    1.3800E-20    4.8273E-13    5.1684E-06    9.9999E-01
    3.720679E+03    4.9518E-29    1.4311E-20    5.1525E-13    5.3618E-06    9.9999E-01
    3.949463E+03    4.9257E-29    1.5137E-20    5.6712E-13    5.6820E-06    9.9999E-01
    4.192316E+03    6.3311E-29    1.9335E-20    7.0677E-13    6.4269E-06    9.9999E-01
    4.450101E+03    7.4536E-29    2.2101E-20    7.8170E-13    6.7791E-06    9.9999E-01
    4.723737E+03    4.8141E-29    1.5528E-20    6.0211E-13    5.9113E-06    9.9999E-01
    5.014199E+03    2.2874E-29    8.7838E-21    4.0700E-13    4.8465E-06    1.0000E+00
    5.322522E+03    1.4299E-29    6.1254E-21    3.1745E-13    4.2723E-06    1.0000E+00
    5.649804E+03    1.2017E-29    5.3803E-21    2.9137E-13    4.0937E-06    1.0000E+00
    5.997210E+03    1.1355E-29    5.2331E-21    2.9032E-13    4.1005E-06    1.0000E+00
    6.365978E+03    1.1278E-29    5.3251E-21    3.0054E-13    4.1959E-06    1.0000E+00
    6.757421E+03    1.1837E-29    5.6314E-21    3.1837E-13    4.3417E-06    1.0000E+00
    7.172935E+03    1.2933E-29    6.1884E-21    3.4903E-13    4.5826E-06    1.0000E+00
    7.613998E+03    1.4680E-29    7.1543E-21    4.0540E-13    5.0169E-06    1.0000E+00
