#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] al0 al1 al2 al3 al4 al5 al6
1.4194e+04 8.9790e-19 1.6805e-11 3.4723e-05 9.9997e-01 4.4687e-11 1.5538e-27 0.0000e+00
1.4758e+04 2.7741e-17 3.5186e-10 2.6780e-04 9.9973e-01 3.7787e-15 7.4495e-37 0.0000e+00
1.5240e+04 3.1179e-15 2.4478e-08 3.8683e-03 9.9613e-01 5.0998e-20 0.0000e+00 0.0000e+00
1.5647e+04 6.3171e-13 2.9550e-06 7.0408e-02 9.2959e-01 3.1706e-25 0.0000e+00 0.0000e+00
1.5960e+04 1.1127e-10 2.8273e-04 6.9829e-01 3.0143e-01 1.5379e-31 0.0000e+00 0.0000e+00
1.6187e+04 3.8880e-09 5.3511e-03 9.8602e-01 8.6252e-03 7.7340e-40 0.0000e+00 0.0000e+00
1.6354e+04 1.2066e-07 8.9046e-02 9.1085e-01 1.0138e-04 0.0000e+00 0.0000e+00 0.0000e+00
1.6484e+04 1.9107e-06 7.0216e-01 2.9784e-01 2.6262e-07 0.0000e+00 0.0000e+00 0.0000e+00
1.6593e+04 4.7054e-06 9.7584e-01 2.4154e-02 2.5887e-10 0.0000e+00 0.0000e+00 0.0000e+00
1.6692e+04 7.2907e-06 9.9729e-01 2.7006e-03 8.8441e-13 0.0000e+00 0.0000e+00 0.0000e+00
1.6788e+04 9.1152e-06 9.9942e-01 5.7121e-04 1.5101e-14 0.0000e+00 0.0000e+00 0.0000e+00
1.6888e+04 1.0583e-05 9.9981e-01 1.7870e-04 7.0794e-16 0.0000e+00 0.0000e+00 0.0000e+00
1.6999e+04 1.2177e-05 9.9992e-01 6.5117e-05 4.9849e-17 0.0000e+00 0.0000e+00 0.0000e+00
1.7146e+04 1.4186e-05 9.9996e-01 2.3888e-05 3.6004e-18 0.0000e+00 0.0000e+00 0.0000e+00
1.7416e+04 1.8375e-05 9.9998e-01 5.5684e-06 8.1194e-20 0.0000e+00 0.0000e+00 0.0000e+00
1.7888e+04 3.2170e-05 9.9997e-01 4.1145e-07 9.8133e-23 0.0000e+00 0.0000e+00 0.0000e+00
1.8532e+04 6.4688e-05 9.9994e-01 2.3494e-08 6.4482e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.9260e+04 1.1945e-04 9.9988e-01 1.6754e-09 7.2838e-29 0.0000e+00 0.0000e+00 0.0000e+00
2.0034e+04 2.0305e-04 9.9980e-01 1.4159e-10 1.2295e-31 0.0000e+00 0.0000e+00 0.0000e+00
2.0838e+04 3.2598e-04 9.9967e-01 1.4719e-11 3.5034e-34 0.0000e+00 0.0000e+00 0.0000e+00
2.1648e+04 5.0708e-04 9.9949e-01 1.8488e-12 1.6372e-36 0.0000e+00 0.0000e+00 0.0000e+00
2.2448e+04 7.2496e-04 9.9928e-01 2.6645e-13 1.0470e-38 0.0000e+00 0.0000e+00 0.0000e+00
2.3246e+04 9.8863e-04 9.9901e-01 4.3399e-14 9.0396e-41 0.0000e+00 0.0000e+00 0.0000e+00
2.4052e+04 1.3236e-03 9.9868e-01 8.2153e-15 1.1631e-42 0.0000e+00 0.0000e+00 0.0000e+00
2.4868e+04 1.6877e-03 9.9831e-01 1.9605e-15 2.6625e-44 0.0000e+00 0.0000e+00 0.0000e+00
2.5699e+04 1.9847e-03 9.9802e-01 5.8815e-16 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
2.6588e+04 2.1653e-03 9.9783e-01 1.8655e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7638e+04 2.4357e-03 9.9756e-01 3.6560e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8987e+04 3.0109e-03 9.9699e-01 2.6980e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0652e+04 1.6386e-03 9.9836e-01 1.3854e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2516e+04 4.9824e-04 9.9950e-01 1.9675e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4459e+04 1.0213e-04 9.9990e-01 9.1230e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6371e+04 2.9811e-05 9.9997e-01 5.0946e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8150e+04 1.2548e-05 9.9999e-01 2.4705e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9750e+04 8.3335e-06 9.9999e-01 4.4621e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.1174e+04 7.6603e-06 9.9999e-01 2.8014e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2468e+04 9.5635e-06 9.9999e-01 5.6068e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3688e+04 1.6016e-05 9.9998e-01 4.2732e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4884e+04 3.1596e-05 9.9997e-01 1.8787e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6084e+04 5.9516e-05 9.9994e-01 9.5126e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.7294e+04 5.4190e-05 9.9995e-01 5.7235e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8516e+04 4.2483e-05 9.9996e-01 5.8152e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9754e+04 3.2507e-05 9.9997e-01 6.4550e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.1012e+04 2.4355e-05 9.9998e-01 7.7053e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2292e+04 1.8116e-05 9.9998e-01 9.4536e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 1.3435e-05 9.9999e-01 1.1656e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 9.9514e-06 9.9999e-01 1.4453e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 7.3634e-06 9.9999e-01 1.7976e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 5.4480e-06 9.9999e-01 2.2406e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 4.0478e-06 1.0000e+00 2.7805e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 3.0210e-06 1.0000e+00 3.4504e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 2.2799e-06 1.0000e+00 4.2332e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 1.7388e-06 1.0000e+00 5.1625e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 1.3478e-06 1.0000e+00 6.2226e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 1.0657e-06 1.0000e+00 7.3856e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 8.6196e-07 1.0000e+00 8.6098e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 7.1511e-07 1.0000e+00 9.8532e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 6.0966e-07 1.0000e+00 1.1050e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 5.3398e-07 1.0000e+00 1.2177e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 4.8040e-07 1.0000e+00 1.3124e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 4.5908e-07 1.0000e+00 1.3540e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9886e+04 4.5326e-07 1.0000e+00 1.3617e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9950e+04 4.4474e-07 1.0000e+00 1.3779e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9982e+04 4.6797e-07 1.0000e+00 1.3033e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9996e+04 3.9809e-07 1.0000e+00 1.5249e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.6466e-07 1.0000e+00 3.6866e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] al0 al1 al2 al3 al4 al5 al6
4.4010e+02 9.4829e-30 2.1935e-20 6.1653e-12 1.9476e-04 2.1689e-01 7.8255e-01 3.5730e-04
8.8623e+02 1.6567e-21 4.6226e-14 1.5724e-07 5.9642e-02 8.9522e-01 4.5139e-02 2.9870e-07
9.0614e+02 1.6756e-21 4.6702e-14 1.5865e-07 6.0129e-02 8.9520e-01 4.4669e-02 2.9184e-07
9.4442e+02 1.6775e-21 4.6749e-14 1.5878e-07 6.0173e-02 8.9520e-01 4.4627e-02 2.9124e-07
9.9911e+02 1.6801e-21 4.6813e-14 1.5897e-07 6.0238e-02 8.9520e-01 4.4566e-02 2.9035e-07
1.0608e+03 1.6642e-21 4.6436e-14 1.5793e-07 5.9914e-02 8.9522e-01 4.4868e-02 2.9468e-07
1.1257e+03 1.6543e-21 4.6160e-14 1.5702e-07 5.9556e-02 8.9522e-01 4.5226e-02 2.9999e-07
1.1944e+03 1.5811e-21 4.4303e-14 1.5147e-07 5.7624e-02 8.9520e-01 4.7179e-02 3.2956e-07
1.2673e+03 1.3293e-21 3.7880e-14 1.3213e-07 5.0889e-02 8.9396e-01 5.5150e-02 4.6692e-07
1.3448e+03 6.1753e-22 1.8999e-14 7.2545e-08 2.9567e-02 8.6743e-01 1.0300e-01 1.9365e-06
1.4269e+03 1.1919e-22 4.2565e-15 1.9439e-08 8.8010e-03 6.9721e-01 2.9396e-01 2.5870e-05
1.5140e+03 1.4842e-23 6.2775e-16 3.5135e-09 1.7909e-03 3.9328e-01 6.0467e-01 2.5618e-04
1.6065e+03 2.0403e-24 1.0101e-16 6.8095e-10 3.8942e-04 1.9104e-01 8.0741e-01 1.1609e-03
1.7047e+03 3.2174e-25 1.8162e-17 1.4340e-10 8.9862e-05 8.8818e-02 9.0730e-01 3.7947e-03
1.8088e+03 4.2795e-26 2.7757e-18 2.5945e-11 1.7882e-05 3.6881e-02 9.5091e-01 1.2186e-02
1.9193e+03 4.6510e-27 3.5527e-19 4.0384e-12 3.1300e-06 1.3977e-02 9.4715e-01 3.8871e-02
2.0365e+03 4.2456e-28 3.8813e-20 5.4641e-13 4.8339e-07 4.7878e-03 8.7652e-01 1.1870e-01
2.1609e+03 3.1543e-29 3.5119e-21 6.2339e-14 6.4195e-08 1.4084e-03 6.9265e-01 3.0594e-01
2.2929e+03 1.7794e-30 2.4577e-22 5.5983e-15 6.8730e-09 3.2718e-04 4.1970e-01 5.7997e-01
2.4330e+03 8.4349e-32 1.4325e-23 4.1491e-16 6.0584e-10 6.0431e-05 1.9477e-01 8.0517e-01
2.5816e+03 5.1046e-33 1.0342e-24 3.6833e-17 6.2746e-11 1.1840e-05 8.5145e-02 9.1484e-01
2.7393e+03 5.6089e-34 1.3097e-25 5.5011e-18 1.0688e-11 3.2636e-06 4.3182e-02 9.5681e-01
2.9067e+03 1.2042e-34 3.1620e-26 1.5148e-18 3.3000e-12 1.3881e-06 2.7428e-02 9.7257e-01
3.0842e+03 5.0953e-35 1.4886e-26 7.9649e-19 1.9300e-12 9.5255e-07 2.2571e-02 9.7743e-01
3.2726e+03 4.5078e-35 1.4374e-26 8.3369e-19 2.2062e-12 1.0799e-06 2.4407e-02 9.7559e-01
3.4725e+03 7.5283e-35 2.5574e-26 1.5568e-18 4.4060e-12 1.8518e-06 3.3008e-02 9.6699e-01
3.6846e+03 2.2385e-34 8.0399e-26 5.0530e-18 1.5301e-11 4.7843e-06 5.5612e-02 9.4438e-01
3.9097e+03 9.0940e-34 3.5346e-25 2.3306e-17 7.8253e-11 1.6436e-05 1.0836e-01 8.9162e-01
4.1484e+03 3.6454e-33 1.4491e-24 9.5266e-17 3.3556e-10 4.8134e-05 1.8894e-01 8.1101e-01
4.4019e+03 8.4430e-33 3.2229e-24 2.0138e-16 6.8896e-10 8.0320e-05 2.4239e-01 7.5753e-01
4.6708e+03 5.8828e-33 2.3224e-24 1.5051e-16 5.3081e-10 6.7047e-05 2.2264e-01 7.7730e-01
4.9561e+03 2.0085e-33 9.0490e-25 6.7275e-17 2.6922e-10 4.2227e-05 1.7909e-01 8.2087e-01
5.2588e+03 7.7474e-34 3.9778e-25 3.3810e-17 1.5367e-10 2.8907e-05 1.4957e-01 8.5041e-01
5.5800e+03 4.9248e-34 2.7166e-25 2.4820e-17 1.2113e-10 2.4697e-05 1.3891e-01 8.6107e-01
5.9209e+03 4.8646e-34 2.8249e-25 2.7042e-17 1.3964e-10 2.7754e-05 1.4830e-01 8.5167e-01
6.2825e+03 6.3699e-34 3.8699e-25 3.8415e-17 2.0959e-10 3.7755e-05 1.7433e-01 8.2563e-01
6.6663e+03 1.0391e-33 6.4410e-25 6.4581e-17 3.6374e-10 5.6636e-05 2.1402e-01 7.8593e-01
7.0735e+03 2.1474e-33 1.3487e-24 1.3519e-16 7.8430e-10 9.8780e-05 2.8050e-01 7.1941e-01
7.5056e+03 5.6286e-33 3.6589e-24 3.7209e-16 2.2921e-09 2.1250e-04 3.9775e-01 6.0204e-01
7.9641e+03 1.8537e-32 1.2235e-23 1.2346e-15 7.9639e-09 5.0061e-04 5.5810e-01 4.4140e-01
8.4505e+03 7.8193e-32 5.0079e-23 4.7842e-15 3.0986e-08 1.2118e-03 7.2924e-01 2.6955e-01
8.9668e+03 5.0353e-31 3.0627e-22 2.6897e-14 1.7335e-07 3.4799e-03 8.8364e-01 1.1288e-01
9.5145e+03 6.8190e-30 3.7833e-21 2.8989e-13 1.8192e-06 1.3566e-02 9.6086e-01 2.5568e-02
1.0096e+04 2.8153e-28 1.3163e-19 8.0370e-12 4.6179e-05 8.1761e-02 9.1564e-01 2.5491e-03
1.0712e+04 3.7496e-26 1.3583e-17 6.0036e-10 2.9526e-03 5.9299e-01 4.0402e-01 3.6485e-05
1.1367e+04 6.2599e-24 1.4644e-15 3.9313e-08 1.3522e-01 8.5791e-01 6.8703e-03 2.7029e-09
1.2062e+04 3.2727e-22 4.0355e-14 5.7525e-07 9.6603e-01 3.3965e-02 3.3736e-07 3.6560e-17
1.2794e+04 3.5819e-21 2.2237e-13 1.7520e-06 9.9993e-01 6.7282e-05 2.0892e-13 1.1232e-27
1.3528e+04 4.0827e-20 1.4000e-12 6.3548e-06 9.9999e-01 9.8616e-08 6.7974e-20 1.1607e-38
1.4194e+04 6.8902e-19 1.3948e-11 3.1367e-05 9.9997e-01 5.5431e-11 2.4928e-27 0.0000e+00
1.4758e+04 2.1389e-17 2.9113e-10 2.4133e-04 9.9976e-01 4.8137e-15 1.2720e-36 0.0000e+00
1.5240e+04 2.2464e-15 1.9052e-08 3.3642e-03 9.9664e-01 7.4261e-20 0.0000e+00 0.0000e+00
