#NTIMES: 49
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
11366.65 5.1878e+03 2.0331e-17 5.9395e+05 3.5260e+05
12061.10 5.0360e+03 1.4527e-17 4.2571e+05 2.6544e+05
12793.43 4.9081e+03 1.0698e-17 3.1365e+05 2.0207e+05
13528.61 4.8785e+03 8.0897e-18 2.4041e+05 1.5665e+05
14194.74 4.8428e+03 6.0402e-18 1.8576e+05 1.2039e+05
14757.77 4.8404e+03 4.6231e-18 1.4785e+05 9.5948e+04
15240.48 4.7399e+03 4.4682e-18 1.5164e+05 9.9515e+04
15646.99 4.5957e+03 5.3297e-18 1.8583e+05 1.3073e+05
15960.30 4.6377e+03 7.4218e-18 2.5436e+05 1.9852e+05
16187.41 4.8660e+03 8.1397e-18 2.8444e+05 2.3069e+05
16354.17 5.0132e+03 7.9879e-18 2.8446e+05 2.3379e+05
16484.18 5.0845e+03 7.0236e-18 2.5975e+05 2.0920e+05
16593.12 5.2801e+03 5.8399e-18 2.2282e+05 1.7575e+05
16691.99 5.4649e+03 5.0253e-18 1.9183e+05 1.5240e+05
16788.59 5.4329e+03 4.4892e-18 1.8071e+05 1.3711e+05
16888.37 5.5538e+03 4.0625e-18 1.6513e+05 1.2494e+05
16998.79 5.5450e+03 3.6568e-18 1.5559e+05 1.1327e+05
17146.37 5.6516e+03 3.2409e-18 1.4048e+05 1.0112e+05
17415.23 5.7530e+03 2.6596e-18 1.1859e+05 8.3611e+04
17888.12 5.7706e+03 1.9042e-18 9.1169e+04 6.0406e+04
18532.37 5.9100e+03 1.4387e-18 6.9870e+04 4.5875e+04
19260.76 5.9997e+03 1.0615e-18 5.3551e+04 3.3927e+04
20034.10 6.1364e+03 7.4232e-19 3.8651e+04 2.3750e+04
20838.00 6.1961e+03 5.2738e-19 3.0246e+04 1.6883e+04
21647.97 6.2663e+03 4.0120e-19 2.3821e+04 1.2855e+04
22447.94 6.9324e+03 2.8841e-19 1.6743e+04 9.2585e+03
23245.88 7.4996e+03 2.0371e-19 1.1850e+04 6.5622e+03
24052.47 8.0228e+03 1.4926e-19 9.0845e+03 4.8429e+03
24867.72 8.3423e+03 1.1451e-19 7.5269e+03 3.7601e+03
25698.86 9.1583e+03 8.8996e-20 6.0352e+03 2.9778e+03
26587.16 9.6581e+03 6.7168e-20 5.0536e+03 2.3128e+03
27637.54 1.0804e+04 4.8041e-20 3.6781e+03 1.7284e+03
28986.97 1.2889e+04 3.2333e-20 2.7029e+03 1.2391e+03
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1060.83 4.2300e+03 4.3729e-16 5.4596e+06 3.3017e+06
1919.29 4.1310e+03 4.4789e-16 6.8811e+06 4.2627e+06
2581.60 4.4880e+03 3.6819e-16 6.9086e+06 3.8204e+06
3084.17 5.1125e+03 3.0826e-16 6.6121e+06 3.2851e+06
3472.46 5.6234e+03 2.3390e-16 5.5914e+06 2.5862e+06
3909.64 6.0779e+03 1.5076e-16 4.0002e+06 1.8378e+06
4148.46 6.0451e+03 1.2766e-16 3.4382e+06 1.6608e+06
4670.75 5.9654e+03 1.2254e-16 3.2889e+06 1.6391e+06
4956.05 6.2272e+03 1.1150e-16 3.0878e+06 1.4170e+06
5258.79 6.6160e+03 1.0107e-16 2.8846e+06 1.2065e+06
5580.02 6.9768e+03 9.5680e-17 2.7816e+06 1.0871e+06
