#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
4.386064e+02 1.378389e-21 2.953690e-14 4.521959e-08 1.371356e-03 4.894687e-01 5.091599e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.801961e+02 1.748524e-20 1.963194e-13 1.637726e-07 2.821875e-03 6.024617e-01 3.947163e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.922517e+02 1.548796e-21 2.413240e-14 3.115601e-08 9.364813e-04 3.957534e-01 6.033101e-01 0.000000e+00 0.000000e+00 0.000000e+00 
9.200313e+02 1.797676e-21 3.056567e-14 4.061608e-08 1.176001e-03 4.444974e-01 5.543266e-01 0.000000e+00 0.000000e+00 0.000000e+00 
9.688202e+02 5.549809e-22 1.200138e-14 2.048854e-08 7.691491e-04 3.772809e-01 6.219499e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.029396e+03 7.196857e-22 1.510692e-14 2.470272e-08 8.688097e-04 3.993931e-01 5.997380e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.092261e+03 9.081827e-22 1.887723e-14 2.990516e-08 9.990010e-04 4.242511e-01 5.747499e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.158981e+03 1.002179e-21 2.062549e-14 3.213438e-08 1.053904e-03 4.338465e-01 5.650996e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.229776e+03 1.754239e-21 3.482776e-14 5.005687e-08 1.432950e-03 4.947855e-01 5.037815e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.304896e+03 1.868064e-22 4.151905e-15 8.022721e-09 3.806401e-04 2.676192e-01 7.320001e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.384604e+03 7.935497e-23 1.813169e-15 3.852407e-09 2.196103e-04 2.016170e-01 7.981634e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.469181e+03 3.199335e-24 8.744848e-17 2.747873e-10 3.014484e-05 6.860796e-02 9.313619e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.558925e+03 3.673200e-25 1.175424e-17 4.819238e-11 8.110425e-06 3.320573e-02 9.667862e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.654150e+03 2.663965e-26 1.018720e-18 5.747259e-12 1.618112e-06 1.334449e-02 9.866539e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.755192e+03 4.963028e-27 2.127012e-19 1.460548e-12 5.712546e-07 7.393898e-03 9.926055e-01 0.000000e+00 0.000000e+00 0.000000e+00 
