#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
12061.10 1.7162e-04 7.4476e-01 2.5043e-01 4.6329e-03
12793.43 1.6670e-04 7.8245e-01 2.1366e-01 3.7283e-03
13528.61 1.2497e-04 7.6424e-01 2.3169e-01 3.9381e-03
14194.74 7.7802e-05 7.3736e-01 2.5760e-01 4.9578e-03
14757.77 5.0513e-05 6.5537e-01 3.3830e-01 6.2751e-03
15240.48 5.2489e-05 5.8523e-01 4.0834e-01 6.3731e-03
15646.99 5.5775e-05 4.8894e-01 5.0579e-01 5.2194e-03
15960.30 1.0917e-04 5.8531e-01 4.1166e-01 2.9166e-03
16187.41 9.7358e-05 6.0249e-01 3.9506e-01 2.3449e-03
16354.17 9.5330e-05 5.8669e-01 4.1084e-01 2.3815e-03
16484.18 5.4143e-05 3.9589e-01 6.0046e-01 3.5927e-03
16593.12 4.6979e-05 4.7176e-01 5.2458e-01 3.6145e-03
16691.99 4.2861e-05 4.6266e-01 5.3297e-01 4.3280e-03
16788.59 2.9368e-05 2.5049e-01 7.4333e-01 6.1449e-03
16888.37 3.8411e-05 3.0927e-01 6.8448e-01 6.2060e-03
16998.79 1.6123e-05 1.8897e-01 8.0399e-01 7.0240e-03
17146.37 1.0874e-05 1.7860e-01 8.1288e-01 8.5075e-03
17415.23 1.7059e-05 1.7569e-01 8.1502e-01 9.2673e-03
17888.12 4.9009e-06 8.2721e-02 9.0347e-01 1.3801e-02
18532.37 4.0375e-06 7.3050e-02 9.1089e-01 1.6054e-02
19260.76 4.0232e-06 8.3977e-02 8.9770e-01 1.8317e-02
20034.10 4.0577e-06 1.0084e-01 8.7779e-01 2.1370e-02
20838.00 1.1525e-06 3.5936e-02 9.3894e-01 2.5126e-02
21647.97 2.5430e-06 7.5184e-02 8.9107e-01 3.3745e-02
22447.94 3.5938e-06 1.3096e-01 8.3279e-01 3.6249e-02
23245.88 1.0822e-05 4.5627e-01 5.1398e-01 2.9736e-02
24052.47 1.0361e-05 5.1757e-01 4.4847e-01 3.3952e-02
24867.72 7.2030e-06 3.9067e-01 5.6348e-01 4.5840e-02
25698.86 5.6389e-06 2.5425e-01 6.6502e-01 8.0721e-02
26587.16 1.2963e-06 6.8690e-02 6.8720e-01 2.4411e-01
27637.54 1.5580e-06 1.0015e-01 7.3451e-01 1.6534e-01
28986.97 3.9858e-06 2.6125e-01 5.8469e-01 1.5406e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] c0 c1 c2 c3
1060.83 8.5500e-04 9.3774e-01 6.1106e-02 2.9482e-04
1919.29 8.5943e-04 9.4260e-01 5.6306e-02 2.3889e-04
2581.60 6.6841e-04 9.2246e-01 7.6428e-02 4.4043e-04
3084.17 6.3450e-04 8.8125e-01 1.1709e-01 1.0247e-03
3472.46 4.2621e-04 7.7990e-01 2.1686e-01 2.8061e-03
