#NTIMES:    65
#NSTAGES:     2
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           na0           na1
    6.999997E+04   4.5401E-007   1.0000E+000
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.772128E+02   6.0493E-006   9.9999E-001
    8.825108E+02   6.0493E-006   9.9999E-001
    8.985975E+02   6.0493E-006   9.9999E-001
    9.316560E+02   6.0493E-006   9.9999E-001
    9.893707E+02   6.0493E-006   9.9999E-001
    1.050609E+03   6.0492E-006   9.9999E-001
    1.115637E+03   6.0492E-006   9.9999E-001
    1.184691E+03   6.0528E-006   9.9999E-001
    1.258018E+03   6.0601E-006   9.9999E-001
    1.335885E+03   6.0774E-006   9.9999E-001
    1.418571E+03   6.0023E-006   9.9999E-001
    1.506375E+03   4.9051E-006   1.0000E+000
    1.599613E+03   4.7634E-006   1.0000E+000
    1.698623E+03   4.3237E-006   1.0000E+000
    1.803761E+03   4.2524E-006   1.0000E+000
    1.915407E+03   3.7116E-006   1.0000E+000
    2.033963E+03   3.5374E-006   1.0000E+000
    2.159857E+03   3.1424E-006   1.0000E+000
    2.293544E+03   2.7769E-006   1.0000E+000
    2.435505E+03   2.4790E-006   1.0000E+000
    2.586253E+03   2.1446E-006   1.0000E+000
    2.746332E+03   1.9828E-006   1.0000E+000
    2.916319E+03   1.8471E-006   1.0000E+000
    3.096828E+03   1.7167E-006   1.0000E+000
    3.288509E+03   1.6251E-006   1.0000E+000
    3.492055E+03   1.5660E-006   1.0000E+000
    3.708199E+03   1.5056E-006   1.0000E+000
    3.937722E+03   1.4360E-006   1.0000E+000
    4.181452E+03   1.4200E-006   1.0000E+000
    4.440267E+03   1.4671E-006   1.0000E+000
    4.715102E+03   1.4037E-006   1.0000E+000
    5.006948E+03   1.2231E-006   1.0000E+000
    5.316859E+03   1.1468E-006   1.0000E+000
    5.645951E+03   1.1058E-006   1.0000E+000
    5.995413E+03   1.0771E-006   1.0000E+000
    6.366506E+03   1.0488E-006   1.0000E+000
    6.760567E+03   1.0351E-006   1.0000E+000
    7.179019E+03   1.0217E-006   1.0000E+000
    7.623372E+03   9.8997E-007   1.0000E+000
    8.095229E+03   9.7394E-007   1.0000E+000
    8.596292E+03   9.7972E-007   1.0000E+000
    9.128368E+03   9.8969E-007   1.0000E+000
    9.693378E+03   1.0242E-006   1.0000E+000
    1.029336E+04   1.1161E-006   1.0000E+000
    1.093048E+04   1.2597E-006   1.0000E+000
    1.160703E+04   1.4882E-006   1.0000E+000
    1.232546E+04   1.7193E-006   1.0000E+000
    1.308836E+04   1.9233E-006   1.0000E+000
    1.389955E+04   2.0918E-006   1.0000E+000
    1.474312E+04   2.5758E-006   1.0000E+000
    1.540367E+04   3.8155E-006   1.0000E+000
    1.581332E+04   6.4112E-006   9.9999E-001
    1.611284E+04   9.9552E-006   9.9999E-001
    1.636570E+04   1.4074E-005   9.9999E-001
    1.654730E+04   1.4787E-005   9.9999E-001
    1.669441E+04   1.5304E-005   9.9998E-001
    1.681682E+04   1.6576E-005   9.9998E-001
    1.692241E+04   1.7168E-005   9.9998E-001
    1.702116E+04   1.6164E-005   9.9998E-001
    1.711664E+04   1.5098E-005   9.9998E-001
    1.721561E+04   1.4535E-005   9.9999E-001
    1.732334E+04   1.4389E-005   9.9999E-001
    1.744562E+04   1.4582E-005   9.9999E-001
    1.759425E+04   1.5051E-005   9.9999E-001
    1.788224E+04   1.6757E-005   9.9998E-001
    1.867332E+04   2.2365E-005   9.9998E-001
    1.962851E+04   2.5881E-005   9.9997E-001
    2.067444E+04   2.5661E-005   9.9997E-001
    2.182447E+04   2.6495E-005   9.9997E-001
    2.306690E+04   2.2930E-005   9.9998E-001
    2.438107E+04   1.9445E-005   9.9998E-001
    2.587845E+04   1.7146E-005   9.9998E-001
    2.749199E+04   1.4311E-005   9.9999E-001
    2.896661E+04   1.5758E-005   9.9998E-001
    3.023928E+04   2.0086E-005   9.9998E-001
    3.138852E+04   2.3453E-005   9.9998E-001
    3.250795E+04   2.7361E-005   9.9997E-001
    3.365620E+04   2.6008E-005   9.9997E-001
    3.486705E+04   2.5208E-005   9.9997E-001
    3.613166E+04   2.7784E-005   9.9997E-001
    3.742115E+04   2.8093E-005   9.9997E-001
    3.871394E+04   2.4281E-005   9.9998E-001
    3.997047E+04   2.3809E-005   9.9998E-001
    4.112379E+04   2.4001E-005   9.9998E-001
    4.218343E+04   2.2754E-005   9.9998E-001
    4.320753E+04   2.0239E-005   9.9998E-001
    4.423621E+04   1.7279E-005   9.9998E-001
    4.529664E+04   1.4561E-005   9.9999E-001
    4.639486E+04   1.2386E-005   9.9999E-001
    4.752261E+04   1.0517E-005   9.9999E-001
    4.867617E+04   8.9340E-006   9.9999E-001
    4.985675E+04   7.5912E-006   9.9999E-001
    5.106564E+04   6.4479E-006   9.9999E-001
    5.230378E+04   5.4688E-006   9.9999E-001
    5.357136E+04   4.6319E-006   1.0000E+000
    5.486695E+04   3.9231E-006   1.0000E+000
    5.618695E+04   3.3252E-006   1.0000E+000
    5.752536E+04   2.8269E-006   1.0000E+000
    5.887450E+04   2.4133E-006   1.0000E+000
    6.022291E+04   2.0713E-006   1.0000E+000
    6.155592E+04   1.7908E-006   1.0000E+000
    6.285824E+04   1.5678E-006   1.0000E+000
    6.411280E+04   1.3914E-006   1.0000E+000
    6.529403E+04   1.2519E-006   1.0000E+000
    6.638404E+04   1.1368E-006   1.0000E+000
    6.736672E+04   1.0402E-006   1.0000E+000
    6.821143E+04   9.6000E-007   1.0000E+000
    6.893337E+04   8.9370E-007   1.0000E+000
    6.953439E+04   8.4044E-007   1.0000E+000
    6.977430E+04   8.1813E-007   1.0000E+000
    6.989457E+04   8.0478E-007   1.0000E+000
    6.995478E+04   7.9438E-007   1.0000E+000
    6.998490E+04   7.8654E-007   1.0000E+000
    6.999922E+04   7.7866E-007   1.0000E+000
    6.999997E+04   7.7741E-007   1.0000E+000
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.772128E+02   5.0254E-006   9.9999E-001
    8.833155E+02   5.0254E-006   9.9999E-001
    9.018795E+02   5.0254E-006   9.9999E-001
    9.401862E+02   5.0254E-006   9.9999E-001
    1.001110E+03   5.0254E-006   9.9999E-001
    1.062646E+03   5.0253E-006   9.9999E-001
    1.127988E+03   5.0250E-006   9.9999E-001
    1.197348E+03   5.0279E-006   9.9999E-001
    1.270973E+03   5.0359E-006   9.9999E-001
    1.349125E+03   5.0072E-006   9.9999E-001
    1.432083E+03   4.6286E-006   1.0000E+000
    1.520141E+03   4.1687E-006   1.0000E+000
    1.613615E+03   3.8619E-006   1.0000E+000
    1.712836E+03   3.6470E-006   1.0000E+000
    1.818158E+03   3.4013E-006   1.0000E+000
    1.929957E+03   3.1162E-006   1.0000E+000
    2.048630E+03   2.8706E-006   1.0000E+000
    2.174600E+03   2.5796E-006   1.0000E+000
    2.308316E+03   2.2906E-006   1.0000E+000
    2.450254E+03   2.0101E-006   1.0000E+000
    2.600920E+03   1.7849E-006   1.0000E+000
    2.760850E+03   1.6418E-006   1.0000E+000
    2.930615E+03   1.5301E-006   1.0000E+000
    3.110818E+03   1.4302E-006   1.0000E+000
    3.302102E+03   1.3568E-006   1.0000E+000
    3.505148E+03   1.3040E-006   1.0000E+000
    3.720679E+03   1.2546E-006   1.0000E+000
    3.949463E+03   1.1939E-006   1.0000E+000
    4.192316E+03   1.1873E-006   1.0000E+000
    4.450101E+03   1.2128E-006   1.0000E+000
    4.723737E+03   1.1615E-006   1.0000E+000
    5.014199E+03   1.0387E-006   1.0000E+000
    5.322522E+03   9.6408E-007   1.0000E+000
    5.649804E+03   9.3067E-007   1.0000E+000
    5.997210E+03   9.0459E-007   1.0000E+000
    6.365978E+03   8.8130E-007   1.0000E+000
    6.757421E+03   8.7013E-007   1.0000E+000
    7.172935E+03   8.5834E-007   1.0000E+000
    7.613998E+03   8.3347E-007   1.0000E+000
    8.082182E+03   8.2075E-007   1.0000E+000
    8.579155E+03   8.2652E-007   1.0000E+000
    9.106686E+03   8.3557E-007   1.0000E+000
    9.666656E+03   8.6511E-007   1.0000E+000
    1.026106E+04   9.3688E-007   1.0000E+000
    1.089201E+04   1.0493E-006   1.0000E+000
    1.156176E+04   1.2146E-006   1.0000E+000
    1.227269E+04   1.4089E-006   1.0000E+000
