#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    3.013295E+04   1.0000E-099   9.6547E-001   3.4534E-002   1.2475E-015
    3.094669E+04   1.0000E-099   9.6308E-001   3.6923E-002   1.3019E-015
    3.176516E+04   1.0000E-099   9.6397E-001   3.6033E-002   1.1408E-015
    3.259805E+04   1.0000E-099   9.6073E-001   3.9273E-002   1.2411E-015
    3.345740E+04   1.0000E-099   9.5469E-001   4.5307E-002   1.5070E-015
    3.438030E+04   1.0000E-099   9.5419E-001   4.5813E-002   1.4182E-015
    3.533529E+04   1.0000E-099   9.4608E-001   5.3916E-002   1.8018E-015
    3.634323E+04   1.0000E-099   9.4509E-001   5.4915E-002   1.7478E-015
    3.736894E+04   1.0000E-099   9.3993E-001   6.0069E-002   1.9491E-015
    3.839518E+04   1.0000E-099   9.3438E-001   6.5622E-002   2.1810E-015
    3.939114E+04   1.0000E-099   9.3439E-001   6.5605E-002   2.0915E-015
    4.037465E+04   1.0000E-099   9.3649E-001   6.3515E-002   1.9078E-015
    4.133441E+04   1.0000E-099   9.3683E-001   6.3169E-002   1.8437E-015
    4.215976E+04   1.0000E-099   9.3579E-001   6.4213E-002   1.8655E-015
    4.290657E+04   1.0000E-099   9.3520E-001   6.4796E-002   1.8678E-015
    4.365819E+04   1.0000E-099   9.3571E-001   6.4291E-002   1.8185E-015
    4.442297E+04   1.0000E-099   9.3763E-001   6.2371E-002   1.7109E-015
    4.520034E+04   1.0000E-099   9.4116E-001   5.8839E-002   1.5496E-015
    4.600555E+04   1.0000E-099   9.4622E-001   5.3781E-002   1.3476E-015
    4.686215E+04   1.0000E-099   9.5190E-001   4.8098E-002   1.1419E-015
    4.776422E+04   1.0000E-099   9.5759E-001   4.2406E-002   9.5098E-016
    4.868597E+04   1.0000E-099   9.6277E-001   3.7227E-002   7.8707E-016
    4.962544E+04   1.0000E-099   9.6730E-001   3.2701E-002   6.5028E-016
    5.058305E+04   1.0000E-099   9.7116E-001   2.8841E-002   5.3849E-016
    5.155912E+04   1.0000E-099   9.7436E-001   2.5636E-002   4.4943E-016
    5.255403E+04   1.0000E-099   9.7694E-001   2.3062E-002   3.8067E-016
    5.356816E+04   1.0000E-099   9.7890E-001   2.1100E-002   3.2988E-016
    5.460189E+04   1.0000E-099   9.8034E-001   1.9662E-002   2.9361E-016
    5.565558E+04   1.0000E-099   9.8128E-001   1.8724E-002   2.6989E-016
    5.672959E+04   1.0000E-099   9.8178E-001   1.8218E-002   2.5629E-016
    5.782432E+04   1.0000E-099   9.8185E-001   1.8153E-002   2.5197E-016
    5.894013E+04   1.0000E-099   9.8162E-001   1.8380E-002   2.5359E-016
    6.007747E+04   1.0000E-099   9.8117E-001   1.8826E-002   2.5890E-016
    6.123675E+04   1.0000E-099   9.8076E-001   1.9236E-002   2.6336E-016
    6.241838E+04   1.0000E-099   9.8035E-001   1.9653E-002   2.6718E-016
    6.362274E+04   1.0000E-099   9.8015E-001   1.9849E-002   2.6732E-016
    6.485024E+04   1.0000E-099   9.7992E-001   2.0081E-002   2.6741E-016
    6.610128E+04   1.0000E-099   9.7990E-001   2.0097E-002   2.6432E-016
    6.737631E+04   1.0000E-099   9.7998E-001   2.0021E-002   2.5729E-016
    6.867574E+04   1.0000E-099   9.8054E-001   1.9459E-002   2.4262E-016
    6.935606E+04   1.0000E-099   9.8109E-001   1.8905E-002   2.3056E-016
    6.969874E+04   1.0000E-099   9.8234E-001   1.7664E-002   2.0852E-016
    6.987071E+04   1.0000E-099   9.8388E-001   1.6120E-002   1.7828E-016
    6.995686E+04   1.0000E-099   9.8609E-001   1.3910E-002   1.3242E-016
    6.999782E+04   1.0000E-099   9.8827E-001   1.1729E-002   7.5310E-017
    6.999997E+04   1.0000E-099   9.8874E-001   1.1258E-002   6.3939E-017
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    8.772128E+02   1.0000E-099   4.8076E-013   3.6636E-006   1.0000E+000
    8.825108E+02   1.0000E-099   4.8076E-013   3.6636E-006   1.0000E+000
    8.985975E+02   1.0000E-099   4.8076E-013   3.6636E-006   1.0000E+000
    9.316560E+02   1.0000E-099   4.8076E-013   3.6636E-006   1.0000E+000
    9.893707E+02   1.0000E-099   4.8076E-013   3.6636E-006   1.0000E+000
    1.050609E+03   1.0000E-099   4.8073E-013   3.6635E-006   1.0000E+000
    1.115637E+03   1.0000E-099   4.8063E-013   3.6634E-006   1.0000E+000
    1.184691E+03   1.0000E-099   4.8093E-013   3.6658E-006   1.0000E+000
    1.258018E+03   1.0000E-099   4.8144E-013   3.6707E-006   1.0000E+000
    1.335885E+03   1.0000E-099   4.8285E-013   3.6826E-006   1.0000E+000
    1.418571E+03   1.0000E-099   4.4857E-013   3.5822E-006   1.0000E+000
    1.506375E+03   1.0000E-099   1.8775E-013   2.5147E-006   1.0000E+000
    1.599613E+03   1.0000E-099   1.6881E-013   2.3996E-006   1.0000E+000
    1.698623E+03   1.0000E-099   1.1690E-013   2.0532E-006   1.0000E+000
    1.803761E+03   1.0000E-099   1.0795E-013   2.0039E-006   1.0000E+000
    1.915407E+03   1.0000E-099   6.5200E-014   1.6232E-006   1.0000E+000
    2.033963E+03   1.0000E-099   5.4588E-014   1.5124E-006   1.0000E+000
    2.159857E+03   1.0000E-099   3.5684E-014   1.2686E-006   1.0000E+000
    2.293544E+03   1.0000E-099   2.3211E-014   1.0540E-006   1.0000E+000
    2.435505E+03   1.0000E-099   1.5743E-014   8.8906E-007   1.0000E+000
    2.586253E+03   1.0000E-099   9.6450E-015   7.2314E-007   1.0000E+000
    2.746332E+03   1.0000E-099   7.4246E-015   6.4458E-007   1.0000E+000
    2.916319E+03   1.0000E-099   5.8649E-015   5.8106E-007   1.0000E+000
    3.096828E+03   1.0000E-099   4.5735E-015   5.1503E-007   1.0000E+000
    3.288509E+03   1.0000E-099   3.7701E-015   4.6436E-007   1.0000E+000
    3.492055E+03   1.0000E-099   3.2769E-015   4.2664E-007   1.0000E+000
    3.708199E+03   1.0000E-099   2.8065E-015   3.8697E-007   1.0000E+000
    3.937722E+03   1.0000E-099   2.2997E-015   3.4263E-007   1.0000E+000
    4.181452E+03   1.0000E-099   2.1073E-015   3.1746E-007   1.0000E+000
    4.440267E+03   1.0000E-099   2.2657E-015   3.2847E-007   1.0000E+000
    4.715102E+03   1.0000E-099   1.9717E-015   3.1129E-007   1.0000E+000
    5.006948E+03   1.0000E-099   1.3090E-015   2.5406E-007   1.0000E+000
    5.316859E+03   1.0000E-099   1.1016E-015   2.3442E-007   1.0000E+000
    5.645951E+03   1.0000E-099   1.0028E-015   2.2344E-007   1.0000E+000
    5.995413E+03   1.0000E-099   9.3479E-016   2.1445E-007   1.0000E+000
    6.366506E+03   1.0000E-099   8.6390E-016   2.0392E-007   1.0000E+000
    6.760567E+03   1.0000E-099   8.2849E-016   1.9828E-007   1.0000E+000
    7.179019E+03   1.0000E-099   7.9220E-016   1.9207E-007   1.0000E+000
    7.623372E+03   1.0000E-099   7.1742E-016   1.7884E-007   1.0000E+000
    8.095229E+03   1.0000E-099   6.7878E-016   1.7068E-007   1.0000E+000
    8.596292E+03   1.0000E-099   6.8493E-016   1.6864E-007   1.0000E+000
    9.128368E+03   1.0000E-099   7.1281E-016   1.6675E-007   1.0000E+000
    9.693378E+03   1.0000E-099   8.2906E-016   1.7177E-007   1.0000E+000
    1.029336E+04   1.0000E-099   1.1924E-015   1.9531E-007   1.0000E+000
    1.093048E+04   1.0000E-099   2.2689E-015   2.4790E-007   1.0000E+000
    1.160703E+04   1.0000E-099   6.4099E-015   3.8345E-007   1.0000E+000
    1.232546E+04   1.0000E-099   2.5259E-014   7.4007E-007   1.0000E+000
    1.308836E+04   1.0000E-099   8.7330E-014   1.4601E-006   1.0000E+000
    1.389955E+04   1.0000E-099   3.6319E-013   3.4659E-006   1.0000E+000
    1.474312E+04   1.0000E-099   6.9079E-012   2.2834E-005   9.9998E-001
    1.540367E+04   1.0000E-099   4.2198E-009   1.6488E-003   9.9835E-001
    1.581332E+04   1.0000E-099   1.1092E-006   5.8957E-002   9.4104E-001
    1.611284E+04   1.0000E-099   1.0244E-004   7.3224E-001   2.6766E-001
    1.636570E+04   1.0000E-099   1.5449E-003   9.9511E-001   3.3493E-003
    1.654730E+04   1.0000E-099   7.3043E-003   9.9258E-001   1.1980E-004
    1.669441E+04   1.0000E-099   2.8755E-002   9.7124E-001   5.8426E-006
    1.681682E+04   1.0000E-099   1.2430E-001   8.7570E-001   1.9156E-007
    1.692241E+04   1.0000E-099   3.9384E-001   6.0616E-001   4.8255E-009
    1.702116E+04   1.0000E-099   6.8059E-001   3.1941E-001   1.5979E-010
    1.711664E+04   1.0000E-099   8.3183E-001   1.6817E-001   1.1124E-011
    1.721561E+04   1.0000E-099   9.0658E-001   9.3417E-002   1.2428E-012
    1.732334E+04   1.0000E-099   9.4890E-001   5.1096E-002   1.5111E-013
    1.744562E+04   1.0000E-099   9.7215E-001   2.7850E-002   1.9662E-014
    1.759425E+04   1.0000E-099   9.8496E-001   1.5039E-002   2.5867E-015
    1.788224E+04   1.0000E-099   9.9407E-001   5.9332E-003   1.2971E-016
    1.867332E+04   1.0000E-099   9.9875E-001   1.2526E-003   8.6884E-019
    1.962851E+04   1.0000E-099   9.9942E-001   5.7805E-004   8.6015E-020
    2.067444E+04   1.0000E-099   9.9950E-001   4.9663E-004   1.3689E-019
    2.182447E+04   1.0000E-099   9.9949E-001   5.0607E-004   3.1520E-019
    2.306690E+04   1.0000E-099   9.9925E-001   7.4610E-004   1.1464E-018
    2.438107E+04   1.0000E-099   9.9882E-001   1.1780E-003   3.5956E-018
    2.587845E+04   1.0000E-099   9.9827E-001   1.7261E-003   7.6005E-018
    2.749199E+04   1.0000E-099   9.9700E-001   3.0030E-003   1.7375E-017
    2.896661E+04   1.0000E-099   9.9662E-001   3.3786E-003   1.4774E-017
    3.023928E+04   1.0000E-099   9.9719E-001   2.8089E-003   8.4254E-018
    3.138852E+04   1.0000E-099   9.9659E-001   3.4130E-003   1.1122E-017
    3.250795E+04   1.0000E-099   9.9582E-001   4.1836E-003   1.4523E-017
    3.365620E+04   1.0000E-099   9.9398E-001   6.0160E-003   2.5062E-017
    3.486705E+04   1.0000E-099   9.9209E-001   7.9089E-003   3.5813E-017
    3.613166E+04   1.0000E-099   9.8965E-001   1.0348E-002   5.2926E-017
    3.742115E+04   1.0000E-099   9.8645E-001   1.3549E-002   8.0687E-017
    3.871394E+04   1.0000E-099   9.8284E-001   1.7162E-002   1.2045E-016
    3.997047E+04   1.0000E-099   9.8156E-001   1.8445E-002   1.3401E-016
    4.112379E+04   1.0000E-099   9.8001E-001   1.9987E-002   1.5587E-016
    4.218343E+04   1.0000E-099   9.7691E-001   2.3085E-002   2.0568E-016
