#NTIMES:    65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    2.046516E+04   3.8802E-001   6.1198E-001   2.2324E-012   1.6675E-042   7.6165E-064
    2.125594E+04   3.2298E-001   6.7702E-001   3.1687E-012   2.9597E-042   1.1620E-063
    2.202587E+04   2.8966E-001   7.1034E-001   3.7567E-012   3.8571E-042   1.4426E-063
    2.285981E+04   2.2110E-001   7.7890E-001   5.5915E-012   7.4440E-042   2.2716E-063
    2.372435E+04   2.2089E-001   7.7911E-001   5.3729E-012   6.5443E-042   2.3133E-063
    2.455466E+04   1.5391E-001   8.4609E-001   8.3262E-012   1.3301E-041   3.8114E-063
    2.552174E+04   1.4555E-001   8.5445E-001   8.5228E-012   1.2330E-041   4.3804E-063
    2.640440E+04   1.2150E-001   8.7850E-001   1.0071E-011   1.4984E-041   5.3544E-063
    2.741295E+04   1.1091E-001   8.8909E-001   1.0770E-011   1.5028E-041   5.3701E-063
    2.838201E+04   1.3877E-001   8.6123E-001   8.4367E-012   8.6849E-042   3.5261E-063
    2.923203E+04   1.2352E-001   8.7648E-001   9.4140E-012   9.4319E-042   3.1102E-063
    3.013295E+04   1.5252E-001   8.4748E-001   7.0088E-012   4.6926E-042   2.0821E-063
    3.094669E+04   1.4098E-001   8.5902E-001   7.3036E-012   4.3904E-042   1.9231E-063
    3.176516E+04   1.4272E-001   8.5728E-001   6.8344E-012   3.4158E-042   1.7141E-063
    3.259805E+04   1.2973E-001   8.7027E-001   7.0272E-012   3.1852E-042   1.7314E-063
    3.345740E+04   1.1147E-001   8.8853E-001   7.5736E-012   3.2423E-042   1.8533E-063
    3.438030E+04   1.0786E-001   8.9214E-001   7.1166E-012   2.5319E-042   1.7608E-063
    3.533529E+04   8.9539E-002   9.1046E-001   7.6879E-012   2.5746E-042   1.8919E-063
    3.634323E+04   8.5132E-002   9.1487E-001   7.2178E-012   2.0211E-042   1.7945E-063
    3.736894E+04   7.4761E-002   9.2524E-001   7.1735E-012   1.7583E-042   1.7878E-063
    3.839518E+04   6.5204E-002   9.3480E-001   7.0667E-012   1.5079E-042   1.7651E-063
    3.939114E+04   6.2153E-002   9.3785E-001   6.4766E-012   1.1449E-042   1.6322E-063
    4.037465E+04   6.0788E-002   9.3921E-001   5.7887E-012   8.3323E-043   1.4737E-063
    4.133441E+04   5.6794E-002   9.4321E-001   5.2490E-012   6.1959E-043   1.3447E-063
    4.215976E+04   5.1489E-002   9.4851E-001   4.8346E-012   4.7729E-043   1.2420E-063
    4.290657E+04   4.6884E-002   9.5312E-001   4.4272E-012   3.6554E-043   1.1401E-063
    4.365819E+04   4.3189E-002   9.5681E-001   3.9953E-012   2.7197E-043   1.0324E-063
    4.442297E+04   4.0675E-002   9.5933E-001   3.5646E-012   1.9859E-043   9.2539E-064
    4.520034E+04   3.9506E-002   9.6049E-001   3.1602E-012   1.4454E-043   8.2541E-064
    4.600555E+04   3.9711E-002   9.6029E-001   2.7884E-012   1.0543E-043   7.3394E-064
    4.686215E+04   4.0742E-002   9.5926E-001   2.4664E-012   7.7846E-044   6.5492E-064
    4.776422E+04   4.2417E-002   9.5758E-001   2.2029E-012   5.9028E-044   5.9060E-064
    4.868597E+04   4.4581E-002   9.5542E-001   1.9985E-012   4.6505E-044   5.4113E-064
    4.962544E+04   4.7155E-002   9.5284E-001   1.8402E-012   3.7968E-044   5.0339E-064
    5.058305E+04   5.0035E-002   9.4996E-001   1.7167E-012   3.1973E-044   4.7450E-064
    5.155912E+04   5.3036E-002   9.4696E-001   1.6203E-012   2.7673E-044   4.5246E-064
    5.255403E+04   5.5884E-002   9.4412E-001   1.5463E-012   2.4579E-044   4.3609E-064
    5.356816E+04   5.8250E-002   9.4175E-001   1.4927E-012   2.2415E-044   4.2483E-064
    5.460189E+04   5.9872E-002   9.4013E-001   1.4579E-012   2.0991E-044   4.1826E-064
    5.565558E+04   6.0504E-002   9.3950E-001   1.4415E-012   2.0202E-044   4.1631E-064
    5.672959E+04   6.0049E-002   9.3995E-001   1.4426E-012   1.9962E-044   4.1880E-064
    5.782432E+04   5.8499E-002   9.4150E-001   1.4606E-012   2.0219E-044   4.2559E-064
    5.894013E+04   5.6240E-002   9.4376E-001   1.4903E-012   2.0823E-044   4.3544E-064
    6.007747E+04   5.3769E-002   9.4623E-001   1.5245E-012   2.1584E-044   4.4657E-064
    6.123675E+04   5.1560E-002   9.4844E-001   1.5560E-012   2.2301E-044   4.5725E-064
    6.241838E+04   4.9795E-002   9.5021E-001   1.5813E-012   2.2877E-044   4.6674E-064
    6.362274E+04   4.8523E-002   9.5148E-001   1.5988E-012   2.3251E-044   4.7481E-064
    6.485024E+04   4.7730E-002   9.5227E-001   1.6084E-012   2.3413E-044   4.8161E-064
    6.610128E+04   4.7121E-002   9.5288E-001   1.6139E-012   2.3455E-044   4.8822E-064
    6.737631E+04   4.7577E-002   9.5242E-001   1.6015E-012   2.2989E-044   4.9044E-064
    6.867574E+04   4.8689E-002   9.5131E-001   1.5767E-012   2.2176E-044   4.8526E-064
    6.935606E+04   5.0475E-002   9.4952E-001   1.5478E-012   2.1332E-044   4.6316E-064
    6.969874E+04   5.3893E-002   9.4611E-001   1.4989E-012   2.0037E-044   4.2415E-064
    6.987071E+04   5.7805E-002   9.4219E-001   1.4036E-012   1.7442E-044   3.7145E-064
    6.995686E+04   6.3785E-002   9.3621E-001   1.2084E-012   1.2599E-044   3.0059E-064
    6.999782E+04   7.2290E-002   9.2771E-001   8.0982E-013   6.0309E-045   1.9143E-064
    6.999997E+04   7.4703E-002   9.2530E-001   7.0848E-013   4.9270E-045   1.6682E-064
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    8.772128E+02   6.1913E-024   1.0440E-016   4.2671E-010   1.5952E-004   9.9984E-001
    8.825108E+02   6.1913E-024   1.0440E-016   4.2671E-010   1.5952E-004   9.9984E-001
    8.985975E+02   6.1913E-024   1.0440E-016   4.2671E-010   1.5952E-004   9.9984E-001
    9.316560E+02   6.1914E-024   1.0440E-016   4.2671E-010   1.5952E-004   9.9984E-001
    9.893707E+02   6.1914E-024   1.0440E-016   4.2671E-010   1.5952E-004   9.9984E-001
    1.050609E+03   6.1903E-024   1.0439E-016   4.2667E-010   1.5952E-004   9.9984E-001
    1.115637E+03   6.1825E-024   1.0426E-016   4.2631E-010   1.5948E-004   9.9984E-001
    1.184691E+03   6.1552E-024   1.0374E-016   4.2479E-010   1.5936E-004   9.9984E-001
    1.258018E+03   6.0933E-024   1.0258E-016   4.2140E-010   1.5908E-004   9.9984E-001
    1.335885E+03   5.9627E-024   1.0009E-016   4.1413E-010   1.5849E-004   9.9984E-001
    1.418571E+03   4.4779E-024   7.7443E-017   3.4737E-010   1.5043E-004   9.9985E-001
    1.506375E+03   2.6420E-025   6.7283E-018   6.8071E-011   9.6336E-005   9.9990E-001
    1.599613E+03   1.9803E-025   5.3027E-018   5.8209E-011   9.2226E-005   9.9991E-001
    1.698623E+03   6.8718E-026   2.1847E-018   3.2642E-011   7.9621E-005   9.9992E-001
    1.803761E+03   4.9272E-026   1.6202E-018   2.6982E-011   7.6963E-005   9.9992E-001
    1.915407E+03   1.1528E-026   4.8091E-019   1.2357E-011   6.3945E-005   9.9994E-001
    2.033963E+03   6.7067E-027   3.0412E-019   9.2375E-012   6.0004E-005   9.9994E-001
    2.159857E+03   1.9878E-027   1.1042E-019   4.8563E-012   5.1798E-005   9.9995E-001
    2.293544E+03   6.3226E-028   4.3256E-020   2.6755E-012   4.4790E-005   9.9996E-001
    2.435505E+03   2.3267E-028   1.9239E-020   1.5971E-012   3.9335E-005   9.9996E-001
    2.586253E+03   6.1627E-029   6.4689E-021   8.0436E-013   3.3398E-005   9.9997E-001
    2.746332E+03   3.1734E-029   3.7882E-021   5.7284E-013   3.0616E-005   9.9997E-001
    2.916319E+03   1.7488E-029   2.3445E-021   4.2262E-013   2.8312E-005   9.9997E-001
    3.096828E+03   1.0295E-029   1.5623E-021   3.2376E-013   2.6115E-005   9.9997E-001
    3.288509E+03   7.4363E-030   1.2440E-021   2.7598E-013   2.4562E-005   9.9998E-001
    3.492055E+03   6.3890E-030   1.1486E-021   2.5749E-013   2.3524E-005   9.9998E-001
    3.708199E+03   5.6065E-030   1.0923E-021   2.4363E-013   2.2412E-005   9.9998E-001
    3.937722E+03   4.6009E-030   9.9388E-022   2.2346E-013   2.1043E-005   9.9998E-001
    4.181452E+03   5.2328E-030   1.1883E-021   2.4350E-013   2.0416E-005   9.9998E-001
    4.440267E+03   6.1734E-030   1.3525E-021   2.6489E-013   2.1106E-005   9.9998E-001
    4.715102E+03   4.0311E-030   9.4372E-022   2.1170E-013   2.0151E-005   9.9998E-001
    5.006948E+03   1.7500E-030   5.0267E-022   1.3934E-013   1.7174E-005   9.9998E-001
    5.316859E+03   1.1748E-030   3.6744E-022   1.1374E-013   1.6019E-005   9.9998E-001
    5.645951E+03   9.8253E-031   3.2215E-022   1.0408E-013   1.5377E-005   9.9998E-001
    5.995413E+03   9.0244E-031   3.0682E-022   1.0014E-013   1.4876E-005   9.9999E-001
    6.366506E+03   8.5380E-031   3.0262E-022   9.8141E-014   1.4312E-005   9.9999E-001
    6.760567E+03   8.3970E-031   3.0437E-022   9.7830E-014   1.4009E-005   9.9999E-001
    7.179019E+03   8.4014E-031   3.1207E-022   9.8561E-014   1.3671E-005   9.9999E-001
    7.623372E+03   8.5108E-031   3.3390E-022   1.0101E-013   1.2880E-005   9.9999E-001
