#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
4401.86 9.16e-26 2.27e-17 1.15e-09 1.31e-03 4.47e-01 5.51e-01 4.76e-04 
4670.75 1.60e-25 3.87e-17 1.82e-09 1.84e-03 5.19e-01 4.79e-01 2.81e-04 
4956.05 1.57e-25 4.26e-17 2.18e-09 2.23e-03 5.68e-01 4.29e-01 1.84e-04 
5258.79 1.54e-25 4.64e-17 2.54e-09 2.62e-03 6.13e-01 3.84e-01 1.13e-04 
5580.02 2.08e-25 6.58e-17 3.63e-09 3.47e-03 6.76e-01 3.20e-01 7.01e-05 
5920.87 2.99e-25 9.93e-17 5.48e-09 4.77e-03 7.44e-01 2.51e-01 3.19e-05 
6282.54 4.71e-25 1.63e-16 8.81e-09 6.74e-03 8.08e-01 1.85e-01 1.37e-05 
6666.30 9.51e-25 3.29e-16 1.63e-08 1.03e-02 8.70e-01 1.20e-01 3.75e-06 
7073.50 2.21e-24 7.67e-16 3.55e-08 1.75e-02 9.18e-01 6.41e-02 8.38e-07 
7505.58 5.71e-24 2.05e-15 8.66e-08 3.21e-02 9.40e-01 2.77e-02 9.43e-08 
7964.05 2.28e-23 8.08e-15 2.87e-07 7.00e-02 9.22e-01 8.27e-03 8.53e-09 
8450.53 1.45e-22 4.81e-14 1.32e-06 1.81e-01 8.18e-01 1.61e-03 2.40e-10 
8966.72 1.03e-21 3.14e-13 6.05e-06 4.22e-01 5.77e-01 2.07e-04 2.20e-12 
9514.44 8.72e-21 2.40e-12 2.91e-05 7.98e-01 2.02e-01 7.09e-06 1.71e-15 
10095.62 9.91e-20 2.30e-11 1.46e-04 9.80e-01 1.95e-02 1.52e-08 3.21e-20 
10712.30 1.69e-18 3.26e-10 9.03e-04 9.98e-01 7.07e-04 3.68e-12 1.08e-26 
11366.65 4.68e-17 7.36e-09 7.66e-03 9.92e-01 1.43e-05 3.10e-16 4.12e-34 
12061.10 2.20e-15 2.74e-07 9.05e-02 9.10e-01 8.51e-08 2.48e-21 1.06e-37 
12793.43 8.32e-14 7.70e-06 6.60e-01 3.40e-01 1.14e-10 1.94e-28 1.42e-38 
13528.61 1.00e-12 5.75e-05 9.83e-01 1.74e-02 7.40e-15 1.32e-37 1.87e-38 
14194.74 6.51e-12 2.40e-04 9.99e-01 9.74e-04 2.66e-18 1.78e-37 2.66e-38 
14757.77 2.36e-11 6.56e-04 9.99e-01 1.17e-04 3.69e-21 2.55e-37 3.92e-38 
15240.48 9.95e-11 1.78e-03 9.98e-01 1.36e-05 2.68e-24 3.24e-37 5.10e-38 
15646.99 6.13e-10 5.81e-03 9.94e-01 1.61e-06 1.90e-26 3.91e-37 6.26e-38 
15960.30 4.55e-09 2.00e-02 9.80e-01 1.85e-07 8.66e-30 4.64e-37 7.54e-38 
16187.41 1.88e-08 4.97e-02 9.50e-01 5.71e-08 8.49e-31 7.50e-37 1.24e-37 
16354.17 4.52e-08 9.00e-02 9.10e-01 8.23e-09 1.80e-34 1.29e-36 2.14e-37 
16484.18 6.94e-08 1.25e-01 8.75e-01 3.49e-09 1.71e-35 2.12e-36 3.55e-37 
16593.12 9.15e-08 1.59e-01 8.41e-01 1.32e-09 1.17e-35 3.10e-36 5.24e-37 
16691.99 1.27e-07 2.05e-01 7.95e-01 8.90e-10 1.53e-35 4.06e-36 6.89e-37 
16788.59 1.48e-07 2.37e-01 7.63e-01 5.17e-10 1.92e-35 5.08e-36 8.67e-37 
16888.37 2.20e-07 3.14e-01 6.86e-01 1.28e-10 2.40e-35 6.34e-36 1.09e-36 
16998.79 2.55e-07 3.50e-01 6.50e-01 1.11e-10 3.10e-35 8.17e-36 1.41e-36 
17146.37 3.72e-07 4.52e-01 5.48e-01 2.78e-11 4.18e-35 1.10e-35 1.91e-36 
17415.23 6.32e-07 6.18e-01 3.82e-01 4.50e-12 6.43e-35 1.69e-35 2.96e-36 
17888.12 1.09e-06 8.14e-01 1.86e-01 2.59e-13 1.32e-34 3.45e-35 6.14e-36 
18532.37 1.94e-06 9.39e-01 6.14e-02 7.83e-15 2.39e-34 6.24e-35 1.13e-35 
19260.76 2.96e-06 9.82e-01 1.76e-02 7.11e-17 3.76e-34 9.75e-35 1.80e-35 
20034.10 3.70e-06 9.94e-01 5.61e-03 1.42e-18 5.24e-34 1.36e-34 2.54e-35 
20838.00 5.11e-06 9.97e-01 2.77e-03 2.28e-19 6.20e-34 1.60e-34 3.03e-35 
21647.97 5.10e-06 9.99e-01 1.03e-03 2.57e-21 6.30e-34 1.62e-34 3.11e-35 
22447.94 5.30e-06 1.00e+00 4.79e-04 1.54e-22 7.27e-34 1.86e-34 3.61e-35 
23245.88 6.08e-06 1.00e+00 2.67e-04 1.75e-23 9.07e-34 2.31e-34 4.54e-35 
24052.47 5.83e-06 1.00e+00 1.91e-04 4.50e-24 1.11e-33 2.82e-34 5.59e-35 
24867.72 6.74e-06 1.00e+00 5.38e-05 1.09e-25 1.29e-33 3.28e-34 6.55e-35 
25698.86 9.21e-06 1.00e+00 2.70e-05 9.28e-26 1.46e-33 3.69e-34 7.44e-35 
26587.16 1.43e-05 1.00e+00 1.07e-05 1.22e-25 1.66e-33 4.19e-34 8.51e-35 
27637.54 1.57e-05 1.00e+00 3.94e-06 1.64e-25 1.95e-33 4.91e-34 1.01e-34 
28986.97 2.27e-05 1.00e+00 1.32e-06 3.29e-25 2.45e-33 6.14e-34 1.28e-34 
#TIME: 7.49 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 1.39e-21 1.02e-13 8.34e-07 8.64e-02 8.88e-01 2.57e-02 4.63e-07 
999.11 3.85e-22 2.99e-14 2.96e-07 4.40e-02 8.96e-01 5.99e-02 2.24e-06 
1267.34 1.20e-22 1.01e-14 1.23e-07 2.50e-02 8.61e-01 1.14e-01 9.87e-06 
1514.05 6.29e-23 5.22e-15 6.68e-08 1.61e-02 8.03e-01 1.81e-01 3.27e-05 
1808.80 2.25e-23 2.08e-15 3.17e-08 9.83e-03 7.19e-01 2.71e-01 9.68e-05 
1919.29 1.36e-23 1.28e-15 2.04e-08 7.21e-03 6.60e-01 3.33e-01 1.65e-04 
2160.92 6.56e-24 6.79e-16 1.25e-08 5.26e-03 5.99e-01 3.95e-01 2.61e-04 
2292.92 2.95e-24 3.36e-16 7.20e-09 3.62e-03 5.29e-01 4.67e-01 4.62e-04 
2432.98 1.56e-24 1.92e-16 4.56e-09 2.65e-03 4.75e-01 5.22e-01 6.96e-04 
2581.60 1.04e-24 1.36e-16 3.47e-09 2.23e-03 4.53e-01 5.44e-01 7.11e-04 
2739.29 6.98e-25 9.58e-17 2.62e-09 1.85e-03 4.26e-01 5.71e-01 9.00e-04 
2906.62 4.84e-25 7.06e-17 2.11e-09 1.63e-03 4.12e-01 5.85e-01 9.38e-04 
3084.17 3.14e-25 5.02e-17 1.67e-09 1.43e-03 4.02e-01 5.96e-01 9.97e-04 
3272.56 1.83e-25 3.27e-17 1.23e-09 1.19e-03 3.84e-01 6.14e-01 1.05e-03 
3472.46 1.39e-25 2.74e-17 1.14e-09 1.17e-03 3.95e-01 6.03e-01 9.17e-04 
3684.57 1.14e-25 2.39e-17 9.73e-10 1.08e-03 4.07e-01 5.91e-01 7.42e-04 
3909.64 5.69e-26 1.44e-17 7.73e-10 9.75e-04 3.94e-01 6.04e-01 7.35e-04 
4148.46 5.83e-26 1.59e-17 8.99e-10 1.13e-03 4.23e-01 5.75e-01 5.40e-04 
4401.86 1.20e-25 3.06e-17 1.53e-09 1.65e-03 4.99e-01 4.99e-01 3.10e-04 
4670.75 1.94e-25 4.87e-17 2.32e-09 2.25e-03 5.64e-01 4.33e-01 1.98e-04 
4956.05 1.95e-25 5.45e-17 2.82e-09 2.75e-03 6.16e-01 3.81e-01 1.20e-04 
5258.79 1.88e-25 5.84e-17 3.20e-09 3.14e-03 6.54e-01 3.43e-01 8.48e-05 
5580.02 2.47e-25 8.17e-17 4.64e-09 4.23e-03 7.18e-01 2.78e-01 4.26e-05 
5920.87 3.76e-25 1.28e-16 6.97e-09 5.70e-03 7.79e-01 2.15e-01 1.90e-05 
6282.54 5.77e-25 2.07e-16 1.13e-08 8.12e-03 8.38e-01 1.54e-01 8.17e-06 
6666.30 1.14e-24 4.11e-16 2.08e-08 1.23e-02 8.89e-01 9.82e-02 2.41e-06 
7073.50 2.86e-24 1.03e-15 4.69e-08 2.13e-02 9.30e-01 4.90e-02 4.28e-07 
7505.58 7.53e-24 2.77e-15 1.14e-07 3.88e-02 9.41e-01 2.07e-02 5.87e-08 
7964.05 2.90e-23 1.07e-14 3.80e-07 8.50e-02 9.09e-01 6.04e-03 5.40e-09 
8450.53 2.02e-22 6.83e-14 1.77e-06 2.16e-01 7.83e-01 1.08e-03 5.60e-11 
8966.72 1.31e-21 4.11e-13 7.73e-06 4.83e-01 5.17e-01 1.32e-04 5.53e-13 
9514.44 1.04e-20 2.94e-12 3.45e-05 8.36e-01 1.64e-01 3.91e-06 5.45e-16 
10095.62 1.20e-19 2.86e-11 1.72e-04 9.86e-01 1.41e-02 5.49e-09 6.05e-21 
10712.30 2.07e-18 4.09e-10 1.07e-03 9.98e-01 5.05e-04 1.45e-12 1.53e-27 
11366.65 5.85e-17 9.35e-09 9.16e-03 9.91e-01 9.74e-06 1.18e-16 1.06e-34 
12061.10 2.75e-15 3.48e-07 1.08e-01 8.92e-01 5.12e-08 4.44e-22 5.76e-38 
12793.43 9.46e-14 8.87e-06 7.04e-01 2.96e-01 6.90e-11 2.29e-29 1.51e-38 
13528.61 1.10e-12 6.31e-05 9.86e-01 1.40e-02 4.06e-15 1.40e-37 1.99e-38 
14194.74 6.85e-12 2.56e-04 9.99e-01 8.95e-04 1.40e-18 1.89e-37 2.83e-38 
14757.77 2.45e-11 6.90e-04 9.99e-01 8.55e-05 2.02e-21 2.70e-37 4.17e-38 
15240.48 1.09e-10 1.94e-03 9.98e-01 1.39e-05 1.04e-23 3.44e-37 5.42e-38 
15646.99 6.43e-10 6.11e-03 9.94e-01 1.45e-06 1.06e-26 4.15e-37 6.66e-38 
15960.30 4.70e-09 2.07e-02 9.79e-01 2.74e-07 3.51e-28 4.93e-37 8.02e-38 
16187.41 1.79e-08 4.94e-02 9.51e-01 2.72e-08 4.42e-33 7.97e-37 1.31e-37 
16354.17 4.65e-08 9.39e-02 9.06e-01 7.76e-09 3.59e-34 1.37e-36 2.28e-37 
16484.18 7.17e-08 1.28e-01 8.72e-01 3.43e-09 1.12e-35 2.25e-36 3.78e-37 
16593.12 8.26e-08 1.50e-01 8.50e-01 2.51e-09 1.49e-35 3.29e-36 5.57e-37 
16691.99 1.25e-07 2.16e-01 7.84e-01 5.98e-10 1.63e-35 4.32e-36 7.33e-37 
16788.59 1.44e-07 2.29e-01 7.71e-01 5.83e-10 2.04e-35 5.40e-36 9.21e-37 
16888.37 2.08e-07 3.11e-01 6.89e-01 1.99e-10 2.55e-35 6.75e-36 1.16e-36 
16998.79 2.68e-07 3.63e-01 6.37e-01 1.01e-10 3.29e-35 8.69e-36 1.50e-36 
17146.37 3.80e-07 4.61e-01 5.39e-01 2.62e-11 4.44e-35 1.17e-35 2.03e-36 
17415.23 6.05e-07 6.21e-01 3.79e-01 6.56e-12 6.84e-35 1.80e-35 3.15e-36 
17888.12 1.00e-06 7.97e-01 2.03e-01 2.76e-13 1.40e-34 3.66e-35 6.53e-36 
18532.37 1.83e-06 9.38e-01 6.18e-02 5.12e-15 2.54e-34 6.64e-35 1.20e-35 
19260.76 3.01e-06 9.82e-01 1.80e-02 1.22e-16 4.00e-34 1.04e-34 1.91e-35 
20034.10 3.56e-06 9.94e-01 6.04e-03 1.15e-18 5.57e-34 1.44e-34 2.70e-35 
20838.00 4.14e-06 9.97e-01 2.71e-03 7.55e-20 6.59e-34 1.70e-34 3.22e-35 
21647.97 4.39e-06 9.99e-01 1.20e-03 3.99e-21 6.70e-34 1.72e-34 3.30e-35 
22447.94 5.21e-06 1.00e+00 4.83e-04 1.35e-22 7.73e-34 1.98e-34 3.84e-35 
23245.88 5.24e-06 1.00e+00 2.66e-04 1.72e-23 9.65e-34 2.46e-34 4.82e-35 
24052.47 6.31e-06 1.00e+00 1.17e-04 7.19e-25 1.18e-33 3.01e-34 5.95e-35 
24867.72 6.68e-06 1.00e+00 6.39e-05 1.72e-25 1.38e-33 3.49e-34 6.97e-35 
25698.86 8.78e-06 1.00e+00 3.15e-05 1.23e-25 1.55e-33 3.92e-34 7.91e-35 
26587.16 1.09e-05 1.00e+00 1.44e-05 1.69e-25 1.76e-33 4.45e-34 9.05e-35 
27637.54 1.64e-05 1.00e+00 4.50e-06 1.98e-25 2.07e-33 5.22e-34 1.07e-34 
28986.97 2.07e-05 1.00e+00 1.57e-06 3.60e-25 2.60e-33 6.53e-34 1.36e-34 
#TIME: 7.64 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 1.12e-21 8.91e-14 8.11e-07 8.69e-02 8.89e-01 2.46e-02 4.84e-07 
999.11 3.22e-22 2.68e-14 2.91e-07 4.46e-02 8.98e-01 5.79e-02 2.22e-06 
1267.34 1.25e-22 1.07e-14 1.33e-07 2.66e-02 8.71e-01 1.02e-01 7.36e-06 
1514.05 5.99e-23 5.26e-15 7.12e-08 1.72e-02 8.17e-01 1.66e-01 2.54e-05 
1808.80 2.26e-23 2.19e-15 3.53e-08 1.09e-02 7.46e-01 2.43e-01 6.43e-05 
1919.29 1.27e-23 1.29e-15 2.23e-08 7.92e-03 6.82e-01 3.10e-01 1.39e-04 
2160.92 6.86e-24 7.45e-16 1.43e-08 5.92e-03 6.28e-01 3.66e-01 2.04e-04 
2292.92 3.33e-24 3.94e-16 8.60e-09 4.23e-03 5.68e-01 4.28e-01 3.16e-04 
2432.98 1.84e-24 2.33e-16 5.57e-09 3.15e-03 5.15e-01 4.81e-01 4.69e-04 
2581.60 1.19e-24 1.62e-16 4.27e-09 2.66e-03 4.90e-01 5.06e-01 5.46e-04 
2739.29 8.39e-25 1.18e-16 3.23e-09 2.20e-03 4.61e-01 5.36e-01 6.88e-04 
2906.62 5.98e-25 9.01e-17 2.67e-09 1.98e-03 4.52e-01 5.46e-01 6.91e-04 
3084.17 4.05e-25 6.63e-17 2.17e-09 1.77e-03 4.45e-01 5.53e-01 6.84e-04 
3272.56 2.33e-25 4.32e-17 1.64e-09 1.52e-03 4.32e-01 5.66e-01 7.08e-04 
3472.46 1.82e-25 3.68e-17 1.51e-09 1.49e-03 4.42e-01 5.56e-01 6.07e-04 
3684.57 1.10e-25 2.44e-17 1.10e-09 1.21e-03 4.28e-01 5.70e-01 7.50e-04 
3909.64 7.22e-26 1.90e-17 1.04e-09 1.26e-03 4.47e-01 5.51e-01 4.54e-04 
4148.46 8.01e-26 2.22e-17 1.20e-09 1.43e-03 4.75e-01 5.23e-01 3.40e-04 
4401.86 1.47e-25 3.90e-17 1.99e-09 2.05e-03 5.47e-01 4.51e-01 2.17e-04 
4670.75 2.30e-25 6.07e-17 2.99e-09 2.79e-03 6.14e-01 3.83e-01 1.26e-04 
4956.05 2.51e-25 7.19e-17 3.62e-09 3.32e-03 6.61e-01 3.36e-01 8.02e-05 
5258.79 2.24e-25 7.26e-17 4.08e-09 3.81e-03 6.95e-01 3.01e-01 5.49e-05 
5580.02 3.27e-25 1.10e-16 6.03e-09 5.12e-03 7.59e-01 2.36e-01 2.47e-05 
5920.87 4.50e-25 1.60e-16 8.85e-09 6.82e-03 8.10e-01 1.83e-01 1.25e-05 
6282.54 7.55e-25 2.76e-16 1.46e-08 9.72e-03 8.65e-01 1.26e-01 4.69e-06 
6666.30 1.42e-24 5.32e-16 2.71e-08 1.50e-02 9.09e-01 7.65e-02 1.17e-06 
7073.50 3.62e-24 1.35e-15 6.22e-08 2.61e-02 9.37e-01 3.69e-02 2.12e-07 
7505.58 9.50e-24 3.63e-15 1.52e-07 4.76e-02 9.37e-01 1.51e-02 2.95e-08 
7964.05 3.99e-23 1.50e-14 5.13e-07 1.04e-01 8.92e-01 4.21e-03 1.55e-09 
8450.53 2.63e-22 9.12e-14 2.31e-06 2.55e-01 7.45e-01 7.57e-04 1.52e-10 
8966.72 1.72e-21 5.52e-13 9.91e-06 5.46e-01 4.54e-01 7.64e-05 1.56e-13 
9514.44 1.27e-20 3.67e-12 4.13e-05 8.71e-01 1.29e-01 2.03e-06 1.59e-16 
10095.62 1.45e-19 3.54e-11 2.02e-04 9.90e-01 1.02e-02 8.57e-09 6.53e-21 
10712.30 2.59e-18 5.23e-10 1.29e-03 9.98e-01 3.47e-04 6.28e-13 3.97e-28 
11366.65 7.52e-17 1.22e-08 1.11e-02 9.89e-01 6.87e-06 5.31e-17 7.12e-36 
12061.10 3.52e-15 4.50e-07 1.29e-01 8.71e-01 2.22e-07 1.02e-20 6.74e-36 
12793.43 1.07e-13 1.02e-05 7.48e-01 2.52e-01 3.80e-11 2.75e-28 4.22e-37 
13528.61 1.21e-12 6.91e-05 9.89e-01 1.12e-02 1.90e-15 1.48e-37 2.11e-38 
14194.74 7.39e-12 2.77e-04 9.99e-01 7.33e-04 1.72e-18 2.00e-37 3.00e-38 
14757.77 2.63e-11 7.48e-04 9.99e-01 6.19e-05 3.69e-22 2.86e-37 4.43e-38 
15240.48 1.13e-10 2.05e-03 9.98e-01 9.92e-06 1.96e-24 3.65e-37 5.76e-38 
15646.99 6.75e-10 6.46e-03 9.94e-01 1.20e-06 1.39e-27 4.40e-37 7.08e-38 
15960.30 4.90e-09 2.19e-02 9.78e-01 1.30e-07 5.58e-31 5.22e-37 8.53e-38 
16187.41 1.78e-08 5.05e-02 9.49e-01 2.45e-08 2.45e-33 8.45e-37 1.40e-37 
16354.17 4.66e-08 9.73e-02 9.03e-01 6.39e-09 1.92e-34 1.45e-36 2.42e-37 
16484.18 6.97e-08 1.31e-01 8.69e-01 2.90e-09 1.99e-35 2.39e-36 4.02e-37 
16593.12 9.41e-08 1.66e-01 8.34e-01 2.25e-09 2.24e-35 3.50e-36 5.92e-37 
16691.99 1.12e-07 1.99e-01 8.01e-01 6.62e-10 1.73e-35 4.58e-36 7.79e-37 
16788.59 1.44e-07 2.42e-01 7.58e-01 3.36e-10 2.17e-35 5.73e-36 9.80e-37 
16888.37 1.72e-07 2.84e-01 7.16e-01 1.76e-10 2.71e-35 7.16e-36 1.23e-36 
16998.79 2.41e-07 3.47e-01 6.53e-01 1.14e-10 3.50e-35 9.24e-36 1.59e-36 
17146.37 3.11e-07 4.20e-01 5.80e-01 3.60e-11 4.72e-35 1.24e-35 2.16e-36 
17415.23 5.41e-07 5.97e-01 4.03e-01 6.29e-12 7.27e-35 1.91e-35 3.35e-36 
17888.12 9.90e-07 8.02e-01 1.98e-01 2.88e-13 1.49e-34 3.90e-35 6.94e-36 
18532.37 1.75e-06 9.38e-01 6.19e-02 3.59e-15 2.71e-34 7.06e-35 1.28e-35 
19260.76 2.70e-06 9.81e-01 1.92e-02 8.67e-17 4.25e-34 1.10e-34 2.03e-35 
20034.10 3.51e-06 9.93e-01 7.16e-03 6.39e-18 5.93e-34 1.53e-34 2.87e-35 
20838.00 3.78e-06 9.97e-01 2.91e-03 1.11e-19 7.01e-34 1.80e-34 3.42e-35 
21647.97 5.18e-06 9.99e-01 1.12e-03 4.37e-21 7.14e-34 1.83e-34 3.51e-35 
22447.94 6.67e-06 9.99e-01 5.80e-04 4.19e-22 8.23e-34 2.10e-34 4.08e-35 
23245.88 4.32e-06 1.00e+00 2.88e-04 1.96e-23 1.03e-33 2.62e-34 5.13e-35 
24052.47 4.98e-06 1.00e+00 1.45e-04 1.26e-24 1.26e-33 3.20e-34 6.33e-35 
24867.72 6.45e-06 1.00e+00 6.39e-05 1.34e-25 1.46e-33 3.71e-34 7.41e-35 
25698.86 6.66e-06 1.00e+00 5.54e-05 2.68e-25 1.65e-33 4.18e-34 8.41e-35 
26587.16 1.02e-05 1.00e+00 1.38e-05 1.42e-25 1.88e-33 4.74e-34 9.63e-35 
27637.54 1.32e-05 1.00e+00 5.49e-06 2.54e-25 2.21e-33 5.55e-34 1.14e-34 
28986.97 1.79e-05 1.00e+00 1.62e-06 3.42e-25 2.77e-33 6.95e-34 1.45e-34 
#TIME: 7.80 
#NVEL: 67 
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 
440.10 1.13e-21 9.21e-14 8.59e-07 9.13e-02 8.88e-01 2.09e-02 3.35e-07 
999.11 3.05e-22 2.66e-14 2.95e-07 4.59e-02 9.02e-01 5.24e-02 1.78e-06 
1267.34 1.22e-22 1.09e-14 1.39e-07 2.78e-02 8.77e-01 9.51e-02 5.61e-06 
1514.05 6.00e-23 5.51e-15 7.74e-08 1.86e-02 8.33e-01 1.48e-01 1.73e-05 
1808.80 2.48e-23 2.48e-15 4.01e-08 1.21e-02 7.72e-01 2.16e-01 4.19e-05 
1919.29 1.38e-23 1.44e-15 2.54e-08 8.87e-03 7.14e-01 2.77e-01 8.58e-05 
2160.92 7.63e-24 8.53e-16 1.64e-08 6.67e-03 6.60e-01 3.33e-01 1.47e-04 
2292.92 3.74e-24 4.59e-16 1.01e-08 4.86e-03 6.02e-01 3.93e-01 2.29e-04 
2432.98 1.93e-24 2.59e-16 6.63e-09 3.69e-03 5.53e-01 4.43e-01 3.42e-04 
2581.60 1.38e-24 1.95e-16 5.19e-09 3.15e-03 5.29e-01 4.67e-01 3.92e-04 
2739.29 9.25e-25 1.37e-16 3.93e-09 2.61e-03 4.98e-01 4.99e-01 5.31e-04 
2906.62 7.12e-25 1.11e-16 3.34e-09 2.37e-03 4.90e-01 5.08e-01 5.32e-04 
3084.17 4.99e-25 8.39e-17 2.72e-09 2.11e-03 4.81e-01 5.16e-01 5.23e-04 
3272.56 3.06e-25 5.77e-17 2.14e-09 1.88e-03 4.76e-01 5.22e-01 4.96e-04 
3472.46 2.25e-25 4.70e-17 1.92e-09 1.81e-03 4.83e-01 5.15e-01 4.44e-04 
3684.57 1.28e-25 2.96e-17 1.36e-09 1.46e-03 4.69e-01 5.29e-01 4.69e-04 
3909.64 9.70e-26 2.60e-17 1.37e-09 1.57e-03 4.96e-01 5.02e-01 3.03e-04 
4148.46 9.53e-26 2.76e-17 1.55e-09 1.77e-03 5.21e-01 4.77e-01 2.57e-04 
4401.86 1.78e-25 4.93e-17 2.58e-09 2.55e-03 5.96e-01 4.01e-01 1.45e-04 
4670.75 3.03e-25 8.13e-17 3.86e-09 3.38e-03 6.59e-01 3.37e-01 7.49e-05 
4956.05 2.96e-25 8.84e-17 4.60e-09 4.02e-03 7.00e-01 2.96e-01 5.66e-05 
5258.79 2.84e-25 9.47e-17 5.29e-09 4.65e-03 7.38e-01 2.57e-01 3.21e-05 
5580.02 3.95e-25 1.38e-16 7.55e-09 6.06e-03 7.90e-01 2.04e-01 1.77e-05 
5920.87 5.60e-25 2.06e-16 1.14e-08 8.25e-03 8.41e-01 1.50e-01 6.86e-06 
6282.54 9.20e-25 3.49e-16 1.85e-08 1.16e-02 8.85e-01 1.03e-01 2.77e-06 
6666.30 1.94e-24 7.39e-16 3.61e-08 1.82e-02 9.23e-01 5.85e-02 6.29e-07 
7073.50 4.97e-24 1.88e-15 8.33e-08 3.19e-02 9.41e-01 2.70e-02 1.08e-07 
7505.58 1.35e-23 5.23e-15 2.06e-07 5.80e-02 9.31e-01 1.08e-02 1.35e-08 
7964.05 5.34e-23 2.05e-14 6.82e-07 1.25e-01 8.72e-01 3.02e-03 4.00e-10 
8450.53 3.35e-22 1.20e-13 3.02e-06 3.01e-01 6.98e-01 5.10e-04 3.03e-11 
8966.72 2.18e-21 7.16e-13 1.24e-05 6.06e-01 3.94e-01 4.55e-05 5.38e-14 
9514.44 1.51e-20 4.49e-12 4.86e-05 8.98e-01 1.02e-01 1.02e-06 4.43e-17 
10095.62 1.78e-19 4.44e-11 2.41e-04 9.93e-01 7.10e-03 2.62e-09 7.90e-22 
10712.30 3.29e-18 6.77e-10 1.57e-03 9.98e-01 2.28e-04 2.19e-13 4.84e-29 
11366.65 9.44e-17 1.55e-08 1.32e-02 9.87e-01 5.02e-06 2.46e-17 4.07e-36 
12061.10 4.47e-15 5.79e-07 1.55e-01 8.45e-01 2.17e-08 6.87e-23 1.31e-38 
12793.43 1.23e-13 1.17e-05 7.87e-01 2.13e-01 1.67e-11 1.31e-30 1.70e-38 
13528.61 1.33e-12 7.54e-05 9.91e-01 9.20e-03 1.40e-15 1.56e-37 2.25e-38 
14194.74 8.09e-12 3.01e-04 9.99e-01 5.50e-04 2.90e-19 2.12e-37 3.19e-38 
14757.77 2.84e-11 7.98e-04 9.99e-01 9.74e-05 2.35e-21 3.04e-37 4.71e-38 
15240.48 1.17e-10 2.14e-03 9.98e-01 8.49e-06 8.77e-25 3.87e-37 6.12e-38 
15646.99 7.11e-10 6.89e-03 9.93e-01 8.85e-07 1.47e-27 4.67e-37 7.52e-38 
15960.30 5.25e-09 2.37e-02 9.76e-01 1.05e-07 2.09e-30 5.55e-37 9.07e-38 
16187.41 1.99e-08 5.53e-02 9.45e-01 1.87e-08 9.36e-34 8.96e-37 1.49e-37 
16354.17 4.51e-08 9.70e-02 9.03e-01 5.92e-09 1.03e-34 1.54e-36 2.57e-37 
16484.18 7.47e-08 1.39e-01 8.61e-01 2.31e-09 9.57e-36 2.54e-36 4.27e-37 
16593.12 9.58e-08 1.77e-01 8.23e-01 9.09e-10 1.40e-35 3.72e-36 6.29e-37 
16691.99 1.22e-07 2.18e-01 7.82e-01 4.89e-10 1.84e-35 4.86e-36 8.29e-37 
16788.59 1.31e-07 2.29e-01 7.71e-01 4.07e-10 2.30e-35 6.08e-36 1.04e-36 
16888.37 2.12e-07 3.28e-01 6.72e-01 7.74e-11 2.88e-35 7.60e-36 1.31e-36 
16998.79 2.27e-07 3.54e-01 6.46e-01 8.62e-11 3.72e-35 9.81e-36 1.70e-36 
17146.37 3.03e-07 4.26e-01 5.74e-01 3.13e-11 5.01e-35 1.32e-35 2.30e-36 
17415.23 5.17e-07 5.88e-01 4.12e-01 6.50e-12 7.72e-35 2.03e-35 3.56e-36 
17888.12 8.85e-07 7.80e-01 2.20e-01 4.68e-13 1.58e-34 4.14e-35 7.38e-36 
18532.37 1.65e-06 9.35e-01 6.53e-02 4.55e-15 2.88e-34 7.50e-35 1.36e-35 
19260.76 2.53e-06 9.74e-01 2.58e-02 1.59e-16 4.51e-34 1.17e-34 2.16e-35 
