#NTIMES: 4
#NVEL: 287
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] ne_t0[/cm^3] ne_t1[/cm^3] … ne_tn[/cm^3]
6.681933E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.663333E+09
6.778288E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.615601E+09
6.874644E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.567869E+09
6.970999E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.520137E+09
7.067355E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.472405E+09
7.163711E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.409445E+09
7.260066E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.345447E+09
7.356422E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.281450E+09
7.452778E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.217452E+09
7.549133E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.159522E+09
7.645489E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.108948E+09
7.741845E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.058375E+09
7.838200E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.007802E+09
7.934556E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.957229E+09
8.030912E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.922048E+09
8.127267E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.893658E+09
8.223623E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.865268E+09
8.319979E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.836878E+09
8.416334E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.808488E+09
8.512690E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.779264E+09
8.609046E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.749581E+09
8.705401E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.719898E+09
8.801757E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.690216E+09
8.898113E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.660533E+09
8.994468E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.630410E+09
9.090824E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.599198E+09
9.187180E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.567985E+09
9.283535E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.536773E+09
9.379891E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.505561E+09
9.476247E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.474349E+09
9.572602E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.447595E+09
9.668958E+03 1.000000E-99 1.000000E-99 3.399145E+09 1.423769E+09
9.765313E+03 1.000000E-99 1.000000E-99 3.335826E+09 1.399943E+09
9.861669E+03 1.000000E-99 1.000000E-99 3.272507E+09 1.376117E+09
9.958025E+03 1.000000E-99 1.000000E-99 3.209189E+09 1.352291E+09
1.005438E+04 1.000000E-99 1.000000E-99 3.145870E+09 1.328466E+09
1.015074E+04 1.000000E-99 1.000000E-99 3.085692E+09 1.302874E+09
1.024709E+04 1.000000E-99 1.000000E-99 3.027866E+09 1.275960E+09
1.034345E+04 1.000000E-99 1.000000E-99 2.970041E+09 1.249046E+09
1.043980E+04 1.000000E-99 1.000000E-99 2.912215E+09 1.222132E+09
1.053616E+04 1.000000E-99 1.000000E-99 2.854389E+09 1.195218E+09
1.063251E+04 1.000000E-99 1.000000E-99 2.796564E+09 1.168304E+09
1.072887E+04 1.000000E-99 1.000000E-99 2.735832E+09 1.139507E+09
1.082523E+04 1.000000E-99 1.000000E-99 2.661083E+09 1.101625E+09
1.092158E+04 1.000000E-99 1.000000E-99 2.586333E+09 1.063744E+09
1.101794E+04 1.000000E-99 1.000000E-99 2.511584E+09 1.025862E+09
1.111429E+04 1.000000E-99 1.000000E-99 2.436834E+09 9.879802E+08
1.121065E+04 1.000000E-99 1.000000E-99 2.362084E+09 9.500985E+08
1.130700E+04 1.000000E-99 1.000000E-99 2.287335E+09 9.122168E+08
1.140336E+04 1.000000E-99 1.000000E-99 2.208054E+09 8.717752E+08
1.149972E+04 1.000000E-99 1.000000E-99 2.121404E+09 8.271696E+08
1.159607E+04 1.000000E-99 1.000000E-99 2.034753E+09 7.825641E+08
1.169243E+04 1.000000E-99 1.000000E-99 1.948103E+09 7.379586E+08
1.178878E+04 1.000000E-99 1.000000E-99 1.861452E+09 6.933530E+08
1.188514E+04 1.000000E-99 1.000000E-99 1.774802E+09 6.487475E+08
1.198149E+04 1.000000E-99 1.000000E-99 1.688151E+09 6.041420E+08
1.207785E+04 1.000000E-99 1.000000E-99 1.603491E+09 5.633880E+08
1.217420E+04 1.000000E-99 1.000000E-99 1.528305E+09 5.409731E+08
1.227056E+04 1.000000E-99 1.000000E-99 1.453118E+09 5.185581E+08
1.236692E+04 1.000000E-99 1.000000E-99 1.377932E+09 4.961432E+08
1.246327E+04 1.000000E-99 1.000000E-99 1.302746E+09 4.737283E+08
1.255963E+04 1.000000E-99 1.000000E-99 1.227560E+09 4.513134E+08
1.265598E+04 1.000000E-99 1.000000E-99 1.152374E+09 4.288984E+08
1.275234E+04 1.000000E-99 1.000000E-99 1.077188E+09 4.064835E+08
1.284869E+04 1.000000E-99 1.000000E-99 1.021733E+09 3.898970E+08
1.294505E+04 1.000000E-99 1.000000E-99 9.809609E+08 3.776477E+08
1.304141E+04 1.000000E-99 1.000000E-99 9.401892E+08 3.653984E+08
1.313776E+04 1.000000E-99 1.000000E-99 8.994175E+08 3.531492E+08
1.323412E+04 1.000000E-99 1.000000E-99 8.586458E+08 3.408999E+08
1.333047E+04 1.000000E-99 1.000000E-99 8.178741E+08 3.286506E+08
1.342683E+04 1.000000E-99 1.000000E-99 7.771024E+08 3.164014E+08
1.352318E+04 1.000000E-99 1.000000E-99 7.363307E+08 3.041521E+08
1.361954E+04 1.000000E-99 1.000000E-99 7.085915E+08 2.931311E+08
1.371590E+04 1.000000E-99 1.000000E-99 6.816323E+08 2.821836E+08
1.381225E+04 1.000000E-99 1.000000E-99 6.546731E+08 2.712361E+08
1.390861E+04 1.000000E-99 1.000000E-99 6.277139E+08 2.602886E+08
1.400496E+04 1.000000E-99 1.000000E-99 6.007548E+08 2.493412E+08
1.410132E+04 1.000000E-99 1.000000E-99 5.737956E+08 2.383937E+08
1.419767E+04 1.000000E-99 1.000000E-99 5.469907E+08 2.275000E+08
1.429403E+04 1.000000E-99 1.000000E-99 5.250761E+08 2.183120E+08
1.439038E+04 1.000000E-99 1.000000E-99 5.031614E+08 2.091240E+08
1.448674E+04 1.000000E-99 1.000000E-99 4.812468E+08 1.999360E+08
1.458310E+04 1.000000E-99 1.000000E-99 4.593321E+08 1.907479E+08
1.467945E+04 1.000000E-99 1.000000E-99 4.374175E+08 1.815599E+08
1.477581E+04 1.000000E-99 1.000000E-99 4.190456E+08 1.738237E+08
1.487216E+04 1.000000E-99 1.000000E-99 4.160353E+08 1.723828E+08
1.496852E+04 1.000000E-99 1.000000E-99 4.130249E+08 1.709418E+08
1.506487E+04 1.000000E-99 1.426287E+09 4.100146E+08 1.695008E+08
1.516123E+04 1.000000E-99 1.408127E+09 4.070042E+08 1.680599E+08
1.525759E+04 1.000000E-99 1.404387E+09 4.076545E+08 1.681217E+08
1.535394E+04 1.000000E-99 1.467433E+09 4.252578E+08 1.751436E+08
1.545030E+04 1.000000E-99 1.530478E+09 4.428611E+08 1.821655E+08
1.554665E+04 1.000000E-99 1.593523E+09 4.604644E+08 1.891873E+08
1.564301E+04 1.000000E-99 1.656569E+09 4.780677E+08 1.962092E+08
1.573936E+04 1.000000E-99 1.849650E+09 5.321892E+08 2.187613E+08
1.583572E+04 1.000000E-99 2.048352E+09 5.878888E+08 2.419846E+08
1.593208E+04 1.000000E-99 2.247053E+09 6.435885E+08 2.652078E+08
1.602843E+04 1.000000E-99 2.371432E+09 6.801338E+08 2.812328E+08
1.612479E+04 1.000000E-99 2.465022E+09 7.087441E+08 2.942757E+08
1.622114E+04 1.000000E-99 2.517383E+09 7.261779E+08 3.026019E+08
1.631750E+04 1.000000E-99 2.493240E+09 7.228724E+08 3.021756E+08
1.641385E+04 1.000000E-99 2.349834E+09 6.841347E+08 2.866165E+08
1.651021E+04 1.000000E-99 2.105084E+09 6.149437E+08 2.580185E+08
1.660657E+04 1.000000E-99 1.794864E+09 5.252540E+08 2.205355E+08
1.670292E+04 1.000000E-99 1.558468E+09 4.567044E+08 1.918020E+08
1.679928E+04 1.000000E-99 1.396709E+09 4.096948E+08 1.721081E+08
1.689563E+04 1.000000E-99 1.269660E+09 3.726980E+08 1.566402E+08
1.699199E+04 1.000000E-99 1.159085E+09 3.404988E+08 1.431381E+08
1.708834E+04 1.000000E-99 1.072349E+09 3.151855E+08 1.325167E+08
1.718470E+04 1.000000E-99 9.951455E+08 2.926229E+08 1.230453E+08
1.728105E+04 1.000000E-99 9.296441E+08 2.734359E+08 1.149848E+08
1.737741E+04 1.000000E-99 8.641427E+08 2.542488E+08 1.069243E+08
1.747377E+04 1.000000E-99 8.089273E+08 2.380578E+08 1.001201E+08
1.757012E+04 6.371456E+09 7.603633E+08 2.238043E+08 9.412826E+07
1.766648E+04 5.852486E+09 7.117993E+08 2.095507E+08 8.813646E+07
1.776283E+04 5.333516E+09 6.632354E+08 1.952972E+08 8.214466E+07
1.785919E+04 4.814546E+09 6.146714E+08 1.810436E+08 7.615285E+07
1.795554E+04 4.539357E+09 5.846420E+08 1.722288E+08 7.244612E+07
1.805190E+04 4.368800E+09 5.625676E+08 1.657483E+08 6.972015E+07
1.814826E+04 4.198242E+09 5.404932E+08 1.592678E+08 6.699417E+07
1.824461E+04 4.027685E+09 5.184189E+08 1.527872E+08 6.426820E+07
1.834097E+04 3.857127E+09 4.963445E+08 1.463067E+08 6.154222E+07
1.843732E+04 3.686569E+09 4.742701E+08 1.398262E+08 5.881625E+07
1.853368E+04 3.516658E+09 4.522801E+08 1.333703E+08 5.610061E+07
1.863003E+04 3.393872E+09 4.364431E+08 1.287099E+08 5.413919E+07
1.872639E+04 3.271086E+09 4.206062E+08 1.240495E+08 5.217776E+07
1.882275E+04 3.148300E+09 4.047692E+08 1.193891E+08 5.021633E+07
1.891910E+04 3.025514E+09 3.889322E+08 1.147287E+08 4.825491E+07
1.901546E+04 2.902727E+09 3.730953E+08 1.100683E+08 4.629348E+07
1.911181E+04 2.779941E+09 3.572583E+08 1.054078E+08 4.433205E+07
1.920817E+04 2.657155E+09 3.414213E+08 1.007474E+08 4.237062E+07
1.930452E+04 2.545777E+09 3.270694E+08 9.652048E+07 4.059198E+07
1.940088E+04 2.448115E+09 3.145031E+08 9.281476E+07 3.903314E+07
1.949723E+04 2.350454E+09 3.019369E+08 8.910904E+07 3.747429E+07
1.959359E+04 2.252793E+09 2.893706E+08 8.540332E+07 3.591544E+07
1.968995E+04 2.155132E+09 2.768044E+08 8.169760E+07 3.435660E+07
1.978630E+04 2.057470E+09 2.642381E+08 7.799188E+07 3.279775E+07
1.988266E+04 1.959809E+09 2.516718E+08 7.428616E+07 3.123890E+07
1.997901E+04 1.862148E+09 2.391056E+08 7.058044E+07 2.968006E+07
2.007537E+04 1.779285E+09 2.284485E+08 6.743721E+07 2.835775E+07
2.017172E+04 1.716177E+09 2.203397E+08 6.504482E+07 2.735118E+07
2.026808E+04 1.653068E+09 2.122310E+08 6.265243E+07 2.634461E+07
2.036444E+04 1.589959E+09 2.041223E+08 6.026004E+07 2.533804E+07
2.046079E+04 1.526850E+09 1.960135E+08 5.786765E+07 2.433147E+07
2.055715E+04 1.463742E+09 1.879048E+08 5.547526E+07 2.332490E+07
2.065350E+04 1.400633E+09 1.797961E+08 5.308287E+07 2.231833E+07
