#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
24052.47 3.44e-04 1.00e+00 8.72e-07 1.31e-28 2.08e-30 
24867.72 7.66e-04 9.99e-01 3.14e-07 1.35e-28 1.82e-30 
25698.86 9.38e-04 9.99e-01 1.57e-07 4.20e-28 2.24e-30 
26587.16 1.18e-03 9.99e-01 5.12e-08 6.12e-28 6.53e-30 
27637.54 1.58e-03 9.98e-01 1.99e-08 1.18e-27 3.98e-30 
28986.97 1.32e-03 9.99e-01 8.04e-09 1.30e-26 9.18e-29 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
440.10 1.47e-22 1.62e-15 7.86e-09 1.18e-03 9.99e-01 
999.11 8.02e-24 9.16e-17 6.51e-10 2.69e-04 1.00e+00 
1267.34 4.08e-25 5.40e-18 5.68e-11 6.13e-05 1.00e+00 
1514.05 6.93e-26 9.65e-19 1.24e-11 2.39e-05 1.00e+00 
1808.80 1.18e-26 1.94e-19 3.19e-12 1.04e-05 1.00e+00 
1919.29 3.72e-27 6.52e-20 1.21e-12 5.60e-06 1.00e+00 
2160.92 1.90e-27 3.09e-20 5.70e-13 3.19e-06 1.00e+00 
2292.92 5.05e-28 1.02e-20 2.30e-13 1.84e-06 1.00e+00 
2432.98 3.51e-28 7.18e-21 1.71e-13 1.51e-06 1.00e+00 
2581.60 2.63e-28 5.46e-21 1.36e-13 1.30e-06 1.00e+00 
2739.29 2.14e-28 4.43e-21 1.14e-13 1.15e-06 1.00e+00 
2906.62 1.88e-28 3.92e-21 1.04e-13 1.09e-06 1.00e+00 
3084.17 1.38e-28 3.09e-21 8.92e-14 1.00e-06 1.00e+00 
3272.56 9.96e-29 2.42e-21 7.69e-14 9.38e-07 1.00e+00 
3472.46 8.19e-29 2.15e-21 7.37e-14 9.39e-07 1.00e+00 
3684.57 6.88e-29 1.95e-21 7.25e-14 9.58e-07 1.00e+00 
3909.64 5.38e-29 1.71e-21 7.11e-14 9.90e-07 1.00e+00 
4148.46 4.83e-29 1.66e-21 7.45e-14 1.05e-06 1.00e+00 
4401.86 6.81e-29 2.27e-21 9.67e-14 1.24e-06 1.00e+00 
4670.75 8.69e-29 2.89e-21 1.20e-13 1.44e-06 1.00e+00 
4956.05 6.67e-29 2.48e-21 1.14e-13 1.44e-06 1.00e+00 
5258.79 5.11e-29 2.12e-21 1.07e-13 1.43e-06 1.00e+00 
5580.02 5.13e-29 2.25e-21 1.17e-13 1.55e-06 1.00e+00 
5920.87 4.49e-29 2.15e-21 1.20e-13 1.63e-06 1.00e+00 
6282.54 5.03e-29 2.50e-21 1.43e-13 1.85e-06 1.00e+00 
6666.30 5.96e-29 3.10e-21 1.80e-13 2.17e-06 1.00e+00 
7073.50 8.10e-29 4.36e-21 2.53e-13 2.75e-06 1.00e+00 
7505.58 1.10e-28 6.22e-21 3.65e-13 3.53e-06 1.00e+00 
7964.05 1.94e-28 1.15e-20 6.63e-13 5.25e-06 1.00e+00 
8450.53 5.19e-28 3.09e-20 1.65e-12 9.31e-06 1.00e+00 
8966.72 1.40e-27 8.74e-20 4.34e-12 1.72e-05 1.00e+00 
9514.44 8.05e-27 5.00e-19 2.06e-11 4.48e-05 1.00e+00 
10095.62 1.14e-25 6.76e-18 1.98e-10 1.75e-04 1.00e+00 
10712.30 3.51e-24 2.06e-16 3.88e-09 1.05e-03 9.99e-01 
11366.65 4.64e-22 2.73e-14 2.57e-07 1.26e-02 9.87e-01 
12061.10 2.66e-19 1.64e-11 5.86e-05 2.78e-01 7.22e-01 
12793.43 4.92e-17 3.05e-09 3.30e-03 9.51e-01 4.61e-02 
