#NTIMES: 257
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
4.401e+07 6.346130e-01 1e-99 5.566437e-01 1e-99 1e-99
8.862e+07 6.346130e-01 1e-99 5.566437e-01 1e-99 1e-99
9.061e+07 6.346130e-01 1e-99 5.566437e-01 1e-99 1e-99
9.444e+07 6.346130e-01 1e-99 5.566437e-01 1e-99 1e-99
9.991e+07 6.345605e-01 1e-99 5.565814e-01 1e-99 1e-99
1.061e+08 6.343867e-01 1e-99 5.563791e-01 1e-99 1e-99
1.126e+08 6.337497e-01 1e-99 5.556635e-01 1e-99 1e-99
1.194e+08 6.315823e-01 1e-99 5.532959e-01 1e-99 1e-99
1.267e+08 6.228134e-01 1e-99 5.434894e-01 1e-99 1e-99
1.345e+08 5.898226e-01 1e-99 5.070403e-01 1e-99 1e-99
1.427e+08 5.281352e-01 1e-99 4.437925e-01 1e-99 1e-99
1.514e+08 4.689310e-01 1e-99 3.888491e-01 1e-99 1e-99
1.607e+08 4.271557e-01 1e-99 3.536058e-01 1e-99 1e-99
1.705e+08 3.920863e-01 1e-99 3.259350e-01 1e-99 1e-99
1.809e+08 3.575706e-01 1e-99 2.995946e-01 1e-99 1e-99
1.919e+08 3.266781e-01 1e-99 2.766354e-01 1e-99 1e-99
2.037e+08 2.996455e-01 1e-99 2.565277e-01 1e-99 1e-99
2.161e+08 2.793941e-01 1e-99 2.416345e-01 1e-99 1e-99
2.293e+08 2.689955e-01 1e-99 2.349665e-01 1e-99 1e-99
2.433e+08 2.639344e-01 1e-99 2.323573e-01 1e-99 1e-99
2.582e+08 2.608128e-01 1e-99 2.306500e-01 1e-99 1e-99
2.739e+08 2.599427e-01 1e-99 2.304762e-01 1e-99 1e-99
2.907e+08 2.652801e-01 1e-99 2.360802e-01 1e-99 1e-99
3.084e+08 2.826741e-01 1e-99 2.534776e-01 1e-99 1e-99
3.273e+08 3.132954e-01 1e-99 2.838702e-01 1e-99 1e-99
3.472e+08 3.564027e-01 1e-99 3.264119e-01 1e-99 1e-99
3.685e+08 4.229209e-01 1e-99 3.918419e-01 1e-99 1e-99
3.910e+08 5.335460e-01 1e-99 5.011652e-01 1e-99 1e-99
4.148e+08 6.248553e-01 1e-99 5.912444e-01 1e-99 1e-99
4.402e+08 6.391370e-01 1e-99 6.048476e-01 1e-99 1e-99
4.671e+08 6.448970e-01 1e-99 6.126420e-01 1e-99 1e-99
4.956e+08 6.934198e-01 1e-99 6.660910e-01 1e-99 1e-99
5.259e+08 7.508103e-01 1e-99 7.286987e-01 1e-99 1e-99
5.580e+08 7.858811e-01 1e-99 7.670860e-01 1e-99 1e-99
5.921e+08 8.348620e-01 1e-99 8.185787e-01 1e-99 1e-99
6.282e+08 9.039456e-01 1e-99 8.899966e-01 1e-99 1e-99
6.666e+08 9.663585e-01 1e-99 9.539232e-01 1e-99 1e-99
7.074e+08 1.047506e+00 1e-99 1.036664e+00 1e-99 1e-99
7.506e+08 1.199371e+00 1e-99 1.192058e+00 1e-99 1e-99
7.964e+08 1.378530e+00 1e-99 1.375120e+00 1e-99 1e-99
8.451e+08 1.542983e+00 1e-99 1.541970e+00 1e-99 1e-99
8.967e+08 1.782319e+00 1e-99 1.785052e+00 1e-99 1e-99
9.514e+08 2.141989e+00 1e-99 2.150473e+00 1e-99 1e-99
1.010e+09 2.576216e+00 1e-99 2.582083e+00 1e-99 1e-99
1.071e+09 3.133453e+00 1e-99 3.084555e+00 1e-99 1e-99
1.137e+09 3.549298e+00 1e-99 3.343118e+00 1e-99 1e-99
1.206e+09 2.756070e+00 1e-99 2.400195e+00 1e-99 1e-99
1.279e+09 1.368022e+00 1e-99 1.187327e+00 1e-99 1e-99
1.353e+09 8.303872e-01 1e-99 7.361100e-01 1e-99 1e-99
1.419e+09 4.059201e-01 1e-99 3.997535e-01 1e-99 1e-99
1.476e+09 2.174137e-01 1e-99 2.173935e-01 1e-99 1e-99
1.524e+09 1.706391e-01 1e-99 1.846678e-01 1e-99 1e-99
1.565e+09 1.566050e-01 1e-99 1.802902e-01 1e-99 1e-99
1.596e+09 1.041562e-01 1e-99 1.174989e-01 1e-99 1e-99
1.619e+09 8.948193e-02 1e-99 1.268625e-01 1e-99 1e-99
1.635e+09 9.134340e-02 1e-99 1.804930e-01 1e-99 1e-99
1.648e+09 9.354330e-02 1e-99 2.296799e-01 1e-99 1e-99
1.659e+09 8.033910e-02 1e-99 2.221043e-01 1e-99 1e-99
1.669e+09 6.044108e-02 1e-99 1.774947e-01 1e-99 1e-99
1.679e+09 4.227146e-02 1e-99 1.194406e-01 1e-99 1e-99
1.689e+09 3.084571e-02 1e-99 8.277547e-02 1e-99 1e-99
1.700e+09 2.368529e-02 1e-99 6.136009e-02 1e-99 1e-99
1.715e+09 1.883809e-02 1e-99 4.787108e-02 1e-99 1e-99
1.742e+09 1.475041e-02 1e-99 3.734812e-02 1e-99 1e-99
1.789e+09 1.145443e-02 1e-99 2.928163e-02 1e-99 1e-99
1.853e+09 9.675941e-03 1e-99 2.512685e-02 1e-99 1e-99
1.926e+09 8.307866e-03 1e-99 2.308536e-02 1e-99 1e-99
2.003e+09 7.305275e-03 1e-99 2.274409e-02 1e-99 1e-99
2.084e+09 6.619576e-03 1e-99 2.378170e-02 1e-99 1e-99
2.165e+09 6.077855e-03 1e-99 2.534202e-02 1e-99 1e-99
2.245e+09 5.451971e-03 1e-99 2.685988e-02 1e-99 1e-99
2.325e+09 4.808241e-03 1e-99 2.829091e-02 1e-99 1e-99
2.405e+09 4.182624e-03 1e-99 2.947291e-02 1e-99 1e-99
2.487e+09 3.599229e-03 1e-99 3.014840e-02 1e-99 1e-99
2.570e+09 3.037700e-03 1e-99 3.020449e-02 1e-99 1e-99
2.659e+09 2.430745e-03 1e-99 2.953863e-02 1e-99 1e-99
2.764e+09 1.679268e-03 1e-99 2.757603e-02 1e-99 1e-99
2.899e+09 8.583784e-04 1e-99 2.340800e-02 1e-99 1e-99
3.065e+09 3.809706e-04 1e-99 2.144812e-02 1e-99 1e-99
3.252e+09 1.359888e-04 1e-99 2.077358e-02 1e-99 1e-99
3.446e+09 5.267309e-05 1e-99 2.022521e-02 1e-99 1e-99
3.637e+09 3.905005e-05 1e-99 2.172634e-02 1e-99 1e-99
3.815e+09 4.079389e-05 1e-99 2.415860e-02 1e-99 1e-99
3.975e+09 4.308079e-05 1e-99 2.589215e-02 1e-99 1e-99
4.117e+09 4.160212e-05 1e-99 2.570858e-02 1e-99 1e-99
4.247e+09 3.744719e-05 1e-99 2.339974e-02 1e-99 1e-99
4.369e+09 3.436413e-05 1e-99 2.051618e-02 1e-99 1e-99
4.488e+09 3.218053e-05 1e-99 1.918599e-02 1e-99 1e-99
4.608e+09 2.922556e-05 1e-99 1.975278e-02 1e-99 1e-99
4.729e+09 2.903041e-05 1e-99 1.991335e-02 1e-99 1e-99
4.852e+09 2.953518e-05 1e-99 2.037231e-02 1e-99 1e-99
4.975e+09 3.008013e-05 1e-99 2.179288e-02 1e-99 1e-99
5.101e+09 3.061148e-05 1e-99 2.472910e-02 1e-99 1e-99
5.229e+09 3.106562e-05 1e-99 2.966821e-02 1e-99 1e-99
5.360e+09 3.142383e-05 1e-99 3.685655e-02 1e-99 1e-99
5.492e+09 3.170152e-05 1e-99 4.617912e-02 1e-99 1e-99
5.627e+09 3.191308e-05 1e-99 5.697854e-02 1e-99 1e-99
