#NTIMES:     65
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[/cm^3]
    3.013295E+04    6.0000E+03    1.6134E-12    2.7586E+10    6.6837E+10
    3.094669E+04    6.0000E+03    1.0464E-12    2.0637E+10    4.4579E+10
    3.176516E+04    6.0000E+03    8.2788E-13    1.7481E+10    3.5848E+10
    3.259805E+04    6.0000E+03    5.9845E-13    1.3132E+10    2.6056E+10
    3.345740E+04    6.0000E+03    4.1388E-13    9.3267E+09    1.8038E+10
    3.438030E+04    6.0000E+03    3.2810E-13    7.4333E+09    1.4308E+10
    3.533529E+04    6.0000E+03    2.2127E-13    5.1326E+09    9.6501E+09
    3.634323E+04    6.0000E+03    1.7521E-13    4.0839E+09    7.6412E+09
    3.736894E+04    6.0000E+03    1.2866E-13    3.0382E+09    5.6115E+09
    3.839518E+04    6.0000E+03    9.5469E-14    2.2816E+09    4.1639E+09
    3.939114E+04    6.0000E+03    7.7651E-14    1.8616E+09    3.3868E+09
    4.037465E+04    6.0000E+03    6.4351E-14    1.5441E+09    2.8067E+09
    4.133441E+04    6.0000E+03    5.0588E-14    1.2193E+09    2.2064E+09
    4.215976E+04    6.0000E+03    3.8896E-14    9.4356E+08    1.6965E+09
    4.290657E+04    6.0000E+03    2.9858E-14    7.2841E+08    1.3023E+09
    4.365819E+04    6.0000E+03    2.2611E-14    5.5406E+08    9.8620E+08
    4.442297E+04    6.0000E+03    1.7040E-14    4.1873E+08    7.4320E+08
    4.520034E+04    6.0000E+03    1.2931E-14    3.1809E+08    5.6398E+08
    4.600555E+04    6.0000E+03    9.9035E-15    2.4342E+08    4.3195E+08
    4.686215E+04    6.0000E+03    7.5096E-15    1.8423E+08    3.2754E+08
    4.776422E+04    6.0000E+03    5.6418E-15    1.3804E+08    2.4607E+08
    4.868597E+04    6.0000E+03    4.2355E-15    1.0330E+08    1.8473E+08
