#NTIMES: 200
#NSTAGES: 5
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] c0 c1 c2 c3 c4
1.0712e+04 1.2309e-26 4.8593e-19 9.7196e-12 1.7116e-05 9.9998e-01
1.1367e+04 5.9683e-25 1.6102e-17 1.8194e-10 9.6590e-05 9.9990e-01
1.2062e+04 2.1444e-22 3.6817e-15 1.6920e-08 1.3661e-03 9.9863e-01
1.2794e+04 2.4383e-19 2.9077e-12 4.1912e-06 3.3436e-02 9.6656e-01
1.3528e+04 1.9432e-16 1.7863e-09 7.2673e-04 5.0791e-01 4.9136e-01
1.4194e+04 3.5476e-14 2.4985e-07 2.3056e-02 9.5873e-01 1.8216e-02
1.4758e+04 5.9259e-12 3.0199e-05 4.5321e-01 5.4668e-01 7.4775e-05
1.5240e+04 2.8207e-10 6.7866e-04 9.8505e-01 1.4274e-02 4.6639e-09
1.5647e+04 1.1248e-08 8.9090e-03 9.9098e-01 1.1555e-04 5.6945e-14
1.5960e+04 8.1407e-07 1.4628e-01 8.5372e-01 4.0294e-07 1.2663e-19
1.6187e+04 2.5570e-05 8.2881e-01 1.7116e-01 1.4056e-10 9.0759e-27
1.6354e+04 1.9442e-04 9.9486e-01 4.9462e-03 2.9653e-15 1.1919e-35
1.6484e+04 1.3707e-03 9.9855e-01 8.0353e-05 1.4417e-20 1.4013e-45
1.6593e+04 6.9994e-03 9.9300e-01 1.9029e-06 1.7990e-25 0.0000e+00
1.6692e+04 2.3294e-02 9.7671e-01 9.8531e-08 2.1904e-29 0.0000e+00
1.6788e+04 5.0514e-02 9.4949e-01 1.1636e-08 3.0110e-32 0.0000e+00
1.6888e+04 8.7116e-02 9.1288e-01 2.2909e-09 2.0145e-34 0.0000e+00
1.6999e+04 1.3721e-01 8.6279e-01 5.4752e-10 2.5874e-36 0.0000e+00
1.7146e+04 2.0985e-01 7.9015e-01 1.2851e-10 3.4043e-38 0.0000e+00
1.7416e+04 3.6296e-01 6.3704e-01 1.4546e-11 6.3114e-41 0.0000e+00
1.7888e+04 7.0140e-01 2.9860e-01 2.1109e-13 1.4013e-45 0.0000e+00
1.8532e+04 9.2086e-01 7.9141e-02 1.2674e-15 0.0000e+00 0.0000e+00
1.9260e+04 9.8033e-01 1.9668e-02 9.4242e-18 0.0000e+00 0.0000e+00
2.0034e+04 9.9474e-01 5.2575e-03 9.2574e-20 0.0000e+00 0.0000e+00
2.0838e+04 9.9843e-01 1.5682e-03 1.3295e-21 0.0000e+00 0.0000e+00
2.1648e+04 9.9949e-01 5.1433e-04 2.7130e-23 0.0000e+00 0.0000e+00
2.2448e+04 9.9981e-01 1.8759e-04 7.2235e-25 0.0000e+00 0.0000e+00
2.3246e+04 9.9993e-01 7.4004e-05 2.4277e-26 0.0000e+00 0.0000e+00
2.4052e+04 9.9997e-01 3.1407e-05 1.0795e-27 0.0000e+00 0.0000e+00
2.4868e+04 9.9998e-01 1.5093e-05 7.4138e-29 0.0000e+00 0.0000e+00
2.5699e+04 9.9999e-01 8.3589e-06 7.8612e-30 0.0000e+00 0.0000e+00
2.6588e+04 1.0000e+00 4.9515e-06 9.3448e-31 0.0000e+00 0.0000e+00
2.7638e+04 1.0000e+00 2.3635e-06 4.5520e-32 0.0000e+00 0.0000e+00
2.8987e+04 1.0000e+00 7.1441e-07 3.6131e-34 0.0000e+00 0.0000e+00
3.0652e+04 1.0000e+00 7.7757e-07 1.1611e-34 0.0000e+00 0.0000e+00
3.2516e+04 1.0000e+00 1.8114e-06 2.6664e-34 0.0000e+00 0.0000e+00
3.4459e+04 9.9999e-01 8.6550e-06 5.7750e-33 0.0000e+00 0.0000e+00
3.6371e+04 9.9996e-01 3.6243e-05 1.6678e-31 0.0000e+00 0.0000e+00
3.8150e+04 9.9988e-01 1.1543e-04 3.5059e-30 0.0000e+00 0.0000e+00
3.9750e+04 9.9981e-01 1.8729e-04 1.1114e-29 0.0000e+00 0.0000e+00
4.1174e+04 9.9984e-01 1.6255e-04 4.7756e-30 0.0000e+00 0.0000e+00
4.2468e+04 9.9993e-01 7.3653e-05 2.3783e-31 0.0000e+00 0.0000e+00
4.3688e+04 9.9998e-01 1.8880e-05 1.9086e-33 0.0000e+00 0.0000e+00
4.4884e+04 1.0000e+00 3.5062e-06 5.4153e-36 0.0000e+00 0.0000e+00
4.6084e+04 1.0000e+00 7.0916e-07 2.0080e-38 0.0000e+00 0.0000e+00
4.7294e+04 1.0000e+00 6.0835e-07 7.9898e-39 0.0000e+00 0.0000e+00
4.8516e+04 1.0000e+00 7.0678e-07 8.5474e-39 0.0000e+00 0.0000e+00
4.9754e+04 1.0000e+00 8.6380e-07 1.0805e-38 0.0000e+00 0.0000e+00
5.1012e+04 1.0000e+00 1.1013e-06 1.5668e-38 0.0000e+00 0.0000e+00
5.2292e+04 1.0000e+00 1.4260e-06 2.3926e-38 0.0000e+00 0.0000e+00
5.3596e+04 1.0000e+00 1.8534e-06 3.6889e-38 0.0000e+00 0.0000e+00
5.4921e+04 1.0000e+00 2.4163e-06 5.7478e-38 0.0000e+00 0.0000e+00
5.6265e+04 1.0000e+00 3.1561e-06 9.0082e-38 0.0000e+00 0.0000e+00
5.7622e+04 1.0000e+00 4.1262e-06 1.4174e-37 0.0000e+00 0.0000e+00
5.8985e+04 9.9999e-01 5.3714e-06 2.2107e-37 0.0000e+00 0.0000e+00
6.0341e+04 9.9999e-01 6.9739e-06 3.4455e-37 0.0000e+00 0.0000e+00
6.1676e+04 9.9999e-01 8.9533e-06 5.2493e-37 0.0000e+00 0.0000e+00
6.2975e+04 9.9999e-01 1.1395e-05 7.8963e-37 0.0000e+00 0.0000e+00
6.4219e+04 9.9999e-01 1.4297e-05 1.1595e-36 0.0000e+00 0.0000e+00
6.5388e+04 9.9998e-01 1.7615e-05 1.6498e-36 0.0000e+00 0.0000e+00
6.6461e+04 9.9998e-01 2.1260e-05 2.2629e-36 0.0000e+00 0.0000e+00
6.7422e+04 9.9997e-01 2.5085e-05 2.9879e-36 0.0000e+00 0.0000e+00
6.8257e+04 9.9997e-01 2.8887e-05 3.7845e-36 0.0000e+00 0.0000e+00
6.8960e+04 9.9997e-01 3.2504e-05 4.6210e-36 0.0000e+00 0.0000e+00
6.9475e+04 9.9996e-01 3.5675e-05 5.3945e-36 0.0000e+00 0.0000e+00
6.9758e+04 9.9996e-01 3.7115e-05 5.7543e-36 0.0000e+00 0.0000e+00
6.9886e+04 9.9996e-01 3.7481e-05 5.8261e-36 0.0000e+00 0.0000e+00
6.9950e+04 9.9996e-01 3.8088e-05 5.9727e-36 0.0000e+00 0.0000e+00
6.9982e+04 9.9996e-01 3.6127e-05 5.3474e-36 0.0000e+00 0.0000e+00
6.9996e+04 9.9996e-01 4.2386e-05 7.3253e-36 0.0000e+00 0.0000e+00
7.0000e+04 9.9990e-01 1.0247e-04 4.2815e-35 0.0000e+00 0.0000e+00
#
#TIME: 1.0089
#NVEL: 115
#vel_mid[km/s] c0 c1 c2 c3 c4
4.4010e+02 5.6535e-30 1.5451e-21 2.1312e-13 2.5511e-06 1.0000e+00
8.8623e+02 2.4721e-22 8.1407e-16 1.3610e-09 2.0182e-04 9.9980e-01
9.0614e+02 2.4952e-22 8.2082e-16 1.3703e-09 2.0264e-04 9.9980e-01
9.4442e+02 2.4976e-22 8.2150e-16 1.3712e-09 2.0272e-04 9.9980e-01
9.9911e+02 2.5008e-22 8.2242e-16 1.3725e-09 2.0283e-04 9.9980e-01
1.0608e+03 2.4801e-22 8.1671e-16 1.3651e-09 2.0221e-04 9.9980e-01
1.1257e+03 2.4697e-22 8.1325e-16 1.3597e-09 2.0170e-04 9.9980e-01
1.1944e+03 2.3804e-22 7.8697e-16 1.3230e-09 1.9844e-04 9.9980e-01
1.2673e+03 2.0679e-22 6.9459e-16 1.1930e-09 1.8665e-04 9.9981e-01
1.3448e+03 1.1264e-22 4.0714e-16 7.6954e-10 1.4410e-04 9.9986e-01
1.4269e+03 3.4756e-23 1.4538e-16 3.3161e-10 8.7578e-05 9.9991e-01
1.5140e+03 9.8895e-24 4.9057e-17 1.3836e-10 5.2314e-05 9.9995e-01
1.6065e+03 3.3980e-24 1.9806e-17 6.7802e-11 3.4508e-05 9.9997e-01
1.7047e+03 1.3684e-24 9.1431e-18 3.6966e-11 2.4192e-05 9.9998e-01
1.8088e+03 5.2534e-25 4.0632e-18 1.9659e-11 1.6724e-05 9.9998e-01
1.9193e+03 1.8148e-25 1.6687e-18 9.9566e-12 1.1289e-05 9.9999e-01
2.0365e+03 5.8494e-26 6.5119e-19 4.8983e-12 7.5263e-06 9.9999e-01
2.1609e+03 1.7807e-26 2.4456e-19 2.3696e-12 5.0023e-06 9.9999e-01
2.2929e+03 5.1627e-27 8.9162e-20 1.1356e-12 3.3344e-06 1.0000e+00
2.4330e+03 1.5744e-27 3.3915e-20 5.6441e-13 2.2796e-06 1.0000e+00
2.5816e+03 5.6677e-28 1.4763e-20 3.1042e-13 1.6551e-06 1.0000e+00
2.7393e+03 2.5373e-28 7.6988e-21 1.9525e-13 1.2971e-06 1.0000e+00
2.9067e+03 1.3751e-28 4.7235e-21 1.3863e-13 1.0872e-06 1.0000e+00
3.0842e+03 8.6410e-29 3.3083e-21 1.0886e-13 9.6232e-07 1.0000e+00
3.2726e+03 6.5181e-29 2.7149e-21 9.6166e-14 9.0641e-07 1.0000e+00
3.4725e+03 5.8882e-29 2.5945e-21 9.4998e-14 9.0633e-07 1.0000e+00
3.6846e+03 6.0130e-29 2.7708e-21 1.0238e-13 9.5313e-07 1.0000e+00
3.9097e+03 6.0734e-29 2.9872e-21 1.1266e-13 1.0230e-06 1.0000e+00
4.1484e+03 7.2958e-29 3.6306e-21 1.3375e-13 1.1410e-06 1.0000e+00
