#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
16888.37 2.7706e-03 6.8349e-01 3.0012e-01 1.3625e-02
16998.79 1.3070e-03 6.9647e-01 2.8766e-01 1.4556e-02
17146.37 1.1734e-03 6.7409e-01 3.0896e-01 1.5779e-02
17415.23 9.7496e-04 6.6775e-01 3.1222e-01 1.9052e-02
17888.12 4.0728e-04 5.2946e-01 4.3912e-01 3.1011e-02
18532.37 3.7152e-04 4.9778e-01 4.6359e-01 3.8256e-02
19260.76 2.4096e-04 4.8661e-01 4.6926e-01 4.3889e-02
20034.10 1.7503e-04 3.7558e-01 5.5426e-01 6.9990e-02
20838.00 1.2250e-04 2.8491e-01 6.0902e-01 1.0594e-01
21647.97 2.1161e-04 2.3122e-01 6.3911e-01 1.2946e-01
22447.94 4.7082e-04 3.2651e-01 5.3858e-01 1.3444e-01
23245.88 7.9119e-05 8.2017e-02 7.4341e-01 1.7449e-01
24052.47 1.4901e-04 2.0148e-01 5.4085e-01 2.5753e-01
24867.72 2.9709e-04 1.2701e-01 6.2961e-01 2.4308e-01
25698.86 6.1395e-05 1.2571e-01 5.9790e-01 2.7633e-01
26587.16 4.0929e-05 1.4533e-01 5.5502e-01 2.9961e-01
27637.54 6.9447e-06 2.3078e-02 4.7537e-01 5.0154e-01
28986.97 4.6710e-06 1.1269e-02 5.8088e-01 4.0785e-01
#TIME: 202.02
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 8.0565e-03 8.3557e-01 1.5276e-01 3.6132e-03
1919.29 9.1011e-03 8.4937e-01 1.3843e-01 3.0972e-03
2581.60 7.0957e-03 8.0164e-01 1.8589e-01 5.3734e-03
3084.17 4.5377e-03 7.0052e-01 2.8465e-01 1.0297e-02
3472.46 2.5291e-03 5.7923e-01 4.0053e-01 1.7711e-02
3909.64 1.2430e-03 4.5383e-01 5.1563e-01 2.9297e-02
4148.46 1.1750e-03 4.7700e-01 4.9262e-01 2.9197e-02
4670.75 1.3243e-03 4.9113e-01 4.7975e-01 2.7796e-02
4956.05 6.5317e-04 4.0209e-01 5.6092e-01 3.6337e-02
5258.79 3.7662e-04 3.2516e-01 6.2813e-01 4.6333e-02
5580.02 1.2681e-04 2.4257e-01 7.0200e-01 5.5302e-02
5920.87 6.0445e-05 2.0485e-01 7.3341e-01 6.1680e-02
6282.54 3.3497e-05 1.6773e-01 7.6309e-01 6.9149e-02
6666.30 2.9788e-05 1.5834e-01 7.6917e-01 7.2451e-02
7073.50 3.0231e-05 1.6172e-01 7.6397e-01 7.4285e-02
7505.58 2.7739e-05 1.4601e-01 7.7412e-01 7.9835e-02
7964.05 3.7921e-05 1.6268e-01 7.5596e-01 8.1323e-02
8450.53 7.4396e-05 1.9191e-01 7.3200e-01 7.6012e-02
8966.72 1.6957e-04 2.3301e-01 6.9507e-01 7.1749e-02
9514.44 3.2511e-04 2.9802e-01 6.3769e-01 6.3962e-02
10095.62 6.5569e-04 3.7332e-01 5.7217e-01 5.3858e-02
10712.30 1.2416e-03 4.5686e-01 4.9742e-01 4.4475e-02
11366.65 1.9615e-03 5.3459e-01 4.2762e-01 3.5826e-02
12061.10 2.5159e-03 5.7240e-01 3.9146e-01 3.3619e-02
12793.43 2.7322e-03 5.8573e-01 3.7806e-01 3.3470e-02
13528.61 2.4550e-03 5.9784e-01 3.6673e-01 3.2978e-02
14194.74 2.2126e-03 5.6832e-01 3.9218e-01 3.7288e-02
14757.77 2.9807e-03 5.6274e-01 3.9611e-01 3.8168e-02
15240.48 2.2364e-03 6.0683e-01 3.5662e-01 3.4312e-02
15646.99 2.5347e-03 6.8496e-01 2.9499e-01 1.7515e-02
15960.30 6.2214e-03 7.7796e-01 2.0804e-01 7.7768e-03
16187.41 6.1637e-03 7.9579e-01 1.9188e-01 6.1721e-03
16354.17 4.1636e-03 7.9811e-01 1.9158e-01 6.1430e-03
16484.18 3.9103e-03 8.0208e-01 1.8792e-01 6.0863e-03
16593.12 3.4215e-03 7.6770e-01 2.2083e-01 8.0496e-03
16691.99 3.8946e-03 7.7382e-01 2.1312e-01 9.1664e-03
16788.59 1.3031e-03 7.3409e-01 2.5349e-01 1.1116e-02
16888.37 2.4045e-03 7.3118e-01 2.5403e-01 1.2387e-02
16998.79 1.3642e-03 6.9086e-01 2.9423e-01 1.3546e-02
17146.37 8.8426e-04 6.6586e-01 3.1704e-01 1.6218e-02
17415.23 1.3237e-03 6.3646e-01 3.4217e-01 2.0042e-02
17888.12 4.8790e-04 5.6947e-01 3.9856e-01 3.1484e-02
18532.37 4.8387e-04 5.5187e-01 4.0969e-01 3.7962e-02
19260.76 3.6800e-04 5.0010e-01 4.4990e-01 4.9632e-02
20034.10 3.9483e-04 4.4564e-01 4.8941e-01 6.4560e-02
20838.00 1.1412e-04 2.8114e-01 6.3248e-01 8.6267e-02
21647.97 1.3165e-04 2.0359e-01 6.9334e-01 1.0294e-01
22447.94 1.9351e-04 2.8832e-01 5.9320e-01 1.1829e-01
23245.88 4.1250e-04 2.9651e-01 5.5254e-01 1.5054e-01
24052.47 2.0863e-04 2.4193e-01 5.6309e-01 1.9478e-01
24867.72 4.5753e-05 1.0886e-01 6.5269e-01 2.3841e-01
25698.86 2.0210e-04 1.3836e-01 5.3891e-01 3.2253e-01
26587.16 2.8062e-05 4.0710e-02 5.7205e-01 3.8721e-01
27637.54 4.1383e-05 7.8563e-02 5.7056e-01 3.5084e-01
28986.97 1.9700e-05 5.6749e-02 4.2275e-01 5.2048e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 8.3933e-03 8.3701e-01 1.5092e-01 3.6755e-03
1919.29 8.3322e-03 8.5440e-01 1.3429e-01 2.9829e-03
2581.60 6.8800e-03 8.0232e-01 1.8544e-01 5.3598e-03
3084.17 4.5398e-03 7.0016e-01 2.8499e-01 1.0309e-02
3472.46 2.5687e-03 5.8353e-01 3.9652e-01 1.7385e-02
3909.64 1.0890e-03 4.6240e-01 5.0857e-01 2.7931e-02
4148.46 1.3179e-03 4.7192e-01 4.9651e-01 3.0255e-02
4670.75 1.3219e-03 4.9748e-01 4.7323e-01 2.7970e-02
4956.05 8.5741e-04 3.9570e-01 5.6656e-01 3.6883e-02
5258.79 3.4619e-04 3.1101e-01 6.4281e-01 4.5831e-02
5580.02 1.3329e-04 2.4584e-01 6.9913e-01 5.4896e-02
5920.87 5.6041e-05 1.9821e-01 7.3862e-01 6.3105e-02
6282.54 3.4943e-05 1.7086e-01 7.5928e-01 6.9830e-02
6666.30 3.0512e-05 1.5709e-01 7.6997e-01 7.2918e-02
7073.50 2.9638e-05 1.5566e-01 7.6821e-01 7.6099e-02
7505.58 2.7369e-05 1.4916e-01 7.6912e-01 8.1692e-02
7964.05 3.7042e-05 1.6355e-01 7.5612e-01 8.0302e-02
8450.53 7.4727e-05 1.9118e-01 7.3341e-01 7.5339e-02
8966.72 1.7353e-04 2.4780e-01 6.8328e-01 6.8749e-02
9514.44 3.4541e-04 2.9555e-01 6.4000e-01 6.4101e-02
10095.62 6.4643e-04 3.6447e-01 5.8222e-01 5.2669e-02
10712.30 1.3110e-03 4.7135e-01 4.8506e-01 4.2277e-02
11366.65 1.9490e-03 5.1866e-01 4.4100e-01 3.8390e-02
12061.10 2.4128e-03 5.4545e-01 4.1660e-01 3.5529e-02
12793.43 2.6729e-03 5.8272e-01 3.8142e-01 3.3192e-02
13528.61 2.7241e-03 5.7196e-01 3.8998e-01 3.5336e-02
14194.74 2.4095e-03 5.0478e-01 4.4617e-01 4.6646e-02
14757.77 2.1744e-03 5.5122e-01 4.0518e-01 4.1429e-02
15240.48 1.8799e-03 5.9461e-01 3.7358e-01 2.9927e-02
15646.99 3.4549e-03 6.8741e-01 2.9246e-01 1.6675e-02
15960.30 5.0839e-03 7.7405e-01 2.1262e-01 8.2433e-03
16187.41 6.9130e-03 7.8867e-01 1.9790e-01 6.5172e-03
16354.17 4.5226e-03 8.1873e-01 1.7180e-01 4.9536e-03
16484.18 2.5484e-03 8.1368e-01 1.7859e-01 5.1830e-03
16593.12 2.5684e-03 7.5885e-01 2.2888e-01 9.7042e-03
16691.99 4.5461e-03 7.7013e-01 2.1674e-01 8.5863e-03
16788.59 2.4385e-03 7.3059e-01 2.5629e-01 1.0677e-02
16888.37 1.2642e-03 7.3545e-01 2.5076e-01 1.2526e-02
16998.79 1.7677e-03 6.8661e-01 2.9658e-01 1.5042e-02
17146.37 1.2608e-03 6.7198e-01 3.1094e-01 1.5818e-02
17415.23 1.1299e-03 6.5657e-01 3.2307e-01 1.9232e-02
17888.12 4.7891e-04 5.9087e-01 3.8160e-01 2.7054e-02
18532.37 6.7648e-04 5.2019e-01 4.4512e-01 3.4015e-02
19260.76 3.1430e-04 5.1398e-01 4.3836e-01 4.7342e-02
20034.10 2.6045e-04 4.2195e-01 5.1994e-01 5.7852e-02
20838.00 1.9859e-04 3.0076e-01 6.0948e-01 8.9566e-02
21647.97 1.3036e-04 2.3646e-01 6.5088e-01 1.1253e-01
22447.94 1.2611e-04 2.7053e-01 5.9540e-01 1.3394e-01
23245.88 1.4508e-04 1.6436e-01 5.8794e-01 2.4755e-01
24052.47 5.8534e-05 1.5762e-01 6.4223e-01 2.0009e-01
24867.72 1.9275e-05 7.2322e-02 6.9231e-01 2.3535e-01
25698.86 7.8781e-05 1.7373e-01 5.6302e-01 2.6317e-01
26587.16 4.3168e-05 8.6554e-02 5.9109e-01 3.2232e-01
27637.54 9.3749e-05 4.4954e-02 5.9988e-01 3.5507e-01
28986.97 1.1874e-05 1.5091e-02 5.9969e-01 3.8521e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 8.7436e-03 8.3333e-01 1.5424e-01 3.6887e-03
1919.29 9.0915e-03 8.5381e-01 1.3411e-01 2.9914e-03
2581.60 6.6106e-03 8.0287e-01 1.8522e-01 5.3006e-03
3084.17 4.5521e-03 7.0631e-01 2.7913e-01 1.0005e-02
3472.46 2.5822e-03 5.8223e-01 3.9743e-01 1.7760e-02
3909.64 1.2330e-03 4.8350e-01 4.8792e-01 2.7343e-02
4148.46 1.1765e-03 4.7437e-01 4.9542e-01 2.9039e-02
4670.75 1.3838e-03 4.8936e-01 4.8047e-01 2.8790e-02
4956.05 8.9628e-04 4.1491e-01 5.4984e-01 3.4352e-02
5258.79 3.6126e-04 3.1561e-01 6.3693e-01 4.7103e-02
5580.02 1.3740e-04 2.4775e-01 6.9679e-01 5.5321e-02
5920.87 5.8414e-05 1.9850e-01 7.3858e-01 6.2863e-02
6282.54 3.6288e-05 1.6754e-01 7.6279e-01 6.9628e-02
6666.30 3.0648e-05 1.5837e-01 7.6867e-01 7.2937e-02
7073.50 3.0695e-05 1.5933e-01 7.6451e-01 7.6133e-02
7505.58 2.9934e-05 1.5765e-01 7.6256e-01 7.9766e-02
7964.05 3.7912e-05 1.6299e-01 7.5727e-01 7.9701e-02
8450.53 7.7324e-05 1.9771e-01 7.2900e-01 7.3213e-02
8966.72 1.8032e-04 2.4621e-01 6.8422e-01 6.9388e-02
9514.44 3.6243e-04 3.0140e-01 6.3390e-01 6.4335e-02
10095.62 7.3546e-04 3.8862e-01 5.5864e-01 5.2010e-02
10712.30 1.1168e-03 4.5618e-01 4.9846e-01 4.4236e-02
11366.65 1.8825e-03 5.1049e-01 4.4841e-01 3.9220e-02
12061.10 2.5446e-03 5.4678e-01 4.1519e-01 3.5477e-02
12793.43 3.2934e-03 5.7291e-01 3.8984e-01 3.3961e-02
13528.61 3.3803e-03 5.8894e-01 3.7382e-01 3.3856e-02
14194.74 2.3931e-03 5.7471e-01 3.8804e-01 3.4853e-02
14757.77 2.4982e-03 5.1922e-01 4.3106e-01 4.7221e-02
15240.48 3.1552e-03 5.8881e-01 3.7716e-01 3.0879e-02
15646.99 3.9855e-03 6.9923e-01 2.7919e-01 1.7594e-02
15960.30 6.7109e-03 7.6660e-01 2.1884e-01 7.8529e-03
16187.41 7.1593e-03 7.9249e-01 1.9414e-01 6.2097e-03
16354.17 4.1804e-03 8.1460e-01 1.7592e-01 5.2974e-03
16484.18 3.1071e-03 8.1681e-01 1.7427e-01 5.8130e-03
16593.12 1.7792e-03 7.8438e-01 2.0604e-01 7.8046e-03
16691.99 6.5633e-03 7.6064e-01 2.2360e-01 9.2009e-03
16788.59 1.2754e-03 6.2240e-01 3.6187e-01 1.4453e-02
16888.37 2.2576e-03 7.4174e-01 2.4488e-01 1.1123e-02
16998.79 1.8554e-03 7.0341e-01 2.8087e-01 1.3867e-02
17146.37 9.9059e-04 6.6908e-01 3.1557e-01 1.4355e-02
17415.23 1.3716e-03 6.4520e-01 3.3616e-01 1.7264e-02
17888.12 4.6006e-04 6.0253e-01 3.7003e-01 2.6988e-02
18532.37 4.5110e-04 5.4046e-01 4.2539e-01 3.3695e-02
19260.76 6.0104e-04 4.7853e-01 4.7113e-01 4.9744e-02
20034.10 2.2427e-04 4.1888e-01 5.1999e-01 6.0910e-02
20838.00 1.6262e-04 2.9656e-01 6.1202e-01 9.1261e-02
21647.97 1.6386e-04 3.0522e-01 5.9344e-01 1.0118e-01
22447.94 9.8731e-05 1.8412e-01 6.6094e-01 1.5485e-01
23245.88 3.7903e-05 8.9858e-02 7.3514e-01 1.7496e-01
24052.47 9.4357e-05 1.7840e-01 6.1905e-01 2.0246e-01
24867.72 8.9269e-05 1.0420e-01 5.8037e-01 3.1534e-01
25698.86 1.5181e-04 1.7482e-01 5.6319e-01 2.6184e-01
26587.16 9.5055e-05 9.0188e-02 5.9375e-01 3.1596e-01
27637.54 3.2028e-05 1.5075e-02 6.3584e-01 3.4905e-01
28986.97 3.2780e-04 6.8996e-02 5.3348e-01 3.9720e-01
#TIME: 210.86
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 7.9847e-03 8.3755e-01 1.5093e-01 3.5329e-03
1919.29 8.3342e-03 8.5714e-01 1.3166e-01 2.8725e-03
2581.60 6.6406e-03 8.0572e-01 1.8248e-01 5.1609e-03
3084.17 5.0842e-03 7.0170e-01 2.8299e-01 1.0225e-02
3472.46 2.5162e-03 5.9240e-01 3.8813e-01 1.6952e-02
3909.64 1.2827e-03 4.7452e-01 4.9602e-01 2.8183e-02
4148.46 1.2893e-03 4.7703e-01 4.9268e-01 2.9004e-02
4670.75 1.4250e-03 4.9824e-01 4.7293e-01 2.7403e-02
4956.05 1.0343e-03 4.0771e-01 5.5458e-01 3.6672e-02
5258.79 3.4669e-04 3.1640e-01 6.3809e-01 4.5162e-02
5580.02 1.3730e-04 2.3441e-01 7.0960e-01 5.5858e-02
5920.87 6.1600e-05 2.0740e-01 7.2888e-01 6.3652e-02
6282.54 3.5982e-05 1.6613e-01 7.6446e-01 6.9375e-02
6666.30 3.1355e-05 1.5709e-01 7.6958e-01 7.3296e-02
7073.50 3.2072e-05 1.6233e-01 7.6424e-01 7.3402e-02
7505.58 2.7957e-05 1.5164e-01 7.6984e-01 7.8497e-02
7964.05 3.6944e-05 1.6018e-01 7.5852e-01 8.1262e-02
8450.53 7.3193e-05 1.9402e-01 7.3206e-01 7.3847e-02
8966.72 1.7296e-04 2.4116e-01 6.8914e-01 6.9521e-02
9514.44 3.3328e-04 2.9737e-01 6.3805e-01 6.4244e-02
10095.62 7.4846e-04 3.9602e-01 5.5011e-01 5.3119e-02
10712.30 1.2227e-03 4.6385e-01 4.9271e-01 4.2221e-02
11366.65 1.7346e-03 5.2827e-01 4.3351e-01 3.6487e-02
12061.10 2.6477e-03 5.7119e-01 3.9302e-01 3.3147e-02
12793.43 2.5357e-03 5.7738e-01 3.8696e-01 3.3123e-02
13528.61 2.6436e-03 6.0299e-01 3.6227e-01 3.2100e-02
14194.74 3.0093e-03 5.7629e-01 3.8491e-01 3.5785e-02
14757.77 3.0677e-03 5.0014e-01 4.5280e-01 4.3991e-02
15240.48 2.3884e-03 6.0641e-01 3.6241e-01 2.8795e-02
15646.99 3.8152e-03 6.6560e-01 3.1362e-01 1.6961e-02
15960.30 4.6145e-03 7.7262e-01 2.1502e-01 7.7455e-03
16187.41 5.5048e-03 7.9835e-01 1.9019e-01 5.9552e-03
16354.17 4.7508e-03 8.1907e-01 1.7126e-01 4.9174e-03
16484.18 2.6462e-03 8.1600e-01 1.7602e-01 5.3386e-03
16593.12 1.8552e-03 7.6436e-01 2.2676e-01 7.0277e-03
16691.99 3.5647e-03 7.7038e-01 2.1815e-01 7.9013e-03
16788.59 1.7760e-03 7.3242e-01 2.5059e-01 1.5211e-02
16888.37 1.5567e-03 6.9701e-01 2.8498e-01 1.6458e-02
16998.79 1.8108e-03 7.1928e-01 2.6568e-01 1.3227e-02
17146.37 2.8537e-03 6.5917e-01 3.2210e-01 1.5871e-02
17415.23 1.1268e-03 6.3940e-01 3.4062e-01 1.8861e-02
17888.12 6.3284e-04 6.0045e-01 3.7298e-01 2.5937e-02
18532.37 4.5078e-04 5.3800e-01 4.2522e-01 3.6325e-02
19260.76 3.0826e-04 5.0197e-01 4.5134e-01 4.6379e-02
20034.10 1.7149e-04 4.0705e-01 5.3347e-01 5.9314e-02
20838.00 1.8314e-04 2.8819e-01 6.3105e-01 8.0578e-02
21647.97 1.1885e-04 2.6729e-01 6.3975e-01 9.2839e-02
22447.94 1.0763e-04 1.4863e-01 6.7430e-01 1.7696e-01
23245.88 1.6928e-04 1.8413e-01 6.5225e-01 1.6345e-01
24052.47 7.4838e-05 1.9809e-01 6.0266e-01 1.9917e-01
24867.72 4.1678e-05 1.2465e-01 6.3426e-01 2.4105e-01
25698.86 8.1104e-05 1.1811e-01 6.1997e-01 2.6184e-01
26587.16 5.6282e-04 9.0403e-02 5.9846e-01 3.1058e-01
27637.54 1.0166e-04 5.0954e-02 5.8919e-01 3.5975e-01
28986.97 2.1662e-05 5.7004e-02 5.6635e-01 3.7663e-01
#TIME: 213.89
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 1.1724e-02 8.4101e-01 1.4400e-01 3.2582e-03
1919.29 9.3406e-03 8.6082e-01 1.2717e-01 2.6723e-03
2581.60 7.2381e-03 8.0480e-01 1.8267e-01 5.2884e-03
3084.17 4.5206e-03 7.0729e-01 2.7822e-01 9.9692e-03
3472.46 2.5785e-03 5.8025e-01 3.9945e-01 1.7716e-02
3909.64 1.1872e-03 4.6119e-01 5.0967e-01 2.7948e-02
4148.46 1.3791e-03 4.8023e-01 4.8934e-01 2.9049e-02
4670.75 1.3937e-03 4.9068e-01 4.8012e-01 2.7809e-02
4956.05 9.3201e-04 4.3806e-01 5.2715e-01 3.3854e-02
5258.79 3.6362e-04 3.3009e-01 6.2371e-01 4.5838e-02
5580.02 1.3900e-04 2.4738e-01 6.9667e-01 5.5809e-02
5920.87 6.2169e-05 2.0184e-01 7.3328e-01 6.4818e-02
6282.54 3.6875e-05 1.7516e-01 7.5592e-01 6.8883e-02
6666.30 3.1350e-05 1.5825e-01 7.6885e-01 7.2860e-02
7073.50 3.2201e-05 1.6189e-01 7.6212e-01 7.5953e-02
7505.58 2.7050e-05 1.4576e-01 7.7507e-01 7.9150e-02
7964.05 3.5401e-05 1.5170e-01 7.6510e-01 8.3160e-02
8450.53 6.9908e-05 1.9306e-01 7.3243e-01 7.4439e-02
8966.72 1.5281e-04 2.2691e-01 7.0271e-01 7.0236e-02
9514.44 3.4733e-04 2.9693e-01 6.3837e-01 6.4352e-02
10095.62 7.8149e-04 3.8069e-01 5.6486e-01 5.3664e-02
10712.30 1.2775e-03 4.5400e-01 5.0041e-01 4.4310e-02
11366.65 1.9822e-03 5.2449e-01 4.3680e-01 3.6728e-02
12061.10 2.7308e-03 5.5332e-01 4.0914e-01 3.4807e-02
12793.43 3.1649e-03 5.6654e-01 3.9634e-01 3.3955e-02
13528.61 2.7935e-03 5.6240e-01 3.9700e-01 3.7808e-02
14194.74 3.3787e-03 5.5933e-01 4.0090e-01 3.6388e-02
14757.77 2.7353e-03 5.3870e-01 4.1687e-01 4.1697e-02
15240.48 3.1506e-03 5.6537e-01 3.9770e-01 3.3772e-02
15646.99 2.7915e-03 6.7955e-01 2.9940e-01 1.8254e-02
15960.30 5.4497e-03 7.6806e-01 2.1806e-01 8.4358e-03
16187.41 7.2942e-03 8.0158e-01 1.8465e-01 6.4724e-03
16354.17 5.1175e-03 8.2022e-01 1.6966e-01 5.0036e-03
16484.18 3.6341e-03 8.2267e-01 1.6837e-01 5.3261e-03
16593.12 2.7633e-03 7.8246e-01 2.0623e-01 8.5469e-03
16691.99 1.8041e-03 7.7147e-01 2.1877e-01 7.9616e-03
16788.59 1.4377e-03 7.0215e-01 2.8657e-01 9.8401e-03
16888.37 4.7745e-03 6.8119e-01 3.0044e-01 1.3600e-02
16998.79 1.6576e-03 7.2807e-01 2.5762e-01 1.2646e-02
17146.37 2.5194e-03 7.0596e-01 2.7718e-01 1.4342e-02
17415.23 9.1616e-04 6.6585e-01 3.1467e-01 1.8560e-02
17888.12 1.0072e-03 5.8401e-01 3.8627e-01 2.8714e-02
18532.37 4.6520e-04 5.2623e-01 4.3952e-01 3.3781e-02
19260.76 2.9142e-04 4.7921e-01 4.7428e-01 4.6219e-02
20034.10 2.8670e-04 4.2387e-01 5.1540e-01 6.0444e-02
20838.00 1.4279e-04 2.8808e-01 6.1593e-01 9.5847e-02
21647.97 1.9139e-04 2.7900e-01 6.0399e-01 1.1681e-01
22447.94 1.6496e-04 2.4484e-01 6.3226e-01 1.2273e-01
23245.88 1.7184e-04 1.5782e-01 6.8745e-01 1.5456e-01
24052.47 2.9172e-05 6.7354e-02 7.2289e-01 2.0973e-01
24867.72 9.7909e-05 1.7910e-01 5.9520e-01 2.2560e-01
25698.86 3.2069e-05 1.0625e-01 6.4125e-01 2.5246e-01
26587.16 2.8265e-05 7.6892e-02 6.3372e-01 2.8936e-01
27637.54 3.7463e-05 1.0692e-01 5.5585e-01 3.3719e-01
28986.97 2.2938e-06 6.6796e-03 3.6242e-01 6.3089e-01
#TIME: 216.97
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 9.0927e-03 8.4340e-01 1.4418e-01 3.3317e-03
1919.29 8.2421e-03 8.6062e-01 1.2835e-01 2.7913e-03
2581.60 5.8849e-03 8.0923e-01 1.7979e-01 5.0933e-03
3084.17 4.7016e-03 7.0262e-01 2.8255e-01 1.0130e-02
3472.46 2.5609e-03 5.9650e-01 3.8406e-01 1.6880e-02
3909.64 1.2663e-03 4.5557e-01 5.1372e-01 2.9435e-02
4148.46 1.3977e-03 4.9629e-01 4.7400e-01 2.8319e-02
4670.75 1.4558e-03 4.8773e-01 4.8252e-01 2.8290e-02
4956.05 1.0565e-03 4.3624e-01 5.2848e-01 3.4220e-02
5258.79 3.5895e-04 3.2328e-01 6.3140e-01 4.4952e-02
5580.02 1.3458e-04 2.4052e-01 7.0359e-01 5.5754e-02
5920.87 5.8415e-05 1.9445e-01 7.4210e-01 6.3386e-02
6282.54 3.1636e-05 1.5897e-01 7.6989e-01 7.1106e-02
6666.30 3.0376e-05 1.5587e-01 7.7003e-01 7.4078e-02
7073.50 2.9903e-05 1.5028e-01 7.7351e-01 7.6178e-02
7505.58 2.8142e-05 1.5244e-01 7.6647e-01 8.1066e-02
7964.05 3.5710e-05 1.5849e-01 7.5916e-01 8.2312e-02
8450.53 7.1226e-05 1.9698e-01 7.2734e-01 7.5612e-02
8966.72 1.6236e-04 2.4033e-01 6.8900e-01 7.0508e-02
9514.44 3.1508e-04 2.9173e-01 6.4365e-01 6.4305e-02
10095.62 7.5392e-04 3.8782e-01 5.5909e-01 5.2336e-02
10712.30 1.1965e-03 4.6462e-01 4.9137e-01 4.2812e-02
11366.65 1.9807e-03 5.0488e-01 4.5508e-01 3.8050e-02
12061.10 3.1398e-03 5.9053e-01 3.7431e-01 3.2025e-02
12793.43 3.1502e-03 5.9718e-01 3.6801e-01 3.1664e-02
13528.61 3.7151e-03 5.9348e-01 3.7027e-01 3.2540e-02
14194.74 3.5462e-03 6.0014e-01 3.6199e-01 3.4329e-02
