#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 1.32e-18 2.28e-11 3.18e-05 1.31e-01 8.68e-01 9.27e-05 3.46e-12 
999.11 5.09e-20 9.35e-13 2.32e-06 2.85e-02 9.70e-01 1.62e-03 5.23e-09 
1267.34 1.64e-21 4.12e-14 1.74e-07 5.98e-03 9.77e-01 1.67e-02 7.97e-07 
1514.05 1.56e-22 4.86e-15 2.88e-08 1.98e-03 9.17e-01 8.09e-02 3.61e-05 
1808.80 1.98e-23 7.08e-16 5.66e-09 6.89e-04 7.57e-01 2.41e-01 6.49e-04 
1919.29 2.20e-24 9.33e-17 9.62e-10 2.05e-04 5.39e-01 4.57e-01 4.14e-03 
2160.92 8.41e-26 4.25e-18 5.62e-11 2.62e-05 2.74e-01 6.99e-01 2.72e-02 
2292.92 2.12e-26 1.32e-18 2.15e-11 1.31e-05 1.93e-01 7.58e-01 4.92e-02 
2432.98 5.67e-27 4.53e-19 8.86e-12 6.92e-06 1.36e-01 7.84e-01 7.92e-02 
2581.60 1.75e-27 1.90e-19 4.36e-12 4.11e-06 9.99e-02 7.85e-01 1.15e-01 
2739.29 8.39e-28 9.75e-20 2.46e-12 2.68e-06 7.82e-02 7.72e-01 1.49e-01 
2906.62 4.59e-28 6.25e-20 1.74e-12 2.10e-06 6.79e-02 7.56e-01 1.76e-01 
3084.17 2.65e-28 4.27e-20 1.31e-12 1.76e-06 6.24e-02 7.57e-01 1.80e-01 
3272.56 1.59e-28 2.84e-20 9.69e-13 1.46e-06 5.72e-02 7.55e-01 1.88e-01 
3472.46 1.14e-28 2.36e-20 8.83e-13 1.44e-06 5.82e-02 7.65e-01 1.77e-01 
3684.57 8.07e-29 1.84e-20 7.54e-13 1.34e-06 5.67e-02 7.73e-01 1.70e-01 
3909.64 5.07e-29 1.33e-20 6.15e-13 1.22e-06 5.44e-02 7.84e-01 1.62e-01 
4148.46 5.18e-29 1.47e-20 7.13e-13 1.43e-06 6.07e-02 8.02e-01 1.37e-01 
