#NTIMES:     65
#NSTAGES:     5
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           si1           si2           si3           si4           si5
    2.046516E+04    1.0000E-99    9.9998E-01    2.2869E-05    2.2415E-23    8.3380E-52
    2.125594E+04    1.0000E-99    9.9997E-01    3.0326E-05    3.8094E-23    1.7418E-51
    2.202587E+04    1.0000E-99    9.9996E-01    3.5370E-05    4.9959E-23    2.4444E-51
    2.285981E+04    1.0000E-99    9.9995E-01    5.0657E-05    9.6667E-23    5.9390E-51
    2.372435E+04    1.0000E-99    9.9995E-01    5.0366E-05    9.0275E-23    4.8732E-51
    2.455466E+04    1.0000E-99    9.9992E-01    7.8246E-05    1.9708E-22    1.3291E-50
    2.552174E+04    1.0000E-99    9.9992E-01    8.2768E-05    1.9640E-22    1.1271E-50
    2.640440E+04    1.0000E-99    9.9990E-01    1.0103E-04    2.5585E-22    1.4114E-50
    2.741295E+04    1.0000E-99    9.9989E-01    1.1156E-04    2.6303E-22    1.2456E-50
    2.838201E+04    1.0000E-99    9.9991E-01    8.6719E-05    1.3368E-22    4.1568E-51
    2.923203E+04    1.0000E-99    9.9990E-01    9.8946E-05    1.3829E-22    3.6975E-51
    3.013295E+04    1.0000E-99    9.9993E-01    7.2327E-05    6.0272E-23    9.4598E-52
    3.094669E+04    1.0000E-99    9.9993E-01    7.0832E-05    5.0716E-23    6.6895E-52
    3.176516E+04    1.0000E-99    9.9993E-01    6.5539E-05    3.7510E-23    3.9250E-52
    3.259805E+04    1.0000E-99    9.9993E-01    7.0633E-05    3.7188E-23    3.5922E-52
    3.345740E+04    1.0000E-99    9.9992E-01    8.1832E-05    4.2879E-23    4.1091E-52
    3.438030E+04    1.0000E-99    9.9992E-01    8.1377E-05    3.6088E-23    2.9978E-52
    3.533529E+04    1.0000E-99    9.9990E-01    9.5253E-05    4.3842E-23    3.7849E-52
    3.634323E+04    1.0000E-99    9.9991E-01    9.4237E-05    3.7930E-23    2.9619E-52
    3.736894E+04    1.0000E-99    9.9990E-01    9.9502E-05    3.8598E-23    2.9505E-52
    3.839518E+04    1.0000E-99    9.9990E-01    1.0368E-04    3.8974E-23    2.9222E-52
    3.939114E+04    1.0000E-99    9.9990E-01    9.7691E-05    3.1956E-23    2.1978E-52
    4.037465E+04    1.0000E-99    9.9991E-01    8.8598E-05    2.4343E-23    1.5143E-52
    4.133441E+04    1.0000E-99    9.9992E-01    8.2337E-05    1.9682E-23    1.1430E-52
    4.215976E+04    1.0000E-99    9.9992E-01    7.8367E-05    1.6854E-23    9.3929E-53
    4.290657E+04    1.0000E-99    9.9993E-01    7.3914E-05    1.4169E-23    7.5856E-53
    4.365819E+04    1.0000E-99    9.9993E-01    6.8080E-05    1.1315E-23    5.7767E-53
    4.442297E+04    1.0000E-99    9.9994E-01    6.1018E-05    8.5792E-24    4.1506E-53
    4.520034E+04    1.0000E-99    9.9995E-01    5.3208E-05    6.2441E-24    2.8507E-53
    4.600555E+04    1.0000E-99    9.9995E-01    4.5203E-05    4.4114E-24    1.8928E-53
    4.686215E+04    1.0000E-99    9.9996E-01    3.7850E-05    3.1083E-24    1.2549E-53
    4.776422E+04    1.0000E-99    9.9997E-01    3.1664E-05    2.2381E-24    8.5333E-54
    4.868597E+04    1.0000E-99    9.9997E-01    2.6836E-05    1.6776E-24    6.0732E-54
    4.962544E+04    1.0000E-99    9.9998E-01    2.3173E-05    1.3109E-24    4.5253E-54
    5.058305E+04    1.0000E-99    9.9998E-01    2.0431E-05    1.0652E-24    3.5198E-54
    5.155912E+04    1.0000E-99    9.9998E-01    1.8389E-05    8.9696E-25    2.8490E-54
    5.255403E+04    1.0000E-99    9.9998E-01    1.6876E-05    7.8046E-25    2.3957E-54
    5.356816E+04    1.0000E-99    9.9998E-01    1.5771E-05    7.0054E-25    2.0931E-54
    5.460189E+04    1.0000E-99    9.9999E-01    1.4992E-05    6.4764E-25    1.8993E-54
    5.565558E+04    1.0000E-99    9.9999E-01    1.4490E-05    6.1647E-25    1.7915E-54
    5.672959E+04    1.0000E-99    9.9999E-01    1.4224E-05    6.0332E-25    1.7547E-54
    5.782432E+04    1.0000E-99    9.9999E-01    1.4170E-05    6.0608E-25    1.7811E-54
    5.894013E+04    1.0000E-99    9.9999E-01    1.4267E-05    6.2021E-25    1.8537E-54
    6.007747E+04    1.0000E-99    9.9999E-01    1.4444E-05    6.4003E-25    1.9499E-54
    6.123675E+04    1.0000E-99    9.9999E-01    1.4626E-05    6.5962E-25    2.0446E-54
    6.241838E+04    1.0000E-99    9.9999E-01    1.4779E-05    6.7600E-25    2.1240E-54
    6.362274E+04    1.0000E-99    9.9999E-01    1.4878E-05    6.8709E-25    2.1784E-54
    6.485024E+04    1.0000E-99    9.9999E-01    1.4923E-05    6.9269E-25    2.2059E-54
    6.610128E+04    1.0000E-99    9.9999E-01    1.4935E-05    6.9513E-25    2.2173E-54
    6.737631E+04    1.0000E-99    9.9999E-01    1.4801E-05    6.8375E-25    2.1624E-54
    6.867574E+04    1.0000E-99    9.9999E-01    1.4560E-05    6.6279E-25    2.0619E-54
    6.935606E+04    1.0000E-99    9.9999E-01    1.4300E-05    6.4002E-25    1.9540E-54
    6.969874E+04    1.0000E-99    9.9999E-01    1.3872E-05    6.0326E-25    1.7879E-54
    6.987071E+04    1.0000E-99    9.9999E-01    1.2999E-05    5.3078E-25    1.4696E-54
    6.995686E+04    1.0000E-99    9.9999E-01    1.1122E-05    3.9124E-25    9.2287E-55
    6.999782E+04    1.0000E-99    9.9999E-01    7.9473E-06    1.8947E-25    3.3214E-55
    6.999997E+04    1.0000E-99    9.9999E-01    7.3454E-06    1.5528E-25    2.5805E-55
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           si1           si2           si3           si4           si5
    8.772128E+02    1.0000E-99    2.7502E-18    1.4358E-11    2.0134E-05    9.9998E-01
    8.825108E+02    1.0000E-99    2.7502E-18    1.4358E-11    2.0134E-05    9.9998E-01
    8.985975E+02    1.0000E-99    2.7502E-18    1.4358E-11    2.0134E-05    9.9998E-01
    9.316560E+02    1.0000E-99    2.7503E-18    1.4358E-11    2.0134E-05    9.9998E-01
    9.893707E+02    1.0000E-99    2.7503E-18    1.4358E-11    2.0134E-05    9.9998E-01
    1.050609E+03    1.0000E-99    2.7500E-18    1.4356E-11    2.0133E-05    9.9998E-01
    1.115637E+03    1.0000E-99    2.7481E-18    1.4349E-11    2.0131E-05    9.9998E-01
    1.184691E+03    1.0000E-99    2.7442E-18    1.4331E-11    2.0137E-05    9.9998E-01
    1.258018E+03    1.0000E-99    2.7346E-18    1.4287E-11    2.0147E-05    9.9998E-01
    1.335885E+03    1.0000E-99    2.7153E-18    1.4196E-11    2.0175E-05    9.9998E-01
    1.418571E+03    1.0000E-99    2.2945E-18    1.2585E-11    1.9454E-05    9.9998E-01
    1.506375E+03    1.0000E-99    3.9534E-19    3.6849E-12    1.3070E-05    9.9999E-01
    1.599613E+03    1.0000E-99    3.2665E-19    3.2338E-12    1.2452E-05    9.9999E-01
    1.698623E+03    1.0000E-99    1.6464E-19    2.0204E-12    1.0602E-05    9.9999E-01
    1.803761E+03    1.0000E-99    1.3599E-19    1.7666E-12    1.0332E-05    9.9999E-01
    1.915407E+03    1.0000E-99    5.3124E-20    9.2921E-13    8.3664E-06    9.9999E-01
    2.033963E+03    1.0000E-99    3.7682E-20    7.3461E-13    7.8043E-06    9.9999E-01
    2.159857E+03    1.0000E-99    1.7125E-20    4.2956E-13    6.5738E-06    9.9999E-01
    2.293544E+03    1.0000E-99    7.9868E-21    2.5640E-13    5.4887E-06    9.9999E-01
    2.435505E+03    1.0000E-99    4.0693E-21    1.6269E-13    4.6512E-06    1.0000E+00
    2.586253E+03    1.0000E-99    1.6905E-21    8.9905E-14    3.8158E-06    1.0000E+00
    2.746332E+03    1.0000E-99    1.0776E-21    6.6413E-14    3.4144E-06    1.0000E+00
    2.916319E+03    1.0000E-99    7.1886E-22    5.0590E-14    3.0890E-06    1.0000E+00
    3.096828E+03    1.0000E-99    4.8848E-22    3.9079E-14    2.7406E-06    1.0000E+00
    3.288509E+03    1.0000E-99    3.7490E-22    3.2794E-14    2.4665E-06    1.0000E+00
    3.492055E+03    1.0000E-99    3.2032E-22    2.9597E-14    2.2579E-06    1.0000E+00
    3.708199E+03    1.0000E-99    2.7332E-22    2.6720E-14    2.0382E-06    1.0000E+00
    3.937722E+03    1.0000E-99    2.2021E-22    2.3233E-14    1.7958E-06    1.0000E+00
    4.181452E+03    1.0000E-99    2.1888E-22    2.3306E-14    1.6531E-06    1.0000E+00
    4.440267E+03    1.0000E-99    2.4608E-22    2.5211E-14    1.7098E-06    1.0000E+00
    4.715102E+03    1.0000E-99    1.8793E-22    2.0988E-14    1.6252E-06    1.0000E+00
    5.006948E+03    1.0000E-99    1.0103E-22    1.3871E-14    1.3268E-06    1.0000E+00
    5.316859E+03    1.0000E-99    7.6293E-23    1.1489E-14    1.2256E-06    1.0000E+00
    5.645951E+03    1.0000E-99    6.6515E-23    1.0487E-14    1.1680E-06    1.0000E+00
    5.995413E+03    1.0000E-99    6.1245E-23    9.9386E-15    1.1196E-06    1.0000E+00
    6.366506E+03    1.0000E-99    5.6753E-23    9.4701E-15    1.0624E-06    1.0000E+00
    6.760567E+03    1.0000E-99    5.4793E-23    9.2663E-15    1.0317E-06    1.0000E+00
