#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
16484.18 1.20e-09 1.19e-03 9.99e-01 5.01e-05 3.41e-26 5.73e-33 3.89e-33 
16593.12 1.74e-09 1.60e-03 9.98e-01 1.99e-05 4.73e-26 7.25e-33 4.95e-33 
16691.99 2.34e-09 2.12e-03 9.98e-01 1.53e-05 2.17e-28 8.82e-33 6.07e-33 
16788.59 3.14e-09 2.54e-03 9.97e-01 7.36e-06 8.36e-26 1.02e-32 7.08e-33 
16888.37 5.94e-09 4.10e-03 9.96e-01 1.94e-06 5.87e-26 1.16e-32 8.09e-33 
16998.79 6.92e-09 4.89e-03 9.95e-01 1.41e-06 6.88e-26 1.32e-32 9.26e-33 
17146.37 1.19e-08 7.02e-03 9.93e-01 4.21e-07 5.72e-26 1.49e-32 1.05e-32 
17415.23 3.75e-08 1.61e-02 9.84e-01 6.78e-08 5.95e-26 1.64e-32 1.16e-32 
17888.12 1.47e-07 4.58e-02 9.54e-01 5.21e-09 5.68e-26 1.60e-32 1.16e-32 
18532.37 8.66e-07 1.62e-01 8.38e-01 1.87e-10 5.86e-26 1.29e-32 9.54e-33 
19260.76 2.76e-06 3.61e-01 6.39e-01 7.70e-12 4.17e-26 1.09e-32 8.20e-33 
20034.10 4.98e-06 6.17e-01 3.83e-01 2.83e-13 5.09e-26 1.08e-32 8.21e-33 
20838.00 6.41e-06 7.99e-01 2.01e-01 1.64e-14 6.42e-26 1.19e-32 9.17e-33 
