#NTIMES 50
#NSTAGES 5
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
4956.05 9.0996e-07 3.9213e-02 5.2043e-01 3.3566e-01 1.0469e-01
5258.79 2.7049e-07 1.6995e-02 4.9377e-01 3.6720e-01 1.2203e-01
5580.02 5.8381e-08 5.3907e-03 4.5583e-01 4.0292e-01 1.3586e-01
5920.87 1.9434e-08 2.4102e-03 4.2263e-01 4.2532e-01 1.4965e-01
6282.54 9.9958e-09 1.4806e-03 3.8425e-01 4.4976e-01 1.6451e-01
6666.30 8.2918e-09 1.3360e-03 3.7432e-01 4.5422e-01 1.7013e-01
7073.50 8.0279e-09 1.3074e-03 3.6656e-01 4.5643e-01 1.7570e-01
7505.58 7.3021e-09 1.2268e-03 3.4653e-01 4.6426e-01 1.8798e-01
7964.05 9.9584e-09 1.5741e-03 3.5386e-01 4.5300e-01 1.9156e-01
8450.53 2.5054e-08 2.9777e-03 3.7786e-01 4.3652e-01 1.8264e-01
8966.72 7.4285e-08 6.6783e-03 3.9585e-01 4.2124e-01 1.7623e-01
9514.44 1.9031e-07 1.2473e-02 4.1263e-01 4.0529e-01 1.6961e-01
10095.62 5.5699e-07 2.1933e-02 4.3011e-01 3.8928e-01 1.5868e-01
10712.30 1.3956e-06 3.6530e-02 4.4301e-01 3.7202e-01 1.4843e-01
11366.65 2.8007e-06 5.4785e-02 4.4210e-01 3.6069e-01 1.4242e-01
12061.10 2.9869e-06 5.0652e-02 4.4271e-01 3.6127e-01 1.4536e-01
12793.43 3.3603e-06 5.0708e-02 4.3556e-01 3.6415e-01 1.4958e-01
13528.61 2.6910e-06 4.6244e-02 4.2963e-01 3.6928e-01 1.5484e-01
14194.74 2.3096e-06 4.2497e-02 4.1499e-01 3.7805e-01 1.6446e-01
14757.77 1.9818e-06 4.6224e-02 4.0539e-01 3.8150e-01 1.6689e-01
15240.48 1.6202e-06 3.4824e-02 4.5412e-01 3.6778e-01 1.4328e-01
15646.99 2.6136e-06 3.6855e-02 5.3574e-01 3.2982e-01 9.7582e-02
15960.30 6.0933e-06 6.9218e-02 6.1544e-01 2.5573e-01 5.9605e-02
16187.41 8.5286e-06 8.5353e-02 6.2688e-01 2.3863e-01 4.9125e-02
16354.17 1.0216e-05 1.0791e-01 6.1611e-01 2.2914e-01 4.6843e-02
16484.18 3.3997e-06 4.2261e-02 5.9998e-01 3.0232e-01 5.5426e-02
16593.12 3.6016e-06 5.2870e-02 6.1852e-01 2.6927e-01 5.9338e-02
16691.99 2.8526e-06 6.1309e-02 5.8505e-01 2.8359e-01 7.0054e-02
16788.59 1.1822e-06 2.0173e-02 4.8155e-01 4.1431e-01 8.3964e-02
16888.37 9.1812e-07 1.9215e-02 4.9894e-01 3.9328e-01 8.8569e-02
16998.79 6.5851e-07 1.6286e-02 5.1716e-01 3.8323e-01 8.3329e-02
17146.37 2.9865e-07 8.2692e-03 4.1725e-01 4.7139e-01 1.0309e-01
17415.23 3.1253e-07 1.1409e-02 4.3874e-01 4.3846e-01 1.1139e-01
17888.12 5.9123e-08 3.1408e-03 3.4523e-01 5.0852e-01 1.4312e-01
18532.37 5.5622e-08 3.4349e-03 3.2789e-01 4.9886e-01 1.6981e-01
19260.76 4.5679e-08 2.8937e-03 3.0685e-01 4.9477e-01 1.9548e-01
20034.10 3.3453e-08 2.2915e-03 2.4249e-01 5.1890e-01 2.3632e-01
20838.00 8.5052e-09 7.5490e-04 1.7171e-01 5.5741e-01 2.7012e-01
21647.97 2.0826e-08 1.5101e-03 1.9613e-01 5.2814e-01 2.7422e-01
22447.94 2.9529e-08 2.1364e-03 2.2880e-01 4.3429e-01 3.3477e-01
23245.88 3.2394e-08 2.8193e-03 1.5939e-01 4.1632e-01 4.2148e-01
24052.47 2.1681e-08 1.9145e-03 1.2119e-01 3.8663e-01 4.9026e-01
24867.72 6.5901e-09 7.9166e-04 1.0613e-01 3.8253e-01 5.1055e-01
25698.86 3.1450e-08 4.2542e-03 7.2810e-02 3.3056e-01 5.9238e-01
26587.16 4.0323e-09 7.5684e-04 5.3485e-02 3.1720e-01 6.2856e-01
27637.54 2.6645e-09 4.5095e-04 4.3412e-02 2.8526e-01 6.7088e-01
28986.97 1.2164e-09 1.3903e-04 2.9845e-02 2.1524e-01 7.5478e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
1060.83 2.3182e-04 5.1811e-01 3.6022e-01 1.0284e-01 1.8591e-02
1919.29 2.0749e-04 5.4116e-01 3.4981e-01 9.2771e-02 1.6045e-02
2581.60 1.0198e-04 4.2985e-01 4.1362e-01 1.3036e-01 2.6069e-02
3084.17 5.0953e-05 3.0099e-01 4.7926e-01 1.7918e-01 4.0509e-02
3472.46 1.7805e-05 1.5919e-01 5.4446e-01 2.3694e-01 5.9389e-02
3909.64 3.5281e-06 6.4775e-02 5.4533e-01 3.0322e-01 8.6673e-02
4148.46 2.9114e-06 6.6170e-02 5.3170e-01 3.0909e-01 9.3040e-02
4670.75 2.6213e-06 6.6693e-02 5.3556e-01 3.0608e-01 9.1670e-02
4956.05 1.0161e-06 4.1057e-02 5.1776e-01 3.3661e-01 1.0457e-01
5258.79 2.8366e-07 1.7779e-02 4.8907e-01 3.7138e-01 1.2178e-01
5580.02 6.0058e-08 5.5025e-03 4.5633e-01 4.0240e-01 1.3576e-01
5920.87 1.9313e-08 2.3220e-03 4.1858e-01 4.2886e-01 1.5025e-01
6282.54 1.0500e-08 1.5157e-03 3.8595e-01 4.4769e-01 1.6485e-01
6666.30 9.0093e-09 1.3698e-03 3.7338e-01 4.5449e-01 1.7077e-01
7073.50 8.4657e-09 1.3363e-03 3.6532e-01 4.5660e-01 1.7675e-01
7505.58 7.3180e-09 1.2141e-03 3.4834e-01 4.6171e-01 1.8874e-01
7964.05 9.7909e-09 1.5162e-03 3.5312e-01 4.5371e-01 1.9165e-01
8450.53 2.4894e-08 2.9419e-03 3.7562e-01 4.3869e-01 1.8275e-01
8966.72 7.3593e-08 6.5283e-03 3.9865e-01 4.1911e-01 1.7571e-01
9514.44 1.9616e-07 1.2478e-02 4.1091e-01 4.0640e-01 1.7021e-01
10095.62 5.9089e-07 2.2927e-02 4.2917e-01 3.8983e-01 1.5807e-01
10712.30 1.2724e-06 3.4718e-02 4.4605e-01 3.7148e-01 1.4775e-01
11366.65 2.4056e-06 4.7813e-02 4.4658e-01 3.6227e-01 1.4333e-01
12061.10 2.9906e-06 5.2587e-02 4.3934e-01 3.6278e-01 1.4530e-01
12793.43 3.4133e-06 5.3532e-02 4.3383e-01 3.6391e-01 1.4872e-01
13528.61 3.0745e-06 5.3072e-02 4.2153e-01 3.7008e-01 1.5531e-01
14194.74 3.0297e-06 5.4650e-02 4.0121e-01 3.7797e-01 1.6617e-01
14757.77 1.6796e-06 3.7714e-02 4.0917e-01 3.8294e-01 1.7017e-01
15240.48 1.6176e-06 3.1132e-02 4.4894e-01 3.7863e-01 1.4130e-01
15646.99 3.5163e-06 4.8385e-02 5.2325e-01 3.3022e-01 9.8139e-02
15960.30 8.2474e-06 8.9649e-02 5.9411e-01 2.5598e-01 6.0255e-02
16187.41 1.1168e-05 1.0114e-01 6.1211e-01 2.3831e-01 4.8427e-02
16354.17 5.1887e-06 5.8205e-02 6.4074e-01 2.5679e-01 4.4265e-02
16484.18 2.7667e-06 3.5893e-02 6.2147e-01 2.9408e-01 4.8554e-02
16593.12 2.7844e-06 4.3154e-02 6.0863e-01 2.8678e-01 6.1432e-02
16691.99 2.4534e-06 5.1390e-02 5.8047e-01 3.0158e-01 6.6556e-02
16788.59 7.8998e-07 1.7767e-02 5.6295e-01 3.4453e-01 7.4755e-02
16888.37 7.9863e-07 1.8738e-02 5.2533e-01 3.7186e-01 8.4078e-02
16998.79 5.1977e-07 1.3537e-02 4.9293e-01 4.0325e-01 9.0282e-02
17146.37 3.5249e-07 1.0906e-02 4.8393e-01 4.0861e-01 9.6559e-02
17415.23 3.2955e-07 1.1936e-02 4.5290e-01 4.2204e-01 1.1312e-01
17888.12 6.2779e-08 3.3853e-03 3.6636e-01 4.9086e-01 1.3940e-01
18532.37 6.8299e-08 5.4602e-03 3.6157e-01 4.8867e-01 1.4431e-01
19260.76 2.5507e-08 2.1092e-03 2.8469e-01 5.1344e-01 1.9976e-01
20034.10 2.2334e-08 1.5813e-03 2.6129e-01 5.2278e-01 2.1435e-01
20838.00 1.9092e-08 1.2763e-03 2.0053e-01 5.2856e-01 2.6964e-01
21647.97 1.2014e-08 8.8197e-04 1.3070e-01 5.5623e-01 3.1219e-01
22447.94 6.8932e-09 5.7443e-04 1.0756e-01 5.2131e-01 3.7055e-01
23245.88 2.2721e-08 1.5364e-03 1.3618e-01 4.3871e-01 4.2357e-01
24052.47 8.7981e-09 7.8379e-04 1.3304e-01 4.0370e-01 4.6248e-01
24867.72 3.4858e-09 4.2842e-04 1.0503e-01 4.0145e-01 4.9309e-01
25698.86 3.6966e-09 5.3751e-04 7.3704e-02 3.4194e-01 5.8382e-01
26587.16 3.5252e-09 6.3356e-04 6.0706e-02 3.1591e-01 6.2275e-01
27637.54 1.6295e-08 2.1118e-03 4.5934e-02 2.8557e-01 6.6639e-01
28986.97 2.7457e-09 2.5306e-04 2.9370e-02 2.6168e-01 7.0870e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
1060.83 2.4783e-04 5.1258e-01 3.6716e-01 1.0177e-01 1.8243e-02
1919.29 2.2168e-04 5.4593e-01 3.4634e-01 9.1699e-02 1.5803e-02
2581.60 1.0429e-04 4.3000e-01 4.1423e-01 1.2979e-01 2.5872e-02
3084.17 5.5310e-05 2.9996e-01 4.8110e-01 1.7856e-01 4.0325e-02
3472.46 1.8440e-05 1.6056e-01 5.4326e-01 2.3674e-01 5.9431e-02
3909.64 3.9318e-06 6.6824e-02 5.4603e-01 3.0045e-01 8.6693e-02
4148.46 3.1490e-06 6.4589e-02 5.3433e-01 3.0882e-01 9.2252e-02
4670.75 2.7187e-06 6.7523e-02 5.3534e-01 3.0561e-01 9.1525e-02
4956.05 1.0915e-06 4.1211e-02 5.2200e-01 3.3343e-01 1.0335e-01
5258.79 2.9084e-07 1.7325e-02 4.9214e-01 3.6857e-01 1.2196e-01
5580.02 6.2886e-08 5.5869e-03 4.5791e-01 4.0073e-01 1.3578e-01
