#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    3.013295E+04   1.0000E-099   9.9834E-001   1.6584E-003   4.0082E-021
    3.094669E+04   1.0000E-099   9.9812E-001   1.8775E-003   4.6413E-021
    3.176516E+04   1.0000E-099   9.9810E-001   1.9047E-003   4.4043E-021
    3.259805E+04   1.0000E-099   9.9780E-001   2.2033E-003   5.1764E-021
    3.345740E+04   1.0000E-099   9.9727E-001   2.7253E-003   6.7792E-021
    3.438030E+04   1.0000E-099   9.9710E-001   2.8979E-003   6.8509E-021
    3.533529E+04   1.0000E-099   9.9634E-001   3.6604E-003   9.3680E-021
    3.634323E+04   1.0000E-099   9.9608E-001   3.9194E-003   9.7253E-021
    3.736894E+04   1.0000E-099   9.9546E-001   4.5383E-003   1.1601E-020
    3.839518E+04   1.0000E-099   9.9477E-001   5.2259E-003   1.3825E-020
    3.939114E+04   1.0000E-099   9.9457E-001   5.4334E-003   1.4018E-020
    4.037465E+04   1.0000E-099   9.9454E-001   5.4648E-003   1.3523E-020
    4.133441E+04   1.0000E-099   9.9430E-001   5.7017E-003   1.3901E-020
    4.215976E+04   1.0000E-099   9.9393E-001   6.0678E-003   1.4858E-020
    4.290657E+04   1.0000E-099   9.9365E-001   6.3539E-003   1.5549E-020
    4.365819E+04   1.0000E-099   9.9352E-001   6.4773E-003   1.5642E-020
    4.442297E+04   1.0000E-099   9.9363E-001   6.3735E-003   1.4960E-020
    4.520034E+04   1.0000E-099   9.9396E-001   6.0371E-003   1.3568E-020
    4.600555E+04   1.0000E-099   9.9449E-001   5.5064E-003   1.1683E-020
    4.686215E+04   1.0000E-099   9.9510E-001   4.9019E-003   9.7437E-021
    4.776422E+04   1.0000E-099   9.9570E-001   4.2965E-003   7.9764E-021
    4.868597E+04   1.0000E-099   9.9626E-001   3.7428E-003   6.4980E-021
    4.962544E+04   1.0000E-099   9.9675E-001   3.2509E-003   5.2899E-021
    5.058305E+04   1.0000E-099   9.9718E-001   2.8209E-003   4.3152E-021
    5.155912E+04   1.0000E-099   9.9755E-001   2.4506E-003   3.5397E-021
    5.255403E+04   1.0000E-099   9.9786E-001   2.1358E-003   2.9321E-021
    5.356816E+04   1.0000E-099   9.9813E-001   1.8725E-003   2.4652E-021
    5.460189E+04   1.0000E-099   9.9834E-001   1.6588E-003   2.1164E-021
    5.565558E+04   1.0000E-099   9.9851E-001   1.4931E-003   1.8686E-021
    5.672959E+04   1.0000E-099   9.9863E-001   1.3724E-003   1.7053E-021
    5.782432E+04   1.0000E-099   9.9871E-001   1.2933E-003   1.6147E-021
    5.894013E+04   1.0000E-099   9.9875E-001   1.2458E-003   1.5756E-021
    6.007747E+04   1.0000E-099   9.9878E-001   1.2175E-003   1.5644E-021
    6.123675E+04   1.0000E-099   9.9880E-001   1.1957E-003   1.5585E-021
    6.241838E+04   1.0000E-099   9.9883E-001   1.1690E-003   1.5395E-021
    6.362274E+04   1.0000E-099   9.9888E-001   1.1214E-003   1.4854E-021
    6.485024E+04   1.0000E-099   9.9892E-001   1.0777E-003   1.4290E-021
    6.610128E+04   1.0000E-099   9.9898E-001   1.0150E-003   1.3446E-021
    6.737631E+04   1.0000E-099   9.9904E-001   9.5709E-004   1.2533E-021
    6.867574E+04   1.0000E-099   9.9917E-001   8.3092E-004   1.0682E-021
    6.935606E+04   1.0000E-099   9.9921E-001   7.8747E-004   9.9343E-022
    6.969874E+04   1.0000E-099   9.9930E-001   6.9892E-004   8.5541E-022
    6.987071E+04   1.0000E-099   9.9936E-001   6.3923E-004   7.3368E-022
    6.995686E+04   1.0000E-099   9.9943E-001   5.6666E-004   5.5920E-022
    6.999782E+04   1.0000E-099   9.9949E-001   5.0945E-004   3.4041E-022
    6.999997E+04   1.0000E-099   9.9950E-001   4.9853E-004   2.9617E-022
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.772128E+02   1.0000E-099   3.5085E-013   5.7575E-006   9.9999E-001
    8.825108E+02   1.0000E-099   3.5085E-013   5.7575E-006   9.9999E-001
    8.985975E+02   1.0000E-099   3.5085E-013   5.7575E-006   9.9999E-001
    9.316560E+02   1.0000E-099   3.5085E-013   5.7575E-006   9.9999E-001
    9.893707E+02   1.0000E-099   3.5085E-013   5.7575E-006   9.9999E-001
    1.050609E+03   1.0000E-099   3.5083E-013   5.7573E-006   9.9999E-001
    1.115637E+03   1.0000E-099   3.5072E-013   5.7564E-006   9.9999E-001
    1.184691E+03   1.0000E-099   3.5070E-013   5.7556E-006   9.9999E-001
    1.258018E+03   1.0000E-099   3.5058E-013   5.7532E-006   9.9999E-001
    1.335885E+03   1.0000E-099   3.5047E-013   5.7492E-006   9.9999E-001
    1.418571E+03   1.0000E-099   3.2031E-013   5.4820E-006   9.9999E-001
    1.506375E+03   1.0000E-099   1.1786E-013   3.2683E-006   1.0000E+000
    1.599613E+03   1.0000E-099   1.0502E-013   3.0820E-006   1.0000E+000
    1.698623E+03   1.0000E-099   6.9971E-014   2.5057E-006   1.0000E+000
    1.803761E+03   1.0000E-099   6.3289E-014   2.3784E-006   1.0000E+000
    1.915407E+03   1.0000E-099   3.6239E-014   1.7920E-006   1.0000E+000
    2.033963E+03   1.0000E-099   2.9666E-014   1.6188E-006   1.0000E+000
    2.159857E+03   1.0000E-099   1.8554E-014   1.2769E-006   1.0000E+000
    2.293544E+03   1.0000E-099   1.1658E-014   1.0105E-006   1.0000E+000
    2.435505E+03   1.0000E-099   7.6953E-015   8.2018E-007   1.0000E+000
    2.586253E+03   1.0000E-099   4.5183E-015   6.2776E-007   1.0000E+000
    2.746332E+03   1.0000E-099   3.4189E-015   5.4591E-007   1.0000E+000
    2.916319E+03   1.0000E-099   2.6599E-015   4.8142E-007   1.0000E+000
    3.096828E+03   1.0000E-099   2.0660E-015   4.2426E-007   1.0000E+000
    3.288509E+03   1.0000E-099   1.7159E-015   3.8668E-007   1.0000E+000
    3.492055E+03   1.0000E-099   1.5151E-015   3.6343E-007   1.0000E+000
    3.708199E+03   1.0000E-099   1.3263E-015   3.4018E-007   1.0000E+000
    3.937722E+03   1.0000E-099   1.1137E-015   3.1194E-007   1.0000E+000
    4.181452E+03   1.0000E-099   1.0589E-015   3.0457E-007   1.0000E+000
    4.440267E+03   1.0000E-099   1.1414E-015   3.1623E-007   1.0000E+000
    4.715102E+03   1.0000E-099   9.7552E-016   2.9215E-007   1.0000E+000
    5.006948E+03   1.0000E-099   6.4645E-016   2.3781E-007   1.0000E+000
    5.316859E+03   1.0000E-099   5.4050E-016   2.1740E-007   1.0000E+000
    5.645951E+03   1.0000E-099   4.9258E-016   2.0755E-007   1.0000E+000
    5.995413E+03   1.0000E-099   4.6227E-016   2.0112E-007   1.0000E+000
    6.366506E+03   1.0000E-099   4.3256E-016   1.9464E-007   1.0000E+000
    6.760567E+03   1.0000E-099   4.1822E-016   1.9145E-007   1.0000E+000
    7.179019E+03   1.0000E-099   4.0430E-016   1.8833E-007   1.0000E+000
    7.623372E+03   1.0000E-099   3.7563E-016   1.8177E-007   1.0000E+000
    8.095229E+03   1.0000E-099   3.6359E-016   1.7906E-007   1.0000E+000
    8.596292E+03   1.0000E-099   3.7435E-016   1.8193E-007   1.0000E+000
    9.128368E+03   1.0000E-099   4.0517E-016   1.8981E-007   1.0000E+000
    9.693378E+03   1.0000E-099   5.0076E-016   2.1217E-007   1.0000E+000
    1.029336E+04   1.0000E-099   7.7756E-016   2.6667E-007   1.0000E+000
