#NTIMES: 265
#NSTAGES: 6
#TIMES[d]: 1.074 1.181 1.299 1.429 1.572 1.729 1.902 2.092 2.301 2.531 2.785 3.063 3.369 3.706 4.077 4.485 4.933 5.426 5.969 6.566 7.223 7.945 8.739 9.613 10.575 11.575 12.575 13.575 14.575 15.575 16.575 17.575 18.575 19.575 20.575 21.575 22.575 23.575 24.575 25.575 26.575 27.575 28.575 29.575 30.575 31.575 32.575 33.575 34.575 35.575 36.575 37.575 38.575 39.575 40.575 41.575 42.575 43.575 44.575 45.575 46.575 47.575 48.575 49.575 50.575 51.575 52.575 53.575 54.575 55.575 56.575 57.575 58.575 59.575 60.575 61.575 62.575 63.575 64.575 65.575 66.575 67.575 68.575 69.575 70.575 71.575 72.575 73.575 74.575 75.575 76.575 77.575 78.575 79.575 80.575 81.575 82.575 83.575 84.575 85.575 86.575 87.575 88.575 89.575 90.575 91.575 92.575 93.575 94.575 95.575 96.575 97.575 98.575 99.575 100.575 101.575 102.575 103.575 104.575 105.575 106.575 107.575 108.575 109.575 110.575 111.575 112.575 113.575 114.575 115.575 116.575 117.575 118.575 119.575 120.575 121.575 122.575 123.575 124.575 125.575 126.575 127.575 128.575 129.575 130.575 131.575 132.575 133.575 134.575 135.575 136.575 137.575 138.575 139.575 140.575 141.575 142.575 143.575 144.575 145.575 146.575 147.575 148.575 149.575 150.575 151.575 152.575 153.575 154.575 155.575 156.575 157.575 158.575 159.575 160.575 161.575 162.575 163.575 164.575 165.575 166.575 167.575 168.575 169.575 170.575 171.575 172.575 173.575 174.575 175.575 176.575 177.575 178.575 179.575 180.575 181.575 182.575 183.575 184.575 185.575 186.575 187.575 188.575 189.575 190.575 191.575 192.575 193.575 194.575 195.575 196.575 197.575 198.575 199.575 200.575 201.575 202.575 203.575 204.575 205.575 206.575 207.575 208.575 209.575 210.575 211.575 212.575 213.575 214.575 215.575 216.575 217.575 218.575 219.575 220.575 221.575 222.575 223.575 224.575 225.575 226.575 227.575 228.575 229.575 230.575 231.575 232.575 233.575 234.575 235.575 236.575 237.575 238.575 239.575 240.575 241.575 242.575 243.575 244.575 245.575 246.575 247.575 248.575 249.575 250.575 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] O0 O1 O2 O3 O4 O5
3.084e+08 8.779024e-35 7.093054e-27 6.019716e-19 1.915850e-11 1.686224e-05 9.999831e-01
3.273e+08 7.220126e-35 6.226143e-27 5.560704e-19 1.806871e-11 1.685721e-05 9.999831e-01
3.472e+08 8.838042e-35 7.752718e-27 6.834795e-19 2.052074e-11 1.915031e-05 9.999808e-01
3.685e+08 1.557697e-34 1.337622e-26 1.103605e-18 2.797712e-11 2.473503e-05 9.999753e-01
3.910e+08 3.340541e-34 2.786073e-26 2.115030e-18 4.324118e-11 3.503298e-05 9.999650e-01
4.148e+08 8.333739e-34 6.422975e-26 4.329956e-18 7.076360e-11 4.970754e-05 9.999503e-01
4.402e+08 1.626183e-33 1.144866e-25 6.944977e-18 9.791857e-11 6.092648e-05 9.999391e-01
4.671e+08 1.200535e-33 8.870472e-26 5.671226e-18 8.528795e-11 5.620248e-05 9.999438e-01
4.956e+08 4.386196e-34 3.877765e-26 2.989212e-18 5.537656e-11 4.434919e-05 9.999557e-01
5.259e+08 1.669632e-34 1.766197e-26 1.637084e-18 3.696398e-11 3.575658e-05 9.999642e-01
5.580e+08 9.904435e-35 1.161033e-26 1.193295e-18 2.992823e-11 3.211952e-05 9.999679e-01
5.921e+08 8.246018e-35 1.023430e-26 1.105593e-18 2.856390e-11 3.200338e-05 9.999680e-01
6.282e+08 8.546996e-35 1.093525e-26 1.202217e-18 3.047816e-11 3.425323e-05 9.999657e-01
6.666e+08 1.092971e-34 1.390583e-26 1.499041e-18 3.575001e-11 3.861338e-05 9.999614e-01
7.074e+08 1.678221e-34 2.079793e-26 2.145437e-18 4.633355e-11 4.633332e-05 9.999537e-01
7.506e+08 3.000595e-34 3.623112e-26 3.556002e-18 6.739070e-11 6.024706e-05 9.999398e-01
7.964e+08 6.887106e-34 7.846459e-26 7.096153e-18 1.128927e-10 8.474096e-05 9.999153e-01
8.451e+08 2.230276e-33 2.266292e-25 1.790409e-17 2.250219e-10 1.301804e-04 9.998698e-01
8.967e+08 1.186164e-32 1.023399e-24 6.724927e-17 6.118777e-10 2.387190e-04 9.997613e-01
9.514e+08 1.425563e-31 9.672292e-24 4.917637e-16 2.809971e-09 5.866784e-04 9.994133e-01
1.010e+09 5.876103e-30 2.777073e-22 9.759013e-15 2.801024e-08 2.195721e-03 9.978043e-01
1.071e+09 1.527182e-27 4.454230e-20 9.440261e-13 9.539538e-07 1.614962e-02 9.838494e-01
1.137e+09 5.394197e-24 8.965664e-17 8.948447e-10 1.768356e-04 2.738155e-01 7.260077e-01
1.206e+09 4.271798e-20 4.325048e-13 1.235299e-06 2.125978e-02 9.562267e-01 2.251230e-02
1.279e+09 1.819994e-16 1.320223e-09 6.754932e-04 6.078230e-01 3.914736e-01 2.788532e-05
1.353e+09 4.783294e-14 2.777593e-07 2.239398e-02 9.696291e-01 7.976630e-03 1.269275e-09
1.419e+09 9.000586e-12 4.172649e-05 4.126253e-01 5.872971e-01 3.585378e-05 5.143982e-15
1.476e+09 4.027922e-10 1.317825e-03 9.782438e-01 2.043835e-02 2.909624e-09 6.144474e-23
1.524e+09 2.700003e-08 3.469683e-02 9.651890e-01 1.141191e-04 1.097125e-14 5.671611e-33
1.565e+09 1.803994e-06 5.688562e-01 4.311418e-01 1.933536e-07 7.666713e-21 4.783846e-44
1.596e+09 1.815148e-05 9.872618e-01 1.272009e-02 1.084771e-11 6.911097e-29 1.308599e-57
1.619e+09 1.419070e-04 9.997431e-01 1.150036e-04 6.886382e-17 1.735241e-38 1.251533e-73
1.635e+09 1.275935e-03 9.987235e-01 5.631885e-07 8.782125e-23 2.066811e-49 6.373832e-92
1.648e+09 1.280714e-02 9.871929e-01 1.499992e-09 2.217551e-29 1.106594e-61 1.524984e-112
1.659e+09 9.235620e-02 9.076438e-01 5.510498e-12 1.328486e-35 2.856918e-73 4.652893e-132
1.669e+09 3.275102e-01 6.724898e-01 5.003513e-14 1.085630e-40 1.082391e-82 6.600629e-148
1.679e+09 5.839302e-01 4.160698e-01 1.258955e-15 1.547255e-44 9.315783e-90 9.019265e-160
1.689e+09 7.510744e-01 2.489256e-01 6.771916e-17 1.652570e-47 3.556359e-95 7.575249e-169
1.700e+09 8.529217e-01 1.470783e-01 5.042669e-18 4.216033e-50 7.085517e-100 1.064562e-176
1.715e+09 9.176744e-01 8.232561e-02 3.649948e-19 1.098748e-52 1.557577e-104 1.863487e-184
1.742e+09 9.668564e-01 3.314364e-02 7.843864e-21 2.067743e-56 3.299605e-111 1.580051e-195
1.789e+09 9.942126e-01 5.787438e-03 7.948396e-24 5.475031e-63 6.770285e-123 8.215868e-215
1.853e+09 9.992099e-01 7.900810e-04 4.077782e-27 3.914091e-70 1.605936e-135 1.478388e-235
1.926e+09 9.998731e-01 1.268634e-04 3.614099e-30 8.668789e-77 2.655805e-147 6.035973e-255
2.003e+09 9.999769e-01 2.308554e-05 4.728620e-33 4.192105e-83 1.638869e-158 1.987390e-273
2.084e+09 9.999952e-01 4.795425e-06 1.030484e-35 6.170677e-89 7.263756e-169 1.680548e-290
2.165e+09 9.999989e-01 1.112189e-06 3.632166e-38 2.702722e-94 2.311375e-178 3.826837e-306
2.245e+09 9.999997e-01 2.925961e-07 1.796478e-40 2.224949e-99 2.026480e-187 4.076042e-321
2.325e+09 9.999999e-01 8.629590e-08 1.264290e-42 3.706976e-104 5.820222e-196 0.000000e+00
2.405e+09 1.000000e+00 2.891208e-08 1.430094e-44 1.718392e-108 1.011996e-203 0.000000e+00
2.487e+09 1.000000e+00 1.149966e-08 3.093896e-46 3.249152e-112 2.103866e-210 0.000000e+00
2.570e+09 1.000000e+00 5.424357e-09 1.204861e-47 2.105773e-115 3.691587e-216 0.000000e+00
2.659e+09 1.000000e+00 2.717775e-09 5.121381e-49 1.484765e-118 6.785769e-222 0.000000e+00
2.764e+09 1.000000e+00 1.014679e-09 5.680194e-51 4.778428e-123 4.533813e-230 0.000000e+00
2.899e+09 1.000000e+00 2.077224e-10 4.321647e-54 3.393710e-130 4.610934e-243 0.000000e+00
3.065e+09 1.000000e+00 1.918437e-10 4.334548e-55 5.169352e-133 1.146332e-248 0.000000e+00
3.252e+09 1.000000e+00 4.176246e-10 5.009912e-55 8.673452e-134 6.417775e-251 0.000000e+00
3.446e+09 1.000000e+00 1.990787e-09 1.044115e-53 7.299121e-132 1.992897e-248 0.000000e+00
3.637e+09 1.000000e+00 8.150787e-09 3.968125e-52 5.463586e-129 6.894376e-244 0.000000e+00
3.815e+09 1.000000e+00 2.726488e-08 1.467575e-50 6.703068e-126 9.752226e-239 0.000000e+00
3.975e+09 1.000000e+00 4.366450e-08 5.104921e-50 6.701162e-125 3.849191e-237 0.000000e+00
4.117e+09 1.000000e+00 3.449557e-08 1.268356e-50 2.245894e-126 6.664444e-240 0.000000e+00
4.247e+09 1.000000e+00 1.266941e-08 1.674889e-52 1.259947e-130 1.410176e-247 0.000000e+00
4.369e+09 1.000000e+00 2.274482e-09 1.713727e-55 3.084103e-137 2.267591e-259 0.000000e+00
4.488e+09 1.000000e+00 2.624934e-10 3.789991e-59 3.023904e-145 1.377515e-273 0.000000e+00
4.608e+09 1.000000e+00 3.368157e-11 1.214537e-62 6.479234e-153 3.254337e-287 0.000000e+00
4.729e+09 1.000000e+00 2.587459e-11 2.613443e-63 1.545068e-154 3.005415e-290 0.000000e+00
4.852e+09 1.000000e+00 2.891995e-11 2.229439e-63 7.084847e-155 4.977928e-291 0.000000e+00
4.975e+09 1.000000e+00 3.448277e-11 2.410509e-63 5.401049e-155 2.011544e-291 0.000000e+00
5.101e+09 1.000000e+00 4.338557e-11 3.164438e-63 6.228616e-155 1.676670e-291 0.000000e+00
5.229e+09 1.000000e+00 5.582976e-11 4.495104e-63 8.482998e-155 1.866031e-291 0.000000e+00
5.360e+09 1.000000e+00 7.210071e-11 6.452876e-63 1.179342e-154 2.148871e-291 0.000000e+00
5.492e+09 1.000000e+00 9.357497e-11 9.423562e-63 1.699733e-154 2.634162e-291 0.000000e+00
5.627e+09 1.000000e+00 1.216404e-10 1.385399e-62 2.486563e-154 3.316634e-291 0.000000e+00
5.762e+09 1.000000e+00 1.579554e-10 2.039513e-62 3.663167e-154 4.244405e-291 0.000000e+00
5.899e+09 1.000000e+00 2.040614e-10 2.970676e-62 5.308214e-154 5.309553e-291 0.000000e+00
6.034e+09 1.000000e+00 2.624560e-10 4.320668e-62 7.756610e-154 6.816489e-291 0.000000e+00
6.168e+09 1.000000e+00 3.337320e-10 6.140335e-62 1.094225e-153 8.344262e-291 0.000000e+00
